,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,167.95,167.98,167.855,167.86,73720
2024-03-22 15:58:00,167.9,167.96,167.86,167.95,35557
2024-03-22 15:57:00,167.995,168.01,167.87,167.9,26203
2024-03-22 15:56:00,168.0,168.1,167.98,167.995,22658
2024-03-22 15:55:00,167.94,168.03,167.92,168.0,31557
2024-03-22 15:54:00,167.84,167.99,167.84,167.96,29555
2024-03-22 15:53:00,167.96,167.96,167.82,167.84,18983
2024-03-22 15:52:00,167.98,168.04,167.94,167.96,16969
2024-03-22 15:51:00,167.948,168.0,167.94,167.95,12748
2024-03-22 15:50:00,167.97,168.1,167.93,167.94,20600
2024-03-22 15:49:00,168.01,168.01,167.94,167.96,9787
2024-03-22 15:48:00,167.98,168.05,167.97,168.05,8144
2024-03-22 15:47:00,168.0,168.02,167.96,167.97,7708
2024-03-22 15:46:00,167.85,168.04,167.85,168.025,8637
2024-03-22 15:45:00,168.0,168.0,167.81,167.81,14626
2024-03-22 15:44:00,167.97,168.02,167.94,168.0,8395
2024-03-22 15:43:00,167.97,167.99,167.925,167.95,14606
2024-03-22 15:42:00,168.0,168.01,167.94,167.955,11834
2024-03-22 15:41:00,168.05,168.06,168.02,168.02,5079
2024-03-22 15:40:00,168.04,168.06,168.02,168.05,5434
2024-03-22 15:39:00,168.09,168.102,168.05,168.055,5331
2024-03-22 15:38:00,168.075,168.1,168.035,168.08,5938
2024-03-22 15:37:00,168.0,168.055,167.985,168.055,4330
2024-03-22 15:36:00,167.985,168.02,167.98,168.0,7461
2024-03-22 15:35:00,168.09,168.12,167.94,168.0,8324
2024-03-22 15:34:00,168.065,168.1,168.065,168.08,4734
2024-03-22 15:33:00,168.3,168.3,168.03,168.08,15693
2024-03-22 15:32:00,168.3,168.34,168.27,168.325,5252
2024-03-22 15:31:00,168.39,168.41,168.31,168.32,15056
2024-03-22 15:30:00,168.315,168.39,168.285,168.38,5094
2024-03-22 15:29:00,168.28,168.345,168.28,168.31,3479
2024-03-22 15:28:00,168.36,168.36,168.29,168.295,6354
2024-03-22 15:27:00,168.335,168.37,168.335,168.36,2081
2024-03-22 15:26:00,168.16,168.25,168.16,168.25,4959
2024-03-22 15:25:00,168.18,168.205,168.17,168.18,6297
2024-03-22 15:24:00,168.18,168.18,168.13,168.14,3821
2024-03-22 15:23:00,168.165,168.22,168.155,168.196,2258
2024-03-22 15:22:00,168.21,168.23,168.16,168.18,7523
2024-03-22 15:21:00,168.185,168.19,168.14,168.185,4590
2024-03-22 15:20:00,168.21,168.21,168.185,168.2,2997
2024-03-22 15:19:00,168.16,168.25,168.16,168.19,9787
2024-03-22 15:18:00,168.142,168.18,168.13,168.18,4534
2024-03-22 15:17:00,168.105,168.15,168.07,168.15,5803
2024-03-22 15:16:00,168.21,168.21,168.08,168.08,5637
2024-03-22 15:15:00,168.25,168.275,168.21,168.21,2609
