,1. open,2. high,3. low,4. close,5. volume
2022-05-31 15:59:00,290.401,290.914,290.114,290.773,27074
2022-05-31 15:58:00,290.362,290.588,290.241,290.442,17643
2022-05-31 15:57:00,290.186,290.515,290.007,290.423,21956
2022-05-31 15:56:00,290.527,290.729,290.017,290.112,12778
2022-05-31 15:55:00,290.926,291.031,290.396,290.554,11258
2022-05-31 15:54:00,291.481,291.649,290.708,290.929,9104
2022-05-31 15:53:00,291.685,291.79,291.33,291.454,5562
2022-05-31 15:52:00,291.86,292.101,291.656,291.746,4543
2022-05-31 15:51:00,291.909,292.053,291.515,291.931,7738
2022-05-31 15:50:00,291.383,292.228,291.311,291.941,8777
2022-05-31 15:49:00,291.539,291.634,291.243,291.464,4869
2022-05-31 15:48:00,291.753,291.897,291.515,291.632,3395
2022-05-31 15:47:00,292.128,292.233,291.612,291.737,4474
2022-05-31 15:46:00,291.846,292.213,291.768,292.131,4515
2022-05-31 15:45:00,291.5,291.955,291.427,291.863,6670
2022-05-31 15:44:00,291.86,291.955,291.505,291.62,5426
2022-05-31 15:43:00,291.928,292.092,291.7,291.96,1890
2022-05-31 15:42:00,292.133,292.228,291.758,292.029,4029
2022-05-31 15:41:00,292.337,292.442,292.118,292.194,3378
2022-05-31 15:40:00,292.162,292.422,291.992,292.306,2906
2022-05-31 15:39:00,292.283,292.481,292.1,292.213,2741
2022-05-31 15:38:00,292.026,292.432,291.972,292.335,4354
2022-05-31 15:37:00,291.714,292.053,291.637,291.97,3030
2022-05-31 15:36:00,291.685,291.887,291.53,291.746,5679
2022-05-31 15:35:00,292.035,292.15,291.525,291.634,6028
2022-05-31 15:34:00,292.191,292.433,291.992,292.077,3974
2022-05-31 15:33:00,292.157,292.452,291.943,292.223,3815
2022-05-31 15:32:00,291.977,292.315,291.826,292.184,4667
2022-05-31 15:31:00,291.899,292.15,291.739,291.99,5432
2022-05-31 15:30:00,291.51,291.95,291.442,291.878,5127
2022-05-31 15:29:00,291.617,291.756,291.471,291.566,1471
2022-05-31 15:28:00,291.315,291.79,291.262,291.639,3774
2022-05-31 15:27:00,291.169,291.459,291.077,291.328,3933
2022-05-31 15:26:00,291.515,291.61,291.029,291.192,1696
2022-05-31 15:25:00,291.383,291.656,291.301,291.547,1805
2022-05-31 15:24:00,291.588,291.692,291.155,291.347,3565
2022-05-31 15:23:00,291.393,291.688,291.286,291.615,2305
2022-05-31 15:22:00,291.121,291.41,291.053,291.306,2712
2022-05-31 15:21:00,291.009,291.167,290.873,291.06,1535
2022-05-31 15:20:00,290.848,291.167,290.795,291.012,2025
2022-05-31 15:19:00,291.374,291.469,290.785,290.861,1851
2022-05-31 15:18:00,291.607,292.053,291.301,291.396,2354
