,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,247.81,247.81,247.56,247.61,36951
2024-03-22 15:58:00,247.795,247.84,247.79,247.82,20085
2024-03-22 15:57:00,247.73,247.81,247.675,247.8,11435
2024-03-22 15:56:00,247.845,247.845,247.72,247.74,12487
2024-03-22 15:55:00,248.21,248.21,247.83,247.86,19795
2024-03-22 15:54:00,248.33,248.34,248.23,248.23,8386
2024-03-22 15:53:00,248.21,248.33,248.2,248.33,6848
2024-03-22 15:52:00,248.24,248.3,248.21,248.21,6237
2024-03-22 15:51:00,248.26,248.28,248.24,248.24,2470
2024-03-22 15:50:00,248.24,248.325,248.22,248.25,12921
2024-03-22 15:49:00,248.14,248.22,248.14,248.22,1485
2024-03-22 15:48:00,248.16,248.21,248.16,248.21,1858
2024-03-22 15:47:00,248.24,248.24,248.165,248.21,3534
2024-03-22 15:46:00,248.23,248.26,248.23,248.26,1863
2024-03-22 15:45:00,248.26,248.28,248.22,248.26,5186
2024-03-22 15:44:00,248.255,248.32,248.255,248.32,2774
2024-03-22 15:43:00,248.28,248.295,248.24,248.245,3700
2024-03-22 15:42:00,248.19,248.28,248.19,248.28,2360
2024-03-22 15:41:00,248.19,248.23,248.17,248.19,5521
2024-03-22 15:40:00,248.195,248.22,248.17,248.19,2114
2024-03-22 15:39:00,248.18,248.21,248.18,248.18,1301
2024-03-22 15:38:00,248.18,248.21,248.175,248.21,2048
2024-03-22 15:37:00,248.18,248.22,248.18,248.195,1130
2024-03-22 15:36:00,248.2,248.22,248.2,248.205,1305
2024-03-22 15:35:00,248.19,248.26,248.17,248.18,2103
2024-03-22 15:34:00,248.08,248.22,248.08,248.16,4581
2024-03-22 15:33:00,248.14,248.14,248.08,248.11,5439
2024-03-22 15:32:00,248.13,248.13,248.115,248.115,1267
2024-03-22 15:31:00,248.25,248.25,248.14,248.15,2935
2024-03-22 15:30:00,248.17,248.21,248.17,248.21,1602
2024-03-22 15:29:00,248.21,248.21,248.21,248.21,698
2024-03-22 15:28:00,248.19,248.19,248.18,248.18,953
2024-03-22 15:27:00,248.26,248.33,248.2,248.2,4233
2024-03-22 15:26:00,248.19,248.25,248.19,248.25,2346
2024-03-22 15:25:00,248.11,248.21,248.11,248.17,5367
2024-03-22 15:24:00,248.01,248.07,248.01,248.07,955
2024-03-22 15:22:00,247.98,248.08,247.948,248.04,3640
2024-03-22 15:21:00,247.88,247.93,247.88,247.93,2486
2024-03-22 15:20:00,247.95,247.97,247.92,247.92,536
2024-03-22 15:19:00,247.92,247.95,247.92,247.95,883
2024-03-22 15:18:00,247.895,247.95,247.895,247.95,1259
2024-03-22 15:17:00,247.85,247.914,247.83,247.914,3631
2024-03-22 15:16:00,247.96,247.96,247.855,247.855,2880
2024-03-22 15:15:00,247.99,247.99,247.99,247.99,633
2024-03-22 15:14:00,248.02,248.02,248.02,248.02,277
2024-03-22 15:13:00,247.94,248.01,247.94,247.95,1546
2024-03-22 15:12:00,247.98,247.98,247.87,247.87,1449
2024-03-22 15:11:00,248.07,248.13,248.0,248.0,3107
2024-03-22 15:10:00,248.065,248.14,248.0,248.11,6080
2024-03-22 15:09:00,248.07,248.07,248.06,248.06,1433
2024-03-22 15:08:00,248.055,248.07,248.055,248.07,506
2024-03-22 15:07:00,248.06,248.06,248.045,248.045,1259
2024-03-22 15:06:00,248.1,248.1,248.05,248.05,2451
2024-03-22 15:05:00,248.14,248.14,248.14,248.14,369
2024-03-22 15:03:00,248.12,248.14,248.12,248.14,1229
2024-03-22 15:02:00,248.115,248.16,248.06,248.13,5866
2024-03-22 15:00:00,248.08,248.12,248.08,248.12,1232
2024-03-22 14:59:00,248.075,248.075,248.075,248.075,305
2024-03-22 14:58:00,248.06,248.075,248.05,248.075,1686
2024-03-22 14:57:00,248.12,248.135,248.1,248.1,2044
2024-03-22 14:56:00,248.09,248.13,248.08,248.11,2161
2024-03-22 14:55:00,248.01,248.055,248.01,248.055,1200
2024-03-22 14:54:00,248.0,248.0,247.99,248.0,1350
2024-03-22 14:53:00,247.84,248.0,247.84,247.965,2561
2024-03-22 14:52:00,247.88,247.88,247.84,247.855,2638
2024-03-22 14:51:00,247.89,247.92,247.89,247.91,1798
2024-03-22 14:50:00,247.77,247.88,247.77,247.84,1565
2024-03-22 14:49:00,247.74,247.82,247.74,247.8,2411
2024-03-22 14:48:00,247.715,247.76,247.71,247.71,2293
2024-03-22 14:46:00,247.72,247.74,247.72,247.74,989
2024-03-22 14:45:00,247.68,247.715,247.655,247.655,1561
2024-03-22 14:44:00,247.722,247.722,247.722,247.722,195
2024-03-22 14:43:00,247.78,247.78,247.73,247.75,2198
2024-03-22 14:41:00,247.785,247.785,247.785,247.785,282
2024-03-22 14:40:00,247.82,247.84,247.79,247.79,2008
2024-03-22 14:39:00,247.92,247.92,247.83,247.83,2403
2024-03-22 14:38:00,247.86,247.9,247.86,247.9,391
2024-03-22 14:37:00,247.89,247.89,247.89,247.89,979
2024-03-22 14:36:00,247.755,247.855,247.755,247.855,1729
2024-03-22 14:35:00,247.767,247.77,247.76,247.765,1022
2024-03-22 14:34:00,247.73,247.77,247.73,247.77,1118
2024-03-22 14:33:00,247.79,247.79,247.79,247.79,330
2024-03-22 14:32:00,247.78,247.865,247.75,247.82,6283
2024-03-22 14:31:00,247.795,247.81,247.78,247.78,1706
2024-03-22 14:30:00,247.805,247.805,247.805,247.805,703
2024-03-22 14:29:00,247.825,247.825,247.825,247.825,349
2024-03-22 14:27:00,247.82,247.82,247.82,247.82,270
2024-03-22 14:26:00,247.81,247.81,247.81,247.81,624
2024-03-22 14:25:00,247.67,247.68,247.67,247.68,818
2024-03-22 14:24:00,247.57,247.57,247.57,247.57,750
2024-03-22 14:23:00,247.76,247.78,247.73,247.73,2538
2024-03-22 14:22:00,247.828,247.828,247.71,247.72,2962
2024-03-22 14:20:00,247.82,247.855,247.81,247.81,1330
2024-03-22 14:19:00,247.83,247.88,247.83,247.87,2584
2024-03-22 14:18:00,247.78,247.82,247.78,247.82,1213
2024-03-22 14:17:00,247.77,247.775,247.73,247.775,1009
2024-03-22 14:16:00,247.455,247.735,247.45,247.735,11268
2024-03-22 14:15:00,247.505,247.505,247.505,247.505,231
2024-03-22 14:14:00,247.512,247.535,247.46,247.535,1362
2024-03-22 14:13:00,247.48,247.54,247.48,247.54,883
2024-03-22 14:11:00,247.505,247.52,247.505,247.517,795
2024-03-22 14:10:00,247.505,247.55,247.494,247.494,1822
2024-03-22 14:09:00,247.53,247.539,247.45,247.45,1049
2024-03-22 14:08:00,247.495,247.52,247.45,247.45,576
2024-03-22 14:07:00,247.55,247.55,247.45,247.45,3774
2024-03-22 14:06:00,247.53,247.59,247.53,247.57,1989
2024-03-22 14:05:00,247.51,247.54,247.48,247.51,3235
2024-03-22 14:04:00,247.475,247.51,247.45,247.51,576
2024-03-22 14:03:00,247.5,247.51,247.45,247.45,1869
2024-03-22 14:02:00,247.48,247.48,247.48,247.48,554
2024-03-22 14:01:00,247.54,247.54,247.54,247.54,768
2024-03-22 14:00:00,247.51,247.55,247.49,247.49,3607
2024-03-22 13:59:00,247.51,247.51,247.5,247.5,1329
2024-03-22 13:58:00,247.54,247.55,247.54,247.55,1375
2024-03-22 13:57:00,247.575,247.575,247.56,247.56,345
2024-03-22 13:56:00,247.55,247.59,247.55,247.59,2220
