,1. open,2. high,3. low,4. close,5. volume
2023-09-29 15:59:00,75.843,75.892,75.811,75.876,75585
2023-09-29 15:58:00,75.898,75.912,75.831,75.837,29740
2023-09-29 15:57:00,75.843,75.917,75.836,75.896,31581
2023-09-29 15:56:00,75.873,75.882,75.821,75.847,21787
2023-09-29 15:55:00,75.991,76.001,75.861,75.886,25289
2023-09-29 15:54:00,76.031,76.08,75.949,75.995,19606
2023-09-29 15:53:00,76.1,76.109,76.024,76.045,16460
2023-09-29 15:52:00,76.016,76.119,76.014,76.104,15961
2023-09-29 15:51:00,76.011,76.05,75.96,76.025,17000
2023-09-29 15:50:00,75.883,76.02,75.88,76.015,21769
2023-09-29 15:49:00,75.823,75.892,75.821,75.886,6572
2023-09-29 15:48:00,75.843,75.852,75.806,75.827,5917
2023-09-29 15:47:00,75.823,75.852,75.811,75.847,7049
2023-09-29 15:46:00,75.754,75.837,75.737,75.832,6737
2023-09-29 15:45:00,75.744,75.768,75.722,75.758,8417
2023-09-29 15:44:00,75.784,75.813,75.732,75.748,8324
2023-09-29 15:43:00,75.739,75.788,75.737,75.778,13753
2023-09-29 15:42:00,75.715,75.753,75.697,75.743,6860
2023-09-29 15:41:00,75.749,75.763,75.702,75.718,8942
2023-09-29 15:40:00,75.754,75.768,75.727,75.758,8595
2023-09-29 15:39:00,75.705,75.773,75.688,75.763,8359
2023-09-29 15:38:00,75.734,75.763,75.702,75.713,4477
2023-09-29 15:37:00,75.715,75.788,75.712,75.758,4371
2023-09-29 15:36:00,75.685,75.724,75.683,75.708,6162
2023-09-29 15:35:00,75.69,75.701,75.648,75.689,7204
2023-09-29 15:34:00,75.715,75.744,75.692,75.708,8063
2023-09-29 15:33:00,75.754,75.763,75.692,75.708,3823
2023-09-29 15:32:00,75.774,75.793,75.732,75.763,9245
2023-09-29 15:31:00,75.774,75.803,75.772,75.785,7264
2023-09-29 15:30:00,75.823,75.832,75.742,75.773,10876
2023-09-29 15:29:00,75.883,75.897,75.826,75.832,6467
2023-09-29 15:28:00,75.873,75.912,75.87,75.896,13601
2023-09-29 15:27:00,75.912,75.921,75.87,75.876,5519
2023-09-29 15:26:00,75.991,76.001,75.9,75.911,7072
2023-09-29 15:25:00,76.001,76.01,75.984,75.995,3474
2023-09-29 15:24:00,75.942,76.001,75.93,75.995,6556
2023-09-29 15:23:00,75.991,76.001,75.94,75.956,235926
2023-09-29 15:22:00,76.071,76.09,75.989,75.995,4691
2023-09-29 15:21:00,76.061,76.109,76.048,76.074,10140
2023-09-29 15:20:00,76.12,76.139,76.058,76.064,9286
