,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,76.375,76.43,76.36,76.38,129500
2024-03-22 15:58:00,76.38,76.39,76.37,76.375,45020
2024-03-22 15:57:00,76.37,76.39,76.37,76.385,18246
2024-03-22 15:56:00,76.38,76.4,76.375,76.375,19705
2024-03-22 15:55:00,76.39,76.43,76.37,76.395,36080
2024-03-22 15:54:00,76.36,76.4,76.36,76.39,30528
2024-03-22 15:53:00,76.365,76.38,76.36,76.365,17770
2024-03-22 15:52:00,76.395,76.41,76.365,76.365,15645
2024-03-22 15:51:00,76.365,76.395,76.365,76.395,13027
2024-03-22 15:50:00,76.36,76.365,76.33,76.365,19475
2024-03-22 15:49:00,76.285,76.345,76.285,76.345,14588
2024-03-22 15:48:00,76.35,76.35,76.285,76.285,7922
2024-03-22 15:47:00,76.335,76.38,76.335,76.35,11126
2024-03-22 15:46:00,76.315,76.365,76.315,76.335,9229
2024-03-22 15:45:00,76.245,76.33,76.245,76.315,16548
2024-03-22 15:44:00,76.26,76.285,76.24,76.24,14036
2024-03-22 15:43:00,76.32,76.33,76.255,76.255,14779
2024-03-22 15:42:00,76.31,76.32,76.295,76.32,16817
2024-03-22 15:41:00,76.305,76.315,76.3,76.31,10497
2024-03-22 15:40:00,76.346,76.355,76.3,76.31,14100
2024-03-22 15:39:00,76.37,76.385,76.345,76.35,6505
2024-03-22 15:38:00,76.41,76.425,76.365,76.365,10443
2024-03-22 15:37:00,76.475,76.48,76.415,76.415,6545
2024-03-22 15:36:00,76.45,76.47,76.44,76.47,9468
2024-03-22 15:35:00,76.43,76.465,76.425,76.45,8648
2024-03-22 15:34:00,76.535,76.54,76.41,76.43,14327
2024-03-22 15:33:00,76.555,76.555,76.535,76.535,10733
2024-03-22 15:32:00,76.555,76.555,76.55,76.555,9450
2024-03-22 15:31:00,76.53,76.56,76.53,76.555,8424
2024-03-22 15:30:00,76.5,76.525,76.5,76.52,6998
2024-03-22 15:29:00,76.485,76.495,76.483,76.495,5677
2024-03-22 15:28:00,76.48,76.485,76.475,76.485,3854
2024-03-22 15:27:00,76.475,76.475,76.45,76.47,7215
2024-03-22 15:26:00,76.47,76.48,76.46,76.47,7065
2024-03-22 15:25:00,76.445,76.48,76.445,76.47,9571
2024-03-22 15:24:00,76.44,76.45,76.435,76.445,5708
2024-03-22 15:23:00,76.44,76.44,76.425,76.435,5896
2024-03-22 15:22:00,76.405,76.435,76.4,76.435,7375
2024-03-22 15:21:00,76.325,76.4,76.32,76.4,13566
2024-03-22 15:20:00,76.32,76.325,76.3,76.325,12304
2024-03-22 15:19:00,76.3,76.32,76.3,76.32,2803
2024-03-22 15:18:00,76.315,76.345,76.27,76.31,13466
2024-03-22 15:17:00,76.34,76.38,76.3,76.31,32651
2024-03-22 15:16:00,76.42,76.42,76.33,76.345,15130
2024-03-22 15:15:00,76.425,76.427,76.415,76.425,3233
2024-03-22 15:14:00,76.42,76.43,76.41,76.42,3948
2024-03-22 15:13:00,76.43,76.435,76.41,76.41,5371
2024-03-22 15:12:00,76.475,76.49,76.42,76.43,19244
2024-03-22 15:11:00,76.55,76.55,76.5,76.52,17400
2024-03-22 15:10:00,76.585,76.6,76.55,76.55,6854
2024-03-22 15:09:00,76.665,76.669,76.585,76.585,12554
2024-03-22 15:08:00,76.655,76.665,76.655,76.665,4062
2024-03-22 15:07:00,76.645,76.66,76.645,76.655,3272
2024-03-22 15:06:00,76.665,76.67,76.64,76.65,9448
2024-03-22 15:05:00,76.665,76.67,76.665,76.67,2136
2024-03-22 15:04:00,76.655,76.67,76.655,76.665,3385
2024-03-22 15:03:00,76.67,76.67,76.655,76.655,4069
2024-03-22 15:02:00,76.685,76.685,76.662,76.675,6152
2024-03-22 15:01:00,76.675,76.685,76.67,76.685,5244
2024-03-22 15:00:00,76.715,76.715,76.68,76.68,5276
2024-03-22 14:59:00,76.715,76.715,76.71,76.715,5445
2024-03-22 14:58:00,76.725,76.725,76.695,76.715,3961
2024-03-22 14:57:00,76.732,76.735,76.725,76.725,5810
2024-03-22 14:56:00,76.705,76.735,76.705,76.735,7169
2024-03-22 14:55:00,76.695,76.705,76.695,76.705,7143
2024-03-22 14:54:00,76.735,76.735,76.7,76.7,3341
2024-03-22 14:53:00,76.725,76.735,76.725,76.735,2084
2024-03-22 14:52:00,76.74,76.74,76.705,76.725,8243
2024-03-22 14:51:00,76.735,76.747,76.735,76.74,8065
2024-03-22 14:50:00,76.72,76.735,76.72,76.735,4023
2024-03-22 14:49:00,76.765,76.79,76.71,76.725,10702
2024-03-22 14:48:00,76.755,76.77,76.755,76.77,2165
2024-03-22 14:47:00,76.735,76.75,76.72,76.75,5732
2024-03-22 14:46:00,76.735,76.735,76.73,76.735,2813
2024-03-22 14:45:00,76.71,76.735,76.71,76.735,9408
2024-03-22 14:44:00,76.7,76.718,76.7,76.718,2624
2024-03-22 14:43:00,76.695,76.7,76.68,76.7,7372
2024-03-22 14:42:00,76.685,76.69,76.685,76.69,2001
2024-03-22 14:41:00,76.685,76.69,76.67,76.69,14454
2024-03-22 14:40:00,76.695,76.695,76.685,76.685,3989
2024-03-22 14:39:00,76.695,76.7,76.69,76.692,2528
2024-03-22 14:38:00,76.675,76.695,76.67,76.695,3768
2024-03-22 14:37:00,76.67,76.68,76.67,76.675,2926
2024-03-22 14:36:00,76.665,76.67,76.66,76.665,1235
2024-03-22 14:35:00,76.65,76.67,76.64,76.67,2810
2024-03-22 14:34:00,76.65,76.66,76.64,76.65,4710
2024-03-22 14:33:00,76.695,76.695,76.63,76.64,7167
2024-03-22 14:32:00,76.695,76.7,76.685,76.695,6185
2024-03-22 14:31:00,76.67,76.695,76.67,76.695,12314
2024-03-22 14:30:00,76.675,76.675,76.675,76.675,739
2024-03-22 14:29:00,76.67,76.675,76.67,76.675,1803
2024-03-22 14:28:00,76.655,76.665,76.65,76.66,2727
2024-03-22 14:27:00,76.655,76.655,76.65,76.65,3236
2024-03-22 14:26:00,76.635,76.65,76.63,76.65,5151
2024-03-22 14:25:00,76.625,76.635,76.625,76.635,6065
2024-03-22 14:24:00,76.625,76.625,76.61,76.62,2367
2024-03-22 14:23:00,76.59,76.625,76.59,76.62,4223
2024-03-22 14:22:00,76.595,76.6,76.59,76.59,2407
2024-03-22 14:21:00,76.59,76.59,76.59,76.59,4619
2024-03-22 14:20:00,76.56,76.585,76.56,76.585,1958
2024-03-22 14:19:00,76.56,76.56,76.545,76.555,3880
2024-03-22 14:18:00,76.555,76.57,76.555,76.57,3616
2024-03-22 14:17:00,76.55,76.55,76.55,76.55,1161
2024-03-22 14:16:00,76.56,76.575,76.545,76.55,4885
2024-03-22 14:15:00,76.58,76.585,76.57,76.57,4429
2024-03-22 14:14:00,76.575,76.59,76.575,76.585,4839
2024-03-22 14:13:00,76.59,76.59,76.56,76.58,4738
2024-03-22 14:12:00,76.6,76.6,76.59,76.59,2652
2024-03-22 14:11:00,76.59,76.605,76.59,76.605,7527
2024-03-22 14:10:00,76.56,76.595,76.55,76.59,4278
2024-03-22 14:09:00,76.581,76.595,76.56,76.565,4790
2024-03-22 14:08:00,76.58,76.585,76.58,76.585,1536
2024-03-22 14:07:00,76.59,76.595,76.565,76.57,6484
2024-03-22 14:06:00,76.585,76.61,76.55,76.61,32236
2024-03-22 14:05:00,76.605,76.605,76.58,76.59,3911
2024-03-22 14:04:00,76.595,76.61,76.59,76.61,3097
2024-03-22 14:03:00,76.61,76.613,76.59,76.59,3660
2024-03-22 14:02:00,76.605,76.615,76.605,76.615,1535
2024-03-22 14:01:00,76.615,76.615,76.605,76.605,3373
2024-03-22 14:00:00,76.622,76.63,76.61,76.615,8226
2024-03-22 13:59:00,76.607,76.62,76.6,76.62,4039
