,1. open,2. high,3. low,4. close,5. volume
2017-04-28 15:59:00,83.473,83.588,83.333,83.475,8759
2017-04-28 15:58:00,83.421,83.57,83.316,83.484,1300
2017-04-28 15:57:00,83.43,83.535,83.29,83.431,2639
2017-04-28 15:56:00,83.421,83.535,83.281,83.449,4159
2017-04-28 15:55:00,83.421,83.535,83.307,83.431,2340
2017-04-28 15:54:00,83.421,83.527,83.307,83.431,1707
2017-04-28 15:53:00,83.447,83.544,83.307,83.44,2503
2017-04-28 15:52:00,83.456,83.553,83.316,83.44,2457
2017-04-28 15:51:00,83.456,83.553,83.351,83.466,100
2017-04-28 15:50:00,83.438,83.553,83.325,83.466,1627
2017-04-28 15:49:00,83.43,83.527,83.316,83.44,1000
2017-04-28 15:48:00,83.421,83.518,83.307,83.431,2207
2017-04-28 15:47:00,83.421,83.518,83.316,83.431,203
2017-04-28 15:46:00,83.43,83.527,83.325,83.44,400
2017-04-28 15:45:00,83.482,83.579,83.316,83.431,1795
2017-04-28 15:44:00,83.534,83.631,83.398,83.514,1088
2017-04-28 15:43:00,83.534,83.631,83.429,83.544,300
2017-04-28 15:42:00,83.473,83.614,83.368,83.527,2106
2017-04-28 15:41:00,83.49,83.588,83.359,83.484,3093
2017-04-28 15:40:00,83.508,83.605,83.377,83.492,200
2017-04-28 15:39:00,83.516,83.614,83.411,83.527,100
2017-04-28 15:38:00,83.542,83.64,83.411,83.527,500
2017-04-28 15:37:00,83.525,83.64,83.403,83.553,1964
2017-04-28 15:36:00,83.534,83.631,83.42,83.536,450
2017-04-28 15:35:00,83.525,83.622,83.42,83.536,200
2017-04-28 15:34:00,83.542,83.666,83.437,83.579,1093
2017-04-28 15:33:00,83.534,83.64,83.429,83.553,400
2017-04-28 15:32:00,83.525,83.631,83.394,83.536,1550
2017-04-28 15:31:00,83.534,83.631,83.411,83.536,2300
2017-04-28 15:30:00,83.538,83.648,83.433,83.562,300
2017-04-28 15:29:00,83.56,83.657,83.437,83.553,600
2017-04-28 15:28:00,83.569,83.666,83.455,83.57,1002
2017-04-28 15:27:00,83.577,83.674,83.472,83.588,100
2017-04-28 15:26:00,83.569,83.683,83.463,83.588,1400
2017-04-28 15:25:00,83.586,83.687,83.472,83.588,500
2017-04-28 15:24:00,83.603,83.7,83.489,83.614,700
2017-04-28 15:23:00,83.569,83.692,83.463,83.605,1200
2017-04-28 15:22:00,83.577,83.674,83.472,83.588,921
2017-04-28 15:21:00,83.586,83.683,83.481,83.596,100
2017-04-28 15:20:00,83.586,83.692,83.481,83.596,1006
2017-04-28 15:19:00,83.577,83.674,83.472,83.588,100
2017-04-28 15:18:00,83.612,83.709,83.489,83.605,300
2017-04-28 15:17:00,83.629,83.726,83.507,83.622,600
2017-04-28 15:16:00,83.603,83.7,83.498,83.614,100
2017-04-28 15:15:00,83.603,83.7,83.489,83.605,200
2017-04-28 15:14:00,83.621,83.718,83.515,83.631,500
2017-04-28 15:13:00,83.612,83.709,83.498,83.614,470
2017-04-28 15:12:00,83.621,83.718,83.515,83.631,200
2017-04-28 15:11:00,83.612,83.709,83.507,83.622,400
2017-04-28 15:10:00,83.603,83.709,83.498,83.614,768
2017-04-28 15:09:00,83.603,83.709,83.498,83.622,200
2017-04-28 15:08:00,83.586,83.683,83.463,83.596,1114
2017-04-28 15:07:00,83.586,83.692,83.481,83.605,600
2017-04-28 15:06:00,83.577,83.674,83.472,83.588,100
2017-04-28 15:05:00,83.577,83.674,83.472,83.588,262
2017-04-28 15:04:00,83.525,83.666,83.42,83.579,812
2017-04-28 15:03:00,83.525,83.622,83.42,83.536,100
2017-04-28 15:02:00,83.542,83.64,83.437,83.553,315
2017-04-28 15:01:00,83.516,83.614,83.411,83.527,299
2017-04-28 15:00:00,83.551,83.648,83.429,83.544,300
2017-04-28 14:59:00,83.534,83.631,83.429,83.544,100
2017-04-28 14:58:00,83.569,83.666,83.463,83.579,200
2017-04-28 14:57:00,83.569,83.674,83.463,83.579,1000
2017-04-28 14:56:00,83.534,83.64,83.42,83.553,991
2017-04-28 14:55:00,83.551,83.648,83.446,83.562,305
2017-04-28 14:54:00,83.542,83.674,83.437,83.588,200
2017-04-28 14:53:00,83.551,83.666,83.446,83.562,1300
2017-04-28 14:52:00,83.542,83.648,83.437,83.562,300
2017-04-28 14:51:00,83.56,83.666,83.446,83.562,1381
2017-04-28 14:50:00,83.542,83.674,83.437,83.588,400
2017-04-28 14:48:00,83.569,83.666,83.463,83.579,595
2017-04-28 14:47:00,83.569,83.674,83.463,83.588,300
2017-04-28 14:46:00,83.542,83.64,83.437,83.553,100
2017-04-28 14:44:00,83.56,83.657,83.455,83.57,200
2017-04-28 14:43:00,83.586,83.683,83.463,83.579,561
2017-04-28 14:42:00,83.603,83.7,83.498,83.614,200
2017-04-28 14:41:00,83.595,83.692,83.481,83.596,400
2017-04-28 14:40:00,83.569,83.674,83.463,83.579,576
2017-04-28 14:39:00,83.542,83.64,83.437,83.553,100
2017-04-28 14:37:00,83.525,83.657,83.42,83.57,900
2017-04-28 14:36:00,83.508,83.631,83.403,83.536,1100
2017-04-28 14:35:00,83.506,83.603,83.4,83.516,100
2017-04-28 14:33:00,83.49,83.588,83.377,83.492,200
2017-04-28 14:32:00,83.456,83.596,83.351,83.51,1300
2017-04-28 14:31:00,83.464,83.562,83.359,83.475,100
2017-04-28 14:28:00,83.464,83.562,83.359,83.475,100
2017-04-28 14:27:00,83.49,83.588,83.377,83.492,451
2017-04-28 14:24:00,83.49,83.596,83.385,83.51,1000
2017-04-28 14:23:00,83.508,83.605,83.403,83.518,100
2017-04-28 14:22:00,83.508,83.605,83.403,83.518,100
2017-04-28 14:21:00,83.49,83.605,83.385,83.51,600
2017-04-28 14:19:00,83.49,83.588,83.385,83.501,100
2017-04-28 14:17:00,83.525,83.622,83.398,83.514,500
2017-04-28 14:16:00,83.496,83.593,83.391,83.507,102
2017-04-28 14:10:00,83.56,83.657,83.455,83.57,200
2017-04-28 14:09:00,83.551,83.666,83.446,83.562,886
2017-04-28 14:06:00,83.499,83.64,83.394,83.536,1602
2017-04-28 14:05:00,83.551,83.648,83.403,83.518,999
2017-04-28 14:04:00,83.516,83.614,83.411,83.527,295
2017-04-28 14:02:00,83.499,83.657,83.381,83.544,2120
2017-04-28 14:01:00,83.464,83.562,83.359,83.475,100
2017-04-28 14:00:00,83.49,83.588,83.385,83.501,100
2017-04-28 13:58:00,83.473,83.57,83.368,83.484,100
2017-04-28 13:55:00,83.521,83.618,83.368,83.497,2360
2017-04-28 13:54:00,83.508,83.614,83.394,83.527,700
2017-04-28 13:53:00,83.482,83.579,83.377,83.492,100
2017-04-28 13:52:00,83.49,83.588,83.377,83.501,600
2017-04-28 13:51:00,83.499,83.596,83.385,83.51,1174
2017-04-28 13:50:00,83.464,83.562,83.359,83.475,100
2017-04-28 13:48:00,83.495,83.592,83.359,83.475,200
2017-04-28 13:44:00,83.499,83.596,83.394,83.51,226
2017-04-28 13:42:00,83.542,83.64,83.403,83.518,320
2017-04-28 13:41:00,83.534,83.648,83.429,83.562,600
2017-04-28 13:40:00,83.525,83.622,83.416,83.531,400
2017-04-28 13:39:00,83.516,83.622,83.385,83.514,1292
2017-04-28 13:38:00,83.49,83.609,83.377,83.492,300
2017-04-28 13:36:00,83.507,83.605,83.402,83.518,184
2017-04-28 13:35:00,83.525,83.622,83.403,83.518,400
2017-04-28 13:34:00,83.534,83.648,83.429,83.562,500
2017-04-28 13:33:00,83.525,83.631,83.42,83.544,300
2017-04-28 13:32:00,83.516,83.614,83.411,83.527,400
2017-04-28 13:31:00,83.508,83.605,83.403,83.518,100
2017-04-28 13:30:00,83.49,83.588,83.385,83.501,300
2017-04-28 13:29:00,83.482,83.605,83.377,83.51,700
2017-04-28 13:28:00,83.482,83.579,83.377,83.492,100
2017-04-28 13:27:00,83.473,83.57,83.368,83.484,100
2017-04-28 13:26:00,83.482,83.579,83.377,83.492,100
2017-04-28 13:24:00,83.499,83.596,83.394,83.51,100
2017-04-28 13:23:00,83.482,83.605,83.364,83.518,600
2017-04-28 13:20:00,83.464,83.562,83.342,83.458,200
2017-04-28 13:19:00,83.456,83.553,83.338,83.458,1600
2017-04-28 13:18:00,83.482,83.579,83.364,83.479,400
2017-04-28 13:17:00,83.464,83.562,83.359,83.475,100
2017-04-28 13:16:00,83.438,83.583,83.333,83.458,3003
2017-04-28 13:15:00,83.473,83.57,83.368,83.484,100
2017-04-28 13:14:00,83.456,83.579,83.351,83.492,3366
2017-04-28 13:13:00,83.456,83.553,83.351,83.466,100
2017-04-28 13:12:00,83.438,83.57,83.333,83.484,5000
2017-04-28 13:11:00,83.456,83.553,83.351,83.466,100
2017-04-28 13:10:00,83.456,83.562,83.333,83.449,1000
2017-04-28 13:09:00,83.447,83.544,83.342,83.458,301
2017-04-28 13:06:00,83.49,83.588,83.385,83.501,220
2017-04-28 13:04:00,83.508,83.614,83.394,83.527,1434
2017-04-28 13:03:00,83.464,83.562,83.359,83.475,212
2017-04-28 13:02:00,83.343,83.535,83.238,83.449,1837
2017-04-28 13:00:00,83.386,83.483,83.281,83.397,514
2017-04-28 12:58:00,83.404,83.501,83.299,83.414,100
2017-04-28 12:56:00,83.421,83.518,83.316,83.431,200
2017-04-28 12:55:00,83.386,83.509,83.281,83.397,1200
2017-04-28 12:53:00,83.386,83.483,83.281,83.397,300
2017-04-28 12:52:00,83.378,83.475,83.264,83.382,473
2017-04-28 12:51:00,83.386,83.483,83.281,83.397,200
2017-04-28 12:50:00,83.421,83.518,83.316,83.431,100
2017-04-28 12:49:00,83.421,83.518,83.316,83.431,300
2017-04-28 12:48:00,83.447,83.544,83.342,83.458,100
2017-04-28 12:47:00,83.438,83.535,83.333,83.449,208
2017-04-28 12:45:00,83.43,83.527,83.325,83.44,100
2017-04-28 12:44:00,83.482,83.579,83.342,83.474,700
2017-04-28 12:42:00,83.49,83.588,83.385,83.501,100
2017-04-28 12:40:00,83.49,83.588,83.385,83.501,215
2017-04-28 12:38:00,83.525,83.622,83.411,83.536,500
2017-04-28 12:37:00,83.525,83.644,83.42,83.557,200
2017-04-28 12:35:00,83.525,83.622,83.42,83.536,100
2017-04-28 12:33:00,83.551,83.648,83.437,83.553,300
2017-04-28 12:32:00,83.56,83.666,83.446,83.57,1083
2017-04-28 12:28:00,83.56,83.657,83.455,83.57,200
2017-04-28 12:27:00,83.56,83.657,83.455,83.57,100
2017-04-28 12:25:00,83.577,83.674,83.472,83.588,300
2017-04-28 12:24:00,83.595,83.692,83.489,83.605,573
2017-04-28 12:23:00,83.569,83.718,83.463,83.631,1000
2017-04-28 12:20:00,83.569,83.666,83.463,83.579,100
2017-04-28 12:19:00,83.569,83.666,83.463,83.579,150
2017-04-28 12:18:00,83.569,83.666,83.463,83.579,100
2017-04-28 12:17:00,83.56,83.666,83.455,83.579,300
2017-04-28 12:16:00,83.56,83.657,83.455,83.57,100
2017-04-28 12:14:00,83.577,83.674,83.472,83.588,100
2017-04-28 12:12:00,83.595,83.692,83.489,83.605,790
2017-04-28 12:10:00,83.595,83.705,83.489,83.618,723
2017-04-28 12:09:00,83.573,83.67,83.468,83.583,300
2017-04-28 12:08:00,83.551,83.674,83.446,83.588,200
2017-04-28 12:05:00,83.595,83.692,83.489,83.605,200
2017-04-28 12:04:00,83.569,83.666,83.459,83.575,552
2017-04-28 12:01:00,83.569,83.683,83.463,83.596,546
2017-04-28 12:00:00,83.508,83.64,83.403,83.544,300
2017-04-28 11:59:00,83.508,83.605,83.403,83.518,100
2017-04-28 11:58:00,83.542,83.64,83.437,83.553,200
2017-04-28 11:57:00,83.542,83.64,83.437,83.553,100
2017-04-28 11:56:00,83.586,83.683,83.455,83.57,800
2017-04-28 11:52:00,83.612,83.709,83.507,83.622,100
2017-04-28 11:51:00,83.56,83.692,83.455,83.605,600
2017-04-28 11:50:00,83.551,83.648,83.446,83.562,100
2017-04-28 11:49:00,83.569,83.666,83.455,83.57,400
2017-04-28 11:48:00,83.582,83.679,83.476,83.592,100
2017-04-28 11:47:00,83.577,83.674,83.472,83.588,300
2017-04-28 11:46:00,83.534,83.666,83.429,83.579,1000
2017-04-28 11:45:00,83.508,83.614,83.385,83.518,500
2017-04-28 11:44:00,83.56,83.657,83.42,83.536,800
2017-04-28 11:43:00,83.586,83.683,83.481,83.596,590
2017-04-28 11:42:00,83.586,83.7,83.481,83.614,800
2017-04-28 11:41:00,83.534,83.674,83.429,83.588,300
2017-04-28 11:40:00,83.525,83.622,83.42,83.536,100
2017-04-28 11:39:00,83.551,83.648,83.42,83.536,443
2017-04-28 11:38:00,83.56,83.657,83.446,83.562,200
2017-04-28 11:35:00,83.595,83.692,83.489,83.605,300
2017-04-28 11:34:00,83.595,83.692,83.481,83.596,850
2017-04-28 11:33:00,83.603,83.7,83.489,83.605,400
2017-04-28 11:30:00,83.638,83.735,83.515,83.631,1000
2017-04-28 11:29:00,83.638,83.735,83.533,83.648,100
2017-04-28 11:27:00,83.661,83.758,83.555,83.671,200
2017-04-28 11:25:00,83.621,83.753,83.515,83.666,200
2017-04-28 11:22:00,83.634,83.731,83.498,83.614,700
2017-04-28 11:19:00,83.638,83.735,83.533,83.648,100
2017-04-28 11:18:00,83.612,83.709,83.507,83.622,200
2017-04-28 11:17:00,83.551,83.692,83.446,83.605,700
2017-04-28 11:16:00,83.516,83.614,83.403,83.518,300
2017-04-28 11:15:00,83.551,83.648,83.446,83.562,100
2017-04-28 11:13:00,83.512,83.657,83.394,83.57,6244
2017-04-28 11:12:00,83.508,83.622,83.385,83.523,4800
2017-04-28 11:11:00,83.569,83.666,83.446,83.562,400
2017-04-28 11:10:00,83.603,83.7,83.481,83.596,200
2017-04-28 11:09:00,83.603,83.7,83.498,83.614,100
2017-04-28 11:08:00,83.647,83.744,83.498,83.614,900
2017-04-28 11:04:00,83.638,83.761,83.533,83.674,800
2017-04-28 11:03:00,83.638,83.735,83.533,83.648,100
2017-04-28 10:59:00,83.595,83.692,83.489,83.605,100
2017-04-28 10:58:00,83.629,83.726,83.524,83.64,200
2017-04-28 10:56:00,83.638,83.761,83.498,83.614,900
2017-04-28 10:55:00,83.673,83.77,83.567,83.683,100
2017-04-28 10:54:00,83.629,83.779,83.524,83.692,800
2017-04-28 10:53:00,83.612,83.709,83.507,83.622,300
2017-04-28 10:52:00,83.595,83.692,83.463,83.579,500
2017-04-28 10:48:00,83.577,83.674,83.472,83.588,100
2017-04-28 10:47:00,83.595,83.692,83.489,83.605,100
2017-04-28 10:45:00,83.638,83.735,83.524,83.64,400
2017-04-28 10:44:00,83.647,83.744,83.541,83.657,100
2017-04-28 10:43:00,83.707,83.805,83.559,83.674,1100
2017-04-28 10:42:00,83.681,83.796,83.559,83.674,900
2017-04-28 10:38:00,83.673,83.77,83.567,83.683,100
2017-04-28 10:37:00,83.707,83.805,83.602,83.718,400
2017-04-28 10:36:00,83.707,83.805,83.576,83.692,900
2017-04-28 10:35:00,83.707,83.805,83.567,83.692,300
2017-04-28 10:33:00,83.72,83.818,83.615,83.731,200
2017-04-28 10:30:00,83.82,83.918,83.671,83.787,708
2017-04-28 10:29:00,83.863,83.961,83.714,83.831,700
2017-04-28 10:26:00,83.872,83.97,83.758,83.874,200
2017-04-28 10:24:00,83.855,83.978,83.749,83.891,543
2017-04-28 10:22:00,83.889,83.987,83.784,83.9,100
2017-04-28 10:21:00,83.967,84.065,83.849,83.978,1600
2017-04-28 10:19:00,83.872,83.97,83.766,83.883,400
2017-04-28 10:18:00,83.915,84.013,83.81,83.926,200
2017-04-28 10:16:00,83.976,84.074,83.87,83.987,100
2017-04-28 10:15:00,83.985,84.083,83.879,83.995,100
2017-04-28 10:14:00,84.02,84.117,83.905,84.021,200
2017-04-28 10:12:00,84.037,84.135,83.931,84.047,100
2017-04-28 10:10:00,84.011,84.109,83.905,84.021,100
2017-04-28 10:09:00,84.033,84.13,83.927,84.043,200
2017-04-28 10:08:00,83.985,84.083,83.879,83.995,100
2017-04-28 10:06:00,84.046,84.143,83.922,84.039,300
2017-04-28 10:05:00,84.106,84.204,84.0,84.117,400
2017-04-28 10:04:00,84.072,84.169,83.931,84.047,495
2017-04-28 10:02:00,84.115,84.213,83.992,84.108,400
2017-04-28 10:01:00,84.046,84.204,83.94,84.082,1200
2017-04-28 10:00:00,84.158,84.256,83.888,84.021,900
2017-04-28 09:59:00,84.21,84.317,84.104,84.23,400
2017-04-28 09:58:00,84.098,84.23,83.961,84.125,600
2017-04-28 09:57:00,84.054,84.152,83.948,84.064,148
2017-04-28 09:55:00,84.02,84.117,83.905,84.021,400
2017-04-28 09:51:00,84.028,84.126,83.922,84.039,400
2017-04-28 09:50:00,83.994,84.126,83.888,84.038,400
2017-04-28 09:48:00,83.933,84.083,83.827,83.995,800
2017-04-28 09:47:00,84.028,84.126,83.879,83.995,963
2017-04-28 09:46:00,84.054,84.169,83.948,84.082,300
2017-04-28 09:45:00,84.002,84.1,83.896,84.013,100
2017-04-28 09:44:00,84.189,84.287,84.083,84.199,100
2017-04-28 09:42:00,84.141,84.239,84.035,84.151,102
2017-04-28 09:41:00,84.098,84.195,83.992,84.108,100
2017-04-28 09:36:00,84.046,84.143,83.94,84.056,100
2017-04-28 09:35:00,83.933,84.187,83.827,84.099,500
2017-04-28 09:31:00,83.837,83.935,83.732,83.848,100
2017-04-28 09:30:00,84.158,84.256,83.983,84.099,4774
2017-04-27 15:59:00,84.228,84.36,84.122,84.264,2361
2017-04-27 15:58:00,84.167,84.326,84.061,84.23,2183
2017-04-27 15:57:00,84.184,84.282,84.044,84.178,1100
2017-04-27 15:56:00,84.202,84.3,84.087,84.204,766
2017-04-27 15:55:00,84.228,84.326,84.096,84.238,901
2017-04-27 15:54:00,84.236,84.334,84.104,84.23,858
2017-04-27 15:53:00,84.219,84.334,84.113,84.247,300
2017-04-27 15:52:00,84.184,84.308,84.078,84.221,1101
2017-04-27 15:51:00,84.202,84.3,84.061,84.178,1436
2017-04-27 15:50:00,84.254,84.352,84.113,84.23,905
2017-04-27 15:48:00,84.262,84.369,84.156,84.282,400
2017-04-27 15:47:00,84.271,84.369,84.13,84.247,400
2017-04-27 15:46:00,84.306,84.404,84.165,84.299,1196
2017-04-27 15:45:00,84.306,84.412,84.191,84.325,2447
2017-04-27 15:44:00,84.332,84.439,84.208,84.334,1386
2017-04-27 15:43:00,84.332,84.439,84.226,84.351,500
2017-04-27 15:42:00,84.332,84.439,84.217,84.351,700
2017-04-27 15:41:00,84.306,84.412,84.2,84.325,906
2017-04-27 15:40:00,84.254,84.395,84.148,84.308,500
2017-04-27 15:39:00,84.267,84.365,84.132,84.248,200
2017-04-27 15:38:00,84.306,84.404,84.174,84.29,500
2017-04-27 15:37:00,84.332,84.43,84.226,84.342,223
2017-04-27 15:36:00,84.323,84.421,84.2,84.316,500
2017-04-27 15:35:00,84.34,84.439,84.208,84.325,600
2017-04-27 15:34:00,84.323,84.439,84.217,84.351,200
2017-04-27 15:33:00,84.349,84.447,84.195,84.316,2104
2017-04-27 15:32:00,84.34,84.456,84.234,84.357,344
2017-04-27 15:31:00,84.34,84.456,84.234,84.36,1600
2017-04-27 15:30:00,84.34,84.439,84.226,84.342,600
2017-04-27 15:29:00,84.332,84.447,84.226,84.36,200
2017-04-27 15:28:00,84.34,84.439,84.2,84.318,1500
2017-04-27 15:27:00,84.349,84.447,84.243,84.36,200
2017-04-27 15:26:00,84.332,84.43,84.226,84.342,100
2017-04-27 15:25:00,84.358,84.456,84.2,84.325,2544
2017-04-27 15:24:00,84.34,84.465,84.234,84.377,300
2017-04-27 15:23:00,84.353,84.452,84.217,84.334,1000
2017-04-27 15:22:00,84.358,84.456,84.252,84.368,100
2017-04-27 15:21:00,84.34,84.439,84.208,84.342,1300
2017-04-27 15:20:00,84.297,84.43,84.191,84.342,492
2017-04-27 15:19:00,84.323,84.421,84.201,84.318,496
2017-04-27 15:17:00,84.366,84.465,84.156,84.334,2668
2017-04-27 15:16:00,84.366,84.482,84.26,84.386,400
2017-04-27 15:15:00,84.332,84.43,84.226,84.342,100
2017-04-27 15:13:00,84.297,84.421,84.191,84.334,300
2017-04-27 15:12:00,84.297,84.395,84.191,84.308,100
2017-04-27 15:10:00,84.288,84.404,84.182,84.316,551
2017-04-27 15:08:00,84.245,84.343,84.113,84.238,800
2017-04-27 15:07:00,84.219,84.334,84.096,84.212,400
