,1. open,2. high,3. low,4. close,5. volume
2021-11-30 15:59:00,144.569,144.798,144.092,144.252,235308
2021-11-30 15:58:00,144.314,144.798,144.288,144.625,99602
2021-11-30 15:57:00,144.206,144.386,143.945,144.35,92652
2021-11-30 15:56:00,144.148,144.347,144.082,144.233,64424
2021-11-30 15:55:00,143.981,144.308,143.808,144.174,78022
2021-11-30 15:54:00,144.187,144.328,143.798,144.017,64476
2021-11-30 15:53:00,144.481,144.534,144.043,144.218,30304
2021-11-30 15:52:00,144.726,144.896,144.386,144.517,26356
2021-11-30 15:51:00,145.0,145.073,144.709,144.772,15908
2021-11-30 15:50:00,145.314,145.367,144.768,145.046,40654
2021-11-30 15:49:00,145.657,145.729,145.209,145.311,15822
2021-11-30 15:48:00,145.784,145.877,145.591,145.683,16953
2021-11-30 15:47:00,145.853,145.911,145.708,145.776,7574
2021-11-30 15:46:00,145.804,145.955,145.699,145.869,8181
2021-11-30 15:45:00,145.735,145.994,145.64,145.84,10719
2021-11-30 15:44:00,145.657,145.847,145.62,145.762,10988
2021-11-30 15:43:00,145.608,145.769,145.522,145.673,12758
2021-11-30 15:42:00,145.618,145.71,145.552,145.624,7009
2021-11-30 15:41:00,145.686,145.798,145.576,145.654,7187
2021-11-30 15:40:00,145.549,145.759,145.503,145.683,19602
2021-11-30 15:39:00,145.598,145.661,145.454,145.575,17192
2021-11-30 15:38:00,145.402,145.685,145.375,145.624,11678
2021-11-30 15:37:00,145.422,145.494,145.326,145.448,6948
2021-11-30 15:36:00,145.275,145.465,145.248,145.409,6790
2021-11-30 15:35:00,145.392,145.475,145.228,145.272,16363
2021-11-30 15:34:00,145.382,145.543,145.297,145.438,18745
2021-11-30 15:33:00,145.258,145.455,145.231,145.37,15637
2021-11-30 15:32:00,145.059,145.288,145.032,145.252,10423
2021-11-30 15:31:00,144.863,145.112,144.827,145.056,12166
2021-11-30 15:30:00,144.687,144.926,144.621,144.87,10970
2021-11-30 15:29:00,144.863,144.916,144.631,144.703,7108
2021-11-30 15:28:00,144.785,144.911,144.738,144.87,7602
2021-11-30 15:27:00,144.716,144.906,144.67,144.782,7036
2021-11-30 15:26:00,144.677,144.867,144.621,144.713,11637
2021-11-30 15:25:00,144.888,144.955,144.64,144.684,9120
2021-11-30 15:24:00,145.088,145.141,144.827,144.919,10956
2021-11-30 15:23:00,145.147,145.22,145.072,145.115,5825
2021-11-30 15:22:00,145.118,145.249,145.081,145.174,11209
2021-11-30 15:21:00,145.304,145.357,145.109,145.152,9982
2021-11-30 15:20:00,145.363,145.455,145.268,145.311,4568
2021-11-30 15:19:00,145.289,145.484,145.263,145.399,3454
2021-11-30 15:18:00,145.255,145.416,145.199,145.301,12088
2021-11-30 15:17:00,145.235,145.318,145.155,145.257,8871
2021-11-30 15:16:00,145.206,145.326,145.16,145.277,6929
2021-11-30 15:15:00,145.206,145.298,145.15,145.232,6713
2021-11-30 15:14:00,145.162,145.305,145.125,145.223,7721
2021-11-30 15:13:00,145.226,145.332,145.125,145.183,6046
2021-11-30 15:12:00,145.186,145.308,145.16,145.232,5155
2021-11-30 15:11:00,145.128,145.345,145.081,145.272,6168
2021-11-30 15:10:00,145.128,145.239,144.993,145.154,12791
2021-11-30 15:09:00,145.324,145.396,144.984,145.105,21846
2021-11-30 15:08:00,145.343,145.416,145.268,145.34,9218
2021-11-30 15:07:00,145.412,145.494,145.307,145.384,5124
2021-11-30 15:06:00,145.48,145.545,145.326,145.37,4861
2021-11-30 15:05:00,145.529,145.592,145.414,145.468,3400
2021-11-30 15:04:00,145.431,145.612,145.396,145.546,4400
2021-11-30 15:03:00,145.324,145.524,145.258,145.468,6307
2021-11-30 15:02:00,145.382,145.435,145.199,145.33,5631
2021-11-30 15:01:00,145.451,145.514,145.346,145.419,5937
2021-11-30 15:00:00,145.235,145.494,145.17,145.458,7773
2021-11-30 14:59:00,145.167,145.327,145.081,145.291,5802
2021-11-30 14:58:00,145.128,145.249,145.081,145.198,4464
2021-11-30 14:57:00,144.932,145.185,144.905,145.085,4995
2021-11-30 14:56:00,144.886,145.033,144.827,144.958,8325
2021-11-30 14:55:00,144.843,144.98,144.778,144.929,6667
2021-11-30 14:54:00,144.765,144.948,144.709,144.88,3843
2021-11-30 14:53:00,144.794,144.975,144.699,144.811,7319
2021-11-30 14:52:00,144.971,145.033,144.778,144.821,5494
2021-11-30 14:51:00,145.01,145.082,144.934,145.007,3855
2021-11-30 14:50:00,145.015,145.153,144.827,145.007,13712
2021-11-30 14:49:00,145.186,145.279,144.954,145.027,8148
2021-11-30 14:48:00,145.294,145.377,145.13,145.174,3400
2021-11-30 14:47:00,145.328,145.455,145.248,145.311,5067
2021-11-30 14:46:00,145.294,145.435,145.228,145.35,6352
2021-11-30 14:45:00,145.554,145.631,145.277,145.345,3713
2021-11-30 14:44:00,145.549,145.622,145.434,145.575,5508
2021-11-30 14:43:00,145.539,145.622,145.424,145.546,4414
2021-11-30 14:42:00,145.696,145.837,145.444,145.574,5466
2021-11-30 14:41:00,145.833,145.886,145.612,145.656,4047
2021-11-30 14:40:00,145.716,145.926,145.689,145.869,5720
2021-11-30 14:39:00,145.931,146.004,145.645,145.703,7662
2021-11-30 14:38:00,146.049,146.102,145.885,145.948,11345
2021-11-30 14:37:00,146.0,146.151,145.963,146.036,15517
2021-11-30 14:36:00,145.882,146.043,145.767,145.977,18669
2021-11-30 14:35:00,145.853,145.975,145.756,145.928,11158
2021-11-30 14:34:00,145.784,145.955,145.728,145.879,13930
2021-11-30 14:33:00,145.608,145.837,145.581,145.786,13601
2021-11-30 14:32:00,145.774,145.828,145.561,145.61,6544
2021-11-30 14:31:00,145.627,145.847,145.601,145.767,10893
2021-11-30 14:30:00,145.471,145.666,145.346,145.615,23813
2021-11-30 14:29:00,145.505,145.636,145.434,145.507,13241
2021-11-30 14:28:00,145.529,145.592,145.414,145.483,6585
2021-11-30 14:27:00,145.343,145.602,145.297,145.526,4817
2021-11-30 14:26:00,145.559,145.725,145.307,145.355,16252
2021-11-30 14:25:00,145.304,145.617,145.258,145.566,12901
2021-11-30 14:24:00,145.247,145.406,145.219,145.33,4650
2021-11-30 14:23:00,145.273,145.396,145.219,145.262,7132
2021-11-30 14:22:00,145.191,145.367,145.126,145.311,11739
2021-11-30 14:21:00,145.201,145.288,145.129,145.227,7706
2021-11-30 14:20:00,145.137,145.249,145.072,145.213,40869
2021-11-30 14:19:00,145.03,145.19,144.963,145.134,10314
2021-11-30 14:18:00,144.976,145.132,144.949,145.056,7901
2021-11-30 14:17:00,145.226,145.298,144.954,144.997,15495
2021-11-30 14:16:00,145.328,145.398,145.199,145.26,9584
2021-11-30 14:15:00,145.294,145.505,145.248,145.321,41273
2021-11-30 14:14:00,145.23,145.357,145.17,145.311,20116
2021-11-30 14:13:00,145.128,145.308,145.101,145.223,5646
2021-11-30 14:12:00,145.178,145.279,145.072,145.134,5905
2021-11-30 14:11:00,144.99,145.328,144.944,145.193,58085
2021-11-30 14:10:00,144.961,145.033,144.9,144.997,13837
2021-11-30 14:09:00,145.098,145.151,144.925,144.987,13516
2021-11-30 14:08:00,145.0,145.19,144.959,145.125,52120
2021-11-30 14:07:00,144.981,145.082,144.881,145.017,68011
2021-11-30 14:06:00,145.03,145.122,144.895,144.958,40482
2021-11-30 14:05:00,145.226,145.279,144.954,145.066,8583
2021-11-30 14:04:00,145.079,145.298,145.052,145.252,14439
2021-11-30 14:03:00,145.108,145.308,145.013,145.056,9996
2021-11-30 14:02:00,145.216,145.318,145.072,145.13,7094
2021-11-30 14:01:00,145.392,145.445,145.121,145.223,9518
2021-11-30 14:00:00,145.539,145.592,145.336,145.379,14823
2021-11-30 13:59:00,145.382,145.622,145.356,145.57,7377
2021-11-30 13:58:00,145.275,145.435,145.248,145.379,5483
2021-11-30 13:57:00,145.353,145.435,145.204,145.272,3967
2021-11-30 13:56:00,145.382,145.455,145.307,145.375,4271
2021-11-30 13:55:00,145.461,145.524,145.366,145.428,14361
2021-11-30 13:54:00,145.333,145.553,145.297,145.517,17975
