,1. open,2. high,3. low,4. close,5. volume
2020-08-31 15:59:00,148.094,148.293,147.635,147.758,39519
2020-08-31 15:58:00,147.896,148.217,147.767,148.097,10032
2020-08-31 15:57:00,147.915,148.057,147.757,147.92,6372
2020-08-31 15:56:00,148.226,148.359,147.861,147.956,4300
2020-08-31 15:55:00,148.33,148.462,148.03,148.21,5159
2020-08-31 15:54:00,148.518,148.651,148.256,148.361,4894
2020-08-31 15:53:00,148.415,148.726,148.332,148.559,5100
2020-08-31 15:52:00,148.424,148.575,148.294,148.455,2977
2020-08-31 15:51:00,148.433,148.632,148.341,148.455,2089
2020-08-31 15:50:00,148.791,148.924,148.426,148.521,4878
2020-08-31 15:49:00,148.688,149.0,148.595,148.879,4300
2020-08-31 15:48:00,148.678,148.83,148.492,148.709,1782
2020-08-31 15:47:00,148.669,148.825,148.529,148.672,1800
2020-08-31 15:46:00,148.504,148.839,148.407,148.7,3517
2020-08-31 15:45:00,148.386,148.651,148.3,148.521,4537
2020-08-31 15:44:00,148.339,148.519,148.256,148.389,400
2020-08-31 15:43:00,148.273,148.467,148.19,148.347,1665
2020-08-31 15:42:00,148.245,148.396,148.087,148.257,2300
2020-08-31 15:41:00,148.32,148.455,148.134,148.267,3200
2020-08-31 15:40:00,148.292,148.481,148.2,148.356,1703
2020-08-31 15:39:00,148.32,148.462,148.171,148.323,1300
2020-08-31 15:38:00,148.254,148.547,148.171,148.408,2200
2020-08-31 15:37:00,148.424,148.557,148.124,148.219,2500
2020-08-31 15:36:00,148.33,148.566,148.228,148.446,1124
2020-08-31 15:35:00,148.273,148.491,148.181,148.337,1812
2020-08-31 15:34:00,148.245,148.392,148.148,148.271,725
2020-08-31 15:33:00,148.236,148.415,148.153,148.248,900
2020-08-31 15:32:00,148.226,148.387,148.143,148.262,1007
2020-08-31 15:31:00,148.217,148.359,148.087,148.229,600
2020-08-31 15:30:00,148.396,148.538,148.171,148.285,1100
2020-08-31 15:29:00,148.386,148.594,148.294,148.417,2000
2020-08-31 15:28:00,148.311,148.462,148.228,148.337,507
2020-08-31 15:27:00,148.358,148.491,148.2,148.295,1200
2020-08-31 15:26:00,148.273,148.481,148.19,148.361,1000
2020-08-31 15:25:00,148.188,148.406,148.106,148.285,700
2020-08-31 15:24:00,148.203,148.359,148.096,148.21,1000
2020-08-31 15:23:00,148.141,148.321,148.058,148.201,500
2020-08-31 15:22:00,148.188,148.349,148.058,148.229,1509
2020-08-31 15:21:00,148.264,148.396,148.077,148.172,600
2020-08-31 15:20:00,148.198,148.415,148.04,148.295,1800
