,1. open,2. high,3. low,4. close,5. volume
2013-08-30 15:59:00,55.783,55.967,55.655,55.775,64225
2013-08-30 15:58:00,55.759,55.887,55.631,55.781,14674
2013-08-30 15:57:00,55.727,55.863,55.599,55.759,14702
2013-08-30 15:56:00,55.723,55.83,55.599,55.718,7594
2013-08-30 15:55:00,55.711,55.839,55.591,55.726,15809
2013-08-30 15:54:00,55.727,55.83,55.575,55.706,19536
2013-08-30 15:53:00,55.711,55.822,55.583,55.718,38060
2013-08-30 15:52:00,55.703,55.822,55.583,55.718,23513
2013-08-30 15:51:00,55.719,55.824,55.583,55.702,21647
2013-08-30 15:50:00,55.719,55.829,55.599,55.718,13075
2013-08-30 15:49:00,55.727,55.83,55.595,55.718,8540
2013-08-30 15:48:00,55.727,55.83,55.583,55.726,13194
2013-08-30 15:47:00,55.695,55.822,55.559,55.718,13966
2013-08-30 15:46:00,55.695,55.806,55.567,55.694,6000
2013-08-30 15:45:00,55.67,55.798,55.535,55.694,19828
2013-08-30 15:44:00,55.735,55.855,55.559,55.678,41599
2013-08-30 15:43:00,55.719,55.839,55.599,55.734,16307
2013-08-30 15:42:00,55.751,55.855,55.599,55.718,3724
2013-08-30 15:41:00,55.767,55.871,55.631,55.751,4383
2013-08-30 15:40:00,55.743,55.879,55.623,55.759,7565
2013-08-30 15:39:00,55.759,55.863,55.623,55.747,4175
2013-08-30 15:38:00,55.751,55.863,55.631,55.759,2687
2013-08-30 15:37:00,55.751,55.859,55.631,55.755,14400
2013-08-30 15:36:00,55.735,55.855,55.611,55.749,5200
2013-08-30 15:35:00,55.743,55.847,55.615,55.734,9397
2013-08-30 15:34:00,55.783,55.887,55.623,55.742,5834
2013-08-30 15:33:00,55.759,55.887,55.635,55.783,15975
2013-08-30 15:32:00,55.743,55.903,55.615,55.751,12003
2013-08-30 15:31:00,55.747,55.887,55.623,55.742,5984
2013-08-30 15:30:00,55.747,55.855,55.615,55.751,9394
2013-08-30 15:29:00,55.759,55.863,55.623,55.742,3840
2013-08-30 15:28:00,55.745,55.857,55.615,55.753,5265
2013-08-30 15:27:00,55.751,55.859,55.623,55.742,2400
2013-08-30 15:26:00,55.759,55.863,55.631,55.755,3100
2013-08-30 15:25:00,55.763,55.879,55.607,55.763,13133
2013-08-30 15:24:00,55.759,55.879,55.635,55.767,4200
2013-08-30 15:23:00,55.775,55.879,55.631,55.751,2583
2013-08-30 15:22:00,55.783,55.887,55.647,55.775,1734
