,1. open,2. high,3. low,4. close,5. volume
2022-11-30 15:59:00,96.36,96.54,96.35,96.54,2022302
2022-11-30 15:58:00,96.36,96.43,96.32,96.355,753150
2022-11-30 15:57:00,96.34,96.42,96.28,96.35,652364
2022-11-30 15:56:00,96.375,96.39,96.31,96.345,513824
2022-11-30 15:55:00,96.15,96.415,96.135,96.37,667309
2022-11-30 15:54:00,96.14,96.27,96.115,96.15,528292
2022-11-30 15:53:00,96.12,96.2,95.99,96.145,405177
2022-11-30 15:52:00,95.95,96.12,95.873,96.12,487334
2022-11-30 15:51:00,96.095,96.22,95.9,95.944,595536
2022-11-30 15:50:00,95.99,96.38,95.79,96.11,1037496
2022-11-30 15:49:00,96.035,96.067,95.9,95.995,260184
2022-11-30 15:48:00,96.08,96.1,96.02,96.03,218772
2022-11-30 15:47:00,95.99,96.11,95.971,96.085,364404
2022-11-30 15:46:00,95.99,96.0,95.91,95.99,233762
2022-11-30 15:45:00,95.885,96.0,95.882,96.0,291063
2022-11-30 15:44:00,95.91,95.915,95.85,95.89,184932
2022-11-30 15:43:00,95.86,95.92,95.85,95.91,167278
2022-11-30 15:42:00,95.856,95.88,95.811,95.865,152792
2022-11-30 15:41:00,95.865,95.895,95.83,95.86,160207
2022-11-30 15:40:00,95.79,95.87,95.71,95.85,195663
2022-11-30 15:39:00,95.78,95.88,95.77,95.79,210453
2022-11-30 15:38:00,95.82,95.84,95.72,95.785,237286
2022-11-30 15:37:00,95.91,96.0,95.79,95.82,413963
2022-11-30 15:36:00,95.86,95.93,95.84,95.91,225141
2022-11-30 15:35:00,95.88,95.88,95.79,95.86,198773
2022-11-30 15:34:00,95.69,95.88,95.68,95.872,263327
2022-11-30 15:33:00,95.739,95.75,95.675,95.695,218677
2022-11-30 15:32:00,95.655,95.739,95.65,95.739,162220
2022-11-30 15:31:00,95.707,95.71,95.62,95.655,211036
2022-11-30 15:30:00,95.715,95.75,95.69,95.7,129977
2022-11-30 15:29:00,95.68,95.75,95.67,95.72,144613
2022-11-30 15:28:00,95.648,95.74,95.635,95.67,246225
2022-11-30 15:27:00,95.61,95.66,95.53,95.648,188412
2022-11-30 15:26:00,95.555,95.61,95.51,95.6,190686
2022-11-30 15:25:00,95.465,95.565,95.455,95.557,170927
2022-11-30 15:24:00,95.52,95.58,95.44,95.46,168944
2022-11-30 15:23:00,95.485,95.55,95.42,95.54,142318
2022-11-30 15:22:00,95.47,95.57,95.45,95.48,333778
2022-11-30 15:21:00,95.335,95.481,95.33,95.465,271438
2022-11-30 15:20:00,95.32,95.35,95.26,95.331,160697
2022-11-30 15:19:00,95.35,95.38,95.32,95.328,162576
2022-11-30 15:18:00,95.474,95.48,95.31,95.35,193261
2022-11-30 15:17:00,95.32,95.48,95.31,95.47,289716
2022-11-30 15:16:00,95.125,95.33,95.12,95.32,264571
2022-11-30 15:15:00,95.11,95.135,95.092,95.127,135428
2022-11-30 15:14:00,95.14,95.15,95.04,95.109,180284
2022-11-30 15:13:00,95.212,95.245,95.11,95.13,111207
2022-11-30 15:12:00,95.13,95.236,95.12,95.21,130123
2022-11-30 15:11:00,95.125,95.17,95.1,95.135,155715
2022-11-30 15:10:00,95.23,95.235,95.1,95.126,167836
2022-11-30 15:09:00,95.14,95.25,95.095,95.22,318405
2022-11-30 15:08:00,94.985,95.14,94.98,95.138,153982
2022-11-30 15:07:00,94.992,95.0,94.88,94.98,161749
2022-11-30 15:06:00,94.87,95.0,94.83,94.986,142611
2022-11-30 15:05:00,94.975,95.01,94.83,94.88,226808
2022-11-30 15:04:00,94.88,94.98,94.85,94.975,225954
2022-11-30 15:03:00,94.73,94.88,94.7,94.88,178323
2022-11-30 15:02:00,94.625,94.75,94.61,94.73,195319
2022-11-30 15:01:00,94.495,94.66,94.45,94.64,152754
2022-11-30 15:00:00,94.57,94.67,94.47,94.495,234271
2022-11-30 14:59:00,94.46,94.59,94.46,94.575,173129
2022-11-30 14:58:00,94.33,94.48,94.315,94.46,90729
2022-11-30 14:57:00,94.25,94.34,94.22,94.33,106609
2022-11-30 14:56:00,94.345,94.345,94.211,94.24,137815
2022-11-30 14:55:00,94.39,94.43,94.34,94.34,105639
2022-11-30 14:54:00,94.36,94.44,94.31,94.38,128764
2022-11-30 14:53:00,94.47,94.51,94.36,94.365,171437
2022-11-30 14:52:00,94.29,94.48,94.27,94.466,178275
2022-11-30 14:51:00,94.37,94.427,94.28,94.3,168194
2022-11-30 14:50:00,94.49,94.5,94.35,94.375,331479
2022-11-30 14:49:00,94.252,94.489,94.25,94.489,254128
2022-11-30 14:48:00,94.25,94.33,94.18,94.25,277074
2022-11-30 14:47:00,94.25,94.37,94.19,94.23,221705
2022-11-30 14:46:00,94.35,94.45,94.21,94.245,290860
2022-11-30 14:45:00,94.39,94.42,94.31,94.355,283555
2022-11-30 14:44:00,94.54,94.545,94.36,94.37,287867
2022-11-30 14:43:00,94.67,94.67,94.525,94.545,177591
2022-11-30 14:42:00,94.681,94.75,94.625,94.664,148748
2022-11-30 14:41:00,94.825,94.867,94.67,94.68,210046
2022-11-30 14:40:00,94.84,94.9,94.77,94.83,174130
2022-11-30 14:39:00,94.8,94.9,94.75,94.84,150994
2022-11-30 14:38:00,94.89,94.9,94.715,94.795,190289
2022-11-30 14:37:00,94.92,94.96,94.855,94.89,146608
2022-11-30 14:36:00,94.928,94.96,94.83,94.91,230933
2022-11-30 14:35:00,95.02,95.1,94.91,94.93,230840
2022-11-30 14:34:00,94.86,95.05,94.857,95.028,245907
2022-11-30 14:33:00,94.89,94.94,94.76,94.84,306803
2022-11-30 14:32:00,95.08,95.1,94.86,94.89,240821
2022-11-30 14:31:00,95.255,95.255,94.92,95.055,429783
2022-11-30 14:30:00,95.26,95.33,95.2,95.28,230141
2022-11-30 14:29:00,95.31,95.35,95.15,95.268,245348
2022-11-30 14:28:00,95.19,95.36,95.18,95.315,509675
2022-11-30 14:27:00,95.11,95.21,95.1,95.18,248740
2022-11-30 14:26:00,95.16,95.32,95.04,95.11,284995
2022-11-30 14:25:00,95.32,95.34,95.03,95.16,291606
2022-11-30 14:24:00,95.187,95.41,95.135,95.32,230599
2022-11-30 14:23:00,95.26,95.27,95.11,95.195,191002
2022-11-30 14:22:00,95.28,95.44,95.15,95.25,412602
2022-11-30 14:21:00,95.245,95.3,95.09,95.29,316981
2022-11-30 14:20:00,95.247,95.35,95.141,95.24,389755
2022-11-30 14:19:00,94.88,95.3,94.83,95.245,559835
2022-11-30 14:18:00,94.88,94.97,94.8,94.885,329210
2022-11-30 14:17:00,94.63,94.9,94.52,94.871,408261
2022-11-30 14:16:00,94.523,94.66,94.47,94.62,175985
2022-11-30 14:15:00,94.52,94.63,94.43,94.52,310450
2022-11-30 14:14:00,94.39,94.53,94.38,94.503,127033
2022-11-30 14:13:00,94.62,94.65,94.31,94.4,251998
2022-11-30 14:12:00,94.48,94.658,94.46,94.62,206468
2022-11-30 14:11:00,94.493,94.62,94.45,94.48,244196
2022-11-30 14:10:00,94.32,94.53,94.3,94.5,240216
2022-11-30 14:09:00,94.425,94.46,94.31,94.31,189079
