,1. open,2. high,3. low,4. close,5. volume
2016-07-29 15:59:00,17.838,17.84,17.825,17.825,30456
2016-07-29 15:58:00,17.845,17.845,17.828,17.837,19988
2016-07-29 15:57:00,17.848,17.85,17.845,17.848,13200
2016-07-29 15:56:00,17.845,17.85,17.838,17.85,9832
2016-07-29 15:55:00,17.853,17.852,17.845,17.845,9884
2016-07-29 15:54:00,17.845,17.855,17.843,17.852,47888
2016-07-29 15:53:00,17.842,17.842,17.843,17.843,400
2016-07-29 15:52:00,17.837,17.845,17.835,17.844,6800
2016-07-29 15:51:00,17.844,17.844,17.835,17.835,10376
2016-07-29 15:50:00,17.845,17.845,17.843,17.844,10040
2016-07-29 15:49:00,17.842,17.847,17.84,17.848,9664
2016-07-29 15:48:00,17.84,17.845,17.84,17.845,2000
2016-07-29 15:47:00,17.84,17.84,17.835,17.836,5600
2016-07-29 15:46:00,17.837,17.842,17.837,17.843,7200
2016-07-29 15:45:00,17.837,17.842,17.835,17.84,31240
2016-07-29 15:44:00,17.837,17.837,17.837,17.838,400
2016-07-29 15:43:00,17.835,17.837,17.83,17.838,9800
2016-07-29 15:42:00,17.832,17.84,17.832,17.835,7600
2016-07-29 15:41:00,17.832,17.832,17.83,17.83,8204
2016-07-29 15:40:00,17.827,17.832,17.827,17.832,8000
2016-07-29 15:39:00,17.827,17.827,17.827,17.827,400
2016-07-29 15:38:00,17.824,17.83,17.824,17.83,5240
2016-07-29 15:37:00,17.822,17.827,17.823,17.825,20004
2016-07-29 15:36:00,17.835,17.835,17.83,17.83,3200
2016-07-29 15:35:00,17.837,17.837,17.832,17.832,9336
2016-07-29 15:34:00,17.84,17.842,17.838,17.84,6400
2016-07-29 15:33:00,17.837,17.837,17.838,17.837,400
2016-07-29 15:32:00,17.832,17.832,17.832,17.832,1600
2016-07-29 15:31:00,17.827,17.83,17.827,17.83,8280
2016-07-29 15:30:00,17.817,17.825,17.815,17.821,5476
2016-07-29 15:29:00,17.827,17.827,17.822,17.825,3600
2016-07-29 15:28:00,17.827,17.83,17.825,17.825,3800
