,1. open,2. high,3. low,4. close,5. volume
2018-12-31 15:59:00,138.624,139.232,138.518,139.132,54546
2018-12-31 15:58:00,138.442,138.706,138.336,138.558,6585
2018-12-31 15:57:00,138.385,138.572,138.212,138.409,6448
2018-12-31 15:56:00,138.701,138.801,138.174,138.376,17991
2018-12-31 15:55:00,138.72,138.936,138.556,138.687,13411
2018-12-31 15:54:00,138.662,138.869,138.537,138.634,4946
2018-12-31 15:53:00,138.729,138.83,138.547,138.653,2100
2018-12-31 15:52:00,138.681,138.869,138.576,138.701,1833
2018-12-31 15:51:00,138.815,138.964,138.576,138.673,1600
2018-12-31 15:50:00,138.796,138.964,138.69,138.864,2727
2018-12-31 15:49:00,138.748,138.916,138.566,138.816,2149
2018-12-31 15:48:00,138.873,138.964,138.652,138.749,4449
2018-12-31 15:47:00,138.921,139.035,138.757,138.854,3695
2018-12-31 15:46:00,139.036,139.165,138.834,138.96,1935
2018-12-31 15:45:00,139.036,139.232,138.891,138.988,1344
2018-12-31 15:44:00,138.997,139.108,138.891,138.998,1214
2018-12-31 15:43:00,138.959,139.05,138.786,138.893,1000
2018-12-31 15:42:00,138.911,139.041,138.776,138.941,400
2018-12-31 15:41:00,138.806,139.05,138.7,138.95,1443
2018-12-31 15:40:00,138.71,138.993,138.566,138.835,4823
2018-12-31 15:39:00,138.662,138.811,138.533,138.692,1645
2018-12-31 15:38:00,138.614,138.763,138.49,138.653,2492
2018-12-31 15:37:00,138.715,138.806,138.509,138.606,2236
2018-12-31 15:36:00,138.624,138.83,138.518,138.706,3196
2018-12-31 15:35:00,138.71,138.801,138.556,138.653,400
2018-12-31 15:34:00,138.849,138.964,138.633,138.73,1200
2018-12-31 15:33:00,138.854,138.945,138.709,138.816,1000
2018-12-31 15:32:00,138.787,138.897,138.681,138.797,345
2018-12-31 15:31:00,138.681,138.792,138.55,138.692,1590
2018-12-31 15:30:00,138.576,138.773,138.47,138.653,2344
2018-12-31 15:29:00,138.662,138.773,138.499,138.596,900
2018-12-31 15:28:00,138.701,138.83,138.595,138.701,1400
2018-12-31 15:27:00,138.576,138.84,138.47,138.74,400
2018-12-31 15:26:00,138.49,138.581,138.351,138.472,900
2018-12-31 15:25:00,138.442,138.562,138.317,138.452,747
2018-12-31 15:24:00,138.442,138.533,138.26,138.414,1200
2018-12-31 15:23:00,138.48,138.591,138.375,138.491,1078
2018-12-31 15:22:00,138.576,138.677,138.384,138.491,2100
2018-12-31 15:20:00,138.6,138.715,138.423,138.596,1235
2018-12-31 15:19:00,138.519,138.61,138.413,138.51,100
2018-12-31 15:18:00,138.466,138.557,138.308,138.424,400
2018-12-31 15:17:00,138.413,138.562,138.289,138.462,1049
2018-12-31 15:16:00,138.452,138.581,138.346,138.443,639
2018-12-31 15:15:00,138.509,138.6,138.336,138.443,1000
2018-12-31 15:14:00,138.538,138.629,138.346,138.524,996
2018-12-31 15:13:00,138.557,138.687,138.432,138.586,454
2018-12-31 15:12:00,138.483,138.639,138.377,138.539,400
2018-12-31 15:11:00,138.442,138.562,138.327,138.462,925
2018-12-31 15:10:00,138.375,138.466,138.26,138.357,300
2018-12-31 15:09:00,138.519,138.629,138.317,138.424,1100
2018-12-31 15:08:00,138.519,138.619,138.317,138.433,1990
2018-12-31 15:07:00,138.643,138.734,138.47,138.567,490
2018-12-31 15:06:00,138.701,138.792,138.547,138.677,400
2018-12-31 15:05:00,138.614,138.773,138.509,138.673,326
2018-12-31 15:04:00,138.586,138.677,138.432,138.548,800
2018-12-31 15:03:00,138.739,138.878,138.547,138.74,1060
2018-12-31 15:02:00,138.701,138.792,138.576,138.673,600
2018-12-31 15:01:00,138.643,138.869,138.537,138.701,4200
2018-12-31 15:00:00,138.514,138.639,138.375,138.539,854
2018-12-31 14:59:00,138.576,138.667,138.327,138.481,1200
2018-12-31 14:58:00,138.691,138.782,138.556,138.682,918
2018-12-31 14:57:00,138.801,138.892,138.604,138.701,800
2018-12-31 14:56:00,138.754,138.926,138.595,138.816,1383
2018-12-31 14:55:00,138.768,138.859,138.647,138.744,200
2018-12-31 14:54:00,138.729,138.859,138.595,138.759,900
2018-12-31 14:53:00,138.758,138.926,138.633,138.73,1424
2018-12-31 14:52:00,138.643,138.869,138.499,138.768,1124
2018-12-31 14:51:00,138.557,138.782,138.432,138.653,1174
2018-12-31 14:50:00,138.524,138.615,138.413,138.51,204
2018-12-31 14:49:00,138.515,138.607,138.41,138.507,293
2018-12-31 14:47:00,138.461,138.61,138.356,138.51,600
2018-12-31 14:46:00,138.366,138.557,138.26,138.457,300
2018-12-31 14:44:00,138.346,138.466,138.241,138.366,200
2018-12-31 14:43:00,138.308,138.409,138.174,138.303,1270
2018-12-31 14:42:00,138.394,138.485,138.231,138.328,300
2018-12-31 14:41:00,138.323,138.485,138.217,138.371,300
2018-12-31 14:40:00,138.281,138.476,138.176,138.357,450
2018-12-31 14:39:00,138.236,138.438,138.131,138.338,200
2018-12-31 14:37:00,138.171,138.262,137.964,138.117,963
2018-12-31 14:36:00,138.222,138.313,138.117,138.213,100
2018-12-31 14:35:00,138.155,138.246,138.05,138.146,100
2018-12-31 14:34:00,138.174,138.265,137.964,138.06,345
2018-12-31 14:33:00,138.184,138.275,138.002,138.108,700
2018-12-31 14:32:00,138.308,138.399,138.078,138.175,500
2018-12-31 14:31:00,138.213,138.332,138.107,138.228,300
2018-12-31 14:30:00,138.222,138.313,138.117,138.213,100
2018-12-31 14:29:00,138.385,138.476,138.136,138.271,1114
2018-12-31 14:28:00,138.385,138.481,138.27,138.366,300
2018-12-31 14:27:00,138.519,138.61,138.351,138.448,400
2018-12-31 14:26:00,138.327,138.552,138.222,138.452,700
2018-12-31 14:25:00,138.308,138.457,138.203,138.357,200
2018-12-31 14:24:00,138.251,138.438,138.145,138.338,500
2018-12-31 14:23:00,138.366,138.457,138.088,138.271,1800
2018-12-31 14:22:00,138.509,138.6,138.317,138.414,618
2018-12-31 14:21:00,138.782,138.873,138.533,138.644,400
2018-12-31 14:20:00,138.806,138.897,138.7,138.797,100
2018-12-31 14:18:00,138.873,138.974,138.757,138.854,500
2018-12-31 14:17:00,138.701,138.878,138.556,138.778,700
2018-12-31 14:15:00,138.768,138.888,138.604,138.768,1500
2018-12-31 14:14:00,138.787,138.878,138.623,138.778,700
2018-12-31 14:13:00,138.72,138.869,138.614,138.768,800
2018-12-31 14:12:00,138.825,138.945,138.681,138.778,300
2018-12-31 14:11:00,138.854,139.003,138.748,138.851,3747
2018-12-31 14:10:00,138.83,138.921,138.671,138.807,500
2018-12-31 14:09:00,138.777,138.926,138.671,138.826,300
2018-12-31 14:07:00,138.873,138.964,138.652,138.749,300
2018-12-31 14:06:00,138.729,138.936,138.614,138.835,400
2018-12-31 14:05:00,138.71,138.821,138.604,138.701,311
2018-12-31 14:04:00,138.672,138.763,138.516,138.613,281
2018-12-31 14:03:00,138.643,138.782,138.528,138.673,800
2018-12-31 14:02:00,138.681,138.773,138.576,138.673,100
2018-12-31 14:01:00,138.576,138.725,138.47,138.625,492
2018-12-31 14:00:00,138.72,138.859,138.509,138.606,1300
2018-12-31 13:59:00,138.849,138.94,138.681,138.778,200
2018-12-31 13:58:00,138.796,138.888,138.681,138.778,200
2018-12-31 13:57:00,138.93,139.022,138.709,138.816,2900
2018-12-31 13:55:00,138.82,139.022,138.714,138.921,300
2018-12-31 13:54:00,138.806,138.897,138.7,138.797,500
2018-12-31 13:53:00,138.863,138.955,138.738,138.835,700
2018-12-31 13:52:00,138.911,139.003,138.805,138.902,100
2018-12-31 13:51:00,138.973,139.089,138.834,138.931,500
2018-12-31 13:50:00,138.978,139.07,138.872,138.969,100
2018-12-31 13:49:00,138.921,139.012,138.786,138.883,200
2018-12-31 13:48:00,138.792,138.936,138.686,138.835,200
2018-12-31 13:47:00,138.863,138.955,138.7,138.797,1100
2018-12-31 13:46:00,138.882,138.974,138.767,138.864,200
2018-12-31 13:44:00,139.026,139.146,138.834,138.931,300
2018-12-31 13:43:00,139.103,139.194,138.949,139.046,2073
2018-12-31 13:42:00,139.093,139.223,138.987,139.122,461
2018-12-31 13:41:00,139.093,139.232,138.987,139.132,500
2018-12-31 13:40:00,139.055,139.146,138.949,139.046,100
2018-12-31 13:39:00,139.112,139.213,138.977,139.074,3954
2018-12-31 13:38:00,139.093,139.204,138.987,139.103,488
2018-12-31 13:37:00,139.064,139.223,138.958,139.084,500
2018-12-31 13:36:00,139.122,139.213,139.015,139.113,100
2018-12-31 13:35:00,139.208,139.323,139.044,139.141,6768
2018-12-31 13:34:00,139.308,139.4,139.082,139.18,841
2018-12-31 13:33:00,139.304,139.395,139.188,139.285,700
2018-12-31 13:32:00,139.265,139.386,139.14,139.237,500
2018-12-31 13:31:00,139.237,139.338,139.13,139.237,200
2018-12-31 13:30:00,139.261,139.357,139.078,139.232,2690
2018-12-31 13:29:00,139.261,139.352,139.13,139.228,229
2018-12-31 13:28:00,139.275,139.367,139.13,139.228,300
2018-12-31 13:27:00,139.251,139.376,139.145,139.275,200
2018-12-31 13:25:00,139.246,139.338,139.14,139.237,100
2018-12-31 13:24:00,139.198,139.347,139.092,139.247,1300
2018-12-31 13:23:00,139.217,139.347,139.111,139.237,400
2018-12-31 13:22:00,139.294,139.386,139.13,139.228,500
2018-12-31 13:21:00,139.237,139.405,139.13,139.275,1303
2018-12-31 13:20:00,139.198,139.29,139.092,139.189,100
2018-12-31 13:19:00,139.256,139.347,139.102,139.199,369
2018-12-31 13:18:00,139.284,139.376,139.14,139.247,804
2018-12-31 13:17:00,139.284,139.422,139.14,139.321,1019
2018-12-31 13:16:00,139.274,139.365,139.157,139.254,660
2018-12-31 13:15:00,139.141,139.299,139.025,139.199,700
2018-12-31 13:14:00,139.15,139.271,139.044,139.151,338
2018-12-31 13:13:00,139.17,139.28,139.063,139.161,400
2018-12-31 13:12:00,139.294,139.386,139.092,139.189,1200
2018-12-31 13:11:00,139.323,139.491,139.207,139.304,1200
2018-12-31 13:10:00,139.074,139.252,138.901,139.151,8063
2018-12-31 13:08:00,139.064,139.156,138.958,139.055,550
2018-12-31 13:07:00,139.103,139.194,138.92,139.051,400
2018-12-31 13:06:00,139.06,139.151,138.953,139.051,200
