,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,33.495,33.5,33.44,33.46,156057
2024-03-22 15:58:00,33.49,33.5,33.485,33.495,50837
2024-03-22 15:57:00,33.455,33.495,33.45,33.485,69587
2024-03-22 15:56:00,33.505,33.505,33.455,33.455,103568
2024-03-22 15:55:00,33.54,33.555,33.505,33.505,61698
2024-03-22 15:54:00,33.505,33.54,33.5,33.535,86733
2024-03-22 15:53:00,33.505,33.52,33.5,33.51,49937
2024-03-22 15:52:00,33.505,33.52,33.5,33.5,35130
2024-03-22 15:51:00,33.51,33.53,33.5,33.505,46446
2024-03-22 15:50:00,33.565,33.57,33.515,33.515,29843
2024-03-22 15:49:00,33.555,33.57,33.55,33.57,19744
2024-03-22 15:48:00,33.52,33.555,33.51,33.55,21375
2024-03-22 15:47:00,33.525,33.53,33.51,33.515,33964
2024-03-22 15:46:00,33.51,33.53,33.51,33.525,12255
2024-03-22 15:45:00,33.509,33.515,33.5,33.505,45599
2024-03-22 15:44:00,33.495,33.52,33.495,33.51,14541
2024-03-22 15:43:00,33.495,33.505,33.49,33.49,20629
2024-03-22 15:42:00,33.475,33.5,33.47,33.5,123184
2024-03-22 15:41:00,33.475,33.48,33.47,33.475,14192
2024-03-22 15:40:00,33.46,33.478,33.46,33.475,7956
2024-03-22 15:39:00,33.485,33.485,33.46,33.465,7761
2024-03-22 15:38:00,33.505,33.505,33.485,33.485,22132
2024-03-22 15:37:00,33.525,33.526,33.505,33.51,15077
2024-03-22 15:36:00,33.515,33.525,33.495,33.525,18972
2024-03-22 15:35:00,33.529,33.54,33.51,33.51,36356
2024-03-22 15:34:00,33.495,33.53,33.49,33.525,26801
2024-03-22 15:33:00,33.49,33.5,33.49,33.495,9376
2024-03-22 15:32:00,33.465,33.495,33.465,33.495,16127
2024-03-22 15:31:00,33.485,33.485,33.46,33.46,11168
2024-03-22 15:30:00,33.495,33.495,33.485,33.485,8359
2024-03-22 15:29:00,33.49,33.5,33.485,33.495,38220
2024-03-22 15:28:00,33.465,33.495,33.465,33.49,13302
2024-03-22 15:27:00,33.465,33.47,33.46,33.47,16084
2024-03-22 15:26:00,33.455,33.46,33.445,33.46,11916
2024-03-22 15:25:00,33.43,33.455,33.43,33.452,13707
2024-03-22 15:24:00,33.425,33.435,33.415,33.435,14884
2024-03-22 15:23:00,33.415,33.43,33.41,33.425,18204
2024-03-22 15:22:00,33.41,33.42,33.41,33.415,16659
2024-03-22 15:21:00,33.405,33.405,33.405,33.405,1441
2024-03-22 15:20:00,33.41,33.415,33.405,33.405,7946
2024-03-22 15:19:00,33.41,33.425,33.41,33.419,14161
2024-03-22 15:18:00,33.445,33.45,33.405,33.41,118352
2024-03-22 15:17:00,33.445,33.445,33.43,33.445,17151
2024-03-22 15:16:00,33.46,33.465,33.44,33.45,20048
2024-03-22 15:15:00,33.445,33.465,33.445,33.46,33031
2024-03-22 15:14:00,33.45,33.45,33.44,33.445,13109
2024-03-22 15:13:00,33.455,33.455,33.445,33.45,14037
2024-03-22 15:12:00,33.455,33.46,33.44,33.455,30296
2024-03-22 15:11:00,33.45,33.46,33.445,33.46,6208
2024-03-22 15:10:00,33.45,33.46,33.445,33.45,30695
2024-03-22 15:09:00,33.45,33.45,33.444,33.444,8098
2024-03-22 15:08:00,33.435,33.45,33.434,33.45,13763
2024-03-22 15:07:00,33.435,33.44,33.43,33.435,2234
2024-03-22 15:06:00,33.445,33.445,33.425,33.43,6855
2024-03-22 15:05:00,33.44,33.45,33.44,33.445,4914
2024-03-22 15:04:00,33.44,33.45,33.435,33.45,4166
2024-03-22 15:03:00,33.47,33.475,33.445,33.46,18706
2024-03-22 15:02:00,33.485,33.49,33.465,33.47,10612
2024-03-22 15:01:00,33.48,33.485,33.48,33.485,6919
2024-03-22 15:00:00,33.495,33.5,33.485,33.485,18168
2024-03-22 14:59:00,33.495,33.5,33.492,33.495,6443
2024-03-22 14:58:00,33.48,33.52,33.475,33.495,41472
2024-03-22 14:57:00,33.475,33.48,33.47,33.475,5725
2024-03-22 14:56:00,33.475,33.48,33.475,33.48,8956
2024-03-22 14:55:00,33.475,33.48,33.475,33.475,6675
2024-03-22 14:54:00,33.46,33.48,33.46,33.48,14219
2024-03-22 14:53:00,33.465,33.47,33.46,33.46,8940
2024-03-22 14:52:00,33.47,33.47,33.455,33.465,9842
2024-03-22 14:51:00,33.47,33.48,33.46,33.47,21204
2024-03-22 14:50:00,33.465,33.475,33.46,33.475,4030
2024-03-22 14:49:00,33.48,33.485,33.47,33.47,15060
2024-03-22 14:48:00,33.471,33.48,33.465,33.473,4571
2024-03-22 14:47:00,33.47,33.48,33.465,33.48,11624
2024-03-22 14:46:00,33.48,33.485,33.475,33.475,3079
2024-03-22 14:45:00,33.47,33.48,33.463,33.48,9181
2024-03-22 14:44:00,33.465,33.47,33.46,33.47,1293
2024-03-22 14:43:00,33.475,33.475,33.45,33.46,9425
2024-03-22 14:42:00,33.48,33.48,33.465,33.47,11556
2024-03-22 14:41:00,33.469,33.475,33.46,33.475,4184
2024-03-22 14:40:00,33.465,33.47,33.46,33.465,2500
2024-03-22 14:39:00,33.465,33.465,33.465,33.465,615
2024-03-22 14:38:00,33.47,33.475,33.463,33.465,15820
2024-03-22 14:37:00,33.47,33.485,33.46,33.46,10626
2024-03-22 14:36:00,33.47,33.475,33.465,33.475,7275
2024-03-22 14:35:00,33.445,33.47,33.445,33.47,5325
2024-03-22 14:34:00,33.425,33.44,33.42,33.44,3369
2024-03-22 14:33:00,33.435,33.445,33.42,33.425,8842
2024-03-22 14:32:00,33.46,33.46,33.42,33.435,13563
2024-03-22 14:31:00,33.461,33.461,33.455,33.455,109386
2024-03-22 14:30:00,33.465,33.47,33.46,33.469,4254
2024-03-22 14:29:00,33.48,33.485,33.465,33.465,5268
2024-03-22 14:28:00,33.455,33.49,33.455,33.49,3566
