,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,237.14,237.14,236.7,236.71,46357
2024-03-22 15:58:00,237.16,237.22,237.15,237.16,13902
2024-03-22 15:57:00,237.17,237.25,237.13,237.16,12687
2024-03-22 15:56:00,237.24,237.3,237.17,237.17,7842
2024-03-22 15:55:00,237.29,237.33,237.095,237.275,12758
2024-03-22 15:54:00,237.39,237.47,237.295,237.3,8314
2024-03-22 15:53:00,237.42,237.455,237.37,237.44,7579
2024-03-22 15:52:00,237.31,237.39,237.3,237.38,6185
2024-03-22 15:51:00,237.365,237.38,237.27,237.33,3785
2024-03-22 15:50:00,237.23,237.325,237.125,237.325,10323
2024-03-22 15:49:00,237.105,237.21,237.105,237.205,3115
2024-03-22 15:48:00,237.14,237.19,237.13,237.13,2935
2024-03-22 15:47:00,237.28,237.28,237.105,237.16,5281
2024-03-22 15:46:00,237.06,237.302,237.06,237.26,4221
2024-03-22 15:45:00,237.0,237.08,237.0,237.07,5881
2024-03-22 15:44:00,237.24,237.265,237.01,237.01,4728
2024-03-22 15:43:00,237.21,237.25,237.18,237.22,1694
2024-03-22 15:42:00,237.235,237.27,237.2,237.225,4515
2024-03-22 15:41:00,237.22,237.26,237.16,237.255,2641
2024-03-22 15:40:00,237.225,237.325,237.225,237.24,3510
2024-03-22 15:39:00,237.28,237.28,237.19,237.245,2143
2024-03-22 15:38:00,237.32,237.32,237.225,237.31,3814
2024-03-22 15:37:00,237.11,237.35,237.11,237.35,6024
2024-03-22 15:36:00,237.18,237.23,237.11,237.15,1559
2024-03-22 15:35:00,237.15,237.23,237.15,237.23,2862
2024-03-22 15:34:00,237.16,237.16,237.09,237.125,1921
2024-03-22 15:33:00,237.1,237.145,237.1,237.11,1120
2024-03-22 15:32:00,237.34,237.34,237.125,237.125,3879
2024-03-22 15:31:00,237.444,237.45,237.36,237.36,3639
2024-03-22 15:30:00,237.21,237.445,237.21,237.445,3926
2024-03-22 15:29:00,237.21,237.21,237.2,237.21,1494
2024-03-22 15:28:00,237.12,237.19,237.12,237.18,3035
2024-03-22 15:27:00,237.15,237.15,237.07,237.09,1969
2024-03-22 15:26:00,237.1,237.12,237.09,237.12,1372
2024-03-22 15:25:00,236.989,237.015,236.989,237.015,1118
2024-03-22 15:24:00,236.91,236.93,236.88,236.93,3975
2024-03-22 15:23:00,236.82,236.91,236.82,236.9,1569
2024-03-22 15:22:00,236.815,236.85,236.75,236.795,2212
2024-03-22 15:21:00,236.615,236.77,236.615,236.77,2412
2024-03-22 15:20:00,236.685,236.685,236.595,236.615,27133
2024-03-22 15:19:00,236.65,236.71,236.64,236.7,2805
2024-03-22 15:18:00,236.64,236.64,236.64,236.64,572
2024-03-22 15:17:00,236.64,236.65,236.622,236.622,993
2024-03-22 15:16:00,236.685,236.69,236.67,236.67,2404
2024-03-22 15:15:00,236.69,236.75,236.69,236.73,1185
2024-03-22 15:14:00,236.725,236.765,236.725,236.765,497
2024-03-22 15:13:00,236.72,236.765,236.72,236.765,852
2024-03-22 15:12:00,236.86,236.86,236.71,236.81,2393
2024-03-22 15:11:00,236.89,236.9,236.89,236.89,1193
2024-03-22 15:10:00,237.11,237.11,236.96,236.98,3288
2024-03-22 15:09:00,237.14,237.19,237.133,237.178,1303
2024-03-22 15:08:00,237.19,237.19,237.145,237.181,896
2024-03-22 15:07:00,237.09,237.19,237.09,237.19,2222
2024-03-22 15:06:00,237.23,237.23,237.05,237.05,2463
2024-03-22 15:05:00,237.34,237.42,237.26,237.26,3057
2024-03-22 15:04:00,237.32,237.32,237.25,237.25,714
2024-03-22 15:03:00,237.27,237.28,237.26,237.275,2290
2024-03-22 15:02:00,237.279,237.34,237.279,237.32,995
2024-03-22 15:01:00,237.14,237.19,237.14,237.19,1286
2024-03-22 15:00:00,237.16,237.189,237.14,237.14,740
2024-03-22 14:59:00,237.0,237.088,236.995,237.088,2296
2024-03-22 14:58:00,237.04,237.04,236.96,236.96,770
2024-03-22 14:57:00,237.033,237.033,237.015,237.03,734
2024-03-22 14:56:00,236.933,237.01,236.933,237.01,696
2024-03-22 14:55:00,236.91,237.01,236.91,237.01,2823
2024-03-22 14:54:00,236.885,236.91,236.875,236.875,1141
2024-03-22 14:53:00,236.925,236.925,236.87,236.899,4669
2024-03-22 14:52:00,236.9,236.92,236.891,236.92,1411
2024-03-22 14:51:00,236.955,237.01,236.91,236.93,1481
2024-03-22 14:50:00,236.96,236.96,236.96,236.96,309
2024-03-22 14:49:00,236.98,237.02,236.95,236.95,1281
2024-03-22 14:48:00,236.94,237.02,236.94,236.97,2514
2024-03-22 14:47:00,236.98,236.98,236.84,236.94,2553
2024-03-22 14:46:00,236.985,237.013,236.98,236.985,1150
2024-03-22 14:45:00,236.95,236.98,236.94,236.96,2243
2024-03-22 14:44:00,236.83,236.98,236.83,236.98,1167
2024-03-22 14:43:00,236.89,236.93,236.83,236.88,1059
2024-03-22 14:42:00,236.9,236.96,236.88,236.88,529
2024-03-22 14:41:00,236.89,236.89,236.89,236.89,860
2024-03-22 14:40:00,236.97,236.97,236.93,236.945,757
2024-03-22 14:39:00,236.99,236.99,236.99,236.99,326
2024-03-22 14:38:00,237.28,237.28,236.93,236.95,4820
2024-03-22 14:37:00,237.34,237.34,237.32,237.32,792
2024-03-22 14:36:00,237.26,237.32,237.216,237.32,2469
2024-03-22 14:35:00,237.26,237.27,237.23,237.23,850
2024-03-22 14:34:00,237.27,237.27,237.259,237.259,658
2024-03-22 14:33:00,237.28,237.29,237.275,237.29,1221
2024-03-22 14:32:00,237.44,237.44,237.31,237.35,1647
2024-03-22 14:31:00,237.344,237.43,237.344,237.43,2213
2024-03-22 14:30:00,237.35,237.35,237.35,237.35,615
2024-03-22 14:29:00,237.38,237.41,237.35,237.35,2528
2024-03-22 14:28:00,237.41,237.448,237.41,237.41,813
2024-03-22 14:27:00,237.245,237.42,237.23,237.41,3442
2024-03-22 14:26:00,237.28,237.28,237.245,237.25,1246
2024-03-22 14:25:00,237.22,237.28,237.22,237.24,863
2024-03-22 14:24:00,237.155,237.22,237.155,237.22,512
2024-03-22 14:23:00,236.965,237.195,236.965,237.195,2472
2024-03-22 14:22:00,237.02,237.02,236.93,236.99,2621
