,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,114.61,114.61,114.39,114.41,87442
2024-03-22 15:58:00,114.615,114.64,114.61,114.61,38650
2024-03-22 15:57:00,114.585,114.619,114.565,114.619,21897
2024-03-22 15:56:00,114.575,114.625,114.57,114.585,25747
2024-03-22 15:55:00,114.565,114.61,114.56,114.58,17113
2024-03-22 15:54:00,114.57,114.595,114.55,114.565,13944
2024-03-22 15:53:00,114.58,114.61,114.56,114.57,12897
2024-03-22 15:52:00,114.52,114.58,114.5,114.575,14463
2024-03-22 15:51:00,114.545,114.57,114.52,114.52,7777
2024-03-22 15:50:00,114.63,114.655,114.52,114.54,17502
2024-03-22 15:49:00,114.62,114.635,114.61,114.62,7763
2024-03-22 15:48:00,114.59,114.62,114.59,114.62,21837
2024-03-22 15:47:00,114.63,114.63,114.582,114.585,8564
2024-03-22 15:46:00,114.61,114.63,114.595,114.62,6840
2024-03-22 15:45:00,114.59,114.61,114.57,114.6,7469
2024-03-22 15:44:00,114.57,114.621,114.57,114.605,5152
2024-03-22 15:43:00,114.5,114.55,114.5,114.55,16258
2024-03-22 15:42:00,114.53,114.53,114.5,114.503,2996
2024-03-22 15:41:00,114.45,114.53,114.45,114.53,3635
2024-03-22 15:40:00,114.4,114.44,114.4,114.44,6031
2024-03-22 15:39:00,114.42,114.451,114.42,114.42,3827
2024-03-22 15:38:00,114.49,114.49,114.41,114.425,4875
2024-03-22 15:37:00,114.5,114.51,114.49,114.5,7796
2024-03-22 15:36:00,114.515,114.524,114.5,114.5,8765
2024-03-22 15:35:00,114.46,114.52,114.45,114.52,28865
2024-03-22 15:34:00,114.535,114.54,114.44,114.45,15317
2024-03-22 15:33:00,114.645,114.645,114.52,114.52,24038
2024-03-22 15:32:00,114.64,114.65,114.64,114.65,2382
2024-03-22 15:31:00,114.65,114.65,114.63,114.64,2174
2024-03-22 15:30:00,114.65,114.66,114.645,114.66,3303
2024-03-22 15:29:00,114.64,114.665,114.64,114.66,4142
2024-03-22 15:28:00,114.67,114.67,114.63,114.63,2141
2024-03-22 15:27:00,114.67,114.672,114.67,114.67,1779
2024-03-22 15:26:00,114.63,114.67,114.63,114.66,9985
2024-03-22 15:25:00,114.62,114.63,114.61,114.62,6326
2024-03-22 15:24:00,114.64,114.65,114.6,114.6,2872
2024-03-22 15:23:00,114.65,114.65,114.64,114.64,1666
2024-03-22 15:22:00,114.65,114.65,114.64,114.65,3315
2024-03-22 15:21:00,114.64,114.65,114.64,114.65,2605
2024-03-22 15:20:00,114.65,114.65,114.63,114.65,2835
2024-03-22 15:19:00,114.645,114.65,114.63,114.642,3150
2024-03-22 15:18:00,114.615,114.64,114.615,114.64,2549
2024-03-22 15:17:00,114.56,114.62,114.56,114.62,2407
2024-03-22 15:16:00,114.6,114.6,114.565,114.565,2656
2024-03-22 15:15:00,114.54,114.62,114.54,114.61,8536
2024-03-22 15:14:00,114.56,114.58,114.535,114.535,5466
2024-03-22 15:13:00,114.51,114.555,114.5,114.555,6821
2024-03-22 15:12:00,114.59,114.59,114.5,114.52,12834
2024-03-22 15:11:00,114.61,114.63,114.6,114.6,3115
2024-03-22 15:10:00,114.7,114.71,114.665,114.665,1693
2024-03-22 15:09:00,114.7,114.705,114.69,114.69,1738
2024-03-22 15:08:00,114.67,114.7,114.67,114.7,4248
2024-03-22 15:07:00,114.685,114.7,114.67,114.67,1609
2024-03-22 15:06:00,114.74,114.75,114.67,114.69,4574
2024-03-22 15:05:00,114.735,114.75,114.72,114.745,6061
2024-03-22 15:04:00,114.73,114.75,114.73,114.742,1257
2024-03-22 15:03:00,114.74,114.75,114.72,114.732,5434
2024-03-22 15:02:00,114.81,114.81,114.75,114.75,5174
2024-03-22 15:01:00,114.78,114.81,114.78,114.8,5789
2024-03-22 15:00:00,114.82,114.83,114.782,114.795,4601
2024-03-22 14:59:00,114.815,114.82,114.815,114.82,780
2024-03-22 14:58:00,114.8,114.83,114.8,114.82,4215
2024-03-22 14:57:00,114.82,114.82,114.81,114.81,4425
2024-03-22 14:56:00,114.77,114.8,114.77,114.8,2139
2024-03-22 14:55:00,114.745,114.78,114.74,114.78,5396
2024-03-22 14:54:00,114.745,114.75,114.73,114.74,2789
2024-03-22 14:53:00,114.71,114.74,114.71,114.74,2614
2024-03-22 14:52:00,114.71,114.72,114.702,114.702,747
2024-03-22 14:51:00,114.73,114.73,114.712,114.712,1594
2024-03-22 14:50:00,114.69,114.73,114.69,114.73,1565
2024-03-22 14:49:00,114.69,114.72,114.69,114.69,2156
2024-03-22 14:48:00,114.69,114.72,114.66,114.69,4343
2024-03-22 14:47:00,114.68,114.68,114.67,114.68,1401
2024-03-22 14:46:00,114.71,114.71,114.68,114.69,1759
2024-03-22 14:45:00,114.79,114.79,114.7,114.7,3395
2024-03-22 14:44:00,114.79,114.793,114.78,114.79,1608
2024-03-22 14:43:00,114.81,114.82,114.77,114.77,2725
2024-03-22 14:42:00,114.79,114.81,114.79,114.805,4809
2024-03-22 14:41:00,114.815,114.815,114.8,114.8,1631
2024-03-22 14:40:00,114.8,114.835,114.79,114.815,6401
2024-03-22 14:39:00,114.75,114.79,114.74,114.79,3440
2024-03-22 14:38:00,114.74,114.74,114.73,114.74,841
2024-03-22 14:37:00,114.75,114.75,114.74,114.74,1360
2024-03-22 14:36:00,114.75,114.75,114.73,114.74,3698
2024-03-22 14:35:00,114.77,114.77,114.76,114.768,2133
2024-03-22 14:34:00,114.77,114.79,114.77,114.79,2853
2024-03-22 14:33:00,114.775,114.79,114.772,114.775,2634
2024-03-22 14:32:00,114.79,114.79,114.76,114.78,4895
2024-03-22 14:31:00,114.805,114.82,114.79,114.8,4291
2024-03-22 14:30:00,114.78,114.805,114.77,114.805,2645
2024-03-22 14:29:00,114.775,114.775,114.775,114.775,601
2024-03-22 14:28:00,114.775,114.78,114.775,114.78,578
2024-03-22 14:27:00,114.735,114.76,114.735,114.76,2547
2024-03-22 14:26:00,114.725,114.744,114.725,114.744,1185
2024-03-22 14:25:00,114.69,114.72,114.68,114.715,3362
2024-03-22 14:24:00,114.68,114.7,114.68,114.69,1246
2024-03-22 14:23:00,114.64,114.68,114.64,114.68,4933
2024-03-22 14:22:00,114.66,114.66,114.61,114.62,2595
2024-03-22 14:21:00,114.66,114.66,114.64,114.645,2261
2024-03-22 14:20:00,114.68,114.68,114.64,114.665,1895
2024-03-22 14:19:00,114.66,114.67,114.64,114.665,4672
2024-03-22 14:17:00,114.69,114.714,114.656,114.69,4273
2024-03-22 14:16:00,114.69,114.72,114.68,114.68,7475
2024-03-22 14:15:00,114.75,114.75,114.695,114.695,1815
2024-03-22 14:14:00,114.78,114.78,114.78,114.78,1973
2024-03-22 14:13:00,114.765,114.79,114.765,114.79,2230
2024-03-22 14:12:00,114.789,114.79,114.75,114.76,745
2024-03-22 14:11:00,114.76,114.76,114.76,114.76,988
2024-03-22 14:10:00,114.76,114.78,114.76,114.78,5623
2024-03-22 14:09:00,114.75,114.76,114.74,114.76,2030
2024-03-22 14:08:00,114.845,114.845,114.72,114.75,2900
2024-03-22 14:07:00,114.78,114.88,114.78,114.845,25120
2024-03-22 14:06:00,114.8,114.81,114.77,114.79,2220
