,1. open,2. high,3. low,4. close,5. volume
2016-07-29 15:59:00,66.386,66.502,66.258,66.377,16193
2016-07-29 15:58:00,66.411,66.518,66.291,66.427,10387
2016-07-29 15:57:00,66.427,66.56,66.333,66.452,5291
2016-07-29 15:56:00,66.427,66.527,66.325,66.46,2943
2016-07-29 15:55:00,66.419,66.543,66.316,66.452,6303
2016-07-29 15:54:00,66.448,66.552,66.325,66.45,3015
2016-07-29 15:53:00,66.469,66.568,66.358,66.485,1010
2016-07-29 15:52:00,66.469,66.585,66.383,66.502,4039
2016-07-29 15:51:00,66.469,66.568,66.383,66.502,100
2016-07-29 15:50:00,66.452,66.577,66.366,66.51,1289
2016-07-29 15:49:00,66.452,66.568,66.366,66.493,2611
2016-07-29 15:48:00,66.452,66.552,66.358,66.477,1000
2016-07-29 15:47:00,66.486,66.585,66.366,66.485,1900
2016-07-29 15:46:00,66.486,66.585,66.391,66.51,1122
2016-07-29 15:45:00,66.427,66.577,66.341,66.51,1400
2016-07-29 15:44:00,66.419,66.543,66.333,66.46,2876
2016-07-29 15:43:00,66.402,66.51,66.316,66.443,566
2016-07-29 15:42:00,66.386,66.51,66.3,66.435,2959
2016-07-29 15:41:00,66.352,66.469,66.266,66.402,400
2016-07-29 15:40:00,66.311,66.435,66.225,66.369,1872
2016-07-29 15:39:00,66.311,66.41,66.221,66.339,220
2016-07-29 15:38:00,66.311,66.419,66.217,66.335,1000
2016-07-29 15:37:00,66.311,66.419,66.225,66.344,1372
2016-07-29 15:36:00,66.319,66.423,66.233,66.352,1053
2016-07-29 15:35:00,66.311,66.427,66.225,66.36,1400
2016-07-29 15:34:00,66.307,66.41,66.221,66.344,600
2016-07-29 15:33:00,66.286,66.41,66.2,66.344,900
2016-07-29 15:32:00,66.261,66.377,66.175,66.31,300
2016-07-29 15:31:00,66.253,66.36,66.167,66.294,1600
2016-07-29 15:30:00,66.278,66.377,66.158,66.285,3465
2016-07-29 15:29:00,66.261,66.377,66.175,66.31,1400
2016-07-29 15:28:00,66.302,66.402,66.2,66.319,601
2016-07-29 15:27:00,66.311,66.41,66.217,66.344,1600
2016-07-29 15:25:00,66.327,66.427,66.217,66.335,2261
2016-07-29 15:24:00,66.332,66.431,66.246,66.364,100
2016-07-29 15:23:00,66.319,66.427,66.233,66.36,1550
2016-07-29 15:21:00,66.319,66.419,66.233,66.352,300
2016-07-29 15:20:00,66.336,66.435,66.241,66.36,1057
2016-07-29 15:19:00,66.344,66.444,66.258,66.377,100
