,1. open,2. high,3. low,4. close,5. volume
2020-12-31 15:59:00,144.921,145.159,144.803,144.901,38154
2020-12-31 15:58:00,144.883,144.989,144.755,144.901,4032
2020-12-31 15:57:00,144.921,145.074,144.755,144.854,8058
2020-12-31 15:56:00,144.798,144.999,144.689,144.92,6023
2020-12-31 15:55:00,144.855,144.923,144.661,144.797,5972
2020-12-31 15:54:00,144.808,145.036,144.704,144.948,5444
2020-12-31 15:53:00,144.77,144.876,144.642,144.788,2527
2020-12-31 15:52:00,144.893,144.961,144.623,144.783,2864
2020-12-31 15:51:00,144.798,144.942,144.472,144.854,4878
2020-12-31 15:50:00,144.458,144.857,144.331,144.778,2765
2020-12-31 15:49:00,144.515,144.592,144.321,144.429,3082
2020-12-31 15:48:00,144.335,144.564,144.246,144.504,1621
2020-12-31 15:47:00,144.26,144.337,144.151,144.278,537
2020-12-31 15:46:00,144.071,144.261,143.991,144.202,837
2020-12-31 15:45:00,143.99,144.12,143.91,144.06,600
2020-12-31 15:44:00,143.986,144.082,143.896,144.022,301
2020-12-31 15:43:00,143.99,144.101,143.91,144.008,1004
2020-12-31 15:42:00,143.976,144.072,143.887,143.994,948
2020-12-31 15:41:00,143.935,144.035,143.855,143.947,400
2020-12-31 15:40:00,144.052,144.11,143.915,144.032,733
2020-12-31 15:39:00,144.09,144.148,144.01,144.089,100
2020-12-31 15:38:00,144.179,144.238,144.0,144.089,800
2020-12-31 15:37:00,144.175,144.29,144.076,144.155,1034
2020-12-31 15:35:00,144.165,144.257,144.076,144.155,400
2020-12-31 15:34:00,144.175,144.276,144.095,144.174,456
2020-12-31 15:32:00,144.09,144.148,144.01,144.089,100
2020-12-31 15:31:00,143.967,144.101,143.887,144.022,500
2020-12-31 15:30:00,144.005,144.11,143.925,144.018,400
2020-12-31 15:29:00,143.986,144.044,143.906,143.985,202
2020-12-31 15:28:00,144.005,144.072,143.83,143.909,600
2020-12-31 15:27:00,144.052,144.186,143.887,143.966,1102
2020-12-31 15:26:00,144.118,144.176,144.038,144.117,100
2020-12-31 15:25:00,144.033,144.091,143.953,144.032,100
2020-12-31 15:24:00,143.986,144.082,143.906,143.994,741
2020-12-31 15:23:00,143.986,144.044,143.859,143.937,604
2020-12-31 15:20:00,143.995,144.054,143.859,143.947,502
2020-12-31 15:19:00,144.052,144.12,143.915,143.994,304
2020-12-31 15:18:00,144.052,144.11,143.887,143.966,500
2020-12-31 15:17:00,144.024,144.195,143.915,144.136,900
2020-12-31 15:16:00,144.033,144.186,143.887,144.06,920
2020-12-31 15:15:00,143.948,144.063,143.868,144.004,435
2020-12-31 15:12:00,143.91,143.969,143.83,143.909,100
2020-12-31 15:11:00,143.872,143.94,143.67,143.749,1458
2020-12-31 15:09:00,143.768,143.827,143.689,143.767,100
