,1. open,2. high,3. low,4. close,5. volume
2022-09-30 15:59:00,131.736,132.161,131.71,132.043,127798
2022-09-30 15:58:00,131.746,131.868,131.661,131.788,35352
2022-09-30 15:57:00,131.736,131.872,131.676,131.793,36493
2022-09-30 15:56:00,131.736,131.838,131.686,131.759,28558
2022-09-30 15:55:00,131.912,132.083,131.705,131.788,26682
2022-09-30 15:54:00,131.931,132.083,131.823,131.945,21794
2022-09-30 15:53:00,132.0,132.132,131.813,131.984,27758
2022-09-30 15:52:00,132.068,132.239,131.944,132.033,42493
2022-09-30 15:51:00,132.235,132.303,132.038,132.15,16781
2022-09-30 15:50:00,132.518,132.582,132.077,132.258,41951
2022-09-30 15:49:00,132.675,132.768,132.468,132.586,12092
2022-09-30 15:48:00,132.694,132.846,132.566,132.728,22144
2022-09-30 15:47:00,132.577,132.846,132.556,132.71,9747
2022-09-30 15:46:00,132.528,132.699,132.507,132.605,10786
2022-09-30 15:45:00,132.557,132.68,132.449,132.542,7198
2022-09-30 15:44:00,132.597,132.69,132.409,132.61,6328
2022-09-30 15:43:00,132.557,132.758,132.527,132.649,11302
2022-09-30 15:42:00,132.576,132.748,132.497,132.581,7052
2022-09-30 15:41:00,132.538,132.68,132.478,132.63,4720
2022-09-30 15:40:00,132.43,132.641,132.4,132.62,2287
2022-09-30 15:39:00,132.391,132.621,132.37,132.483,6767
2022-09-30 15:38:00,132.577,132.641,132.312,132.375,12510
2022-09-30 15:37:00,132.489,132.836,132.429,132.679,7414
2022-09-30 15:36:00,132.577,132.641,132.443,132.532,10861
2022-09-30 15:35:00,132.645,132.748,132.537,132.649,2864
2022-09-30 15:34:00,132.597,132.778,132.566,132.757,1800
2022-09-30 15:33:00,132.675,132.807,132.649,132.713,1408
2022-09-30 15:32:00,132.973,133.037,132.664,132.728,1320
2022-09-30 15:31:00,133.164,133.257,132.898,133.031,1900
2022-09-30 15:30:00,132.978,133.218,132.879,133.197,2035
2022-09-30 15:29:00,132.631,133.013,132.566,132.962,4307
2022-09-30 15:28:00,132.489,132.69,132.39,132.64,8703
2022-09-30 15:27:00,132.562,132.631,132.478,132.542,1010
2022-09-30 15:26:00,132.597,132.68,132.478,132.591,2456
2022-09-30 15:25:00,132.69,132.753,132.537,132.62,2421
2022-09-30 15:24:00,132.675,132.827,132.654,132.767,1698
2022-09-30 15:23:00,132.597,132.719,132.527,132.669,1200
2022-09-30 15:22:00,132.548,132.719,132.419,132.659,5012
2022-09-30 15:21:00,132.724,132.788,132.497,132.561,3083
2022-09-30 15:20:00,132.743,132.866,132.634,132.786,3887
2022-09-30 15:19:00,132.841,132.915,132.708,132.796,2340
2022-09-30 15:18:00,132.724,132.876,132.654,132.845,2903
2022-09-30 15:17:00,132.875,132.939,132.722,132.786,2001
2022-09-30 15:16:00,132.744,133.016,132.724,132.943,3716
2022-09-30 15:15:00,132.763,132.827,132.615,132.757,4274
2022-09-30 15:14:00,132.753,132.88,132.693,132.796,4847
2022-09-30 15:13:00,132.89,132.954,132.708,132.777,3699
2022-09-30 15:12:00,132.968,133.032,132.771,132.914,1767
2022-09-30 15:11:00,133.144,133.248,132.977,133.051,1944
2022-09-30 15:10:00,132.998,133.169,132.957,133.139,1900
