,1. open,2. high,3. low,4. close,5. volume
2017-12-29 15:59:00,281.252,281.487,280.796,281.097,93582
2017-12-29 15:58:00,281.404,281.554,281.053,281.221,42004
2017-12-29 15:57:00,281.5,281.678,281.177,281.335,13050
2017-12-29 15:56:00,281.5,281.658,281.234,281.411,13345
2017-12-29 15:55:00,281.633,281.782,281.358,281.478,13986
2017-12-29 15:54:00,281.671,281.792,281.444,281.568,5772
2017-12-29 15:53:00,281.662,281.846,281.463,281.602,6362
2017-12-29 15:52:00,281.681,281.811,281.434,281.585,7081
2017-12-29 15:51:00,281.604,281.811,281.387,281.621,5018
2017-12-29 15:50:00,281.671,281.792,281.301,281.502,8075
2017-12-29 15:49:00,281.719,281.83,281.482,281.64,3646
2017-12-29 15:48:00,281.604,281.792,281.415,281.612,1701
2017-12-29 15:47:00,281.69,281.878,281.432,281.558,2505
2017-12-29 15:46:00,281.633,281.83,281.444,281.612,3000
2017-12-29 15:45:00,281.576,281.821,281.387,281.573,5261
2017-12-29 15:44:00,281.566,281.716,281.32,281.497,3507
2017-12-29 15:43:00,281.537,281.763,281.347,281.488,2241
2017-12-29 15:42:00,281.49,281.649,281.253,281.469,2694
2017-12-29 15:41:00,281.442,281.649,281.253,281.411,2007
2017-12-29 15:40:00,281.29,281.563,281.101,281.373,4063
2017-12-29 15:39:00,281.318,281.43,281.053,281.183,2691
2017-12-29 15:38:00,281.338,281.496,281.111,281.242,2525
2017-12-29 15:37:00,281.395,281.544,281.168,281.288,2856
2017-12-29 15:36:00,281.547,281.658,281.206,281.326,1300
2017-12-29 15:35:00,281.613,281.744,281.368,281.488,4303
2017-12-29 15:34:00,281.624,281.744,281.396,281.564,1292
2017-12-29 15:33:00,281.604,281.725,281.406,281.541,2622
2017-12-29 15:32:00,281.7,281.818,281.425,281.564,2455
2017-12-29 15:31:00,281.747,281.883,281.516,281.65,1000
2017-12-29 15:30:00,281.781,281.892,281.587,281.707,700
2017-12-29 15:29:00,281.719,281.868,281.52,281.688,3400
2017-12-29 15:28:00,281.747,281.868,281.51,281.65,2508
2017-12-29 15:27:00,281.724,281.84,281.529,281.659,1600
2017-12-29 15:26:00,281.766,281.878,281.52,281.64,1547
2017-12-29 15:25:00,281.824,281.935,281.577,281.707,4373
2017-12-29 15:24:00,281.814,281.973,281.625,281.769,3299
2017-12-29 15:23:00,281.814,281.983,281.615,281.793,3357
2017-12-29 15:22:00,281.814,281.925,281.587,281.726,1531
2017-12-29 15:21:00,281.758,281.911,281.568,281.731,3178
2017-12-29 15:20:00,281.8,281.925,281.539,281.697,2672
2017-12-29 15:19:00,281.814,281.925,281.587,281.731,5416
2017-12-29 15:18:00,281.785,281.954,281.596,281.726,1704
2017-12-29 15:17:00,281.824,281.935,281.596,281.754,600
2017-12-29 15:16:00,281.846,281.957,281.634,281.754,700
2017-12-29 15:15:00,281.89,282.04,281.668,281.788,2770
2017-12-29 15:14:00,281.89,282.026,281.692,281.821,920
2017-12-29 15:13:00,281.89,282.011,281.682,281.831,600
2017-12-29 15:12:00,281.852,282.002,281.644,281.821,1538
