,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,37.12,37.12,37.04,37.045,667582
2024-03-22 15:58:00,37.106,37.12,37.09,37.12,423346
2024-03-22 15:57:00,37.085,37.11,37.08,37.105,220287
2024-03-22 15:56:00,37.11,37.11,37.085,37.09,207999
2024-03-22 15:55:00,37.13,37.15,37.1,37.105,362959
2024-03-22 15:54:00,37.115,37.13,37.11,37.125,127909
2024-03-22 15:53:00,37.115,37.12,37.11,37.115,275270
2024-03-22 15:52:00,37.117,37.126,37.11,37.12,142154
2024-03-22 15:51:00,37.115,37.13,37.11,37.119,152368
2024-03-22 15:50:00,37.14,37.14,37.1,37.115,157221
2024-03-22 15:49:00,37.135,37.14,37.11,37.136,223550
2024-03-22 15:48:00,37.135,37.14,37.13,37.13,47885
2024-03-22 15:47:00,37.145,37.15,37.13,37.13,217067
2024-03-22 15:46:00,37.147,37.15,37.14,37.145,30143
2024-03-22 15:45:00,37.14,37.15,37.13,37.15,116017
2024-03-22 15:44:00,37.135,37.15,37.132,37.14,97542
2024-03-22 15:43:00,37.13,37.14,37.12,37.14,37373
2024-03-22 15:42:00,37.125,37.13,37.12,37.122,35257
2024-03-22 15:41:00,37.13,37.14,37.124,37.125,40940
2024-03-22 15:40:00,37.114,37.136,37.114,37.136,93000
2024-03-22 15:39:00,37.105,37.13,37.103,37.115,84562
2024-03-22 15:38:00,37.125,37.126,37.1,37.104,53029
2024-03-22 15:37:00,37.13,37.14,37.12,37.126,133680
2024-03-22 15:36:00,37.125,37.13,37.11,37.125,69792
2024-03-22 15:35:00,37.115,37.13,37.11,37.125,80737
2024-03-22 15:34:00,37.115,37.13,37.11,37.112,61262
2024-03-22 15:33:00,37.145,37.15,37.11,37.115,99928
2024-03-22 15:32:00,37.163,37.165,37.14,37.145,76856
2024-03-22 15:31:00,37.174,37.18,37.16,37.165,86052
2024-03-22 15:30:00,37.154,37.185,37.154,37.18,120789
2024-03-22 15:29:00,37.145,37.16,37.14,37.16,106519
2024-03-22 15:28:00,37.125,37.145,37.125,37.145,32672
2024-03-22 15:27:00,37.135,37.135,37.12,37.125,37609
2024-03-22 15:26:00,37.12,37.14,37.12,37.135,24107
2024-03-22 15:25:00,37.135,37.14,37.12,37.125,44090
2024-03-22 15:24:00,37.12,37.14,37.115,37.138,50783
2024-03-22 15:23:00,37.104,37.12,37.104,37.115,72492
2024-03-22 15:22:00,37.1,37.11,37.09,37.11,52200
2024-03-22 15:21:00,37.085,37.095,37.074,37.095,57814
2024-03-22 15:20:00,37.075,37.085,37.065,37.08,120336
2024-03-22 15:19:00,37.08,37.085,37.07,37.076,46370
2024-03-22 15:18:00,37.07,37.085,37.07,37.074,54301
2024-03-22 15:17:00,37.065,37.075,37.055,37.075,145961
2024-03-22 15:16:00,37.105,37.11,37.06,37.065,79378
2024-03-22 15:15:00,37.105,37.115,37.1,37.106,136667
2024-03-22 15:14:00,37.11,37.12,37.1,37.105,52649
2024-03-22 15:13:00,37.111,37.115,37.09,37.106,42519
2024-03-22 15:12:00,37.128,37.13,37.09,37.115,131640
2024-03-22 15:11:00,37.12,37.13,37.11,37.125,57614
2024-03-22 15:10:00,37.145,37.15,37.12,37.125,44008
2024-03-22 15:09:00,37.15,37.15,37.14,37.14,18649
2024-03-22 15:08:00,37.145,37.15,37.14,37.15,16244
2024-03-22 15:07:00,37.145,37.16,37.14,37.15,42672
2024-03-22 15:06:00,37.145,37.15,37.14,37.15,29389
2024-03-22 15:05:00,37.13,37.15,37.13,37.145,31881
2024-03-22 15:04:00,37.145,37.146,37.13,37.13,26091
2024-03-22 15:03:00,37.145,37.15,37.14,37.145,15170
2024-03-22 15:02:00,37.15,37.16,37.14,37.145,55571
2024-03-22 15:01:00,37.14,37.16,37.14,37.155,22325
2024-03-22 15:00:00,37.155,37.16,37.14,37.145,42619
2024-03-22 14:59:00,37.154,37.17,37.154,37.16,44116
2024-03-22 14:58:00,37.155,37.16,37.142,37.15,56689
2024-03-22 14:57:00,37.155,37.16,37.15,37.156,13902
2024-03-22 14:56:00,37.138,37.16,37.13,37.156,31372
2024-03-22 14:55:00,37.135,37.14,37.12,37.14,70382
2024-03-22 14:54:00,37.13,37.14,37.13,37.135,17802
2024-03-22 14:53:00,37.144,37.155,37.132,37.136,71708
