,1. open,2. high,3. low,4. close,5. volume
2022-10-31 15:59:00,52.203,52.227,52.075,52.122,222924
2022-10-31 15:58:00,52.211,52.227,52.133,52.18,73349
2022-10-31 15:57:00,52.193,52.237,52.133,52.175,54155
2022-10-31 15:56:00,52.14,52.208,52.085,52.156,44846
2022-10-31 15:55:00,52.155,52.174,52.056,52.108,49943
2022-10-31 15:54:00,52.15,52.189,52.099,52.122,37402
2022-10-31 15:53:00,52.145,52.179,52.094,52.118,23625
2022-10-31 15:52:00,52.116,52.194,52.056,52.118,23131
2022-10-31 15:51:00,52.126,52.141,52.056,52.084,13563
2022-10-31 15:50:00,52.184,52.208,52.065,52.098,23899
2022-10-31 15:49:00,52.27,52.285,52.137,52.156,19362
2022-10-31 15:48:00,52.27,52.294,52.209,52.242,5568
2022-10-31 15:47:00,52.303,52.318,52.214,52.238,9452
2022-10-31 15:46:00,52.289,52.333,52.238,52.271,14021
2022-10-31 15:45:00,52.284,52.318,52.228,52.262,13750
2022-10-31 15:44:00,52.294,52.318,52.233,52.257,10036
2022-10-31 15:43:00,52.279,52.314,52.219,52.266,3586
2022-10-31 15:42:00,52.279,52.314,52.209,52.247,10169
2022-10-31 15:41:00,52.241,52.299,52.19,52.252,4334
2022-10-31 15:40:00,52.227,52.275,52.176,52.218,6354
2022-10-31 15:39:00,52.217,52.246,52.152,52.194,4505
2022-10-31 15:38:00,52.241,52.256,52.161,52.18,5502
2022-10-31 15:37:00,52.26,52.285,52.176,52.209,8870
2022-10-31 15:36:00,52.232,52.28,52.18,52.223,5932
2022-10-31 15:35:00,52.256,52.275,52.171,52.199,4156
2022-10-31 15:34:00,52.251,52.275,52.171,52.223,2956
2022-10-31 15:33:00,52.241,52.275,52.18,52.228,6349
2022-10-31 15:32:00,52.212,52.275,52.157,52.209,5592
2022-10-31 15:31:00,52.193,52.227,52.104,52.18,10002
2022-10-31 15:30:00,52.193,52.208,52.104,52.156,11172
2022-10-31 15:29:00,52.145,52.218,52.089,52.17,4837
2022-10-31 15:28:00,52.107,52.165,52.037,52.108,10554
2022-10-31 15:27:00,52.088,52.122,52.013,52.07,5785
2022-10-31 15:26:00,52.088,52.122,52.008,52.046,6237
2022-10-31 15:25:00,52.049,52.103,51.989,52.055,9062
2022-10-31 15:24:00,52.064,52.079,51.979,52.012,12059
2022-10-31 15:23:00,52.068,52.103,51.994,52.027,11380
2022-10-31 15:22:00,52.068,52.103,51.989,52.027,11923
2022-10-31 15:21:00,52.044,52.112,51.989,52.041,15582
2022-10-31 15:20:00,52.04,52.064,51.974,52.012,7179
2022-10-31 15:19:00,52.025,52.055,51.941,52.003,8735
