,1. open,2. high,3. low,4. close,5. volume
2017-07-31 15:59:00,30.044,30.459,29.648,30.202,116147
2017-07-31 15:58:00,30.07,30.473,29.655,30.211,44734
2017-07-31 15:57:00,30.06,30.473,29.671,30.241,27188
2017-07-31 15:56:00,30.063,30.463,29.667,30.225,31659
2017-07-31 15:55:00,30.063,30.466,29.661,30.228,41893
2017-07-31 15:54:00,30.06,30.466,29.667,30.229,18872
2017-07-31 15:53:00,30.05,30.459,29.648,30.228,22695
2017-07-31 15:52:00,30.018,30.453,29.629,30.221,27327
2017-07-31 15:51:00,30.037,30.44,29.629,30.185,19805
2017-07-31 15:50:00,30.054,30.453,29.648,30.202,48018
2017-07-31 15:49:00,30.07,30.469,29.655,30.218,34552
2017-07-31 15:48:00,30.096,30.499,29.68,30.238,32174
2017-07-31 15:47:00,30.07,30.505,29.674,30.267,26181
2017-07-31 15:46:00,30.05,30.466,29.661,30.234,16861
2017-07-31 15:45:00,30.024,30.446,29.619,30.215,23085
2017-07-31 15:44:00,30.034,30.433,29.629,30.182,23474
2017-07-31 15:43:00,30.018,30.436,29.626,30.198,14991
2017-07-31 15:42:00,30.018,30.414,29.623,30.182,7770
2017-07-31 15:41:00,29.995,30.41,29.603,30.176,4679
2017-07-31 15:40:00,29.96,30.394,29.571,30.163,25048
2017-07-31 15:39:00,29.96,30.361,29.562,30.13,17678
2017-07-31 15:38:00,29.934,30.351,29.546,30.12,7158
2017-07-31 15:37:00,29.94,30.341,29.552,30.104,8394
2017-07-31 15:36:00,29.927,30.335,29.54,30.104,10503
2017-07-31 15:35:00,29.937,30.331,29.533,30.085,11909
2017-07-31 15:34:00,29.94,30.335,29.546,30.098,1000
2017-07-31 15:33:00,29.947,30.345,29.546,30.104,7922
2017-07-31 15:32:00,29.94,30.348,29.552,30.111,2528
2017-07-31 15:31:00,29.93,30.338,29.54,30.107,3298
2017-07-31 15:30:00,29.927,30.341,29.54,30.094,16977
2017-07-31 15:29:00,29.917,30.328,29.53,30.091,9853
2017-07-31 15:28:00,29.892,30.315,29.501,30.085,9094
2017-07-31 15:27:00,29.895,30.289,29.501,30.052,1875
2017-07-31 15:26:00,29.888,30.289,29.501,30.055,1800
2017-07-31 15:25:00,29.892,30.289,29.495,30.052,6702
2017-07-31 15:24:00,29.898,30.295,29.501,30.058,5631
2017-07-31 15:23:00,29.888,30.295,29.501,30.058,4000
2017-07-31 15:22:00,29.875,30.282,29.488,30.049,2026
2017-07-31 15:21:00,29.875,30.269,29.482,30.039,5668
2017-07-31 15:20:00,29.869,30.282,29.482,30.039,9004
2017-07-31 15:19:00,29.849,30.249,29.459,30.019,1943
2017-07-31 15:18:00,29.843,30.249,29.456,30.006,5902
2017-07-31 15:17:00,29.82,30.233,29.425,30.003,8326
2017-07-31 15:16:00,29.82,30.23,29.405,29.984,32708
2017-07-31 15:15:00,29.817,30.217,29.418,29.984,3405
2017-07-31 15:14:00,29.827,30.223,29.413,29.974,10112
2017-07-31 15:13:00,29.781,30.217,29.396,29.987,4200
2017-07-31 15:12:00,29.778,30.174,29.373,29.941,24586
2017-07-31 15:11:00,29.811,30.21,29.392,29.941,11104
2017-07-31 15:10:00,29.791,30.21,29.399,29.974,10368
2017-07-31 15:09:00,29.788,30.184,29.392,29.948,5486
2017-07-31 15:08:00,29.785,30.182,29.396,29.951,2002
2017-07-31 15:07:00,29.765,30.184,29.373,29.948,14732
2017-07-31 15:06:00,29.788,30.187,29.373,29.935,8863
2017-07-31 15:05:00,29.791,30.2,29.405,29.961,11636
2017-07-31 15:04:00,29.791,30.184,29.397,29.948,4149
2017-07-31 15:03:00,29.756,30.177,29.37,29.948,53436
2017-07-31 15:02:00,29.791,30.19,29.37,29.918,11307
2017-07-31 15:01:00,29.791,30.194,29.398,29.954,7603
2017-07-31 15:00:00,29.785,30.181,29.392,29.951,1900
2017-07-31 14:59:00,29.781,30.174,29.38,29.935,9362
2017-07-31 14:58:00,29.791,30.19,29.386,29.941,6680
2017-07-31 14:57:00,29.765,30.197,29.38,29.954,6326
2017-07-31 14:56:00,29.801,30.204,29.373,29.928,18159
2017-07-31 14:55:00,29.791,30.19,29.405,29.961,1678
2017-07-31 14:54:00,29.765,30.184,29.377,29.954,2876
2017-07-31 14:53:00,29.778,30.177,29.361,29.928,11830
2017-07-31 14:52:00,29.814,30.207,29.399,29.948,5500
2017-07-31 14:51:00,29.817,30.21,29.425,29.977,1100
2017-07-31 14:50:00,29.82,30.223,29.418,29.967,12020
2017-07-31 14:49:00,29.811,30.213,29.412,29.984,8618
2017-07-31 14:48:00,29.811,30.21,29.421,29.974,36896
2017-07-31 14:47:00,29.805,30.21,29.419,29.974,7904
2017-07-31 14:46:00,29.824,30.217,29.412,29.974,27078
2017-07-31 14:45:00,29.866,30.259,29.431,29.98,14199
2017-07-31 14:44:00,29.836,30.259,29.45,30.029,3100
2017-07-31 14:43:00,29.824,30.223,29.431,29.993,5747
2017-07-31 14:42:00,29.817,30.219,29.424,29.978,6026
2017-07-31 14:41:00,29.85,30.246,29.431,29.987,13909
2017-07-31 14:40:00,29.849,30.246,29.463,30.013,1800
2017-07-31 14:39:00,29.83,30.247,29.444,30.006,6657
2017-07-31 14:38:00,29.836,30.233,29.431,29.99,3808
2017-07-31 14:37:00,29.836,30.236,29.45,30.003,2600
2017-07-31 14:36:00,29.859,30.263,29.45,30.0,4600
2017-07-31 14:35:00,29.904,30.302,29.469,30.019,8036
2017-07-31 14:34:00,29.908,30.309,29.508,30.065,6899
2017-07-31 14:33:00,29.901,30.315,29.514,30.071,2400
2017-07-31 14:32:00,29.921,30.322,29.514,30.075,3930
2017-07-31 14:31:00,29.93,30.325,29.514,30.085,9140
2017-07-31 14:30:00,29.934,30.335,29.527,30.094,7303
2017-07-31 14:29:00,29.895,30.341,29.508,30.104,14514
2017-07-31 14:28:00,29.901,30.295,29.508,30.058,4921
2017-07-31 14:27:00,29.895,30.295,29.501,30.062,5962
2017-07-31 14:26:00,29.898,30.292,29.501,30.052,3500
2017-07-31 14:25:00,29.898,30.295,29.508,30.058,2734
2017-07-31 14:24:00,29.895,30.295,29.501,30.062,51870
2017-07-31 14:23:00,29.869,30.289,29.482,30.058,3975
2017-07-31 14:22:00,29.869,30.269,29.469,30.039,5700
2017-07-31 14:21:00,29.83,30.266,29.444,30.036,10235
2017-07-31 14:20:00,29.859,30.253,29.45,30.003,6531
2017-07-31 14:19:00,29.869,30.276,29.469,30.019,6777
2017-07-31 14:18:00,29.869,30.269,29.469,30.026,6349
2017-07-31 14:17:00,29.882,30.279,29.476,30.029,5900
2017-07-31 14:16:00,29.888,30.286,29.482,30.052,23175
2017-07-31 14:15:00,29.888,30.295,29.495,30.045,5156
2017-07-31 14:14:00,29.892,30.295,29.498,30.058,3829
2017-07-31 14:13:00,29.869,30.282,29.476,30.052,7586
2017-07-31 14:12:00,29.875,30.269,29.482,30.039,300
2017-07-31 14:11:00,29.869,30.263,29.479,30.032,1450
