,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,81.745,81.76,81.65,81.65,120506
2024-03-22 15:58:00,81.76,81.78,81.74,81.745,86798
2024-03-22 15:57:00,81.695,81.76,81.69,81.755,45748
2024-03-22 15:56:00,81.78,81.785,81.68,81.695,75312
2024-03-22 15:55:00,81.895,81.95,81.72,81.79,64539
2024-03-22 15:54:00,81.89,81.91,81.87,81.895,29041
2024-03-22 15:53:00,81.78,81.9,81.76,81.88,35245
2024-03-22 15:52:00,81.71,81.82,81.71,81.78,35703
2024-03-22 15:51:00,81.68,81.79,81.68,81.72,36784
2024-03-22 15:50:00,81.59,81.77,81.585,81.675,37801
2024-03-22 15:49:00,81.63,81.655,81.58,81.58,20082
2024-03-22 15:48:00,81.56,81.649,81.56,81.63,36047
2024-03-22 15:47:00,81.52,81.58,81.505,81.55,17799
2024-03-22 15:46:00,81.54,81.56,81.48,81.52,30912
2024-03-22 15:45:00,81.57,81.57,81.525,81.545,19967
2024-03-22 15:44:00,81.49,81.58,81.485,81.57,22877
2024-03-22 15:43:00,81.46,81.51,81.46,81.5,9255
2024-03-22 15:42:00,81.39,81.47,81.39,81.46,13463
2024-03-22 15:41:00,81.43,81.43,81.38,81.385,10050
2024-03-22 15:40:00,81.41,81.49,81.4,81.44,14410
2024-03-22 15:39:00,81.36,81.41,81.34,81.4,10349
2024-03-22 15:38:00,81.37,81.37,81.33,81.36,13166
2024-03-22 15:37:00,81.33,81.395,81.32,81.37,10004
2024-03-22 15:36:00,81.24,81.365,81.24,81.33,11196
2024-03-22 15:35:00,81.26,81.32,81.24,81.25,7832
2024-03-22 15:34:00,81.2,81.255,81.195,81.25,9428
2024-03-22 15:33:00,81.26,81.26,81.21,81.21,20504
2024-03-22 15:32:00,81.33,81.34,81.27,81.27,15063
2024-03-22 15:31:00,81.39,81.4,81.33,81.33,14474
2024-03-22 15:30:00,81.31,81.41,81.3,81.39,12122
2024-03-22 15:29:00,81.32,81.35,81.29,81.31,7458
2024-03-22 15:28:00,81.27,81.33,81.265,81.297,7822
2024-03-22 15:27:00,81.28,81.33,81.27,81.275,10324
2024-03-22 15:26:00,81.25,81.29,81.25,81.27,6873
2024-03-22 15:25:00,81.31,81.33,81.26,81.26,8459
2024-03-22 15:24:00,81.31,81.35,81.31,81.325,12428
2024-03-22 15:23:00,81.33,81.43,81.31,81.31,9256
2024-03-22 15:22:00,81.3,81.35,81.28,81.33,10674
2024-03-22 15:21:00,81.28,81.3,81.26,81.29,6537
2024-03-22 15:20:00,81.27,81.35,81.26,81.295,10350
2024-03-22 15:19:00,81.35,81.35,81.25,81.27,7309
2024-03-22 15:18:00,81.27,81.34,81.22,81.33,12157
2024-03-22 15:17:00,81.41,81.41,81.27,81.27,7124
2024-03-22 15:16:00,81.445,81.45,81.38,81.41,9437
2024-03-22 15:15:00,81.46,81.485,81.44,81.44,5695
2024-03-22 15:14:00,81.48,81.517,81.45,81.45,7454
2024-03-22 15:13:00,81.51,81.52,81.44,81.48,8656
2024-03-22 15:12:00,81.54,81.56,81.47,81.52,15135
2024-03-22 15:11:00,81.57,81.57,81.538,81.54,6669
2024-03-22 15:10:00,81.555,81.61,81.54,81.58,14255
2024-03-22 15:09:00,81.6,81.6,81.55,81.55,4726
2024-03-22 15:08:00,81.53,81.61,81.53,81.595,8784
2024-03-22 15:07:00,81.58,81.59,81.53,81.54,9032
2024-03-22 15:06:00,81.57,81.58,81.55,81.58,6535
2024-03-22 15:05:00,81.51,81.57,81.51,81.56,5253
2024-03-22 15:04:00,81.545,81.56,81.5,81.502,4513
2024-03-22 15:03:00,81.5,81.63,81.5,81.53,10724
2024-03-22 15:02:00,81.56,81.6,81.5,81.52,7905
2024-03-22 15:01:00,81.57,81.66,81.55,81.55,29699
2024-03-22 15:00:00,81.48,81.56,81.45,81.56,8252
2024-03-22 14:59:00,81.37,81.48,81.37,81.48,4956
2024-03-22 14:58:00,81.4,81.425,81.37,81.38,8496
2024-03-22 14:57:00,81.35,81.395,81.35,81.39,7115
2024-03-22 14:56:00,81.325,81.34,81.31,81.34,4644
2024-03-22 14:55:00,81.24,81.34,81.24,81.33,6701
2024-03-22 14:54:00,81.185,81.23,81.18,81.225,5820
2024-03-22 14:53:00,81.19,81.2,81.17,81.18,6167
2024-03-22 14:52:00,81.18,81.24,81.18,81.19,8484
2024-03-22 14:51:00,81.09,81.16,81.07,81.16,6089
2024-03-22 14:50:00,81.09,81.15,81.07,81.085,7358
2024-03-22 14:49:00,81.055,81.13,81.055,81.105,7083
2024-03-22 14:48:00,81.015,81.07,81.0,81.06,3407
2024-03-22 14:47:00,81.01,81.025,80.97,81.02,7200
2024-03-22 14:46:00,81.03,81.04,80.95,81.02,11324
2024-03-22 14:45:00,81.07,81.07,81.02,81.027,6016
2024-03-22 14:44:00,81.08,81.08,81.03,81.05,5470
2024-03-22 14:43:00,81.09,81.12,81.08,81.1,3190
2024-03-22 14:42:00,81.105,81.105,81.08,81.09,7148
2024-03-22 14:41:00,81.15,81.15,81.1,81.11,4958
2024-03-22 14:40:00,81.24,81.24,81.17,81.17,3764
2024-03-22 14:39:00,81.25,81.255,81.23,81.25,5409
2024-03-22 14:38:00,81.28,81.28,81.23,81.25,6058
2024-03-22 14:37:00,81.25,81.28,81.245,81.27,6674
2024-03-22 14:36:00,81.29,81.29,81.22,81.25,5507
2024-03-22 14:35:00,81.28,81.31,81.28,81.31,3885
2024-03-22 14:34:00,81.34,81.34,81.28,81.28,3625
2024-03-22 14:33:00,81.29,81.34,81.29,81.3,4617
2024-03-22 14:32:00,81.435,81.435,81.32,81.32,9058
2024-03-22 14:31:00,81.425,81.44,81.4,81.44,11379
2024-03-22 14:30:00,81.34,81.43,81.34,81.43,8154
2024-03-22 14:29:00,81.29,81.34,81.29,81.34,4365
2024-03-22 14:28:00,81.21,81.27,81.198,81.27,7559
2024-03-22 14:27:00,81.14,81.21,81.14,81.205,2851
2024-03-22 14:26:00,81.13,81.16,81.13,81.155,5402
2024-03-22 14:25:00,81.12,81.15,81.09,81.125,8607
2024-03-22 14:24:00,81.14,81.14,81.1,81.115,1263
2024-03-22 14:23:00,81.09,81.185,81.09,81.14,8258
2024-03-22 14:22:00,81.11,81.14,81.08,81.08,6646
2024-03-22 14:21:00,81.1,81.135,81.1,81.12,2916
2024-03-22 14:20:00,81.155,81.16,81.1,81.1,5574
2024-03-22 14:19:00,81.07,81.16,81.07,81.145,6258
2024-03-22 14:18:00,81.11,81.12,81.06,81.07,4609
2024-03-22 14:17:00,81.09,81.12,81.06,81.11,8138
2024-03-22 14:16:00,81.045,81.12,81.045,81.12,3870
2024-03-22 14:15:00,81.13,81.13,81.035,81.045,6487
2024-03-22 14:14:00,81.21,81.215,81.13,81.13,5463
2024-03-22 14:13:00,81.17,81.21,81.165,81.21,7061
2024-03-22 14:12:00,81.17,81.18,81.17,81.17,1067
2024-03-22 14:11:00,81.18,81.18,81.17,81.17,3289
2024-03-22 14:10:00,81.2,81.23,81.16,81.19,9026
2024-03-22 14:09:00,81.225,81.23,81.19,81.19,3487
2024-03-22 14:08:00,81.23,81.23,81.21,81.22,1716
2024-03-22 14:07:00,81.21,81.266,81.21,81.24,6171
2024-03-22 14:06:00,81.19,81.21,81.16,81.21,7046
2024-03-22 14:05:00,81.27,81.27,81.18,81.19,3976
2024-03-22 14:04:00,81.24,81.275,81.23,81.255,5913
2024-03-22 14:03:00,81.25,81.333,81.24,81.24,8275
2024-03-22 14:02:00,81.27,81.285,81.228,81.25,6959
2024-03-22 14:01:00,81.36,81.365,81.25,81.25,3359
2024-03-22 14:00:00,81.39,81.42,81.35,81.37,9353
2024-03-22 13:59:00,81.36,81.38,81.32,81.375,11051
2024-03-22 13:58:00,81.35,81.38,81.34,81.37,7620
2024-03-22 13:57:00,81.29,81.39,81.28,81.36,15342
2024-03-22 13:56:00,81.29,81.3,81.28,81.28,3038
