,1. open,2. high,3. low,4. close,5. volume
2018-05-31 15:59:00,199.195,199.533,199.02,199.245,72377
2018-05-31 15:58:00,199.231,199.488,198.984,199.174,10549
2018-05-31 15:57:00,199.042,199.407,198.876,199.236,10805
2018-05-31 15:56:00,199.033,199.191,198.786,199.048,15407
2018-05-31 15:55:00,198.961,199.182,198.786,199.03,7715
2018-05-31 15:54:00,198.884,199.137,198.719,198.994,8059
2018-05-31 15:53:00,198.916,199.084,198.706,198.868,5857
2018-05-31 15:52:00,198.889,199.066,198.715,198.913,6861
2018-05-31 15:51:00,198.916,199.084,198.688,198.877,9022
2018-05-31 15:50:00,199.159,199.299,198.724,198.886,6821
2018-05-31 15:49:00,199.258,199.416,199.011,199.192,3729
2018-05-31 15:48:00,199.177,199.452,199.011,199.302,5586
2018-05-31 15:47:00,199.168,199.326,198.984,199.165,4612
2018-05-31 15:46:00,199.087,199.29,198.903,199.129,7128
2018-05-31 15:45:00,199.033,199.29,198.84,199.124,3930
2018-05-31 15:44:00,199.114,199.254,198.885,199.057,2685
2018-05-31 15:43:00,199.159,199.389,198.849,199.07,33927
2018-05-31 15:42:00,199.163,199.326,198.957,199.156,2665
2018-05-31 15:41:00,199.329,199.47,198.993,199.156,5841
2018-05-31 15:40:00,199.428,199.569,199.173,199.34,1845
2018-05-31 15:39:00,199.32,199.578,199.155,199.353,2152
2018-05-31 15:38:00,199.374,199.56,199.155,199.353,4925
2018-05-31 15:37:00,199.267,199.506,199.101,199.362,1719
2018-05-31 15:36:00,199.114,199.371,198.921,199.228,2854
2018-05-31 15:35:00,199.064,199.29,198.849,199.12,12930
2018-05-31 15:34:00,199.096,199.281,198.883,199.045,4198
2018-05-31 15:33:00,199.141,199.281,198.912,199.075,2255
2018-05-31 15:32:00,199.168,199.331,198.939,199.147,5418
2018-05-31 15:31:00,199.168,199.344,198.957,199.156,2225
2018-05-31 15:30:00,199.258,199.407,198.93,199.201,5650
2018-05-31 15:29:00,199.311,199.452,199.02,199.254,1880
2018-05-31 15:28:00,199.222,199.461,199.056,199.263,4510
2018-05-31 15:27:00,199.177,199.331,198.984,199.169,1845
2018-05-31 15:26:00,199.168,199.335,198.957,199.165,1640
2018-05-31 15:25:00,199.177,199.353,198.971,199.196,1739
2018-05-31 15:24:00,199.302,199.443,198.975,199.138,2050
2018-05-31 15:23:00,199.258,199.452,199.038,199.299,1947
2018-05-31 15:22:00,199.105,199.389,198.935,199.219,3075
2018-05-31 15:21:00,199.136,199.29,198.921,199.12,2152
2018-05-31 15:20:00,199.145,199.29,198.948,199.147,512
2018-05-31 15:19:00,199.114,199.344,198.948,199.138,5227
2018-05-31 15:18:00,199.096,199.317,198.93,199.111,2562
2018-05-31 15:17:00,199.24,199.38,198.953,199.129,5432
2018-05-31 15:16:00,199.338,199.488,199.092,199.272,1845
2018-05-31 15:15:00,199.356,199.533,199.138,199.389,2460
2018-05-31 15:14:00,199.32,199.497,199.155,199.353,1589
2018-05-31 15:13:00,199.361,199.524,199.182,199.344,615
2018-05-31 15:12:00,199.464,199.632,199.191,199.353,2598
2018-05-31 15:11:00,199.464,199.605,199.281,199.443,307
2018-05-31 15:10:00,199.518,199.722,199.317,199.479,2159
2018-05-31 15:09:00,199.554,199.718,199.353,199.533,1950
2018-05-31 15:08:00,199.428,199.727,199.263,199.583,2767
2018-05-31 15:07:00,199.374,199.569,199.173,199.425,1127
2018-05-31 15:06:00,199.258,199.479,199.083,199.335,1742
2018-05-31 15:05:00,199.195,199.371,199.029,199.219,925
2018-05-31 15:04:00,199.213,199.353,198.975,199.138,1025
2018-05-31 15:03:00,199.204,199.389,199.038,199.245,410
2018-05-31 15:02:00,199.258,199.398,199.007,199.169,817
2018-05-31 15:01:00,199.41,199.637,199.146,199.308,2779
2018-05-31 15:00:00,199.455,199.668,199.2,199.362,4100
2018-05-31 14:59:00,199.132,199.551,198.966,199.407,1688
2018-05-31 14:58:00,199.132,199.29,198.903,199.147,2690
2018-05-31 14:57:00,199.154,199.295,198.989,199.151,102
2018-05-31 14:56:00,199.231,199.371,199.056,199.219,615
2018-05-31 14:55:00,199.406,199.547,199.092,199.254,2764
2018-05-31 14:54:00,199.417,199.558,199.218,199.38,307
2018-05-31 14:53:00,199.356,199.551,199.182,199.407,1947
2018-05-31 14:52:00,199.392,199.569,199.227,199.425,410
2018-05-31 14:51:00,199.32,199.461,199.155,199.317,512
2018-05-31 14:50:00,199.222,199.497,199.047,199.353,2151
2018-05-31 14:49:00,199.204,199.344,199.038,199.201,102
2018-05-31 14:48:00,199.186,199.335,198.957,199.183,2152
2018-05-31 14:47:00,199.123,199.308,198.912,199.165,4120
2018-05-31 14:46:00,199.159,199.299,198.98,199.142,16400
2018-05-31 14:45:00,199.183,199.324,198.975,199.147,820
2018-05-31 14:44:00,199.141,199.308,198.975,199.138,512
2018-05-31 14:43:00,199.15,199.29,198.957,199.12,615
2018-05-31 14:42:00,199.033,199.29,198.849,199.129,4308
2018-05-31 14:41:00,199.033,199.173,198.831,199.03,1230
2018-05-31 14:40:00,199.006,199.209,198.84,199.03,820
2018-05-31 14:39:00,199.069,199.236,198.804,199.03,2680
2018-05-31 14:38:00,199.105,199.245,198.939,199.102,102
2018-05-31 14:37:00,199.069,199.245,198.876,199.039,1127
2018-05-31 14:36:00,199.087,199.227,198.921,199.084,615
2018-05-31 14:35:00,199.141,199.281,198.948,199.13,1787
2018-05-31 14:34:00,199.177,199.317,198.971,199.165,512
2018-05-31 14:33:00,199.276,199.443,199.02,199.183,2255
2018-05-31 14:32:00,199.23,199.371,199.038,199.201,435
2018-05-31 14:31:00,199.374,199.515,199.065,199.228,1210
2018-05-31 14:30:00,199.311,199.515,199.097,199.371,1794
2018-05-31 14:29:00,199.293,199.524,199.128,199.358,3799
2018-05-31 14:28:00,199.397,199.538,199.096,199.259,6150
2018-05-31 14:27:00,199.428,199.569,199.218,199.398,3485
2018-05-31 14:26:00,199.455,199.614,199.267,199.454,2838
2018-05-31 14:25:00,199.455,199.596,199.24,199.403,3997
2018-05-31 14:24:00,199.554,199.695,199.254,199.425,1203
2018-05-31 14:23:00,199.491,199.677,199.294,199.533,1537
2018-05-31 14:22:00,199.458,199.599,199.292,199.455,106
2018-05-31 14:21:00,199.572,199.713,199.236,199.461,6995
2018-05-31 14:20:00,199.563,199.731,199.361,199.524,1332
2018-05-31 14:19:00,199.617,199.758,199.361,199.56,2369
2018-05-31 14:17:00,199.68,199.848,199.474,199.668,2252
2018-05-31 14:16:00,199.662,199.812,199.442,199.605,1025
2018-05-31 14:15:00,199.563,199.875,199.397,199.713,1178
2018-05-31 14:14:00,199.338,199.668,199.173,199.524,1521
2018-05-31 14:13:00,199.311,199.47,199.123,199.295,7995
2018-05-31 14:12:00,199.249,199.551,199.065,199.259,5945
2018-05-31 14:11:00,199.284,199.448,199.101,199.304,2148
2018-05-31 14:10:00,199.195,199.416,199.029,199.272,1537
2018-05-31 14:09:00,199.302,199.533,199.092,199.254,2494
2018-05-31 14:08:00,199.267,199.407,199.101,199.263,102
2018-05-31 14:07:00,199.267,199.421,199.092,199.277,307
2018-05-31 14:06:00,199.303,199.444,199.128,199.29,1124
2018-05-31 14:05:00,199.276,199.47,199.11,199.326,820
2018-05-31 14:04:00,199.213,199.353,199.011,199.201,922
2018-05-31 14:03:00,199.186,199.389,199.013,199.228,2492
2018-05-31 14:02:00,199.069,199.326,198.903,199.183,1262
2018-05-31 14:01:00,199.222,199.362,198.921,199.111,1906
2018-05-31 14:00:00,199.302,199.452,199.101,199.263,512
2018-05-31 13:59:00,199.284,199.497,199.11,199.326,2938
2018-05-31 13:58:00,199.267,199.407,199.056,199.219,615
2018-05-31 13:57:00,199.383,199.524,199.11,199.344,1542
2018-05-31 13:56:00,199.383,199.533,199.146,199.38,1435
2018-05-31 13:55:00,199.437,199.614,199.263,199.425,717
2018-05-31 13:54:00,199.493,199.634,199.327,199.49,209
2018-05-31 13:53:00,199.464,199.695,199.29,199.461,1435
2018-05-31 13:52:00,199.307,199.524,199.141,199.38,1230
2018-05-31 13:51:00,199.374,199.596,199.083,199.335,4964
2018-05-31 13:50:00,199.334,199.475,199.146,199.308,307
2018-05-31 13:49:00,199.37,199.524,199.11,199.331,5535
2018-05-31 13:48:00,199.428,199.578,199.2,199.367,5022
2018-05-31 13:47:00,199.491,199.632,199.326,199.488,307
2018-05-31 13:46:00,199.473,199.614,199.245,199.448,2460
2018-05-31 13:45:00,199.464,199.614,199.281,199.443,922
2018-05-31 13:44:00,199.374,199.65,199.209,199.489,1281
2018-05-31 13:43:00,199.32,199.641,199.155,199.421,5842
2018-05-31 13:42:00,199.285,199.461,199.11,199.281,9486
2018-05-31 13:41:00,199.374,199.551,199.137,199.317,9030
2018-05-31 13:40:00,199.383,199.56,199.173,199.38,16497
2018-05-31 13:39:00,199.397,199.538,199.2,199.385,820
2018-05-31 13:38:00,199.311,199.515,199.11,199.371,1603
2018-05-31 13:37:00,199.249,199.452,199.083,199.308,512
2018-05-31 13:35:00,199.204,199.38,198.975,199.201,2178
2018-05-31 13:34:00,199.181,199.423,199.0,199.201,4496
2018-05-31 13:33:00,199.172,199.313,198.966,199.129,205
2018-05-31 13:32:00,199.204,199.344,199.038,199.201,102
2018-05-31 13:31:00,199.091,199.281,198.926,199.129,820
2018-05-31 13:30:00,198.988,199.209,198.795,199.066,1537
2018-05-31 13:29:00,198.916,199.137,198.719,198.994,2460
2018-05-31 13:28:00,198.952,199.092,198.67,198.904,2972
2018-05-31 13:27:00,198.97,199.119,198.786,198.949,615
2018-05-31 13:26:00,198.92,199.11,198.755,198.958,1742
2018-05-31 13:25:00,198.916,199.084,198.746,198.926,1947
2018-05-31 13:24:00,198.944,199.084,198.724,198.886,2193
2018-05-31 13:23:00,198.979,199.119,198.777,198.944,1537
2018-05-31 13:22:00,198.997,199.245,198.831,198.994,1332
2018-05-31 13:21:00,198.979,199.187,198.813,199.043,410
2018-05-31 13:20:00,198.997,199.182,198.813,199.039,1659
2018-05-31 13:19:00,199.069,199.227,198.831,198.994,1742
2018-05-31 13:18:00,199.005,199.2,198.839,199.03,615
2018-05-31 13:17:00,198.979,199.191,198.813,199.012,1883
2018-05-31 13:16:00,198.907,199.119,198.715,198.973,2091
2018-05-31 13:15:00,198.907,199.084,198.71,198.924,1127
2018-05-31 13:14:00,198.952,199.092,198.643,198.886,6136
2018-05-31 13:13:00,199.042,199.182,198.786,198.949,1230
2018-05-31 13:12:00,199.044,199.209,198.831,198.994,1537
2018-05-31 13:11:00,198.97,199.209,198.786,198.994,5733
2018-05-31 13:10:00,198.961,199.101,198.768,198.931,205
2018-05-31 13:09:00,198.988,199.128,198.751,198.958,1025
2018-05-31 13:08:00,199.051,199.2,198.854,199.048,1435
2018-05-31 13:07:00,198.997,199.137,198.831,198.994,717
2018-05-31 13:06:00,199.051,199.191,198.858,199.021,410
2018-05-31 13:05:00,199.123,199.281,198.894,199.079,1435
2018-05-31 13:04:00,199.096,199.36,198.903,199.066,2357
2018-05-31 13:03:00,199.069,199.268,198.903,199.093,2201
2018-05-31 13:02:00,199.141,199.281,198.894,199.084,1332
2018-05-31 13:01:00,199.132,199.272,198.966,199.129,102
2018-05-31 13:00:00,199.231,199.38,198.975,199.138,1894
2018-05-31 12:59:00,199.114,199.371,198.948,199.165,3201
2018-05-31 12:58:00,199.231,199.371,198.948,199.111,1430
2018-05-31 12:57:00,199.231,199.371,199.065,199.228,102
2018-05-31 12:56:00,199.222,199.362,199.056,199.219,102
2018-05-31 12:55:00,199.267,199.407,199.047,199.228,717
2018-05-31 12:54:00,199.347,199.488,199.065,199.263,4621
2018-05-31 12:53:00,199.32,199.461,199.155,199.317,205
2018-05-31 12:52:00,199.419,199.56,199.209,199.38,1025
2018-05-31 12:51:00,199.392,199.533,199.218,199.38,307
2018-05-31 12:50:00,199.455,199.596,199.29,199.452,102
2018-05-31 12:49:00,199.383,199.614,199.164,199.443,1845
2018-05-31 12:48:00,199.365,199.569,199.146,199.308,7818
2018-05-31 12:47:00,199.392,199.533,199.173,199.335,615
2018-05-31 12:46:00,199.527,199.693,199.164,199.326,7080
2018-05-31 12:45:00,199.608,199.767,199.353,199.524,1845
2018-05-31 12:44:00,199.545,199.713,199.335,199.533,1742
2018-05-31 12:43:00,199.527,199.677,199.339,199.533,410
2018-05-31 12:42:00,199.608,199.758,199.254,199.524,1845
2018-05-31 12:41:00,199.617,199.821,199.415,199.578,4510
2018-05-31 12:40:00,199.671,199.812,199.388,199.551,2152
2018-05-31 12:39:00,199.833,199.986,199.487,199.65,2665
2018-05-31 12:38:00,199.716,199.92,199.523,199.776,2050
2018-05-31 12:37:00,199.725,199.929,199.55,199.713,2152
2018-05-31 12:36:00,199.815,199.956,199.559,199.722,2152
2018-05-31 12:35:00,199.914,200.15,199.676,199.848,1640
2018-05-31 12:34:00,199.968,200.109,199.748,199.911,972
2018-05-31 12:33:00,199.905,200.154,199.721,200.01,1127
2018-05-31 12:32:00,199.914,200.073,199.716,199.929,717
2018-05-31 12:31:00,199.887,200.064,199.676,199.839,410
2018-05-31 12:30:00,199.779,199.92,199.613,199.776,102
2018-05-31 12:29:00,199.68,199.902,199.514,199.74,1537
2018-05-31 12:28:00,199.815,199.988,199.55,199.713,3022
2018-05-31 12:27:00,199.77,200.001,199.577,199.839,4278
2018-05-31 12:26:00,199.797,199.979,199.55,199.785,2357
2018-05-31 12:25:00,199.851,200.055,199.676,199.839,3177
2018-05-31 12:24:00,199.887,200.028,199.685,199.877,419
2018-05-31 12:23:00,199.887,200.046,199.712,199.902,513
2018-05-31 12:22:00,199.86,200.046,199.64,199.902,1919
2018-05-31 12:21:00,199.923,200.082,199.658,199.866,3777
2018-05-31 12:20:00,199.887,200.118,199.721,199.92,2255
2018-05-31 12:19:00,199.941,200.082,199.721,199.92,307
2018-05-31 12:18:00,199.968,200.127,199.712,199.884,2255
2018-05-31 12:17:00,199.887,200.127,199.721,199.956,2242
2018-05-31 12:16:00,199.842,200.037,199.676,199.893,1747
2018-05-31 12:15:00,199.86,200.022,199.613,199.839,758
2018-05-31 12:14:00,199.995,200.136,199.73,199.893,410
2018-05-31 12:13:00,200.013,200.154,199.784,199.947,2872
2018-05-31 12:12:00,200.031,200.172,199.865,200.028,512
2018-05-31 12:11:00,199.936,200.118,199.77,199.974,717
2018-05-31 12:10:00,199.878,200.055,199.712,199.893,1845
2018-05-31 12:09:00,200.013,200.154,199.64,199.803,1455
2018-05-31 12:08:00,200.327,200.468,200.017,200.181,1025
2018-05-31 12:07:00,200.274,200.442,200.006,200.298,1440
