,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,3625.32,3626.66,3620.03,3620.14,7215
2024-03-22 15:58:00,3623.92,3625.05,3622.83,3624.81,2455
2024-03-22 15:57:00,3622.45,3623.8,3622.45,3623.8,1323
2024-03-22 15:56:00,3624.99,3624.99,3621.63,3621.63,1870
2024-03-22 15:55:00,3619.67,3621.65,3617.41,3621.65,2458
2024-03-22 15:54:00,3625.269,3627.6,3620.75,3622.26,2671
2024-03-22 15:51:00,3623.85,3624.88,3622.48,3624.88,1118
2024-03-22 15:50:00,3625.22,3634.505,3625.22,3626.64,4274
2024-03-22 15:49:00,3626.285,3626.285,3626.285,3626.285,772
2024-03-22 15:48:00,3622.41,3623.35,3622.41,3623.35,1337
2024-03-22 15:47:00,3622.36,3622.649,3622.36,3622.64,492
2024-03-22 15:44:00,3621.21,3621.21,3621.21,3621.21,445
2024-03-22 15:43:00,3620.56,3620.56,3620.56,3620.56,654
2024-03-22 15:41:00,3621.105,3621.105,3621.105,3621.105,270
2024-03-22 15:38:00,3619.53,3623.54,3619.53,3621.84,1706
2024-03-22 15:31:00,3619.44,3619.44,3619.44,3619.44,1399
2024-03-22 15:26:00,3619.23,3619.23,3619.23,3619.23,260
2024-03-22 15:25:00,3625.49,3625.49,3620.72,3620.72,2832
2024-03-22 15:22:00,3627.73,3627.73,3626.87,3626.87,917
2024-03-22 15:21:00,3627.52,3627.52,3626.59,3626.59,1101
2024-03-22 15:12:00,3626.45,3626.945,3625.46,3625.46,995
2024-03-22 15:11:00,3629.6,3629.605,3629.6,3629.605,468
2024-03-22 15:09:00,3631.31,3631.31,3631.31,3631.31,367
2024-03-22 15:08:00,3631.06,3631.06,3631.06,3631.06,273
2024-03-22 15:06:00,3630.58,3632.99,3629.73,3630.595,1503
2024-03-22 15:04:00,3628.79,3628.79,3628.79,3628.79,622
2024-03-22 15:01:00,3629.11,3629.65,3629.11,3629.65,912
2024-03-22 14:48:00,3636.86,3636.86,3636.85,3636.85,776
2024-03-22 14:45:00,3632.59,3632.59,3632.59,3632.59,683
2024-03-22 14:41:00,3633.58,3633.58,3633.58,3633.58,789
2024-03-22 14:39:00,3639.98,3639.98,3639.88,3639.88,1007
2024-03-22 14:35:00,3641.0,3641.0,3641.0,3641.0,324
2024-03-22 14:23:00,3640.0,3640.0,3640.0,3640.0,1323
2024-03-22 14:22:00,3638.535,3638.535,3636.99,3636.99,1601
2024-03-22 14:20:00,3640.65,3640.65,3640.65,3640.65,222
2024-03-22 14:12:00,3641.26,3641.26,3641.26,3641.26,189
2024-03-22 14:05:00,3642.15,3646.12,3642.15,3646.12,998
2024-03-22 14:04:00,3644.19,3644.19,3643.07,3643.07,1168
2024-03-22 14:03:00,3641.57,3644.25,3641.57,3644.25,671
2024-03-22 14:02:00,3644.23,3644.23,3638.68,3638.68,851
