,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,210.81,210.925,210.46,210.61,43817
2024-03-22 15:58:00,210.785,210.83,210.77,210.778,16387
2024-03-22 15:57:00,210.68,210.82,210.64,210.785,9815
2024-03-22 15:56:00,210.81,210.83,210.7,210.72,5202
2024-03-22 15:55:00,211.41,211.47,210.735,210.735,12750
2024-03-22 15:54:00,211.26,211.44,211.26,211.36,13884
2024-03-22 15:53:00,211.39,211.39,211.2,211.275,9208
2024-03-22 15:52:00,211.38,211.38,211.3,211.3,3377
2024-03-22 15:51:00,211.045,211.42,211.045,211.42,6438
2024-03-22 15:50:00,211.36,211.41,210.81,210.945,13322
2024-03-22 15:49:00,211.35,211.355,211.29,211.32,4807
2024-03-22 15:48:00,211.345,211.36,211.32,211.36,1992
2024-03-22 15:47:00,211.585,211.585,211.4,211.41,4465
2024-03-22 15:46:00,211.4,211.59,211.39,211.59,3788
2024-03-22 15:45:00,211.268,211.34,211.268,211.34,863
2024-03-22 15:44:00,211.34,211.41,211.25,211.32,7282
2024-03-22 15:43:00,211.28,211.32,211.23,211.315,2013
2024-03-22 15:42:00,211.105,211.23,211.105,211.2,4722
2024-03-22 15:41:00,210.935,211.165,210.935,211.165,3396
2024-03-22 15:40:00,210.935,210.962,210.935,210.963,612
2024-03-22 15:39:00,211.07,211.07,210.915,210.915,4060
2024-03-22 15:38:00,211.08,211.185,211.05,211.185,1485
2024-03-22 15:37:00,211.08,211.09,211.016,211.075,899
2024-03-22 15:36:00,210.87,211.005,210.83,211.005,5057
2024-03-22 15:35:00,210.76,210.99,210.738,210.99,1354
2024-03-22 15:34:00,210.49,210.77,210.49,210.72,3167
2024-03-22 15:33:00,210.55,210.61,210.51,210.54,4458
2024-03-22 15:32:00,210.54,210.555,210.54,210.555,1164
2024-03-22 15:31:00,210.6,210.6,210.5,210.54,1489
2024-03-22 15:30:00,210.615,210.615,210.615,210.615,324
2024-03-22 15:29:00,210.575,210.69,210.575,210.69,487
2024-03-22 15:28:00,210.63,210.63,210.56,210.57,2969
2024-03-22 15:26:00,210.53,210.61,210.43,210.51,2977
2024-03-22 15:25:00,210.32,210.515,210.32,210.515,1642
2024-03-22 15:24:00,210.201,210.32,210.201,210.265,1085
2024-03-22 15:23:00,210.15,210.25,210.15,210.25,716
2024-03-22 15:22:00,210.17,210.23,210.123,210.23,1777
2024-03-22 15:21:00,210.135,210.21,210.135,210.14,751
2024-03-22 15:20:00,210.095,210.095,210.095,210.095,405
2024-03-22 15:19:00,210.005,210.115,210.005,210.115,627
2024-03-22 15:18:00,209.86,209.93,209.86,209.92,1437
2024-03-22 15:17:00,209.81,209.81,209.705,209.705,501
2024-03-22 15:16:00,209.74,209.74,209.74,209.74,454
2024-03-22 15:15:00,209.69,209.69,209.69,209.69,322
2024-03-22 15:14:00,209.825,209.865,209.625,209.625,1419
2024-03-22 15:12:00,210.095,210.095,209.61,209.82,1214
2024-03-22 15:11:00,210.185,210.185,210.06,210.07,1403
2024-03-22 15:10:00,210.035,210.43,210.035,210.29,5277
2024-03-22 15:08:00,210.1,210.1,209.91,209.995,7475
2024-03-22 15:07:00,210.275,210.275,210.1,210.1,1189
2024-03-22 15:06:00,210.28,210.28,210.25,210.25,819
2024-03-22 15:05:00,210.515,210.515,210.38,210.38,1947
2024-03-22 15:04:00,210.309,210.515,210.309,210.51,9392
2024-03-22 15:03:00,210.28,210.28,210.11,210.21,1062
2024-03-22 15:02:00,210.112,210.112,210.112,210.112,260
2024-03-22 15:01:00,210.12,210.31,210.08,210.22,1832
2024-03-22 14:59:00,210.065,210.21,210.065,210.21,400
2024-03-22 14:58:00,210.215,210.215,210.12,210.12,377
2024-03-22 14:57:00,210.24,210.24,210.16,210.16,1070
2024-03-22 14:56:00,210.19,210.24,210.19,210.21,3134
2024-03-22 14:55:00,210.22,210.25,210.19,210.21,1865
