,1. open,2. high,3. low,4. close,5. volume
2013-08-30 15:59:00,199.488,200.331,198.807,199.426,18106
2013-08-30 15:58:00,199.465,200.031,198.784,199.526,6051
2013-08-30 15:57:00,199.35,200.0,198.677,199.457,3542
2013-08-30 15:56:00,199.181,199.816,198.509,199.334,4814
2013-08-30 15:55:00,199.02,199.708,198.341,199.158,6466
2013-08-30 15:54:00,199.104,199.593,198.295,198.958,4835
2013-08-30 15:53:00,199.258,199.808,198.372,199.066,7822
2013-08-30 15:52:00,199.135,199.724,198.448,199.135,7513
2013-08-30 15:51:00,199.342,199.77,198.379,199.135,9418
2013-08-30 15:50:00,199.319,199.801,198.593,199.288,4480
2013-08-30 15:49:00,199.288,199.839,198.616,199.334,2500
2013-08-30 15:48:00,199.242,199.77,198.524,199.227,4444
2013-08-30 15:47:00,199.25,199.77,198.372,199.296,6905
2013-08-30 15:46:00,199.135,199.762,198.463,199.227,5383
2013-08-30 15:45:00,199.296,199.724,198.387,199.127,19444
2013-08-30 15:44:00,199.296,199.747,198.57,199.273,4498
2013-08-30 15:43:00,199.196,199.77,198.463,199.296,7890
2013-08-30 15:42:00,199.319,199.755,198.532,199.15,2999
2013-08-30 15:41:00,199.334,199.785,198.654,199.288,2457
2013-08-30 15:40:00,199.419,199.839,198.658,199.276,500
2013-08-30 15:39:00,199.373,199.862,198.7,199.388,1200
2013-08-30 15:38:00,199.334,199.778,198.608,199.227,700
2013-08-30 15:37:00,199.334,199.755,198.662,199.28,100
2013-08-30 15:36:00,199.419,199.854,198.654,199.28,1900
2013-08-30 15:35:00,199.434,199.854,198.647,199.334,1300
2013-08-30 15:34:00,199.595,200.016,198.769,199.388,2364
2013-08-30 15:33:00,199.35,200.016,198.677,199.541,2682
2013-08-30 15:32:00,199.365,199.793,198.566,199.28,4100
2013-08-30 15:31:00,199.449,199.893,198.715,199.334,800
2013-08-30 15:30:00,199.495,199.916,198.822,199.441,100
2013-08-30 15:29:00,199.672,200.1,198.868,199.495,2000
2013-08-30 15:28:00,199.664,200.096,198.96,199.602,500
2013-08-30 15:27:00,199.687,200.108,199.013,199.633,100
2013-08-30 15:26:00,199.587,200.169,198.914,199.64,3500
2013-08-30 15:25:00,199.603,200.023,198.815,199.518,2100
2013-08-30 15:24:00,199.549,199.97,198.876,199.495,100
2013-08-30 15:23:00,199.741,200.162,198.893,199.512,1290
2013-08-30 15:22:00,199.534,200.123,198.792,199.537,2307
2013-08-30 15:21:00,199.626,200.047,198.868,199.487,600
2013-08-30 15:20:00,199.618,200.116,198.868,199.625,1100
2013-08-30 15:19:00,199.741,200.162,198.929,199.564,1500
2013-08-30 15:18:00,199.633,200.162,198.929,199.686,1090
2013-08-30 15:17:00,199.631,200.052,198.807,199.426,229
2013-08-30 15:16:00,199.871,200.292,198.906,199.526,3200
2013-08-30 15:15:00,199.756,200.177,199.052,199.672,400
2013-08-30 15:14:00,199.633,200.173,198.96,199.698,700
2013-08-30 15:13:00,199.541,199.962,198.861,199.48,200
2013-08-30 15:12:00,199.549,200.047,198.853,199.491,1000
2013-08-30 15:10:00,199.526,200.008,198.742,199.361,1000
2013-08-30 15:09:00,199.442,199.993,198.715,199.518,1200
2013-08-30 15:08:00,199.518,199.939,198.709,199.328,700
2013-08-30 15:05:00,199.84,200.262,199.052,199.671,800
2013-08-30 15:04:00,199.779,200.285,199.101,199.742,4189
2013-08-30 15:03:00,199.672,200.223,198.983,199.748,1905
2013-08-30 15:02:00,199.626,200.047,198.952,199.571,100
2013-08-30 15:01:00,199.618,200.093,198.853,199.472,600
2013-08-30 15:00:00,199.733,200.231,198.945,199.564,800
2013-08-30 14:59:00,199.879,200.3,199.059,199.759,2000
2013-08-30 14:58:00,199.955,200.408,199.226,199.933,600
2013-08-30 14:57:00,199.741,200.338,199.067,199.771,1767
2013-08-30 14:55:00,199.679,200.1,199.006,199.625,200
2013-08-30 14:54:00,199.541,199.962,198.868,199.487,100
2013-08-30 14:53:00,199.388,199.977,198.715,199.476,2200
2013-08-30 14:52:00,199.633,200.054,198.769,199.388,1500
2013-08-30 14:51:00,199.702,200.123,198.998,199.617,400
2013-08-30 14:50:00,199.76,200.262,199.021,199.702,12217
2013-08-30 14:49:00,199.846,200.267,199.059,199.679,1700
2013-08-30 14:48:00,199.633,200.162,198.96,199.686,1100
2013-08-30 14:47:00,199.764,200.185,199.036,199.671,1200
2013-08-30 14:45:00,199.71,200.254,199.036,199.778,1000
2013-08-30 14:43:00,199.756,200.231,199.075,199.694,900
2013-08-30 14:42:00,199.699,200.12,198.968,199.587,200
2013-08-30 14:41:00,199.779,200.2,199.059,199.679,400
2013-08-30 14:40:00,199.902,200.325,199.174,199.84,2140
2013-08-30 14:39:00,199.902,200.365,199.227,199.89,600
2013-08-30 14:38:00,199.81,200.354,199.136,199.878,2700
2013-08-30 14:37:00,200.001,200.423,199.113,199.732,4102
2013-08-30 14:36:00,199.978,200.4,199.304,199.924,200
2013-08-30 14:35:00,199.917,200.5,199.243,200.024,1300
2013-08-30 14:34:00,199.943,200.365,199.269,199.889,200
2013-08-30 14:33:00,199.794,200.385,199.098,199.809,2600
2013-08-30 14:32:00,199.702,200.354,199.029,199.878,2000
2013-08-30 14:31:00,199.58,200.113,198.906,199.638,1107
2013-08-30 14:29:00,199.518,200.07,198.769,199.594,500
2013-08-30 14:27:00,199.557,200.023,198.884,199.548,300
2013-08-30 14:26:00,199.365,199.785,198.693,199.311,100
2013-08-30 14:24:00,199.58,200.0,198.906,199.526,200
2013-08-30 14:23:00,199.641,200.062,198.845,199.518,1350
2013-08-30 14:21:00,199.681,200.102,199.007,199.627,100
2013-08-30 14:20:00,199.541,200.077,198.868,199.548,400
2013-08-30 14:19:00,199.319,199.924,198.647,199.434,1100
2013-08-30 14:18:00,199.296,199.716,198.601,199.219,300
2013-08-30 14:14:00,199.342,199.778,198.662,199.303,700
2013-08-30 14:13:00,199.334,199.77,198.647,199.296,980
2013-08-30 14:12:00,199.449,199.877,198.608,199.238,1568
2013-08-30 14:11:00,199.557,199.977,198.884,199.503,100
2013-08-30 14:10:00,199.557,199.977,198.884,199.503,220
2013-08-30 14:09:00,199.359,199.78,198.687,199.305,150
2013-08-30 14:08:00,199.38,199.808,198.708,199.334,200
2013-08-30 14:07:00,199.396,199.816,198.7,199.319,1791
2013-08-30 14:06:00,199.419,199.839,198.746,199.365,200
2013-08-30 14:05:00,199.357,199.812,198.624,199.311,820
2013-08-30 14:03:00,199.227,199.685,198.555,199.211,400
2013-08-30 14:02:00,199.212,199.632,198.356,199.077,950
2013-08-30 14:01:00,199.269,199.697,198.486,199.169,809
2013-08-30 14:00:00,199.143,199.716,198.471,199.238,1500
2013-08-30 13:59:00,199.35,199.77,198.463,199.142,4201
2013-08-30 13:58:00,199.417,199.908,198.745,199.399,693
2013-08-30 13:57:00,199.426,199.847,198.754,199.372,100
2013-08-30 13:56:00,199.495,199.916,198.761,199.395,400
2013-08-30 13:54:00,199.587,200.008,198.914,199.533,100
2013-08-30 13:52:00,199.752,200.292,198.937,199.556,2525
2013-08-30 13:51:00,199.748,200.169,199.075,199.694,500
2013-08-30 13:50:00,199.756,200.239,199.059,199.755,1020
2013-08-30 13:49:00,199.725,200.146,199.052,199.671,250
2013-08-30 13:48:00,199.787,200.213,199.105,199.737,423
2013-08-30 13:47:00,199.787,200.354,199.052,199.732,3805
2013-08-30 13:46:00,199.741,200.169,199.067,199.686,700
2013-08-30 13:45:00,199.679,200.277,199.006,199.686,600
2013-08-30 13:44:00,199.457,199.985,198.784,199.51,900
2013-08-30 13:42:00,199.526,199.947,198.853,199.472,300
2013-08-30 13:41:00,199.503,200.093,198.83,199.617,500
2013-08-30 13:40:00,199.518,199.939,198.845,199.464,100
2013-08-30 13:39:00,199.664,200.085,198.861,199.487,1497
2013-08-30 13:38:00,199.65,200.2,198.977,199.686,508
