,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,33.235,33.245,33.2,33.2,83246
2024-03-22 15:58:00,33.255,33.26,33.23,33.235,56317
2024-03-22 15:57:00,33.24,33.26,33.23,33.255,37951
2024-03-22 15:56:00,33.205,33.24,33.2,33.235,30167
2024-03-22 15:55:00,33.21,33.225,33.2,33.205,38827
2024-03-22 15:54:00,33.21,33.22,33.205,33.215,13185
2024-03-22 15:53:00,33.195,33.21,33.19,33.21,21806
2024-03-22 15:52:00,33.185,33.195,33.18,33.195,20847
2024-03-22 15:51:00,33.155,33.185,33.155,33.18,15142
2024-03-22 15:50:00,33.14,33.155,33.135,33.15,19801
2024-03-22 15:49:00,33.155,33.155,33.14,33.14,4220
2024-03-22 15:48:00,33.17,33.17,33.14,33.155,20346
2024-03-22 15:47:00,33.21,33.21,33.17,33.185,17162
2024-03-22 15:46:00,33.195,33.215,33.191,33.215,12390
2024-03-22 15:45:00,33.185,33.2,33.175,33.195,7028
2024-03-22 15:44:00,33.185,33.205,33.18,33.19,17081
2024-03-22 15:43:00,33.17,33.185,33.16,33.18,11825
2024-03-22 15:42:00,33.155,33.17,33.15,33.17,3476
2024-03-22 15:41:00,33.145,33.16,33.14,33.16,4935
2024-03-22 15:40:00,33.135,33.15,33.12,33.14,7073
2024-03-22 15:39:00,33.15,33.15,33.13,33.13,7201
2024-03-22 15:38:00,33.15,33.15,33.14,33.145,5346
2024-03-22 15:37:00,33.17,33.175,33.155,33.155,14245
2024-03-22 15:36:00,33.155,33.17,33.155,33.17,10230
2024-03-22 15:35:00,33.16,33.165,33.155,33.155,3292
2024-03-22 15:34:00,33.145,33.16,33.145,33.159,3955
2024-03-22 15:33:00,33.145,33.15,33.14,33.145,4460
2024-03-22 15:32:00,33.145,33.15,33.145,33.15,1885
2024-03-22 15:31:00,33.145,33.15,33.141,33.145,1603
2024-03-22 15:30:00,33.14,33.15,33.13,33.145,7003
2024-03-22 15:29:00,33.125,33.135,33.122,33.135,1697
2024-03-22 15:28:00,33.095,33.125,33.09,33.125,7741
2024-03-22 15:27:00,33.095,33.095,33.09,33.09,2213
2024-03-22 15:26:00,33.095,33.095,33.09,33.09,1265
2024-03-22 15:25:00,33.1,33.105,33.095,33.095,3392
2024-03-22 15:24:00,33.08,33.1,33.08,33.1,5506
2024-03-22 15:23:00,33.06,33.08,33.06,33.08,4058
2024-03-22 15:22:00,33.05,33.055,33.05,33.055,1371
2024-03-22 15:21:00,33.07,33.07,33.05,33.055,2816
2024-03-22 15:20:00,33.07,33.07,33.07,33.07,655
2024-03-22 15:19:00,33.065,33.065,33.05,33.065,3481
2024-03-22 15:18:00,33.05,33.065,33.05,33.065,4960
2024-03-22 15:17:00,33.055,33.055,33.05,33.055,1414
2024-03-22 15:16:00,33.075,33.075,33.05,33.06,3490
2024-03-22 15:15:00,33.08,33.085,33.075,33.085,1467
2024-03-22 15:14:00,33.095,33.095,33.075,33.075,4720
2024-03-22 15:13:00,33.08,33.09,33.07,33.09,3595
2024-03-22 15:12:00,33.08,33.08,33.07,33.08,3786
2024-03-22 15:11:00,33.09,33.09,33.08,33.085,3295
2024-03-22 15:10:00,33.097,33.097,33.095,33.095,1697
2024-03-22 15:09:00,33.07,33.095,33.07,33.095,6008
2024-03-22 15:08:00,33.06,33.07,33.055,33.065,3809
2024-03-22 15:07:00,33.075,33.075,33.06,33.065,2538
2024-03-22 15:06:00,33.08,33.08,33.071,33.075,3959
2024-03-22 15:05:00,33.08,33.09,33.075,33.085,12543
2024-03-22 15:04:00,33.115,33.12,33.085,33.085,2377
2024-03-22 15:03:00,33.12,33.12,33.11,33.115,1848
2024-03-22 15:02:00,33.13,33.135,33.12,33.13,3497
2024-03-22 15:01:00,33.11,33.16,33.111,33.135,37467
2024-03-22 15:00:00,33.15,33.15,33.12,33.12,3700
2024-03-22 14:59:00,33.14,33.16,33.14,33.155,5063
2024-03-22 14:58:00,33.15,33.15,33.14,33.145,1582
2024-03-22 14:57:00,33.15,33.155,33.145,33.15,4365
2024-03-22 14:56:00,33.145,33.155,33.145,33.155,2876
2024-03-22 14:55:00,33.165,33.175,33.14,33.14,8731
2024-03-22 14:54:00,33.17,33.17,33.15,33.165,6718
2024-03-22 14:53:00,33.15,33.175,33.15,33.175,7726
2024-03-22 14:52:00,33.145,33.155,33.145,33.155,4549
2024-03-22 14:51:00,33.155,33.165,33.14,33.14,6769
2024-03-22 14:50:00,33.16,33.16,33.15,33.155,3281
2024-03-22 14:49:00,33.16,33.165,33.155,33.165,4431
2024-03-22 14:48:00,33.145,33.17,33.145,33.165,3345
2024-03-22 14:47:00,33.125,33.145,33.12,33.145,3706
2024-03-22 14:46:00,33.14,33.145,33.125,33.125,5445
2024-03-22 14:45:00,33.13,33.15,33.12,33.145,18372
2024-03-22 14:44:00,33.115,33.13,33.115,33.13,2878
2024-03-22 14:43:00,33.11,33.115,33.1,33.115,5023
2024-03-22 14:42:00,33.115,33.12,33.115,33.12,1454
2024-03-22 14:41:00,33.125,33.125,33.115,33.12,4508
2024-03-22 14:40:00,33.135,33.135,33.12,33.125,5735
2024-03-22 14:39:00,33.13,33.14,33.13,33.135,2924
2024-03-22 14:38:00,33.12,33.14,33.11,33.139,7672
2024-03-22 14:37:00,33.12,33.125,33.12,33.125,1750
2024-03-22 14:36:00,33.13,33.135,33.11,33.112,11352
2024-03-22 14:35:00,33.11,33.125,33.11,33.125,3071
2024-03-22 14:34:00,33.08,33.11,33.075,33.105,4476
2024-03-22 14:33:00,33.125,33.13,33.09,33.09,4391
2024-03-22 14:32:00,33.115,33.13,33.11,33.12,6580
2024-03-22 14:31:00,33.085,33.12,33.08,33.1,6578
2024-03-22 14:30:00,33.08,33.085,33.08,33.085,1011
2024-03-22 14:29:00,33.065,33.085,33.065,33.085,2447
2024-03-22 14:28:00,33.075,33.08,33.06,33.06,5899
2024-03-22 14:27:00,33.05,33.09,33.05,33.07,35864
2024-03-22 14:26:00,33.03,33.08,33.03,33.05,27067
2024-03-22 14:25:00,33.02,33.035,33.01,33.03,12305
2024-03-22 14:24:00,33.01,33.05,33.005,33.02,20116
2024-03-22 14:23:00,33.0,33.005,33.0,33.005,1949
2024-03-22 14:22:00,32.995,32.995,32.995,32.995,260
2024-03-22 14:21:00,32.99,32.995,32.98,32.995,7996
2024-03-22 14:20:00,32.975,32.99,32.975,32.99,2397
2024-03-22 14:19:00,32.975,32.976,32.97,32.976,592
2024-03-22 14:18:00,32.975,32.985,32.97,32.97,4011
2024-03-22 14:17:00,32.975,32.98,32.975,32.975,1028
2024-03-22 14:16:00,32.98,32.98,32.975,32.975,1364
2024-03-22 14:15:00,32.98,32.99,32.98,32.981,6051
2024-03-22 14:14:00,33.0,33.0,32.99,32.99,3140
2024-03-22 14:13:00,32.995,32.995,32.99,32.995,1185
2024-03-22 14:12:00,32.995,32.995,32.99,32.995,4584
2024-03-22 14:11:00,32.995,32.995,32.99,32.99,309
2024-03-22 14:10:00,32.975,32.993,32.965,32.99,7680
2024-03-22 14:09:00,32.975,32.975,32.975,32.975,916
2024-03-22 14:08:00,32.975,32.98,32.97,32.98,942
2024-03-22 14:07:00,32.94,32.975,32.94,32.97,10770
2024-03-22 14:06:00,32.925,32.935,32.92,32.935,3866
2024-03-22 14:05:00,32.925,32.925,32.925,32.925,1174
2024-03-22 14:04:00,32.925,32.925,32.925,32.925,2151
2024-03-22 14:03:00,32.925,32.925,32.92,32.925,2121
2024-03-22 14:02:00,32.92,32.925,32.92,32.925,477
2024-03-22 14:01:00,32.91,32.925,32.91,32.925,3857
2024-03-22 14:00:00,32.94,32.94,32.915,32.915,8331
2024-03-22 13:59:00,32.945,32.95,32.94,32.94,5987
2024-03-22 13:58:00,32.94,32.945,32.94,32.945,3287
2024-03-22 13:57:00,32.93,32.935,32.93,32.931,1193
2024-03-22 13:56:00,32.93,32.93,32.92,32.925,8864
2024-03-22 13:55:00,32.921,32.925,32.921,32.925,862
2024-03-22 13:54:00,32.93,32.935,32.925,32.925,4265
2024-03-22 13:53:00,32.91,32.925,32.91,32.925,2546
2024-03-22 13:52:00,32.91,32.91,32.91,32.91,2196
2024-03-22 13:51:00,32.905,32.905,32.9,32.9,1247
2024-03-22 13:50:00,32.905,32.905,32.905,32.905,156
2024-03-22 13:49:00,32.895,32.91,32.895,32.91,1477
2024-03-22 13:48:00,32.92,32.925,32.9,32.9,6883
2024-03-22 13:47:00,32.895,32.94,32.895,32.93,3549
2024-03-22 13:46:00,32.89,32.89,32.89,32.89,463
2024-03-22 13:45:00,32.89,32.89,32.89,32.89,1092
2024-03-22 13:44:00,32.91,32.91,32.885,32.885,3159
2024-03-22 13:43:00,32.89,32.905,32.89,32.905,1237
2024-03-22 13:42:00,32.89,32.89,32.88,32.89,1529
2024-03-22 13:41:00,32.91,32.91,32.88,32.89,5355
2024-03-22 13:40:00,32.939,32.939,32.92,32.92,2451
2024-03-22 13:39:00,32.935,32.955,32.93,32.93,13725
2024-03-22 13:38:00,32.94,32.94,32.935,32.936,12649
2024-03-22 13:37:00,32.935,32.935,32.935,32.935,411
2024-03-22 13:36:00,32.93,32.935,32.925,32.935,1644
2024-03-22 13:35:00,32.925,32.925,32.925,32.925,344
2024-03-22 13:34:00,32.9,32.92,32.9,32.91,2973
2024-03-22 13:33:00,32.88,32.9,32.88,32.9,11589
2024-03-22 13:32:00,32.87,32.88,32.86,32.88,7514
2024-03-22 13:31:00,32.875,32.88,32.87,32.87,503
2024-03-22 13:30:00,32.889,32.889,32.875,32.875,1739
2024-03-22 13:29:00,32.89,32.9,32.89,32.89,6581
2024-03-22 13:28:00,32.879,32.885,32.879,32.885,4214
2024-03-22 13:27:00,32.885,32.89,32.87,32.88,5563
2024-03-22 13:26:00,32.88,32.89,32.88,32.885,1837
2024-03-22 13:25:00,32.879,32.89,32.875,32.88,3921
2024-03-22 13:24:00,32.84,32.885,32.84,32.875,17336
2024-03-22 13:23:00,32.835,32.835,32.835,32.835,634
2024-03-22 13:22:00,32.835,32.835,32.835,32.835,195
2024-03-22 13:21:00,32.825,32.83,32.825,32.83,1512
2024-03-22 13:19:00,32.81,32.82,32.81,32.82,1332
2024-03-22 13:18:00,32.81,32.81,32.81,32.81,2699
2024-03-22 13:17:00,32.805,32.815,32.805,32.81,1787
2024-03-22 13:16:00,32.81,32.835,32.81,32.81,14028
2024-03-22 13:15:00,32.8,32.805,32.8,32.805,1384
2024-03-22 13:14:00,32.8,32.8,32.79,32.79,1704
2024-03-22 13:13:00,32.795,32.805,32.79,32.8,4662
2024-03-22 13:12:00,32.805,32.805,32.79,32.795,2560
2024-03-22 13:11:00,32.79,32.805,32.79,32.8,4864
2024-03-22 13:10:00,32.791,32.8,32.79,32.79,1791
2024-03-22 13:09:00,32.795,32.795,32.785,32.793,3135
2024-03-22 13:08:00,32.785,32.79,32.775,32.79,3084
2024-03-22 13:07:00,32.755,32.795,32.75,32.785,6727
2024-03-22 13:06:00,32.775,32.775,32.76,32.76,4177
2024-03-22 13:05:00,32.74,32.775,32.74,32.775,4697
2024-03-22 13:04:00,32.74,32.741,32.74,32.74,1823
2024-03-22 13:03:00,32.75,32.75,32.75,32.75,2085
2024-03-22 13:02:00,32.76,32.76,32.75,32.75,1513
2024-03-22 13:01:00,32.762,32.762,32.76,32.76,801
2024-03-22 13:00:00,32.805,32.805,32.76,32.76,7827
2024-03-22 12:59:00,32.81,32.81,32.805,32.805,1165
2024-03-22 12:58:00,32.805,32.811,32.805,32.811,1273
2024-03-22 12:57:00,32.815,32.82,32.805,32.805,2666
2024-03-22 12:56:00,32.82,32.82,32.81,32.81,1955
2024-03-22 12:55:00,32.84,32.84,32.805,32.805,5026
2024-03-22 12:54:00,32.825,32.85,32.82,32.845,4026
2024-03-22 12:53:00,32.82,32.822,32.82,32.82,1278
2024-03-22 12:52:00,32.811,32.82,32.81,32.82,1621
2024-03-22 12:51:00,32.82,32.82,32.81,32.81,4971
2024-03-22 12:50:00,32.83,32.835,32.82,32.822,2261
2024-03-22 12:49:00,32.84,32.84,32.825,32.831,4332
2024-03-22 12:48:00,32.84,32.84,32.84,32.84,713
2024-03-22 12:47:00,32.86,32.86,32.845,32.85,2787
2024-03-22 12:46:00,32.88,32.88,32.86,32.86,3025
2024-03-22 12:45:00,32.89,32.89,32.88,32.89,2104
2024-03-22 12:44:00,32.891,32.895,32.891,32.895,1072
2024-03-22 12:42:00,32.883,32.89,32.883,32.89,1952
2024-03-22 12:41:00,32.89,32.89,32.89,32.89,2094
2024-03-22 12:40:00,32.9,32.91,32.9,32.9,3356
2024-03-22 12:39:00,32.885,32.895,32.885,32.895,2160
2024-03-22 12:38:00,32.895,32.895,32.89,32.89,2235
