,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,128.08,128.082,127.79,127.82,87240
2024-03-22 15:58:00,128.07,128.12,128.05,128.08,29336
2024-03-22 15:57:00,128.09,128.15,128.07,128.08,22291
2024-03-22 15:56:00,128.17,128.2,128.1,128.1,25203
2024-03-22 15:55:00,128.265,128.36,128.16,128.171,29088
2024-03-22 15:54:00,128.34,128.36,128.25,128.265,15312
2024-03-22 15:53:00,128.31,128.36,128.3,128.36,12165
2024-03-22 15:52:00,128.34,128.37,128.3,128.305,11166
2024-03-22 15:51:00,128.28,128.373,128.28,128.35,15196
2024-03-22 15:50:00,128.29,128.38,128.24,128.28,17927
2024-03-22 15:49:00,128.24,128.375,128.235,128.28,13909
2024-03-22 15:48:00,128.23,128.25,128.19,128.24,15358
2024-03-22 15:47:00,128.26,128.27,128.22,128.25,6548
2024-03-22 15:46:00,128.32,128.33,128.24,128.26,10473
2024-03-22 15:45:00,128.376,128.376,128.3,128.33,9623
2024-03-22 15:44:00,128.35,128.405,128.35,128.39,6439
2024-03-22 15:43:00,128.33,128.35,128.311,128.335,4851
2024-03-22 15:42:00,128.33,128.351,128.32,128.351,3880
2024-03-22 15:41:00,128.39,128.4,128.36,128.36,4140
2024-03-22 15:40:00,128.32,128.37,128.32,128.37,3673
2024-03-22 15:39:00,128.33,128.394,128.32,128.325,3616
2024-03-22 15:38:00,128.34,128.36,128.32,128.33,4652
2024-03-22 15:37:00,128.315,128.381,128.31,128.381,6269
2024-03-22 15:36:00,128.225,128.31,128.225,128.31,4023
2024-03-22 15:35:00,128.26,128.305,128.225,128.255,2839
2024-03-22 15:34:00,128.299,128.32,128.23,128.23,4403
2024-03-22 15:33:00,128.391,128.391,128.291,128.291,3129
2024-03-22 15:32:00,128.4,128.43,128.37,128.41,8458
2024-03-22 15:31:00,128.45,128.45,128.385,128.399,3456
2024-03-22 15:30:00,128.52,128.535,128.45,128.45,4031
2024-03-22 15:29:00,128.5,128.55,128.499,128.55,1568
2024-03-22 15:28:00,128.542,128.549,128.45,128.485,7165
2024-03-22 15:27:00,128.48,128.54,128.46,128.53,4628
2024-03-22 15:26:00,128.38,128.48,128.37,128.48,4486
2024-03-22 15:25:00,128.285,128.395,128.285,128.35,5884
2024-03-22 15:24:00,128.33,128.33,128.3,128.3,2873
2024-03-22 15:23:00,128.38,128.415,128.33,128.35,3961
2024-03-22 15:22:00,128.37,128.444,128.36,128.41,5404
2024-03-22 15:21:00,128.3,128.35,128.24,128.35,7590
2024-03-22 15:20:00,128.31,128.36,128.3,128.32,7806
2024-03-22 15:19:00,128.235,128.32,128.21,128.29,5704
2024-03-22 15:18:00,128.26,128.31,128.23,128.23,5816
2024-03-22 15:17:00,128.26,128.31,128.18,128.29,16411
2024-03-22 15:16:00,128.31,128.31,128.2,128.252,8112
2024-03-22 15:15:00,128.36,128.37,128.28,128.335,8166
2024-03-22 15:14:00,128.29,128.39,128.29,128.345,6454
2024-03-22 15:13:00,128.265,128.27,128.23,128.27,4619
2024-03-22 15:12:00,128.235,128.28,128.11,128.28,10087
2024-03-22 15:11:00,128.33,128.34,128.23,128.23,3692
2024-03-22 15:10:00,128.43,128.43,128.355,128.355,4044
2024-03-22 15:09:00,128.405,128.49,128.405,128.43,12820
2024-03-22 15:08:00,128.42,128.44,128.39,128.39,3976
2024-03-22 15:07:00,128.49,128.5,128.43,128.43,3324
2024-03-22 15:06:00,128.56,128.56,128.5,128.5,2161
2024-03-22 15:05:00,128.51,128.59,128.49,128.56,4854
2024-03-22 15:04:00,128.58,128.59,128.43,128.49,8236
2024-03-22 15:03:00,128.61,128.62,128.6,128.615,1290
2024-03-22 15:02:00,128.745,128.745,128.635,128.635,3739
2024-03-22 15:01:00,128.745,128.748,128.745,128.748,636
2024-03-22 15:00:00,128.78,128.78,128.73,128.77,7974
2024-03-22 14:59:00,128.736,128.79,128.736,128.79,4452
2024-03-22 14:58:00,128.765,128.765,128.735,128.735,788
2024-03-22 14:57:00,128.83,128.83,128.77,128.77,1862
