,1. open,2. high,3. low,4. close,5. volume
2020-08-31 15:59:00,132.431,132.577,131.849,132.016,72395
2020-08-31 15:58:00,132.32,132.521,132.081,132.387,24502
2020-08-31 15:57:00,132.348,132.512,132.173,132.341,18834
2020-08-31 15:56:00,132.44,132.577,132.164,132.345,8824
2020-08-31 15:55:00,132.515,132.651,132.229,132.443,14384
2020-08-31 15:54:00,132.552,132.688,132.312,132.536,10567
2020-08-31 15:53:00,132.515,132.772,132.359,132.573,10034
2020-08-31 15:52:00,132.468,132.66,132.322,132.536,7541
2020-08-31 15:51:00,132.445,132.632,132.275,132.485,6111
2020-08-31 15:50:00,132.561,132.697,132.201,132.471,24611
2020-08-31 15:49:00,132.579,132.762,132.405,132.601,9163
2020-08-31 15:48:00,132.515,132.725,132.34,132.577,4900
2020-08-31 15:47:00,132.422,132.688,132.248,132.536,4962
2020-08-31 15:46:00,132.31,132.567,132.164,132.443,5796
2020-08-31 15:45:00,132.227,132.465,132.081,132.332,8097
2020-08-31 15:44:00,132.185,132.372,132.037,132.248,3319
2020-08-31 15:43:00,132.171,132.437,132.007,132.197,7913
2020-08-31 15:42:00,132.162,132.307,131.951,132.169,3771
2020-08-31 15:41:00,132.273,132.41,131.979,132.183,10212
2020-08-31 15:40:00,132.283,132.447,132.127,132.294,6137
2020-08-31 15:39:00,132.283,132.447,132.132,132.304,7396
2020-08-31 15:38:00,132.204,132.428,132.058,132.303,2743
2020-08-31 15:37:00,132.227,132.372,132.034,132.206,3888
2020-08-31 15:36:00,132.227,132.372,132.016,132.236,4323
2020-08-31 15:35:00,132.232,132.38,132.021,132.256,3191
2020-08-31 15:34:00,132.213,132.363,132.044,132.229,2918
2020-08-31 15:33:00,132.199,132.345,132.025,132.22,3311
2020-08-31 15:32:00,132.06,132.345,131.914,132.22,3732
2020-08-31 15:31:00,132.078,132.224,131.891,132.053,2812
2020-08-31 15:30:00,132.19,132.335,131.942,132.1,2215
2020-08-31 15:29:00,132.19,132.38,132.034,132.211,3915
2020-08-31 15:28:00,132.162,132.326,132.007,132.202,3400
2020-08-31 15:27:00,132.088,132.289,131.932,132.164,3053
2020-08-31 15:26:00,132.069,132.233,131.905,132.109,3100
2020-08-31 15:25:00,132.078,132.214,131.864,132.072,5471
2020-08-31 15:24:00,132.06,132.214,131.886,132.09,1647
2020-08-31 15:23:00,132.088,132.233,131.923,132.1,2464
2020-08-31 15:22:00,132.199,132.335,131.951,132.109,5135
2020-08-31 15:21:00,132.232,132.391,132.039,132.197,2555
2020-08-31 15:20:00,132.227,132.372,131.997,132.243,4733
2020-08-31 15:19:00,132.273,132.428,132.062,132.22,4502
2020-08-31 15:18:00,132.273,132.419,132.09,132.276,3015
2020-08-31 15:17:00,132.324,132.461,132.09,132.294,4622
2020-08-31 15:16:00,132.301,132.488,132.155,132.341,7282
2020-08-31 15:15:00,132.348,132.484,132.164,132.322,1419
2020-08-31 15:14:00,132.422,132.558,132.197,132.355,2199
2020-08-31 15:13:00,132.357,132.558,132.211,132.434,1869
2020-08-31 15:12:00,132.319,132.512,132.164,132.387,2958
2020-08-31 15:11:00,132.292,132.475,132.146,132.318,2472
2020-08-31 15:10:00,132.329,132.488,132.146,132.304,2023
2020-08-31 15:09:00,132.366,132.509,132.164,132.322,1349
2020-08-31 15:08:00,132.385,132.526,132.219,132.387,1722
2020-08-31 15:07:00,132.329,132.521,132.183,132.396,1293
2020-08-31 15:06:00,132.357,132.558,132.211,132.369,2002
2020-08-31 15:05:00,132.32,132.456,132.12,132.332,2031
2020-08-31 15:04:00,132.357,132.538,132.178,132.341,2987
2020-08-31 15:03:00,132.283,132.465,132.127,132.341,5091
2020-08-31 15:02:00,132.32,132.475,132.136,132.322,6235
2020-08-31 15:01:00,132.338,132.475,132.183,132.341,700
2020-08-31 15:00:00,132.306,132.475,132.159,132.341,3112
2020-08-31 14:59:00,132.329,132.465,132.155,132.313,1218
2020-08-31 14:58:00,132.338,132.484,132.155,132.331,1600
2020-08-31 14:57:00,132.375,132.512,132.183,132.369,2393
2020-08-31 14:56:00,132.333,132.53,132.183,132.387,7673
2020-08-31 14:55:00,132.366,132.512,132.183,132.341,1000
2020-08-31 14:54:00,132.385,132.521,132.211,132.369,1272
2020-08-31 14:53:00,132.348,132.502,132.192,132.359,1523
2020-08-31 14:52:00,132.357,132.502,132.201,132.359,2081
2020-08-31 14:51:00,132.348,132.491,132.192,132.35,789
2020-08-31 14:50:00,132.394,132.544,132.201,132.359,1496
2020-08-31 14:49:00,132.4,132.536,132.22,132.406,1950
2020-08-31 14:48:00,132.329,132.567,132.183,132.443,2396
2020-08-31 14:47:00,132.38,132.521,132.183,132.341,1200
2020-08-31 14:46:00,132.496,132.66,132.275,132.443,2942
2020-08-31 14:45:00,132.477,132.651,132.312,132.508,2251
2020-08-31 14:44:00,132.459,132.614,132.312,132.48,1009
