,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,181.02,181.17,180.45,180.93,84490
2024-03-22 15:58:00,181.37,181.38,181.03,181.03,18388
2024-03-22 15:57:00,181.405,181.42,181.33,181.37,9439
2024-03-22 15:56:00,181.21,181.425,181.2,181.405,8136
2024-03-22 15:55:00,181.48,181.48,181.25,181.29,8636
2024-03-22 15:54:00,181.595,181.595,181.48,181.502,3502
2024-03-22 15:53:00,181.555,181.68,181.555,181.665,3594
2024-03-22 15:52:00,181.7,181.705,181.505,181.57,10101
2024-03-22 15:51:00,181.74,181.755,181.73,181.755,2302
2024-03-22 15:50:00,181.75,181.755,181.75,181.755,1581
2024-03-22 15:49:00,181.88,181.88,181.768,181.767,2552
2024-03-22 15:48:00,182.045,182.045,181.87,181.93,3590
2024-03-22 15:47:00,181.95,182.025,181.91,181.91,3113
2024-03-22 15:46:00,181.865,181.865,181.865,181.865,322
2024-03-22 15:45:00,181.65,181.865,181.64,181.865,4092
2024-03-22 15:44:00,181.63,181.63,181.61,181.61,811
2024-03-22 15:43:00,181.62,181.65,181.61,181.62,3131
2024-03-22 15:42:00,181.62,181.705,181.62,181.62,1293
2024-03-22 15:41:00,181.63,181.67,181.63,181.67,1467
2024-03-22 15:40:00,181.705,181.71,181.7,181.705,822
2024-03-22 15:39:00,181.57,181.72,181.57,181.71,5037
2024-03-22 15:38:00,181.75,181.75,181.57,181.57,2576
2024-03-22 15:37:00,181.8,181.8,181.7,181.75,2521
2024-03-22 15:36:00,181.84,181.91,181.83,181.85,1762
2024-03-22 15:35:00,181.835,181.93,181.835,181.925,1401
2024-03-22 15:34:00,181.75,181.83,181.75,181.825,3040
2024-03-22 15:33:00,181.84,181.84,181.81,181.82,4181
2024-03-22 15:32:00,181.95,181.95,181.84,181.85,2403
2024-03-22 15:31:00,181.984,181.984,181.94,181.95,1262
2024-03-22 15:30:00,182.0,182.0,181.93,181.94,2257
2024-03-22 15:29:00,182.073,182.073,181.97,182.0,766
2024-03-22 15:28:00,181.99,182.01,181.98,182.01,1349
2024-03-22 15:27:00,181.9,182.0,181.9,181.9,2185
2024-03-22 15:26:00,181.921,181.921,181.921,181.921,280
2024-03-22 15:25:00,181.865,181.88,181.865,181.88,1575
2024-03-22 15:24:00,181.815,181.86,181.815,181.86,1571
2024-03-22 15:23:00,181.91,181.91,181.86,181.86,565
2024-03-22 15:22:00,181.76,181.85,181.76,181.805,2871
2024-03-22 15:21:00,181.74,181.74,181.73,181.73,757
2024-03-22 15:20:00,181.73,181.74,181.73,181.74,794
2024-03-22 15:19:00,181.83,181.85,181.69,181.7,4728
2024-03-22 15:18:00,181.995,181.995,181.81,181.835,2156
2024-03-22 15:17:00,182.02,182.02,181.96,181.96,1095
2024-03-22 15:16:00,181.88,182.009,181.83,182.009,5355
2024-03-22 15:15:00,181.94,181.94,181.93,181.93,1086
2024-03-22 15:14:00,181.86,181.95,181.86,181.95,2146
2024-03-22 15:13:00,181.875,181.875,181.875,181.875,270
2024-03-22 15:12:00,181.9,181.965,181.81,181.875,2665
2024-03-22 15:10:00,181.965,181.965,181.965,181.965,201
2024-03-22 15:09:00,181.87,182.03,181.87,182.03,2503
2024-03-22 15:07:00,181.795,181.825,181.795,181.825,224
2024-03-22 15:06:00,181.91,181.91,181.79,181.795,2530
2024-03-22 15:05:00,181.945,181.945,181.945,181.945,245
2024-03-22 15:04:00,181.95,181.95,181.95,181.95,390
2024-03-22 15:03:00,182.16,182.16,181.93,181.98,11995
2024-03-22 15:01:00,181.99,182.05,181.99,182.05,853
2024-03-22 15:00:00,182.2,182.2,182.07,182.075,2277
2024-03-22 14:59:00,182.35,182.35,182.27,182.27,1122
2024-03-22 14:58:00,182.21,182.265,182.2,182.265,1754
2024-03-22 14:57:00,182.275,182.275,182.24,182.24,1478
2024-03-22 14:56:00,182.275,182.275,182.21,182.275,887
2024-03-22 14:55:00,182.42,182.42,182.2,182.25,5767
2024-03-22 14:54:00,182.43,182.44,182.43,182.44,618
2024-03-22 14:53:00,182.49,182.6,182.48,182.515,7339
2024-03-22 14:52:00,182.645,182.645,182.425,182.51,4942
2024-03-22 14:51:00,182.645,182.645,182.645,182.645,135
2024-03-22 14:50:00,182.58,182.58,182.58,182.58,320
2024-03-22 14:47:00,182.645,182.69,182.645,182.69,444
2024-03-22 14:46:00,182.645,182.645,182.645,182.645,126
2024-03-22 14:45:00,182.555,182.68,182.555,182.65,1888
2024-03-22 14:44:00,182.54,182.555,182.54,182.555,313
2024-03-22 14:43:00,182.53,182.56,182.49,182.56,3695
2024-03-22 14:42:00,182.53,182.53,182.53,182.53,212
2024-03-22 14:41:00,182.555,182.565,182.49,182.49,3051
2024-03-22 14:40:00,182.555,182.555,182.55,182.555,327
2024-03-22 14:39:00,182.575,182.575,182.555,182.555,541
2024-03-22 14:38:00,182.61,182.62,182.55,182.55,916
2024-03-22 14:37:00,182.525,182.62,182.505,182.62,4150
2024-03-22 14:36:00,182.62,182.62,182.62,182.62,548
2024-03-22 14:35:00,182.62,182.62,182.62,182.62,309
2024-03-22 14:34:00,182.72,182.72,182.62,182.62,399
2024-03-22 14:33:00,182.47,182.75,182.47,182.68,1611
2024-03-22 14:32:00,182.47,182.47,182.47,182.47,1219
2024-03-22 14:31:00,182.415,182.47,182.415,182.47,384
2024-03-22 14:29:00,182.35,182.47,182.35,182.47,570
2024-03-22 14:28:00,182.155,182.495,182.09,182.215,5471
2024-03-22 14:27:00,182.155,182.155,182.09,182.09,277
2024-03-22 14:26:00,182.15,182.22,182.09,182.155,994
2024-03-22 14:25:00,182.155,182.16,182.15,182.16,3779
2024-03-22 14:23:00,182.075,182.16,182.0,182.155,2298
2024-03-22 14:22:00,182.09,182.09,182.01,182.09,3850
