,1. open,2. high,3. low,4. close,5. volume
2022-07-29 15:59:00,85.625,85.68,85.58,85.64,38119
2022-07-29 15:58:00,85.59,85.64,85.58,85.62,17476
2022-07-29 15:57:00,85.58,85.615,85.56,85.585,9674
2022-07-29 15:56:00,85.61,85.62,85.565,85.58,14162
2022-07-29 15:55:00,85.71,85.71,85.625,85.625,10468
2022-07-29 15:54:00,85.69,85.77,85.69,85.715,8694
2022-07-29 15:53:00,85.715,85.74,85.68,85.685,7667
2022-07-29 15:52:00,85.8,85.805,85.73,85.73,6360
2022-07-29 15:51:00,85.85,85.85,85.78,85.805,5052
2022-07-29 15:50:00,85.86,85.93,85.78,85.86,14536
2022-07-29 15:49:00,85.89,85.89,85.84,85.855,3515
2022-07-29 15:48:00,85.79,85.88,85.79,85.88,2274
2022-07-29 15:47:00,85.77,85.8,85.755,85.79,3860
2022-07-29 15:46:00,85.74,85.83,85.73,85.795,7632
2022-07-29 15:45:00,85.71,85.725,85.7,85.72,3139
2022-07-29 15:44:00,85.7,85.72,85.7,85.715,1327
2022-07-29 15:43:00,85.73,85.73,85.71,85.71,1878
2022-07-29 15:42:00,85.7,85.71,85.69,85.71,2814
2022-07-29 15:41:00,85.66,85.7,85.66,85.7,1500
2022-07-29 15:40:00,85.68,85.68,85.645,85.665,3254
2022-07-29 15:39:00,85.75,85.76,85.69,85.69,1894
2022-07-29 15:38:00,85.75,85.77,85.73,85.735,4218
2022-07-29 15:37:00,85.755,85.755,85.745,85.75,700
2022-07-29 15:36:00,85.725,85.77,85.725,85.76,1848
2022-07-29 15:35:00,85.74,85.75,85.715,85.72,2708
2022-07-29 15:34:00,85.7,85.76,85.7,85.76,1500
2022-07-29 15:33:00,85.68,85.71,85.68,85.71,3162
2022-07-29 15:32:00,85.67,85.68,85.66,85.67,1290
2022-07-29 15:31:00,85.65,85.67,85.64,85.67,800
2022-07-29 15:30:00,85.66,85.67,85.65,85.65,1200
2022-07-29 15:29:00,85.64,85.66,85.63,85.66,800
2022-07-29 15:28:00,85.63,85.64,85.63,85.64,731
2022-07-29 15:27:00,85.62,85.63,85.61,85.63,1118
2022-07-29 15:26:00,85.64,85.67,85.625,85.625,1347
2022-07-29 15:25:00,85.62,85.65,85.62,85.64,2500
2022-07-29 15:24:00,85.62,85.64,85.61,85.63,1400
2022-07-29 15:23:00,85.62,85.63,85.59,85.59,1403
2022-07-29 15:22:00,85.61,85.635,85.61,85.62,2332
2022-07-29 15:21:00,85.58,85.61,85.57,85.61,1300
2022-07-29 15:20:00,85.54,85.57,85.54,85.56,2263
2022-07-29 15:19:00,85.55,85.55,85.545,85.545,200
2022-07-29 15:18:00,85.52,85.555,85.52,85.555,800
2022-07-29 15:17:00,85.5,85.52,85.5,85.52,1202
2022-07-29 15:16:00,85.53,85.545,85.49,85.49,700
2022-07-29 15:15:00,85.6,85.61,85.56,85.57,1435
2022-07-29 15:14:00,85.55,85.6,85.55,85.59,2006
2022-07-29 15:13:00,85.51,85.56,85.51,85.55,900
2022-07-29 15:12:00,85.58,85.595,85.52,85.53,1208
2022-07-29 15:11:00,85.54,85.6,85.54,85.6,1100
2022-07-29 15:10:00,85.54,85.55,85.54,85.55,1339
2022-07-29 15:09:00,85.56,85.57,85.56,85.57,200
2022-07-29 15:08:00,85.57,85.57,85.55,85.55,300
2022-07-29 15:07:00,85.57,85.575,85.57,85.575,225
2022-07-29 15:06:00,85.52,85.56,85.52,85.56,300
2022-07-29 15:05:00,85.61,85.61,85.56,85.6,1416
2022-07-29 15:04:00,85.58,85.62,85.58,85.62,900
2022-07-29 15:03:00,85.55,85.59,85.55,85.55,400
2022-07-29 15:02:00,85.53,85.54,85.52,85.54,911
2022-07-29 15:01:00,85.51,85.53,85.5,85.53,1000
2022-07-29 15:00:00,85.46,85.505,85.46,85.49,1947
2022-07-29 14:59:00,85.44,85.48,85.44,85.46,1000
2022-07-29 14:57:00,85.51,85.51,85.46,85.46,800
2022-07-29 14:56:00,85.51,85.52,85.51,85.52,200
2022-07-29 14:55:00,85.48,85.51,85.47,85.51,600
2022-07-29 14:54:00,85.513,85.513,85.48,85.49,919
2022-07-29 14:53:00,85.5,85.52,85.5,85.52,919
2022-07-29 14:52:00,85.51,85.51,85.5,85.51,500
2022-07-29 14:51:00,85.46,85.47,85.44,85.47,1130
2022-07-29 14:50:00,85.54,85.54,85.51,85.51,400
2022-07-29 14:49:00,85.52,85.55,85.52,85.54,846
2022-07-29 14:48:00,85.57,85.58,85.54,85.54,1900
2022-07-29 14:47:00,85.46,85.57,85.46,85.57,3056
2022-07-29 14:46:00,85.45,85.45,85.44,85.45,327
2022-07-29 14:45:00,85.45,85.45,85.45,85.45,100
2022-07-29 14:44:00,85.45,85.46,85.45,85.46,755
2022-07-29 14:43:00,85.46,85.46,85.44,85.45,711
2022-07-29 14:42:00,85.48,85.48,85.48,85.48,100
2022-07-29 14:41:00,85.52,85.52,85.48,85.49,876
2022-07-29 14:40:00,85.535,85.54,85.535,85.54,300
2022-07-29 14:38:00,85.555,85.58,85.55,85.58,1091
2022-07-29 14:37:00,85.56,85.57,85.545,85.555,2286
2022-07-29 14:36:00,85.54,85.57,85.54,85.56,692
2022-07-29 14:35:00,85.52,85.56,85.52,85.54,795
2022-07-29 14:34:00,85.52,85.55,85.52,85.55,800
2022-07-29 14:33:00,85.54,85.54,85.52,85.53,600
2022-07-29 14:32:00,85.55,85.55,85.54,85.55,300
2022-07-29 14:31:00,85.54,85.57,85.54,85.57,800
2022-07-29 14:30:00,85.57,85.57,85.56,85.56,200
2022-07-29 14:29:00,85.55,85.58,85.55,85.58,565
2022-07-29 14:28:00,85.57,85.57,85.57,85.57,100
2022-07-29 14:27:00,85.5,85.53,85.5,85.53,500
2022-07-29 14:26:00,85.5,85.5,85.49,85.49,600
2022-07-29 14:25:00,85.475,85.5,85.46,85.5,1726
2022-07-29 14:24:00,85.48,85.48,85.47,85.47,200
2022-07-29 14:23:00,85.48,85.48,85.46,85.46,300
2022-07-29 14:22:00,85.5,85.5,85.5,85.5,101
2022-07-29 14:21:00,85.5,85.505,85.49,85.49,805
2022-07-29 14:20:00,85.54,85.55,85.53,85.548,496
2022-07-29 14:19:00,85.57,85.57,85.55,85.55,525
2022-07-29 14:18:00,85.52,85.545,85.5,85.545,1367
2022-07-29 14:17:00,85.57,85.57,85.53,85.54,500
2022-07-29 14:16:00,85.49,85.57,85.49,85.57,700
2022-07-29 14:15:00,85.55,85.56,85.52,85.52,1890
2022-07-29 14:14:00,85.557,85.557,85.557,85.557,100
2022-07-29 14:13:00,85.6,85.6,85.58,85.58,300
2022-07-29 14:12:00,85.57,85.605,85.57,85.58,531
2022-07-29 14:11:00,85.55,85.57,85.55,85.57,300
2022-07-29 14:10:00,85.56,85.57,85.55,85.55,855
2022-07-29 14:09:00,85.56,85.56,85.56,85.56,100
2022-07-29 14:08:00,85.53,85.56,85.53,85.56,500
2022-07-29 14:07:00,85.52,85.53,85.5,85.53,2767
2022-07-29 14:06:00,85.52,85.52,85.52,85.52,200
2022-07-29 14:05:00,85.405,85.45,85.39,85.45,1500
2022-07-29 14:04:00,85.36,85.43,85.35,85.43,600
2022-07-29 14:03:00,85.315,85.33,85.3,85.33,600
2022-07-29 14:02:00,85.265,85.305,85.265,85.3,600
2022-07-29 14:01:00,85.25,85.28,85.25,85.27,354
2022-07-29 14:00:00,85.31,85.32,85.31,85.32,200
2022-07-29 13:59:00,85.29,85.3,85.27,85.29,1020
2022-07-29 13:58:00,85.31,85.31,85.3,85.3,200
2022-07-29 13:57:00,85.29,85.29,85.26,85.26,500
2022-07-29 13:56:00,85.31,85.31,85.29,85.29,600
2022-07-29 13:55:00,85.39,85.39,85.34,85.34,610
2022-07-29 13:54:00,85.36,85.38,85.36,85.38,300
2022-07-29 13:53:00,85.28,85.349,85.28,85.33,3735
2022-07-29 13:52:00,85.29,85.29,85.28,85.28,1246
2022-07-29 13:51:00,85.33,85.33,85.33,85.33,100
2022-07-29 13:50:00,85.29,85.3,85.27,85.3,300
2022-07-29 13:49:00,85.26,85.31,85.25,85.3,1935
2022-07-29 13:48:00,85.27,85.27,85.265,85.27,400
2022-07-29 13:47:00,85.25,85.25,85.25,85.25,100
2022-07-29 13:46:00,85.27,85.27,85.27,85.27,296
2022-07-29 13:45:00,85.25,85.256,85.24,85.256,876
2022-07-29 13:44:00,85.22,85.245,85.21,85.245,500
2022-07-29 13:43:00,85.21,85.25,85.21,85.23,981
2022-07-29 13:42:00,85.19,85.21,85.19,85.21,691
2022-07-29 13:41:00,85.18,85.21,85.18,85.21,500
2022-07-29 13:40:00,85.19,85.19,85.19,85.19,300
2022-07-29 13:39:00,85.16,85.18,85.16,85.18,2339
2022-07-29 13:38:00,85.155,85.18,85.155,85.18,300
2022-07-29 13:37:00,85.14,85.14,85.13,85.135,400
2022-07-29 13:36:00,85.12,85.14,85.115,85.14,400
2022-07-29 13:35:00,85.1,85.1,85.09,85.09,300
2022-07-29 13:34:00,85.07,85.07,85.07,85.07,100
2022-07-29 13:33:00,85.085,85.085,85.085,85.085,100
2022-07-29 13:32:00,85.13,85.13,85.08,85.08,1100
2022-07-29 13:31:00,85.09,85.13,85.09,85.13,710
2022-07-29 13:30:00,85.09,85.09,85.08,85.08,500
2022-07-29 13:29:00,85.05,85.065,85.05,85.06,789
2022-07-29 13:28:00,85.06,85.06,85.05,85.05,253
2022-07-29 13:27:00,85.07,85.08,85.06,85.08,800
2022-07-29 13:26:00,85.09,85.09,85.05,85.08,500
2022-07-29 13:25:00,85.12,85.12,85.1,85.1,300
2022-07-29 13:24:00,85.12,85.12,85.11,85.11,300
2022-07-29 13:23:00,85.17,85.17,85.14,85.14,603
2022-07-29 13:22:00,85.135,85.16,85.12,85.16,9400
2022-07-29 13:21:00,85.115,85.13,85.115,85.125,1161
2022-07-29 13:20:00,85.22,85.22,85.19,85.19,1800
2022-07-29 13:19:00,85.24,85.24,85.24,85.24,900
2022-07-29 13:18:00,85.24,85.24,85.24,85.24,200
2022-07-29 13:17:00,85.204,85.22,85.17,85.2,1100
2022-07-29 13:16:00,85.21,85.22,85.2,85.22,300
2022-07-29 13:15:00,85.16,85.16,85.15,85.15,402
2022-07-29 13:14:00,85.15,85.15,85.12,85.145,2882
2022-07-29 13:13:00,85.22,85.24,85.2,85.2,3055
2022-07-29 13:12:00,85.27,85.29,85.23,85.23,3316
2022-07-29 13:11:00,85.275,85.275,85.25,85.265,1000
2022-07-29 13:09:00,85.27,85.28,85.27,85.28,200
2022-07-29 13:08:00,85.26,85.28,85.26,85.28,700
2022-07-29 13:07:00,85.27,85.27,85.23,85.24,2193
2022-07-29 13:06:00,85.28,85.28,85.27,85.27,200
2022-07-29 13:05:00,85.24,85.25,85.22,85.25,400
2022-07-29 13:04:00,85.25,85.25,85.25,85.25,100
2022-07-29 13:03:00,85.315,85.315,85.26,85.26,404
2022-07-29 13:02:00,85.291,85.31,85.29,85.31,1509
2022-07-29 13:01:00,85.24,85.24,85.2,85.23,1800
2022-07-29 12:59:00,85.28,85.28,85.28,85.28,100
2022-07-29 12:58:00,85.28,85.28,85.27,85.28,400
2022-07-29 12:57:00,85.29,85.3,85.26,85.3,465
2022-07-29 12:55:00,85.25,85.27,85.25,85.27,700
2022-07-29 12:54:00,85.21,85.225,85.18,85.225,1000
2022-07-29 12:53:00,85.22,85.22,85.22,85.22,200
2022-07-29 12:52:00,85.221,85.221,85.195,85.195,760
2022-07-29 12:51:00,85.21,85.21,85.21,85.21,100
2022-07-29 12:50:00,85.21,85.21,85.21,85.21,304
2022-07-29 12:49:00,85.19,85.19,85.19,85.19,100
2022-07-29 12:48:00,85.15,85.2,85.13,85.2,1623
2022-07-29 12:47:00,85.2,85.2,85.18,85.18,300
2022-07-29 12:46:00,85.15,85.19,85.15,85.19,700
2022-07-29 12:45:00,85.12,85.15,85.12,85.15,1102
2022-07-29 12:44:00,85.15,85.15,85.15,85.15,200
2022-07-29 12:43:00,85.12,85.15,85.101,85.15,497
2022-07-29 12:42:00,85.08,85.105,85.08,85.105,200
2022-07-29 12:41:00,85.06,85.06,85.05,85.06,300
2022-07-29 12:40:00,85.05,85.05,85.03,85.05,900
2022-07-29 12:39:00,85.05,85.05,85.03,85.03,200
2022-07-29 12:38:00,85.02,85.02,85.0,85.0,200
2022-07-29 12:37:00,84.955,85.0,84.95,85.0,2476
2022-07-29 12:36:00,84.98,84.99,84.96,84.98,11793
2022-07-29 12:35:00,85.02,85.04,85.02,85.02,605
2022-07-29 12:34:00,84.975,85.005,84.975,84.99,1197
2022-07-29 12:33:00,85.0,85.0,85.0,85.0,400
2022-07-29 12:32:00,84.995,84.995,84.95,84.97,1300
2022-07-29 12:31:00,85.02,85.035,84.995,84.995,10279
2022-07-29 12:30:00,85.01,85.04,85.01,85.03,7634
2022-07-29 12:29:00,85.0,85.0,85.0,85.0,100
2022-07-29 12:28:00,85.0,85.03,84.99,85.0,1320
2022-07-29 12:27:00,85.02,85.04,85.01,85.01,610
2022-07-29 12:26:00,85.004,85.01,85.0,85.01,703
2022-07-29 12:25:00,84.96,85.0,84.95,85.0,700
2022-07-29 12:24:00,84.94,84.94,84.94,84.94,100
2022-07-29 12:23:00,84.98,84.98,84.95,84.95,200
2022-07-29 12:22:00,84.92,84.92,84.92,84.92,200
2022-07-29 12:21:00,84.9,84.9,84.88,84.9,400
2022-07-29 12:20:00,84.84,84.88,84.84,84.88,500
2022-07-29 12:19:00,84.87,84.89,84.87,84.89,900
2022-07-29 12:18:00,84.86,84.87,84.85,84.85,900
