,1. open,2. high,3. low,4. close,5. volume
2023-09-29 15:59:00,13.703,13.73,13.7,13.722,819108
2023-09-29 15:58:00,13.72,13.74,13.7,13.71,919364
2023-09-29 15:57:00,13.693,13.72,13.69,13.715,534112
2023-09-29 15:56:00,13.685,13.7,13.68,13.695,497216
2023-09-29 15:55:00,13.695,13.7,13.66,13.69,479177
2023-09-29 15:54:00,13.725,13.73,13.69,13.69,416468
2023-09-29 15:53:00,13.745,13.75,13.71,13.72,291859
2023-09-29 15:52:00,13.74,13.77,13.74,13.75,475427
2023-09-29 15:51:00,13.74,13.75,13.72,13.745,416926
2023-09-29 15:50:00,13.72,13.74,13.69,13.74,507132
2023-09-29 15:49:00,13.685,13.74,13.681,13.725,268198
2023-09-29 15:48:00,13.705,13.715,13.68,13.685,183419
2023-09-29 15:47:00,13.685,13.71,13.68,13.705,245784
2023-09-29 15:46:00,13.665,13.69,13.65,13.689,251692
2023-09-29 15:45:00,13.655,13.67,13.65,13.66,125086
2023-09-29 15:44:00,13.66,13.66,13.65,13.655,77388
2023-09-29 15:43:00,13.655,13.66,13.64,13.65,128215
2023-09-29 15:42:00,13.645,13.66,13.64,13.655,138276
2023-09-29 15:41:00,13.645,13.665,13.63,13.644,229753
2023-09-29 15:40:00,13.645,13.65,13.63,13.645,83888
2023-09-29 15:39:00,13.635,13.65,13.62,13.645,136212
2023-09-29 15:38:00,13.625,13.64,13.62,13.64,72929
2023-09-29 15:37:00,13.61,13.63,13.6,13.625,127043
2023-09-29 15:36:00,13.625,13.65,13.61,13.615,149770
2023-09-29 15:35:00,13.651,13.66,13.62,13.625,225404
2023-09-29 15:34:00,13.635,13.66,13.63,13.655,164858
2023-09-29 15:33:00,13.7,13.705,13.63,13.637,209989
2023-09-29 15:32:00,13.705,13.72,13.69,13.705,214045
2023-09-29 15:31:00,13.735,13.75,13.7,13.707,184309
2023-09-29 15:30:00,13.765,13.78,13.73,13.74,418932
2023-09-29 15:29:00,13.715,13.795,13.711,13.77,468317
2023-09-29 15:28:00,13.691,13.72,13.69,13.714,96217
2023-09-29 15:27:00,13.685,13.7,13.68,13.695,103308
2023-09-29 15:26:00,13.715,13.715,13.67,13.685,218859
2023-09-29 15:25:00,13.715,13.72,13.7,13.72,131563
2023-09-29 15:24:00,13.69,13.72,13.68,13.717,172136
