,1. open,2. high,3. low,4. close,5. volume
2013-11-29 13:30:00,13.247,13.247,13.247,13.247,290
2013-11-29 13:24:00,13.25,13.25,13.25,13.25,949
2013-11-29 13:10:00,13.255,13.255,13.255,13.255,5000
2013-11-29 13:06:00,13.25,13.25,13.25,13.25,4654
2013-11-29 13:00:00,13.25,13.25,13.25,13.25,121799
2013-11-29 12:59:00,13.255,13.26,13.24,13.24,50944
2013-11-29 12:58:00,13.26,13.26,13.25,13.255,14469
2013-11-29 12:57:00,13.25,13.26,13.25,13.26,3913
2013-11-29 12:56:00,13.26,13.26,13.25,13.26,15258
2013-11-29 12:55:00,13.26,13.26,13.25,13.26,3500
2013-11-29 12:54:00,13.26,13.26,13.255,13.26,3100
2013-11-29 12:53:00,13.235,13.26,13.235,13.26,4000
2013-11-29 12:52:00,13.23,13.24,13.23,13.24,4600
2013-11-29 12:51:00,13.23,13.23,13.225,13.23,3200
2013-11-29 12:50:00,13.2,13.23,13.2,13.225,52463
2013-11-29 12:49:00,13.2,13.205,13.2,13.2,5200
2013-11-29 12:48:00,13.21,13.22,13.2,13.2,3200
2013-11-29 12:47:00,13.21,13.22,13.21,13.22,6200
2013-11-29 12:46:00,13.21,13.215,13.21,13.21,1000
2013-11-29 12:45:00,13.22,13.225,13.21,13.21,5075
2013-11-29 12:44:00,13.24,13.24,13.22,13.23,13993
2013-11-29 12:43:00,13.26,13.26,13.24,13.24,4800
2013-11-29 12:42:00,13.26,13.265,13.26,13.265,700
2013-11-29 12:41:00,13.265,13.265,13.26,13.265,600
2013-11-29 12:40:00,13.26,13.267,13.26,13.26,950
2013-11-29 12:39:00,13.25,13.265,13.25,13.26,4300
2013-11-29 12:38:00,13.275,13.275,13.245,13.25,18778
2013-11-29 12:37:00,13.27,13.275,13.27,13.275,900
2013-11-29 12:36:00,13.27,13.275,13.27,13.275,700
2013-11-29 12:35:00,13.27,13.28,13.27,13.275,1200
2013-11-29 12:34:00,13.27,13.275,13.27,13.275,200
2013-11-29 12:33:00,13.275,13.28,13.27,13.275,1700
2013-11-29 12:32:00,13.28,13.28,13.27,13.275,2430
2013-11-29 12:31:00,13.275,13.28,13.275,13.275,900
2013-11-29 12:30:00,13.26,13.28,13.26,13.28,4000
2013-11-29 12:29:00,13.255,13.275,13.253,13.265,18500
2013-11-29 12:28:00,13.259,13.259,13.255,13.255,600
2013-11-29 12:27:00,13.255,13.26,13.255,13.26,600
2013-11-29 12:26:00,13.255,13.26,13.25,13.26,700
2013-11-29 12:25:00,13.26,13.26,13.25,13.26,1621
2013-11-29 12:24:00,13.26,13.26,13.255,13.255,500
2013-11-29 12:23:00,13.26,13.26,13.25,13.26,15253
2013-11-29 12:22:00,13.25,13.26,13.25,13.255,500
2013-11-29 12:21:00,13.25,13.255,13.25,13.25,700
2013-11-29 12:20:00,13.26,13.26,13.25,13.25,300
2013-11-29 12:19:00,13.263,13.265,13.26,13.26,3754
2013-11-29 12:18:00,13.265,13.27,13.265,13.265,300
2013-11-29 12:17:00,13.26,13.265,13.26,13.265,5097
2013-11-29 12:16:00,13.253,13.26,13.253,13.26,700
2013-11-29 12:15:00,13.255,13.26,13.25,13.26,3400
2013-11-29 12:14:00,13.255,13.26,13.255,13.255,1050
2013-11-29 12:13:00,13.251,13.255,13.25,13.25,500
2013-11-29 12:12:00,13.255,13.26,13.255,13.255,400
2013-11-29 12:11:00,13.255,13.255,13.255,13.255,200
2013-11-29 12:10:00,13.255,13.26,13.25,13.26,1978
2013-11-29 12:09:00,13.255,13.26,13.255,13.255,300
2013-11-29 12:08:00,13.25,13.26,13.25,13.255,500
2013-11-29 12:07:00,13.24,13.259,13.24,13.259,5400
