,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,104.705,104.72,104.58,104.58,33187
2024-03-22 15:58:00,104.72,104.735,104.68,104.71,14975
2024-03-22 15:57:00,104.73,104.75,104.7,104.71,11635
2024-03-22 15:56:00,104.7,104.735,104.7,104.7,11504
2024-03-22 15:55:00,104.76,104.78,104.68,104.69,7414
2024-03-22 15:54:00,104.781,104.8,104.74,104.74,8331
2024-03-22 15:53:00,104.731,104.82,104.73,104.79,7641
2024-03-22 15:52:00,104.68,104.75,104.68,104.74,4141
2024-03-22 15:51:00,104.672,104.695,104.67,104.68,3770
2024-03-22 15:50:00,104.71,104.755,104.64,104.68,6987
2024-03-22 15:49:00,104.67,104.75,104.67,104.71,5543
2024-03-22 15:48:00,104.66,104.67,104.652,104.66,2575
2024-03-22 15:47:00,104.67,104.68,104.64,104.68,4213
2024-03-22 15:46:00,104.62,104.67,104.61,104.67,3284
2024-03-22 15:45:00,104.52,104.62,104.512,104.62,3102
2024-03-22 15:44:00,104.56,104.56,104.53,104.53,2210
2024-03-22 15:43:00,104.57,104.57,104.54,104.55,3271
2024-03-22 15:42:00,104.595,104.6,104.57,104.57,1201
2024-03-22 15:41:00,104.64,104.64,104.61,104.61,2428
2024-03-22 15:40:00,104.65,104.665,104.642,104.642,2147
2024-03-22 15:39:00,104.67,104.67,104.64,104.64,1687
2024-03-22 15:38:00,104.66,104.67,104.653,104.67,1551
2024-03-22 15:37:00,104.65,104.675,104.64,104.67,4170
2024-03-22 15:36:00,104.67,104.67,104.63,104.65,2228
2024-03-22 15:35:00,104.61,104.65,104.61,104.65,1984
2024-03-22 15:34:00,104.56,104.605,104.56,104.605,5208
2024-03-22 15:33:00,104.56,104.56,104.552,104.56,900
2024-03-22 15:32:00,104.622,104.63,104.59,104.59,3096
2024-03-22 15:31:00,104.64,104.64,104.63,104.63,1671
2024-03-22 15:30:00,104.64,104.65,104.64,104.64,2776
2024-03-22 15:29:00,104.61,104.635,104.61,104.635,1027
2024-03-22 15:28:00,104.6,104.63,104.6,104.62,2768
2024-03-22 15:27:00,104.56,104.6,104.56,104.6,1607
2024-03-22 15:26:00,104.55,104.56,104.55,104.56,434
2024-03-22 15:25:00,104.54,104.59,104.54,104.55,6346
2024-03-22 15:24:00,104.54,104.54,104.532,104.54,1539
2024-03-22 15:23:00,104.53,104.53,104.53,104.53,139
2024-03-22 15:22:00,104.55,104.55,104.54,104.54,1571
2024-03-22 15:21:00,104.55,104.565,104.53,104.53,3263
2024-03-22 15:20:00,104.535,104.535,104.52,104.532,1287
2024-03-22 15:19:00,104.6,104.6,104.53,104.54,2552
2024-03-22 15:18:00,104.6,104.6,104.58,104.58,1225
2024-03-22 15:17:00,104.64,104.64,104.59,104.6,2274
2024-03-22 15:16:00,104.655,104.655,104.63,104.64,1277
2024-03-22 15:15:00,104.606,104.64,104.606,104.64,1657
2024-03-22 15:14:00,104.6,104.625,104.59,104.59,1918
2024-03-22 15:13:00,104.55,104.59,104.55,104.59,1707
2024-03-22 15:12:00,104.6,104.6,104.53,104.53,2436
2024-03-22 15:11:00,104.61,104.61,104.61,104.61,1174
2024-03-22 15:10:00,104.63,104.66,104.62,104.64,3628
2024-03-22 15:09:00,104.62,104.63,104.62,104.63,781
2024-03-22 15:08:00,104.615,104.615,104.615,104.615,435
