,1. open,2. high,3. low,4. close,5. volume
2021-12-31 15:59:00,652.03,652.47,651.94,651.98,20961
2021-12-31 15:58:00,651.96,652.28,651.88,652.03,6892
2021-12-31 15:57:00,651.585,652.34,651.26,651.98,7062
2021-12-31 15:56:00,651.89,651.89,651.38,651.59,3350
2021-12-31 15:55:00,650.9,652.13,650.65,651.64,12489
2021-12-31 15:54:00,652.05,652.1,650.7,650.99,7729
2021-12-31 15:53:00,652.89,652.89,652.14,652.25,2310
2021-12-31 15:52:00,652.88,653.01,652.23,652.85,3668
2021-12-31 15:51:00,652.978,653.2,652.77,653.07,2500
2021-12-31 15:50:00,652.5,654.4,652.5,653.13,2500
2021-12-31 15:49:00,655.23,655.25,654.82,654.86,1504
2021-12-31 15:48:00,655.62,655.65,655.12,655.24,1200
2021-12-31 15:46:00,655.8,656.16,655.63,656.16,822
2021-12-31 15:45:00,656.29,656.29,655.75,656.07,1400
2021-12-31 15:44:00,655.62,656.07,655.62,656.07,500
2021-12-31 15:43:00,655.59,655.59,655.07,655.45,600
2021-12-31 15:42:00,656.21,656.21,655.96,655.98,985
2021-12-31 15:41:00,655.98,656.3,655.96,656.3,1106
2021-12-31 15:40:00,655.58,656.21,655.58,656.21,1300
2021-12-31 15:39:00,655.68,655.68,655.54,655.54,300
2021-12-31 15:38:00,655.87,656.08,655.87,655.95,800
2021-12-31 15:37:00,655.59,655.63,655.55,655.61,600
2021-12-31 15:36:00,655.74,655.75,655.21,655.515,992
2021-12-31 15:35:00,655.75,655.84,655.67,655.67,400
2021-12-31 15:34:00,656.12,656.18,656.12,656.18,200
2021-12-31 15:33:00,656.61,656.61,656.1,656.14,400
2021-12-31 15:32:00,657.3,657.32,656.82,656.88,1600
2021-12-31 15:31:00,657.51,657.62,657.18,657.22,2500
2021-12-31 15:30:00,658.19,658.19,657.5,657.5,900
2021-12-31 15:29:00,658.57,658.57,658.29,658.29,400
2021-12-31 15:28:00,658.58,658.58,658.58,658.58,200
2021-12-31 15:27:00,657.87,657.99,657.7,657.99,1100
2021-12-31 15:26:00,657.49,657.75,657.43,657.75,600
2021-12-31 15:25:00,657.34,657.51,657.34,657.51,712
2021-12-31 15:24:00,657.78,657.78,657.09,657.24,1274
2021-12-31 15:23:00,657.645,657.75,657.645,657.75,200
2021-12-31 15:22:00,657.77,657.81,657.58,657.65,900
2021-12-31 15:21:00,657.24,657.42,657.1,657.42,600
2021-12-31 15:20:00,657.29,657.33,656.97,657.17,800
2021-12-31 15:19:00,657.19,657.19,657.19,657.19,200
2021-12-31 15:18:00,657.26,657.26,657.26,657.26,100
2021-12-31 15:17:00,657.05,657.23,657.05,657.23,1000
2021-12-31 15:16:00,656.94,656.94,656.94,656.94,300
2021-12-31 15:15:00,656.87,656.93,656.78,656.93,681
