,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,117.45,117.48,117.38,117.38,17444
2024-03-22 15:58:00,117.5,117.51,117.44,117.44,8405
2024-03-22 15:57:00,117.51,117.52,117.49,117.51,5913
2024-03-22 15:56:00,117.53,117.545,117.5,117.51,5472
2024-03-22 15:55:00,117.63,117.69,117.51,117.535,8868
2024-03-22 15:54:00,117.67,117.68,117.6,117.655,4678
2024-03-22 15:53:00,117.74,117.74,117.65,117.665,4546
2024-03-22 15:52:00,117.76,117.765,117.75,117.75,3156
2024-03-22 15:51:00,117.76,117.79,117.75,117.75,4802
2024-03-22 15:50:00,117.9,117.9,117.76,117.77,8557
2024-03-22 15:49:00,117.75,117.79,117.75,117.79,2381
2024-03-22 15:48:00,117.705,117.74,117.705,117.74,1695
2024-03-22 15:47:00,117.725,117.74,117.71,117.715,2073
2024-03-22 15:46:00,117.74,117.74,117.74,117.74,752
2024-03-22 15:45:00,117.77,117.78,117.76,117.76,1074
2024-03-22 15:44:00,117.8,117.8,117.77,117.77,1585
2024-03-22 15:43:00,117.82,117.82,117.79,117.8,3119
2024-03-22 15:42:00,117.83,117.83,117.83,117.83,720
2024-03-22 15:41:00,117.81,117.82,117.81,117.82,1524
2024-03-22 15:40:00,117.82,117.82,117.81,117.81,1225
2024-03-22 15:39:00,117.78,117.8,117.78,117.79,2463
2024-03-22 15:37:00,117.78,117.78,117.775,117.775,614
2024-03-22 15:36:00,117.79,117.79,117.78,117.79,1712
2024-03-22 15:35:00,117.785,117.785,117.785,117.785,387
2024-03-22 15:34:00,117.8,117.81,117.79,117.79,1904
2024-03-22 15:33:00,117.81,117.81,117.79,117.79,1105
2024-03-22 15:32:00,117.86,117.862,117.85,117.85,1414
2024-03-22 15:31:00,117.9,117.91,117.85,117.855,3127
2024-03-22 15:30:00,117.89,117.89,117.88,117.88,1176
2024-03-22 15:29:00,117.89,117.89,117.88,117.89,1629
2024-03-22 15:28:00,117.92,117.92,117.9,117.9,1748
2024-03-22 15:27:00,117.952,117.955,117.93,117.935,1198
2024-03-22 15:26:00,117.965,117.965,117.965,117.965,481
2024-03-22 15:25:00,117.96,117.97,117.95,117.95,1417
2024-03-22 15:24:00,117.93,117.93,117.93,117.93,967
2024-03-22 15:22:00,117.87,117.91,117.87,117.91,1414
2024-03-22 15:20:00,117.86,117.86,117.857,117.858,685
