,1. open,2. high,3. low,4. close,5. volume
2021-11-30 15:59:00,74.521,74.707,74.095,74.312,43814
2021-11-30 15:58:00,74.385,74.707,74.005,74.384,18857
2021-11-30 15:57:00,74.331,74.535,73.925,74.213,13280
2021-11-30 15:56:00,74.277,74.517,73.907,74.177,7816
2021-11-30 15:55:00,74.277,74.49,73.88,74.141,9387
2021-11-30 15:54:00,74.394,74.554,73.916,74.123,5449
2021-11-30 15:53:00,74.485,74.644,74.005,74.231,9777
2021-11-30 15:52:00,74.494,74.689,74.104,74.335,9474
2021-11-30 15:51:00,74.521,74.68,74.05,74.33,6683
2021-11-30 15:50:00,74.773,74.933,74.014,74.357,13869
2021-11-30 15:49:00,74.859,75.019,74.4,74.636,3508
2021-11-30 15:48:00,74.936,75.096,74.463,74.704,2237
2021-11-30 15:47:00,75.012,75.177,74.508,74.749,4378
2021-11-30 15:46:00,74.999,75.182,74.625,74.852,2607
2021-11-30 15:45:00,74.918,75.159,74.526,74.834,3435
2021-11-30 15:44:00,74.841,75.069,74.468,74.744,1511
2021-11-30 15:43:00,74.814,75.024,74.436,74.69,3879
2021-11-30 15:42:00,74.818,75.001,74.441,74.65,1710
2021-11-30 15:41:00,74.8,74.987,74.409,74.654,4244
2021-11-30 15:40:00,74.737,74.951,74.342,74.627,2427
2021-11-30 15:39:00,74.8,74.96,74.365,74.582,3671
2021-11-30 15:38:00,74.755,74.978,74.382,74.641,3574
2021-11-30 15:37:00,74.755,74.915,74.338,74.582,2118
2021-11-30 15:36:00,74.647,74.884,74.275,74.56,2009
2021-11-30 15:35:00,74.728,74.906,74.275,74.51,2119
2021-11-30 15:34:00,74.764,74.933,74.338,74.573,3854
2021-11-30 15:33:00,74.782,74.96,74.391,74.618,1300
2021-11-30 15:32:00,74.665,74.924,74.293,74.6,2266
2021-11-30 15:31:00,74.575,74.807,74.203,74.483,600
2021-11-30 15:30:00,74.494,74.725,74.122,74.393,1606
2021-11-30 15:29:00,74.557,74.716,74.145,74.353,423
2021-11-30 15:28:00,74.516,74.698,74.122,74.371,3174
2021-11-30 15:27:00,74.476,74.698,74.104,74.339,1601
2021-11-30 15:26:00,74.44,74.716,74.068,74.312,3461
2021-11-30 15:25:00,74.476,74.639,74.041,74.249,1400
2021-11-30 15:24:00,74.665,74.825,74.172,74.38,2720
2021-11-30 15:23:00,74.593,74.798,74.203,74.474,2500
2021-11-30 15:22:00,74.566,74.761,74.194,74.438,300
2021-11-30 15:21:00,74.476,74.725,74.104,74.375,2023
2021-11-30 15:20:00,74.489,74.662,74.095,74.307,602
2021-11-30 15:19:00,74.521,74.68,74.104,74.312,508
2021-11-30 15:18:00,74.476,74.671,74.095,74.348,614
2021-11-30 15:17:00,74.539,74.707,74.131,74.38,1328
2021-11-30 15:16:00,74.484,74.707,74.112,74.366,1278
2021-11-30 15:15:00,74.494,74.725,74.113,74.321,1216
2021-11-30 15:14:00,74.476,74.635,74.104,74.312,189
2021-11-30 15:13:00,74.584,74.743,74.185,74.407,600
2021-11-30 15:12:00,74.666,74.826,74.185,74.393,1811
2021-11-30 15:11:00,74.584,74.843,74.212,74.519,700
2021-11-30 15:10:00,74.521,74.698,74.149,74.375,687
2021-11-30 15:09:00,74.648,74.811,74.163,74.371,1578
2021-11-30 15:08:00,74.71,74.87,74.275,74.483,500
2021-11-30 15:07:00,74.764,74.974,74.329,74.546,1775
2021-11-30 15:06:00,74.692,74.924,74.32,74.578,2549
2021-11-30 15:05:00,74.71,74.906,74.329,74.555,2500
2021-11-30 15:04:00,74.665,74.884,74.293,74.56,2100
2021-11-30 15:03:00,74.615,74.798,74.234,74.474,600
2021-11-30 15:02:00,74.638,74.816,74.248,74.456,2702
2021-11-30 15:01:00,74.656,74.825,74.266,74.497,1147
2021-11-30 15:00:00,74.539,74.78,74.158,74.456,1806
2021-11-30 14:59:00,74.44,74.68,74.068,74.357,3900
2021-11-30 14:58:00,74.44,74.635,74.068,74.294,2300
2021-11-30 14:57:00,74.412,74.608,73.996,74.285,800
2021-11-30 14:56:00,74.367,74.572,73.996,74.249,764
2021-11-30 14:55:00,74.431,74.59,73.987,74.204,1310
2021-11-30 14:54:00,74.322,74.572,73.952,74.249,1012
2021-11-30 14:53:00,74.417,74.576,73.916,74.127,802
2021-11-30 14:52:00,74.44,74.599,74.068,74.276,100
