,1. open,2. high,3. low,4. close,5. volume
2017-06-30 15:59:00,73.237,73.373,73.012,73.159,78482
2017-06-30 15:58:00,73.255,73.413,73.136,73.292,26747
2017-06-30 15:57:00,73.361,73.493,73.153,73.301,48521
2017-06-30 15:56:00,73.352,73.502,73.242,73.407,34349
2017-06-30 15:55:00,73.388,73.52,73.259,73.407,19609
2017-06-30 15:54:00,73.396,73.537,73.286,73.442,22320
2017-06-30 15:53:00,73.414,73.555,73.286,73.447,27597
2017-06-30 15:52:00,73.441,73.573,73.321,73.469,26526
2017-06-30 15:51:00,73.467,73.599,73.348,73.504,20491
2017-06-30 15:50:00,73.511,73.653,73.383,73.531,33881
2017-06-30 15:49:00,73.565,73.697,73.418,73.566,9475
2017-06-30 15:48:00,73.529,73.723,73.436,73.628,24908
2017-06-30 15:47:00,73.565,73.697,73.436,73.593,14900
2017-06-30 15:46:00,73.485,73.706,73.383,73.62,14584
2017-06-30 15:45:00,73.405,73.626,73.312,73.54,34186
2017-06-30 15:44:00,73.423,73.555,73.286,73.46,16391
2017-06-30 15:43:00,73.375,73.555,73.277,73.473,6366
2017-06-30 15:42:00,73.352,73.511,73.251,73.434,7346
2017-06-30 15:41:00,73.317,73.484,73.224,73.407,7436
2017-06-30 15:40:00,73.281,73.466,73.189,73.372,15020
2017-06-30 15:39:00,73.299,73.431,73.189,73.336,11209
2017-06-30 15:38:00,73.334,73.484,73.206,73.354,11825
2017-06-30 15:37:00,73.352,73.484,73.242,73.389,4557
2017-06-30 15:36:00,73.37,73.528,73.251,73.398,11480
2017-06-30 15:35:00,73.361,73.52,73.268,73.425,11611
2017-06-30 15:34:00,73.343,73.493,73.242,73.414,6005
2017-06-30 15:33:00,73.352,73.493,73.237,73.389,6699
2017-06-30 15:32:00,73.377,73.509,73.251,73.407,5847
2017-06-30 15:31:00,73.343,73.511,73.233,73.425,16625
2017-06-30 15:30:00,73.37,73.511,73.259,73.407,18511
2017-06-30 15:29:00,73.405,73.546,73.286,73.434,7008
2017-06-30 15:28:00,73.388,73.559,73.295,73.46,10073
2017-06-30 15:27:00,73.37,73.528,73.277,73.442,6817
2017-06-30 15:26:00,73.361,73.511,73.268,73.416,5298
2017-06-30 15:25:00,73.343,73.484,73.224,73.407,7177
2017-06-30 15:24:00,73.29,73.475,73.189,73.389,15887
2017-06-30 15:23:00,73.317,73.449,73.18,73.354,9933
2017-06-30 15:22:00,73.326,73.466,73.224,73.372,6005
2017-06-30 15:21:00,73.326,73.458,73.215,73.38,3254
2017-06-30 15:20:00,73.281,73.458,73.184,73.38,8151
2017-06-30 15:19:00,73.299,73.44,73.175,73.332,12549
2017-06-30 15:18:00,73.281,73.431,73.18,73.345,7664
2017-06-30 15:17:00,73.317,73.449,73.171,73.341,15647
2017-06-30 15:16:00,73.228,73.458,73.127,73.38,18356
2017-06-30 15:15:00,73.255,73.396,73.136,73.292,14158
2017-06-30 15:14:00,73.255,73.396,73.162,73.314,2425
2017-06-30 15:13:00,73.281,73.413,73.144,73.31,6703
2017-06-30 15:12:00,73.255,73.404,73.153,73.327,10918
2017-06-30 15:11:00,73.255,73.396,73.144,73.31,9624
2017-06-30 15:10:00,73.264,73.404,73.153,73.31,19862
2017-06-30 15:09:00,73.122,73.484,73.03,73.336,55627
2017-06-30 15:08:00,73.096,73.24,73.003,73.164,2433
2017-06-30 15:07:00,73.087,73.227,72.989,73.136,5105
2017-06-30 15:06:00,73.104,73.245,72.994,73.141,6915
2017-06-30 15:05:00,73.113,73.245,72.994,73.159,4420
2017-06-30 15:04:00,73.14,73.271,73.012,73.168,3010
2017-06-30 15:03:00,73.122,73.271,73.012,73.186,10978
2017-06-30 15:02:00,73.016,73.245,72.924,73.168,5649
2017-06-30 15:01:00,73.033,73.165,72.924,73.071,5200
2017-06-30 15:00:00,73.043,73.183,72.924,73.084,4195
2017-06-30 14:59:00,72.998,73.165,72.906,73.088,4653
2017-06-30 14:58:00,72.989,73.147,72.897,73.053,2520
2017-06-30 14:57:00,72.981,73.147,72.888,73.044,3622
2017-06-30 14:56:00,72.981,73.112,72.871,73.026,4600
2017-06-30 14:55:00,72.981,73.121,72.879,73.035,2279
2017-06-30 14:54:00,72.954,73.085,72.862,73.009,1600
2017-06-30 14:53:00,72.955,73.103,72.835,73.026,4800
2017-06-30 14:52:00,72.963,73.103,72.853,73.009,5700
2017-06-30 14:51:00,72.874,73.183,72.773,73.017,17938
2017-06-30 14:50:00,72.919,73.05,72.791,72.938,2900
2017-06-30 14:49:00,72.821,73.112,72.729,72.982,18741
2017-06-30 14:48:00,72.83,72.97,72.729,72.876,3800
2017-06-30 14:47:00,72.812,72.988,72.72,72.911,2100
2017-06-30 14:46:00,72.821,72.997,72.729,72.876,4903
