,1. open,2. high,3. low,4. close,5. volume
2023-09-29 15:59:00,79.502,79.502,79.41,79.502,47056
2023-09-29 15:58:00,79.507,79.554,79.472,79.497,34364
2023-09-29 15:57:00,79.38,79.55,79.38,79.527,45052
2023-09-29 15:56:00,79.46,79.476,79.332,79.377,24340
2023-09-29 15:55:00,79.554,79.554,79.44,79.482,7784
2023-09-29 15:54:00,79.75,79.768,79.515,79.587,32680
2023-09-29 15:53:00,79.867,79.898,79.76,79.76,30992
2023-09-29 15:52:00,79.76,79.862,79.757,79.827,9188
2023-09-29 15:51:00,79.731,79.778,79.731,79.778,15000
2023-09-29 15:50:00,79.787,79.805,79.737,79.743,14000
2023-09-29 15:49:00,79.747,79.755,79.745,79.755,10880
2023-09-29 15:48:00,79.75,79.75,79.75,79.75,6448
2023-09-29 15:47:00,79.781,79.781,79.781,79.781,1956
2023-09-29 15:46:00,79.715,79.758,79.715,79.752,6048
2023-09-29 15:45:00,79.655,79.713,79.642,79.712,8084
2023-09-29 15:44:00,79.657,79.678,79.657,79.677,3424
2023-09-29 15:42:00,79.635,79.648,79.635,79.647,1580
2023-09-29 15:41:00,79.627,79.628,79.595,79.607,4252
2023-09-29 15:39:00,79.625,79.635,79.625,79.63,3672
2023-09-29 15:38:00,79.585,79.598,79.585,79.597,3428
2023-09-29 15:36:00,79.472,79.538,79.472,79.535,4884
2023-09-29 15:35:00,79.447,79.463,79.435,79.437,4364
2023-09-29 15:34:00,79.525,79.525,79.498,79.497,1008
2023-09-29 15:33:00,79.475,79.541,79.475,79.541,1308
2023-09-29 15:32:00,79.545,79.545,79.545,79.545,2008
2023-09-29 15:27:00,79.542,79.574,79.543,79.558,3264
2023-09-29 15:26:00,79.565,79.565,79.56,79.56,3044
2023-09-29 15:25:00,79.616,79.616,79.616,79.616,936
2023-09-29 15:24:00,79.61,79.61,79.61,79.61,1180
2023-09-29 15:21:00,79.647,79.663,79.618,79.618,1940
2023-09-29 15:20:00,79.662,79.663,79.663,79.663,1284
2023-09-29 15:19:00,79.682,79.683,79.683,79.683,648
2023-09-29 15:16:00,79.685,79.685,79.678,79.678,1344
2023-09-29 15:15:00,79.722,79.723,79.723,79.723,648
2023-09-29 15:14:00,79.752,79.781,79.753,79.781,3376
2023-09-29 15:13:00,79.709,79.79,79.709,79.79,5348
2023-09-29 15:10:00,79.667,79.668,79.595,79.595,3056
2023-09-29 15:04:00,79.655,79.655,79.655,79.655,892
2023-09-29 15:03:00,79.737,79.76,79.715,79.715,8088
2023-09-29 15:01:00,79.785,79.785,79.735,79.735,2864
2023-09-29 14:57:00,79.647,79.739,79.648,79.739,2560
2023-09-29 14:56:00,79.565,79.645,79.565,79.645,15184
2023-09-29 14:55:00,79.524,79.524,79.524,79.524,772
2023-09-29 14:54:00,79.5,79.5,79.5,79.5,2312
2023-09-29 14:51:00,79.5,79.5,79.494,79.494,1132
2023-09-29 14:50:00,79.474,79.474,79.474,79.474,828
2023-09-29 14:47:00,79.517,79.518,79.518,79.518,3144
2023-09-29 14:43:00,79.492,79.493,79.493,79.493,1592
2023-09-29 14:41:00,79.405,79.405,79.405,79.405,1228
2023-09-29 14:40:00,79.392,79.393,79.393,79.393,460
2023-09-29 14:36:00,79.405,79.405,79.405,79.405,768
2023-09-29 14:34:00,79.412,79.413,79.413,79.413,1632
2023-09-29 14:30:00,79.407,79.408,79.408,79.408,820
2023-09-29 14:29:00,79.392,79.393,79.393,79.393,1324
2023-09-29 14:28:00,79.482,79.483,79.483,79.483,2588
2023-09-29 14:26:00,79.5,79.517,79.5,79.517,1520
2023-09-29 14:24:00,79.502,79.502,79.502,79.502,1656
2023-09-29 14:23:00,79.44,79.485,79.44,79.485,1940
2023-09-29 14:22:00,79.467,79.467,79.467,79.467,2236
2023-09-29 14:17:00,79.572,79.572,79.525,79.53,3956
2023-09-29 14:09:00,79.555,79.555,79.555,79.555,1336
2023-09-29 14:06:00,79.652,79.652,79.592,79.592,4096
2023-09-29 14:05:00,79.655,79.655,79.655,79.655,488
2023-09-29 14:04:00,79.69,79.69,79.657,79.657,2216
2023-09-29 14:02:00,79.615,79.615,79.615,79.615,1148
2023-09-29 14:01:00,79.617,79.617,79.617,79.617,1272
2023-09-29 14:00:00,79.626,79.626,79.626,79.626,588
2023-09-29 13:54:00,79.69,79.69,79.69,79.69,2672
2023-09-29 13:52:00,79.662,79.662,79.662,79.662,1088
2023-09-29 13:49:00,79.7,79.7,79.7,79.7,1196
2023-09-29 13:48:00,79.782,79.782,79.721,79.722,1772
2023-09-29 13:47:00,79.707,79.725,79.707,79.725,4192
2023-09-29 13:42:00,79.755,79.755,79.755,79.755,988
2023-09-29 13:34:00,79.716,79.716,79.716,79.716,1252
2023-09-29 13:29:00,79.762,79.762,79.762,79.762,516
2023-09-29 13:23:00,79.627,79.627,79.627,79.627,508
2023-09-29 13:19:00,79.62,79.62,79.62,79.62,1688
2023-09-29 13:18:00,79.597,79.597,79.597,79.597,2096
2023-09-29 13:16:00,79.64,79.64,79.64,79.64,1388
2023-09-29 13:15:00,79.625,79.625,79.597,79.597,1932
2023-09-29 13:02:00,79.8,79.8,79.8,79.8,480
2023-09-29 13:01:00,79.81,79.81,79.81,79.81,1856
2023-09-29 13:00:00,79.891,79.891,79.891,79.891,504
2023-09-29 12:59:00,79.837,79.873,79.837,79.873,2360
2023-09-29 12:58:00,79.815,79.818,79.8,79.8,4048
2023-09-29 12:50:00,79.81,79.81,79.81,79.81,420
2023-09-29 12:47:00,79.905,79.905,79.905,79.905,1412
2023-09-29 12:42:00,79.94,79.94,79.94,79.94,948
2023-09-29 12:35:00,80.03,80.03,80.02,80.025,1820
2023-09-29 12:34:00,80.099,80.099,80.025,80.025,2304
2023-09-29 12:30:00,80.042,80.16,80.007,80.013,11100
2023-09-29 12:29:00,80.03,80.06,80.0,80.015,9080
2023-09-29 12:28:00,80.005,80.011,80.005,80.011,3468
2023-09-29 12:23:00,80.002,80.003,80.002,80.003,996
2023-09-29 12:22:00,80.02,80.02,80.002,80.003,1128
2023-09-29 12:17:00,79.941,79.941,79.941,79.941,540
2023-09-29 12:13:00,80.117,80.118,80.01,80.01,3216
2023-09-29 12:12:00,80.125,80.13,80.125,80.128,1348
2023-09-29 12:11:00,80.13,80.13,80.127,80.128,1696
2023-09-29 12:10:00,80.16,80.16,80.127,80.128,4252
2023-09-29 12:06:00,80.236,80.293,80.19,80.208,17732
2023-09-29 12:05:00,80.291,80.291,80.236,80.236,38828
2023-09-29 12:04:00,80.211,80.211,80.207,80.208,1828
2023-09-29 12:03:00,80.322,80.323,80.31,80.31,5460
2023-09-29 11:59:00,80.325,80.325,80.325,80.325,1124
2023-09-29 11:58:00,80.367,80.367,80.367,80.368,1324
2023-09-29 11:57:00,80.382,80.382,80.382,80.383,2404
2023-09-29 11:53:00,80.347,80.347,80.346,80.346,3392
2023-09-29 11:51:00,80.417,80.417,80.417,80.418,796
2023-09-29 11:50:00,80.447,80.472,80.447,80.473,15932
2023-09-29 11:49:00,80.544,80.544,80.442,80.45,4168
2023-09-29 11:46:00,80.542,80.542,80.541,80.541,2292
2023-09-29 11:45:00,80.614,80.62,80.59,80.59,46456
2023-09-29 11:44:00,80.596,80.596,80.596,80.596,3224
2023-09-29 11:43:00,80.554,80.56,80.554,80.56,5316
2023-09-29 11:42:00,80.554,80.554,80.554,80.554,456
2023-09-29 11:37:00,80.642,80.651,80.642,80.643,3136
2023-09-29 11:35:00,80.69,80.69,80.682,80.69,4032
2023-09-29 11:34:00,80.685,80.693,80.657,80.69,3720
2023-09-29 11:33:00,80.692,80.745,80.675,80.675,4120
2023-09-29 11:28:00,80.802,80.803,80.66,80.66,5788
2023-09-29 11:27:00,80.797,80.804,80.797,80.804,1420
2023-09-29 11:26:00,80.802,80.803,80.802,80.803,820
2023-09-29 11:25:00,80.7,80.74,80.7,80.74,6104
2023-09-29 11:24:00,80.691,80.745,80.657,80.658,3260
2023-09-29 11:23:00,80.56,80.673,80.56,80.648,5592
2023-09-29 11:22:00,80.577,80.6,80.577,80.6,2220
2023-09-29 11:20:00,80.641,80.641,80.641,80.641,440
2023-09-29 11:15:00,80.654,80.694,80.654,80.656,1952
2023-09-29 11:12:00,80.794,80.794,80.627,80.628,4476
2023-09-29 11:11:00,80.75,80.763,80.75,80.763,2320
2023-09-29 11:05:00,80.687,80.688,80.687,80.688,940
2023-09-29 11:04:00,80.747,80.77,80.744,80.744,5044
2023-09-29 11:03:00,80.771,80.771,80.771,80.771,1132
2023-09-29 11:02:00,80.77,80.77,80.77,80.77,1156
2023-09-29 11:00:00,80.864,80.864,80.864,80.864,512
2023-09-29 10:59:00,80.927,80.936,80.805,80.805,6140
2023-09-29 10:57:00,80.915,80.915,80.915,80.915,580
2023-09-29 10:56:00,80.922,80.965,80.922,80.965,3088
2023-09-29 10:55:00,81.012,81.013,80.981,80.981,1920
2023-09-29 10:53:00,80.98,80.98,80.98,80.98,2656
2023-09-29 10:52:00,80.9,80.9,80.9,80.9,760
2023-09-29 10:51:00,80.95,80.968,80.95,80.968,1608
2023-09-29 10:50:00,81.051,81.051,80.949,80.949,5544
2023-09-29 10:49:00,81.055,81.055,81.055,81.055,1272
2023-09-29 10:48:00,81.09,81.09,81.09,81.09,1412
2023-09-29 10:46:00,81.134,81.134,81.077,81.078,2160
2023-09-29 10:45:00,80.985,80.985,80.985,80.985,1488
2023-09-29 10:44:00,81.002,81.003,81.002,81.003,632
2023-09-29 10:42:00,80.772,80.913,80.772,80.913,5952
2023-09-29 10:41:00,80.735,80.845,80.735,80.845,4692
2023-09-29 10:40:00,80.806,80.806,80.806,80.806,828
2023-09-29 10:37:00,80.85,80.85,80.85,80.85,700
2023-09-29 10:36:00,80.834,80.834,80.779,80.779,1320
