,1. open,2. high,3. low,4. close,5. volume
2020-05-29 15:59:00,65.716,65.716,65.554,65.616,63670
2020-05-29 15:58:00,65.709,65.755,65.707,65.755,5000
2020-05-29 15:57:00,65.57,65.769,65.57,65.703,15000
2020-05-29 15:56:00,65.712,65.762,65.602,65.602,15120
2020-05-29 15:55:00,65.752,65.752,65.719,65.719,5000
2020-05-29 15:54:00,65.695,65.744,65.628,65.744,11250
2020-05-29 15:53:00,65.561,65.673,65.551,65.579,20000
2020-05-29 15:52:00,65.66,65.66,65.66,65.66,1000
2020-05-29 15:51:00,65.517,65.581,65.517,65.55,10000
2020-05-29 15:50:00,65.515,65.517,65.456,65.456,9000
2020-05-29 15:49:00,65.493,65.493,65.37,65.424,4300
2020-05-29 15:48:00,65.542,65.541,65.533,65.533,2000
2020-05-29 15:47:00,65.573,65.603,65.464,65.604,14000
2020-05-29 15:46:00,65.56,65.56,65.56,65.56,1000
2020-05-29 15:45:00,65.546,65.546,65.546,65.546,1000
2020-05-29 15:44:00,65.519,65.656,65.519,65.656,3000
2020-05-29 15:43:00,65.44,65.515,65.44,65.515,2000
2020-05-29 15:42:00,65.543,65.543,65.49,65.49,3000
2020-05-29 15:41:00,65.613,65.613,65.613,65.613,1000
2020-05-29 15:40:00,65.575,65.575,65.574,65.574,2000
2020-05-29 15:39:00,65.534,65.534,65.534,65.534,1000
2020-05-29 15:38:00,65.507,65.557,65.507,65.557,5000
2020-05-29 15:36:00,65.571,65.571,65.496,65.496,3000
2020-05-29 15:34:00,65.42,65.482,65.42,65.482,5000
2020-05-29 15:32:00,65.552,65.551,65.524,65.524,2000
2020-05-29 15:30:00,65.501,65.591,65.501,65.528,5000
2020-05-29 15:29:00,65.388,65.388,65.388,65.388,1000
2020-05-29 15:28:00,65.425,65.439,65.273,65.439,7000
2020-05-29 15:27:00,65.37,65.37,65.37,65.37,1000
2020-05-29 15:26:00,65.499,65.499,65.367,65.367,2000
2020-05-29 15:25:00,65.541,65.541,65.541,65.541,1000
2020-05-29 15:24:00,65.578,65.578,65.578,65.578,1000
2020-05-29 15:21:00,65.457,65.457,65.457,65.457,1000
2020-05-29 15:20:00,65.452,65.512,65.452,65.51,6000
2020-05-29 15:17:00,65.329,65.328,65.329,65.328,1000
