,1. open,2. high,3. low,4. close,5. volume
2014-10-31 15:59:00,64.813,64.935,64.724,64.829,29801
2014-10-31 15:58:00,64.796,64.891,64.697,64.794,9797
2014-10-31 15:57:00,64.769,64.891,64.697,64.803,6456
2014-10-31 15:56:00,64.76,64.838,64.671,64.75,2813
2014-10-31 15:55:00,64.734,64.829,64.662,64.75,6682
2014-10-31 15:54:00,64.725,64.802,64.644,64.723,4193
2014-10-31 15:53:00,64.751,64.82,64.657,64.719,3323
2014-10-31 15:52:00,64.725,64.82,64.653,64.741,2966
2014-10-31 15:51:00,64.743,64.811,64.644,64.714,5140
2014-10-31 15:50:00,64.716,64.806,64.635,64.727,2418
2014-10-31 15:49:00,64.725,64.793,64.644,64.705,2130
2014-10-31 15:48:00,64.725,64.793,64.644,64.714,1500
2014-10-31 15:47:00,64.725,64.793,64.644,64.714,1100
2014-10-31 15:46:00,64.681,64.793,64.609,64.705,2400
2014-10-31 15:45:00,64.681,64.753,64.556,64.67,6843
2014-10-31 15:44:00,64.698,64.767,64.618,64.679,600
2014-10-31 15:43:00,64.681,64.775,64.609,64.696,1300
2014-10-31 15:42:00,64.707,64.775,64.6,64.661,900
2014-10-31 15:41:00,64.707,64.802,64.635,64.705,2300
2014-10-31 15:40:00,64.663,64.784,64.591,64.705,2400
2014-10-31 15:39:00,64.65,64.731,64.556,64.652,2000
2014-10-31 15:38:00,64.628,64.722,64.556,64.643,1300
2014-10-31 15:37:00,64.636,64.705,64.414,64.617,13901
2014-10-31 15:36:00,64.654,64.722,64.569,64.63,1100
2014-10-31 15:35:00,64.654,64.74,64.582,64.643,1700
2014-10-31 15:34:00,64.663,64.731,64.578,64.652,900
2014-10-31 15:33:00,64.636,64.722,64.565,64.635,1800
2014-10-31 15:32:00,64.632,64.7,64.56,64.621,100
2014-10-31 15:31:00,64.619,64.696,64.547,64.617,1400
2014-10-31 15:30:00,64.628,64.696,64.556,64.617,1300
2014-10-31 15:29:00,64.601,64.696,64.52,64.617,9607
