,1. open,2. high,3. low,4. close,5. volume
2023-05-31 15:59:00,53.045,53.046,52.963,52.975,119666
2023-05-31 15:58:00,53.026,53.051,53.003,53.034,89206
2023-05-31 15:57:00,52.986,53.031,52.968,53.014,58429
2023-05-31 15:56:00,52.936,52.991,52.923,52.985,59076
2023-05-31 15:55:00,52.907,52.962,52.874,52.925,40574
2023-05-31 15:54:00,52.852,52.952,52.844,52.895,33800
2023-05-31 15:53:00,52.867,52.892,52.834,52.841,36116
2023-05-31 15:52:00,52.882,52.902,52.855,52.861,22991
2023-05-31 15:51:00,52.912,52.912,52.864,52.876,33363
2023-05-31 15:50:00,52.852,52.912,52.824,52.895,44290
2023-05-31 15:49:00,52.832,52.843,52.8,52.836,21244
2023-05-31 15:48:00,52.862,52.868,52.819,52.831,12089
2023-05-31 15:47:00,52.877,52.882,52.854,52.861,12547
2023-05-31 15:46:00,52.917,52.927,52.854,52.871,21249
2023-05-31 15:45:00,52.931,52.952,52.904,52.91,19664
2023-05-31 15:44:00,52.872,52.932,52.864,52.925,8441
2023-05-31 15:43:00,52.837,52.882,52.806,52.866,16903
2023-05-31 15:42:00,52.783,52.853,52.775,52.836,8284
2023-05-31 15:41:00,52.723,52.783,52.715,52.759,12621
2023-05-31 15:40:00,52.718,52.724,52.676,52.697,12743
2023-05-31 15:39:00,52.654,52.724,52.646,52.707,19753
2023-05-31 15:38:00,52.644,52.674,52.636,52.658,17800
2023-05-31 15:37:00,52.664,52.664,52.636,52.638,13842
2023-05-31 15:36:00,52.624,52.664,52.616,52.648,10653
2023-05-31 15:35:00,52.644,52.655,52.606,52.608,10313
2023-05-31 15:34:00,52.6,52.64,52.587,52.628,14594
2023-05-31 15:33:00,52.535,52.595,52.522,52.588,16330
2023-05-31 15:32:00,52.565,52.565,52.517,52.524,10624
2023-05-31 15:31:00,52.57,52.575,52.552,52.569,3755
2023-05-31 15:30:00,52.545,52.573,52.527,52.566,19831
2023-05-31 15:29:00,52.575,52.585,52.527,52.534,14800
2023-05-31 15:28:00,52.585,52.595,52.557,52.569,8680
2023-05-31 15:27:00,52.59,52.605,52.577,52.578,14921
2023-05-31 15:26:00,52.595,52.595,52.557,52.578,9169
2023-05-31 15:25:00,52.624,52.625,52.577,52.578,17693
2023-05-31 15:24:00,52.624,52.65,52.616,52.618,19772
2023-05-31 15:23:00,52.629,52.64,52.611,52.618,7550
2023-05-31 15:22:00,52.644,52.655,52.621,52.623,10293
2023-05-31 15:21:00,52.605,52.645,52.592,52.638,8706
2023-05-31 15:20:00,52.605,52.615,52.572,52.608,3908
2023-05-31 15:19:00,52.614,52.615,52.582,52.608,8450
2023-05-31 15:18:00,52.644,52.655,52.597,52.618,6474
2023-05-31 15:17:00,52.629,52.664,52.621,52.638,14874
2023-05-31 15:16:00,52.64,52.645,52.619,52.628,5515
2023-05-31 15:15:00,52.659,52.66,52.621,52.638,6750
2023-05-31 15:14:00,52.679,52.679,52.651,52.653,6150
2023-05-31 15:13:00,52.654,52.684,52.636,52.678,8532
2023-05-31 15:12:00,52.595,52.655,52.587,52.643,5193
2023-05-31 15:11:00,52.605,52.645,52.557,52.593,24446
2023-05-31 15:10:00,52.605,52.605,52.577,52.598,9376
2023-05-31 15:09:00,52.649,52.65,52.597,52.608,4029
2023-05-31 15:08:00,52.694,52.724,52.636,52.648,14744
2023-05-31 15:07:00,52.704,52.719,52.681,52.697,3791
2023-05-31 15:06:00,52.714,52.739,52.706,52.717,5218
2023-05-31 15:05:00,52.733,52.734,52.686,52.702,7725
2023-05-31 15:04:00,52.704,52.744,52.686,52.737,7196
2023-05-31 15:03:00,52.685,52.704,52.666,52.697,9051
