,1. open,2. high,3. low,4. close,5. volume
2023-03-31 15:59:00,156.757,156.888,156.539,156.664,220431
2023-03-31 15:58:00,156.738,156.917,156.606,156.809,68917
2023-03-31 15:57:00,156.738,156.898,156.65,156.78,35353
2023-03-31 15:56:00,156.814,156.941,156.664,156.78,34590
2023-03-31 15:55:00,156.709,156.946,156.645,156.847,43210
2023-03-31 15:54:00,156.622,156.811,156.563,156.751,33245
2023-03-31 15:53:00,156.507,156.715,156.443,156.655,35130
2023-03-31 15:52:00,156.641,156.782,156.434,156.54,28216
2023-03-31 15:51:00,156.641,156.821,156.554,156.703,24187
2023-03-31 15:50:00,156.603,156.753,156.443,156.684,55040
2023-03-31 15:49:00,156.469,156.696,156.424,156.636,22460
2023-03-31 15:48:00,156.392,156.571,156.299,156.52,33130
2023-03-31 15:47:00,156.469,156.6,156.347,156.458,20640
2023-03-31 15:46:00,156.555,156.706,156.405,156.53,28439
2023-03-31 15:45:00,156.545,156.705,156.443,156.607,19167
2023-03-31 15:44:00,156.651,156.773,156.491,156.626,20293
2023-03-31 15:43:00,156.622,156.811,156.578,156.703,9599
2023-03-31 15:42:00,156.699,156.821,156.578,156.689,14325
2023-03-31 15:41:00,156.718,156.85,156.65,156.761,8221
2023-03-31 15:40:00,156.795,156.926,156.678,156.789,8073
2023-03-31 15:39:00,156.766,156.946,156.698,156.847,9229
2023-03-31 15:38:00,156.786,156.946,156.722,156.818,7067
2023-03-31 15:37:00,156.824,156.926,156.645,156.847,22978
2023-03-31 15:36:00,156.843,156.984,156.75,156.885,14319
2023-03-31 15:35:00,156.862,156.965,156.724,156.885,14362
2023-03-31 15:34:00,156.91,157.013,156.789,156.924,7581
2023-03-31 15:33:00,156.891,157.023,156.798,156.962,8512
2023-03-31 15:32:00,156.954,157.056,156.837,156.948,6680
2023-03-31 15:31:00,157.026,157.128,156.846,157.001,10172
2023-03-31 15:30:00,156.987,157.138,156.933,157.068,14153
2023-03-31 15:29:00,156.882,157.099,156.837,157.039,9142
2023-03-31 15:28:00,156.845,157.015,156.798,156.943,19565
2023-03-31 15:27:00,157.006,157.109,156.798,156.896,13498
2023-03-31 15:26:00,156.901,157.119,156.856,157.068,4239
2023-03-31 15:25:00,156.93,157.061,156.827,156.943,15218
2023-03-31 15:24:00,156.862,157.032,156.791,156.974,8212
2023-03-31 15:23:00,156.814,156.974,156.722,156.905,8295
2023-03-31 15:22:00,156.795,156.917,156.683,156.857,9821
2023-03-31 15:21:00,156.805,156.927,156.722,156.863,6513
2023-03-31 15:20:00,156.776,156.955,156.722,156.866,11346
2023-03-31 15:19:00,156.786,156.917,156.664,156.828,13011
2023-03-31 15:18:00,156.738,156.898,156.674,156.828,7812
2023-03-31 15:17:00,156.709,156.85,156.635,156.794,8327
2023-03-31 15:16:00,156.68,156.821,156.626,156.761,9120
2023-03-31 15:15:00,156.699,156.83,156.616,156.722,6060
2023-03-31 15:14:00,156.67,156.816,156.626,156.741,6356
2023-03-31 15:13:00,156.589,156.787,156.544,156.722,4441
2023-03-31 15:12:00,156.68,156.782,156.523,156.655,8043
2023-03-31 15:11:00,156.747,156.869,156.626,156.722,6229
2023-03-31 15:10:00,156.738,156.845,156.654,156.78,5744
2023-03-31 15:09:00,156.762,156.887,156.683,156.799,14206
2023-03-31 15:08:00,156.699,156.859,156.616,156.804,4842
2023-03-31 15:07:00,156.661,156.782,156.491,156.722,12434
2023-03-31 15:06:00,156.641,156.816,156.578,156.722,10294
2023-03-31 15:05:00,156.651,156.774,156.597,156.703,3083
2023-03-31 15:04:00,156.67,156.802,156.568,156.711,11865
2023-03-31 15:03:00,156.69,156.869,156.578,156.722,38164
2023-03-31 15:02:00,156.603,156.802,156.53,156.741,4921
2023-03-31 15:01:00,156.507,156.725,156.462,156.664,13404
2023-03-31 15:00:00,156.421,156.619,156.376,156.554,4656
2023-03-31 14:59:00,156.421,156.542,156.347,156.472,7952
2023-03-31 14:58:00,156.363,156.542,156.318,156.482,9168
2023-03-31 14:57:00,156.296,156.475,156.251,156.424,6305
2023-03-31 14:56:00,156.363,156.475,156.242,156.338,8729
2023-03-31 14:55:00,156.392,156.542,156.29,156.391,5034
2023-03-31 14:54:00,156.488,156.609,156.357,156.453,7548
2023-03-31 14:53:00,156.387,156.59,156.342,156.53,14539
2023-03-31 14:52:00,156.411,156.523,156.338,156.439,3836
2023-03-31 14:51:00,156.392,156.542,156.328,156.492,2945
2023-03-31 14:50:00,156.478,156.59,156.328,156.424,2105
2023-03-31 14:49:00,156.497,156.619,156.414,156.549,7848
2023-03-31 14:48:00,156.47,156.629,156.424,156.559,1600
2023-03-31 14:47:00,156.464,156.611,156.414,156.53,4100
2023-03-31 14:46:00,156.507,156.609,156.386,156.492,3399
2023-03-31 14:45:00,156.449,156.609,156.405,156.559,3226
2023-03-31 14:44:00,156.497,156.619,156.404,156.501,15232
2023-03-31 14:43:00,156.421,156.629,156.376,156.568,4687
2023-03-31 14:42:00,156.401,156.552,156.357,156.466,2725
2023-03-31 14:41:00,156.367,156.532,156.309,156.482,5843
2023-03-31 14:40:00,156.325,156.484,156.27,156.415,2521
2023-03-31 14:39:00,156.277,156.427,156.213,156.376,5942
2023-03-31 14:38:00,156.315,156.417,156.222,156.328,3590
2023-03-31 14:37:00,156.382,156.494,156.232,156.328,6887
2023-03-31 14:36:00,156.344,156.494,156.28,156.444,4926
2023-03-31 14:35:00,156.382,156.494,156.29,156.405,4416
2023-03-31 14:34:00,156.44,156.542,156.338,156.434,3438
2023-03-31 14:33:00,156.401,156.552,156.357,156.501,3114
2023-03-31 14:32:00,156.392,156.504,156.318,156.453,2888
2023-03-31 14:31:00,156.483,156.585,156.347,156.453,2839
2023-03-31 14:30:00,156.488,156.6,156.41,156.549,4051
2023-03-31 14:29:00,156.478,156.629,156.376,156.568,7805
2023-03-31 14:28:00,156.478,156.619,156.405,156.52,6678
2023-03-31 14:27:00,156.44,156.581,156.395,156.52,2102
2023-03-31 14:26:00,156.43,156.532,156.328,156.482,5333
2023-03-31 14:25:00,156.5,156.602,156.395,156.52,11781
2023-03-31 14:24:00,156.507,156.638,156.448,156.544,3407
2023-03-31 14:23:00,156.521,156.648,156.443,156.559,3115
2023-03-31 14:22:00,156.584,156.686,156.501,156.597,4201
2023-03-31 14:21:00,156.574,156.696,156.51,156.626,4902
2023-03-31 14:20:00,156.641,156.744,156.53,156.626,5013
2023-03-31 14:19:00,156.641,156.773,156.578,156.703,7439
2023-03-31 14:18:00,156.622,156.753,156.549,156.664,6751
2023-03-31 14:17:00,156.617,156.72,156.522,156.664,2385
2023-03-31 14:16:00,156.558,156.715,156.513,156.655,6608
2023-03-31 14:15:00,156.545,156.686,156.501,156.607,6331
2023-03-31 14:14:00,156.617,156.723,156.501,156.602,10365
2023-03-31 14:13:00,156.565,156.715,156.455,156.664,5068
2023-03-31 14:12:00,156.516,156.686,156.462,156.607,4988
2023-03-31 14:11:00,156.497,156.629,156.424,156.568,7984
2023-03-31 14:10:00,156.574,156.677,156.424,156.54,7242
2023-03-31 14:09:00,156.603,156.705,156.501,156.613,4768
2023-03-31 14:08:00,156.593,156.773,156.544,156.655,7517
2023-03-31 14:07:00,156.565,156.705,156.491,156.645,23927
2023-03-31 14:06:00,156.526,156.648,156.462,156.597,10129
