,1. open,2. high,3. low,4. close,5. volume
2020-03-31 15:59:00,60.868,61.216,60.678,61.031,165776
2020-03-31 15:58:00,60.961,61.123,60.678,60.854,52680
2020-03-31 15:57:00,61.173,61.334,60.771,60.951,39899
2020-03-31 15:56:00,61.156,61.36,60.973,61.141,24501
2020-03-31 15:55:00,61.113,61.381,60.923,61.116,32023
2020-03-31 15:54:00,61.147,61.283,60.847,61.099,31147
2020-03-31 15:53:00,61.198,61.368,60.855,61.2,28850
2020-03-31 15:52:00,61.067,61.41,60.952,61.217,27752
2020-03-31 15:51:00,61.409,61.512,60.952,61.061,26876
2020-03-31 15:50:00,61.071,61.449,60.863,61.34,45924
2020-03-31 15:49:00,61.194,61.385,60.796,61.031,27657
2020-03-31 15:48:00,61.308,61.52,60.999,61.188,32589
2020-03-31 15:47:00,61.249,61.504,61.083,61.302,15865
2020-03-31 15:46:00,61.282,61.453,61.1,61.226,12577
2020-03-31 15:45:00,61.561,61.673,61.134,61.311,17543
2020-03-31 15:44:00,61.621,61.77,61.34,61.55,10071
2020-03-31 15:43:00,61.587,61.737,61.42,61.615,6196
2020-03-31 15:42:00,61.578,61.732,61.281,61.564,11464
2020-03-31 15:41:00,61.578,61.741,61.353,61.568,6990
2020-03-31 15:40:00,61.333,61.741,61.218,61.572,10344
2020-03-31 15:39:00,61.325,61.546,61.193,61.327,5148
2020-03-31 15:38:00,61.308,61.436,61.117,61.26,5965
2020-03-31 15:37:00,61.232,61.478,61.091,61.319,9445
2020-03-31 15:36:00,61.232,61.352,61.024,61.158,5944
2020-03-31 15:35:00,61.308,61.41,60.99,61.167,8228
2020-03-31 15:34:00,61.147,61.427,60.999,61.319,10500
2020-03-31 15:33:00,61.003,61.283,60.889,61.074,8593
2020-03-31 15:32:00,61.046,61.258,60.863,61.01,10857
2020-03-31 15:31:00,61.192,61.309,60.914,61.023,9889
2020-03-31 15:30:00,61.124,61.457,61.01,61.2,6607
2020-03-31 15:29:00,61.257,61.394,60.982,61.116,4261
2020-03-31 15:28:00,61.282,61.427,61.066,61.241,4439
2020-03-31 15:27:00,61.189,61.41,61.053,61.26,4820
2020-03-31 15:26:00,61.215,61.436,61.058,61.192,5014
2020-03-31 15:25:00,61.046,61.317,60.923,61.184,10951
2020-03-31 15:24:00,61.071,61.182,60.872,61.006,5738
2020-03-31 15:23:00,61.115,61.267,60.855,61.027,6618
2020-03-31 15:22:00,61.202,61.334,60.939,61.091,8310
2020-03-31 15:21:00,61.13,61.326,61.007,61.217,5080
2020-03-31 15:20:00,61.263,61.402,61.015,61.124,5742
2020-03-31 15:19:00,61.359,61.554,61.066,61.217,8112
2020-03-31 15:18:00,61.468,61.571,61.167,61.302,7172
2020-03-31 15:17:00,61.418,61.651,61.219,61.492,8088
2020-03-31 15:16:00,61.477,61.605,61.252,61.396,3961
2020-03-31 15:15:00,61.443,61.626,61.328,61.479,3710
2020-03-31 15:14:00,61.553,61.656,61.218,61.471,16349
2020-03-31 15:13:00,61.621,61.732,61.404,61.513,5795
2020-03-31 15:12:00,61.553,61.749,61.429,61.615,9376
2020-03-31 15:11:00,61.663,61.813,61.436,61.564,13235
2020-03-31 15:10:00,61.747,61.851,61.547,61.665,4278
2020-03-31 15:09:00,61.807,61.936,61.665,61.784,2451
2020-03-31 15:08:00,61.718,61.876,61.572,61.767,4140
2020-03-31 15:07:00,61.79,61.927,61.606,61.75,2678
2020-03-31 15:06:00,61.781,61.893,61.564,61.752,7897
2020-03-31 15:05:00,61.832,61.953,61.589,61.792,9190
2020-03-31 15:04:00,61.891,61.999,61.593,61.733,6809
2020-03-31 15:03:00,61.984,62.105,61.707,61.911,6726
2020-03-31 15:02:00,62.111,62.215,61.809,61.919,3796
2020-03-31 15:01:00,62.103,62.291,61.918,62.08,7822
2020-03-31 15:00:00,62.094,62.232,61.961,62.092,4900
