,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,45.658,45.665,45.58,45.59,201105
2024-03-22 15:58:00,45.66,45.69,45.65,45.655,125419
2024-03-22 15:57:00,45.685,45.7,45.65,45.66,83407
2024-03-22 15:56:00,45.725,45.73,45.682,45.689,59027
2024-03-22 15:55:00,45.835,45.84,45.72,45.725,94589
2024-03-22 15:54:00,45.835,45.86,45.83,45.835,43744
2024-03-22 15:53:00,45.844,45.846,45.815,45.83,33850
2024-03-22 15:52:00,45.85,45.865,45.84,45.84,34872
2024-03-22 15:51:00,45.86,45.865,45.835,45.85,22262
2024-03-22 15:50:00,45.88,45.895,45.84,45.86,53981
2024-03-22 15:49:00,45.885,45.885,45.86,45.885,16817
2024-03-22 15:48:00,45.84,45.89,45.84,45.88,36871
2024-03-22 15:47:00,45.865,45.895,45.84,45.85,27930
2024-03-22 15:46:00,45.895,45.9,45.86,45.865,17428
2024-03-22 15:45:00,45.93,45.93,45.89,45.895,24469
2024-03-22 15:44:00,45.91,45.935,45.9,45.935,13365
2024-03-22 15:43:00,45.905,45.905,45.89,45.9,7174
2024-03-22 15:42:00,45.885,45.92,45.88,45.9,29310
2024-03-22 15:41:00,45.88,45.89,45.88,45.88,6138
2024-03-22 15:40:00,45.85,45.885,45.85,45.885,10014
2024-03-22 15:39:00,45.835,45.86,45.825,45.855,13584
2024-03-22 15:38:00,45.825,45.835,45.815,45.83,13062
2024-03-22 15:37:00,45.825,45.825,45.82,45.825,1829
2024-03-22 15:36:00,45.83,45.835,45.825,45.825,1435
2024-03-22 15:35:00,45.83,45.845,45.825,45.83,11453
2024-03-22 15:34:00,45.825,45.835,45.825,45.835,6059
2024-03-22 15:33:00,45.845,45.845,45.82,45.825,12256
2024-03-22 15:32:00,45.85,45.86,45.835,45.845,8310
2024-03-22 15:31:00,45.871,45.871,45.855,45.855,2371
2024-03-22 15:30:00,45.855,45.875,45.85,45.87,5841
2024-03-22 15:29:00,45.84,45.865,45.84,45.86,6123
2024-03-22 15:28:00,45.83,45.845,45.83,45.845,5728
2024-03-22 15:27:00,45.805,45.85,45.805,45.825,102621
2024-03-22 15:26:00,45.805,45.81,45.8,45.805,5438
2024-03-22 15:25:00,45.8,45.818,45.8,45.805,3262
2024-03-22 15:24:00,45.805,45.805,45.79,45.795,1908
2024-03-22 15:23:00,45.8,45.82,45.795,45.805,9586
2024-03-22 15:22:00,45.8,45.81,45.785,45.795,9532
2024-03-22 15:21:00,45.795,45.8,45.79,45.795,11975
2024-03-22 15:20:00,45.81,45.815,45.78,45.8,13706
2024-03-22 15:19:00,45.805,45.82,45.8,45.805,14786
2024-03-22 15:18:00,45.8,45.81,45.77,45.8,19870
2024-03-22 15:17:00,45.735,45.8,45.72,45.8,23283
2024-03-22 15:16:00,45.76,45.76,45.72,45.735,11394
2024-03-22 15:15:00,45.785,45.79,45.74,45.76,20577
2024-03-22 15:14:00,45.78,45.799,45.78,45.78,9581
2024-03-22 15:13:00,45.785,45.785,45.77,45.785,4387
2024-03-22 15:12:00,45.815,45.815,45.78,45.787,14118
2024-03-22 15:11:00,45.855,45.86,45.82,45.82,19457
2024-03-22 15:10:00,45.877,45.877,45.85,45.85,5139
2024-03-22 15:09:00,45.883,45.883,45.87,45.875,4926
2024-03-22 15:08:00,45.88,45.885,45.875,45.88,6239
2024-03-22 15:07:00,45.885,45.895,45.875,45.875,7595
2024-03-22 15:06:00,45.88,45.885,45.87,45.885,7030
2024-03-22 15:05:00,45.89,45.895,45.87,45.885,6325
2024-03-22 15:04:00,45.9,45.92,45.895,45.905,6099
2024-03-22 15:03:00,45.885,45.91,45.88,45.904,7793
2024-03-22 15:02:00,45.905,45.905,45.88,45.885,11142
2024-03-22 15:01:00,45.91,45.93,45.895,45.9,107079
2024-03-22 15:00:00,45.935,45.935,45.9,45.915,9831
2024-03-22 14:59:00,45.935,45.94,45.934,45.935,2246
2024-03-22 14:58:00,45.935,45.94,45.925,45.935,16805
2024-03-22 14:57:00,45.935,45.94,45.93,45.935,6035
2024-03-22 14:56:00,45.935,45.94,45.93,45.935,11633
2024-03-22 14:55:00,45.935,45.94,45.93,45.94,14088
2024-03-22 14:54:00,45.94,45.94,45.925,45.93,4297
2024-03-22 14:53:00,45.935,45.94,45.93,45.935,6158
2024-03-22 14:52:00,45.93,45.94,45.922,45.935,7704
2024-03-22 14:51:00,45.915,45.94,45.91,45.925,6366
2024-03-22 14:50:00,45.915,45.92,45.91,45.915,5615
2024-03-22 14:49:00,45.925,45.935,45.915,45.915,5519
2024-03-22 14:48:00,45.915,45.925,45.915,45.925,2768
2024-03-22 14:47:00,45.908,45.925,45.905,45.915,4726
2024-03-22 14:46:00,45.915,45.925,45.9,45.905,13774
2024-03-22 14:45:00,45.915,45.915,45.905,45.915,7079
2024-03-22 14:44:00,45.908,45.92,45.9,45.915,5643
2024-03-22 14:43:00,45.895,45.905,45.89,45.905,7202
2024-03-22 14:42:00,45.885,45.895,45.885,45.895,2147
2024-03-22 14:41:00,45.915,45.915,45.87,45.88,10144
2024-03-22 14:40:00,45.89,45.925,45.89,45.915,8542
2024-03-22 14:39:00,45.905,45.907,45.89,45.895,3412
2024-03-22 14:38:00,45.935,45.935,45.9,45.905,12054
2024-03-22 14:37:00,45.935,45.94,45.935,45.935,926
2024-03-22 14:36:00,45.935,45.94,45.93,45.935,10846
2024-03-22 14:35:00,45.93,45.935,45.927,45.932,6499
2024-03-22 14:34:00,45.928,45.935,45.925,45.93,4465
2024-03-22 14:33:00,45.925,45.938,45.925,45.925,2917
2024-03-22 14:32:00,45.935,45.935,45.925,45.93,5590
2024-03-22 14:31:00,45.935,45.94,45.92,45.933,7327
2024-03-22 14:30:00,45.915,45.94,45.91,45.935,3980
2024-03-22 14:29:00,45.915,45.915,45.91,45.915,1729
2024-03-22 14:28:00,45.925,45.925,45.905,45.915,5633
2024-03-22 14:27:00,45.935,45.94,45.922,45.922,12449
2024-03-22 14:26:00,45.935,45.94,45.93,45.94,6742
2024-03-22 14:25:00,45.935,45.94,45.93,45.94,3320
2024-03-22 14:24:00,45.95,45.96,45.93,45.935,12552
2024-03-22 14:23:00,45.945,45.97,45.945,45.955,6403
2024-03-22 14:22:00,45.94,45.95,45.94,45.945,6795
2024-03-22 14:21:00,45.945,45.955,45.935,45.95,8186
2024-03-22 14:20:00,45.945,45.945,45.933,45.945,3506
2024-03-22 14:19:00,45.945,45.945,45.93,45.94,10399
2024-03-22 14:18:00,45.94,45.945,45.94,45.945,7816
2024-03-22 14:17:00,45.94,45.945,45.93,45.935,12268
2024-03-22 14:16:00,45.945,45.945,45.93,45.94,3953
2024-03-22 14:15:00,45.945,45.945,45.94,45.94,4150
2024-03-22 14:14:00,45.945,45.945,45.93,45.945,5520
2024-03-22 14:13:00,45.965,45.965,45.945,45.945,6052
2024-03-22 14:12:00,45.95,45.965,45.94,45.965,3810
2024-03-22 14:11:00,45.905,45.94,45.905,45.94,4959
2024-03-22 14:10:00,45.905,45.905,45.885,45.905,8939
2024-03-22 14:09:00,45.93,45.935,45.905,45.905,4439
2024-03-22 14:08:00,45.93,45.935,45.93,45.935,1568
2024-03-22 14:07:00,45.935,45.935,45.935,45.935,951
2024-03-22 14:06:00,45.945,45.945,45.935,45.935,1075
2024-03-22 14:05:00,45.94,45.955,45.94,45.95,3927
2024-03-22 14:04:00,45.94,45.95,45.93,45.94,9052
2024-03-22 14:03:00,45.93,45.94,45.925,45.935,5712
2024-03-22 14:02:00,45.94,45.94,45.92,45.93,9068
2024-03-22 14:01:00,45.95,45.965,45.945,45.945,8846
