,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,125.98,125.98,125.73,125.73,36635
2024-03-22 15:58:00,126.03,126.08,125.98,125.98,12781
2024-03-22 15:57:00,126.05,126.1,126.03,126.03,12366
2024-03-22 15:56:00,126.13,126.14,126.05,126.06,14006
2024-03-22 15:55:00,126.3,126.3,126.14,126.155,7876
2024-03-22 15:54:00,126.26,126.32,126.26,126.27,6432
2024-03-22 15:53:00,126.27,126.291,126.235,126.245,4955
2024-03-22 15:52:00,126.325,126.385,126.27,126.27,4296
2024-03-22 15:51:00,126.38,126.39,126.325,126.325,4562
2024-03-22 15:50:00,126.44,126.455,126.33,126.375,7808
2024-03-22 15:49:00,126.405,126.42,126.39,126.4,2198
2024-03-22 15:48:00,126.39,126.425,126.37,126.405,3036
2024-03-22 15:47:00,126.395,126.41,126.36,126.4,2615
2024-03-22 15:46:00,126.41,126.41,126.38,126.39,1844
2024-03-22 15:45:00,126.51,126.52,126.38,126.4,5361
2024-03-22 15:44:00,126.56,126.56,126.52,126.545,1983
2024-03-22 15:43:00,126.54,126.55,126.535,126.55,1360
2024-03-22 15:42:00,126.51,126.53,126.49,126.525,1927
2024-03-22 15:41:00,126.51,126.53,126.465,126.53,3063
2024-03-22 15:40:00,126.51,126.52,126.49,126.51,2459
2024-03-22 15:39:00,126.53,126.56,126.495,126.495,2530
2024-03-22 15:38:00,126.49,126.515,126.49,126.515,1297
2024-03-22 15:37:00,126.49,126.5,126.47,126.5,1765
2024-03-22 15:36:00,126.49,126.49,126.49,126.49,1043
2024-03-22 15:35:00,126.46,126.49,126.46,126.475,1845
2024-03-22 15:34:00,126.5,126.5,126.47,126.47,851
2024-03-22 15:33:00,126.555,126.555,126.49,126.49,3080
2024-03-22 15:32:00,126.55,126.555,126.52,126.555,2303
2024-03-22 15:31:00,126.56,126.56,126.56,126.56,727
2024-03-22 15:30:00,126.59,126.6,126.56,126.6,1251
2024-03-22 15:29:00,126.59,126.59,126.59,126.59,545
2024-03-22 15:28:00,126.53,126.53,126.53,126.53,542
2024-03-22 15:27:00,126.52,126.54,126.48,126.54,1021
2024-03-22 15:26:00,126.44,126.52,126.44,126.47,1189
2024-03-22 15:25:00,126.35,126.46,126.35,126.45,1733
2024-03-22 15:23:00,126.34,126.34,126.32,126.32,563
2024-03-22 15:22:00,126.31,126.345,126.31,126.345,1164
2024-03-22 15:21:00,126.27,126.29,126.27,126.29,1720
2024-03-22 15:20:00,126.37,126.37,126.275,126.275,1946
2024-03-22 15:19:00,126.38,126.38,126.38,126.38,439
2024-03-22 15:18:00,126.355,126.38,126.355,126.38,448
2024-03-22 15:17:00,126.31,126.32,126.29,126.32,1525
2024-03-22 15:16:00,126.31,126.314,126.28,126.3,1546
2024-03-22 15:15:00,126.33,126.34,126.33,126.34,384
