,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,129.37,129.38,129.26,129.3,36781
2024-03-22 15:58:00,129.33,129.39,129.28,129.37,18084
2024-03-22 15:57:00,129.29,129.34,129.28,129.34,13859
2024-03-22 15:56:00,129.15,129.31,129.121,129.305,7751
2024-03-22 15:55:00,129.17,129.185,129.1,129.14,7472
2024-03-22 15:54:00,129.14,129.19,129.135,129.18,4097
2024-03-22 15:53:00,129.09,129.13,129.08,129.11,4462
2024-03-22 15:52:00,129.075,129.12,129.062,129.1,3909
2024-03-22 15:51:00,129.0,129.105,129.0,129.08,3377
2024-03-22 15:50:00,129.06,129.06,128.91,128.973,5424
2024-03-22 15:49:00,129.0,129.095,129.0,129.04,4574
2024-03-22 15:48:00,128.94,129.01,128.94,129.01,1844
2024-03-22 15:47:00,128.96,128.97,128.95,128.965,2162
2024-03-22 15:46:00,129.04,129.04,128.97,128.97,4725
2024-03-22 15:45:00,129.02,129.02,129.02,129.02,204
2024-03-22 15:44:00,129.07,129.07,129.03,129.03,2638
2024-03-22 15:43:00,129.06,129.07,129.06,129.07,940
2024-03-22 15:42:00,129.0,129.03,129.0,129.03,1568
2024-03-22 15:41:00,128.99,128.99,128.965,128.975,1855
2024-03-22 15:40:00,128.95,128.95,128.95,128.95,655
2024-03-22 15:39:00,128.94,128.94,128.92,128.92,1440
2024-03-22 15:38:00,128.81,128.91,128.8,128.91,4750
2024-03-22 15:37:00,128.81,128.817,128.81,128.81,831
2024-03-22 15:36:00,128.89,128.89,128.81,128.81,3180
2024-03-22 15:35:00,128.92,128.93,128.904,128.915,2419
2024-03-22 15:33:00,128.93,128.93,128.875,128.875,2134
2024-03-22 15:32:00,128.93,128.93,128.93,128.93,359
2024-03-22 15:31:00,128.975,128.975,128.95,128.95,994
2024-03-22 15:30:00,128.975,128.975,128.975,128.975,546
2024-03-22 15:29:00,129.02,129.02,128.97,129.0,1236
2024-03-22 15:28:00,128.98,129.01,128.98,129.01,935
2024-03-22 15:26:00,128.97,128.98,128.97,128.98,1268
2024-03-22 15:25:00,128.98,129.0,128.98,128.98,1907
2024-03-22 15:24:00,128.93,128.98,128.93,128.98,1064
2024-03-22 15:23:00,128.89,128.93,128.89,128.93,1530
2024-03-22 15:22:00,128.86,128.89,128.85,128.865,2384
2024-03-22 15:21:00,128.82,128.82,128.8,128.815,1482
2024-03-22 15:20:00,128.808,128.85,128.808,128.835,984
2024-03-22 15:19:00,128.89,128.89,128.85,128.85,651
2024-03-22 15:17:00,128.885,128.885,128.885,128.885,345
2024-03-22 15:16:00,128.945,128.945,128.91,128.91,1136
2024-03-22 15:15:00,128.92,128.93,128.92,128.93,1088
2024-03-22 15:14:00,128.85,128.87,128.85,128.87,1102
2024-03-22 15:12:00,128.84,128.84,128.808,128.808,1544
2024-03-22 15:11:00,128.9,128.9,128.9,128.9,433
2024-03-22 15:10:00,128.875,128.875,128.865,128.865,510
2024-03-22 15:09:00,128.87,128.87,128.85,128.85,985
2024-03-22 15:08:00,128.9,128.9,128.9,128.9,431
2024-03-22 15:07:00,128.9,128.92,128.9,128.905,958
2024-03-22 15:06:00,128.99,128.99,128.927,128.927,1099
2024-03-22 15:04:00,128.99,128.99,128.96,128.96,1094
2024-03-22 15:03:00,128.975,128.975,128.975,128.975,598
2024-03-22 15:02:00,128.91,129.0,128.91,128.975,3857
2024-03-22 15:01:00,128.91,128.91,128.91,128.91,708
2024-03-22 15:00:00,128.815,128.9,128.81,128.9,2835
2024-03-22 14:59:00,128.76,128.79,128.73,128.78,2390
2024-03-22 14:58:00,128.74,128.745,128.74,128.745,584
2024-03-22 14:57:00,128.74,128.74,128.74,128.74,383
2024-03-22 14:56:00,128.721,128.721,128.721,128.721,180
2024-03-22 14:55:00,128.763,128.764,128.763,128.763,751
2024-03-22 14:54:00,128.68,128.68,128.68,128.68,555
2024-03-22 14:53:00,128.695,128.7,128.695,128.7,456
2024-03-22 14:52:00,128.69,128.74,128.69,128.74,312
2024-03-22 14:51:00,128.69,128.695,128.69,128.695,371
2024-03-22 14:50:00,128.75,128.75,128.645,128.69,993
2024-03-22 14:49:00,128.785,128.785,128.75,128.76,569
2024-03-22 14:48:00,128.775,128.775,128.775,128.775,514
2024-03-22 14:47:00,128.725,128.8,128.725,128.8,841
2024-03-22 14:46:00,128.64,128.79,128.62,128.745,3731
2024-03-22 14:45:00,128.62,128.62,128.58,128.605,630
2024-03-22 14:44:00,128.545,128.545,128.54,128.54,993
2024-03-22 14:43:00,128.545,128.605,128.53,128.53,830
2024-03-22 14:42:00,128.54,128.54,128.505,128.505,452
2024-03-22 14:40:00,128.54,128.54,128.54,128.54,318
2024-03-22 14:39:00,128.545,128.57,128.545,128.57,319
2024-03-22 14:38:00,128.571,128.571,128.571,128.571,325
2024-03-22 14:36:00,128.555,128.59,128.555,128.59,603
2024-03-22 14:35:00,128.55,128.58,128.53,128.58,1142
2024-03-22 14:33:00,128.52,128.52,128.47,128.51,722
2024-03-22 14:31:00,128.495,128.495,128.495,128.495,306
2024-03-22 14:26:00,128.52,128.56,128.52,128.56,1118
2024-03-22 14:24:00,128.455,128.455,128.455,128.455,260
2024-03-22 14:23:00,128.53,128.53,128.48,128.48,286
2024-03-22 14:21:00,128.6,128.6,128.515,128.515,669
2024-03-22 14:20:00,128.615,128.615,128.59,128.59,1438
2024-03-22 14:18:00,128.57,128.64,128.57,128.64,434
2024-03-22 14:17:00,128.62,128.62,128.62,128.62,369
2024-03-22 14:16:00,128.55,128.55,128.55,128.55,391
2024-03-22 14:15:00,128.525,128.525,128.525,128.525,243
2024-03-22 14:14:00,128.525,128.56,128.48,128.56,562
