,1. open,2. high,3. low,4. close,5. volume
2023-01-31 15:59:00,145.471,145.535,145.279,145.394,30112
2023-01-31 15:58:00,145.344,145.506,145.327,145.492,23661
2023-01-31 15:57:00,145.226,145.378,145.21,145.355,15548
2023-01-31 15:56:00,145.236,145.261,145.2,145.237,11503
2023-01-31 15:55:00,145.236,145.29,145.171,145.237,18166
2023-01-31 15:54:00,145.295,145.32,145.181,145.267,13015
2023-01-31 15:53:00,145.383,145.418,145.288,145.316,16211
2023-01-31 15:52:00,145.432,145.467,145.327,145.384,7910
2023-01-31 15:51:00,145.295,145.427,145.269,145.414,6756
2023-01-31 15:50:00,145.226,145.369,145.19,145.296,25183
2023-01-31 15:49:00,145.236,145.276,145.19,145.218,3354
2023-01-31 15:48:00,145.28,145.349,145.19,145.257,7419
2023-01-31 15:47:00,145.285,145.339,145.254,145.291,5873
2023-01-31 15:46:00,145.221,145.305,145.2,145.291,2619
2023-01-31 15:45:00,145.207,145.29,145.161,145.221,4372
2023-01-31 15:44:00,145.099,145.232,145.083,145.187,5645
2023-01-31 15:43:00,145.182,145.207,145.024,145.11,4491
2023-01-31 15:42:00,145.217,145.29,145.141,145.198,7233
2023-01-31 15:41:00,145.11,145.241,145.094,145.208,1263
2023-01-31 15:40:00,145.03,145.143,145.014,145.125,4702
2023-01-31 15:39:00,145.05,145.114,145.009,145.037,3506
2023-01-31 15:38:00,144.933,145.075,144.916,145.061,1762
2023-01-31 15:37:00,144.869,144.982,144.818,144.968,3045
2023-01-31 15:36:00,144.884,144.908,144.828,144.875,2086
2023-01-31 15:35:00,144.795,144.908,144.779,144.885,2100
2023-01-31 15:34:00,144.786,144.82,144.76,144.797,1065
2023-01-31 15:33:00,144.874,144.899,144.774,144.802,3250
2023-01-31 15:32:00,144.82,144.899,144.804,144.88,2621
2023-01-31 15:31:00,144.8,144.869,144.779,144.831,2533
2023-01-31 15:30:00,144.663,144.806,144.647,144.792,1676
2023-01-31 15:29:00,144.727,144.752,144.613,144.664,2028
2023-01-31 15:28:00,144.756,144.781,144.691,144.738,3839
2023-01-31 15:27:00,144.737,144.771,144.691,144.757,1733
2023-01-31 15:26:00,144.756,144.791,144.73,144.767,1132
2023-01-31 15:25:00,144.805,144.83,144.76,144.787,1222
2023-01-31 15:24:00,144.776,144.801,144.76,144.787,1194
