,1. open,2. high,3. low,4. close,5. volume
2023-04-28 15:59:00,209.128,209.63,207.883,208.595,89283
2023-04-28 15:58:00,209.057,209.48,207.848,208.534,44372
2023-04-28 15:57:00,209.048,209.489,207.839,208.481,45368
2023-04-28 15:56:00,208.942,209.391,207.751,208.463,32389
2023-04-28 15:55:00,208.536,209.259,207.391,208.384,25306
2023-04-28 15:54:00,208.483,208.861,207.26,207.966,16837
2023-04-28 15:53:00,208.439,208.834,207.224,207.909,12779
2023-04-28 15:52:00,208.58,208.887,207.233,207.829,8711
2023-04-28 15:51:00,208.519,208.905,207.365,208.032,11559
2023-04-28 15:50:00,208.607,208.94,207.303,207.935,13180
2023-04-28 15:49:00,208.686,209.01,207.505,208.094,7329
2023-04-28 15:48:00,208.625,209.002,207.426,208.12,7777
2023-04-28 15:47:00,208.55,208.949,207.33,208.076,6490
2023-04-28 15:46:00,208.58,208.896,207.382,207.97,4798
2023-04-28 15:45:00,208.722,209.064,207.44,208.019,6090
2023-04-28 15:44:00,208.678,209.069,207.523,208.164,5498
2023-04-28 15:43:00,208.536,208.949,207.33,208.076,16911
2023-04-28 15:42:00,208.554,208.896,207.391,207.979,5885
2023-04-28 15:41:00,208.563,208.967,207.409,207.988,4599
2023-04-28 15:40:00,208.567,208.913,207.391,207.961,5864
2023-04-28 15:39:00,208.545,208.878,207.339,207.983,4101
2023-04-28 15:38:00,208.664,208.962,207.418,208.005,2121
2023-04-28 15:37:00,208.483,208.967,207.33,208.076,5271
2023-04-28 15:36:00,208.536,208.932,207.382,207.953,4114
2023-04-28 15:35:00,208.651,208.94,207.356,207.97,7249
2023-04-28 15:34:00,208.598,209.002,207.426,208.05,5504
2023-04-28 15:33:00,208.536,208.967,207.347,208.05,6233
2023-04-28 15:32:00,208.66,208.967,207.4,207.979,3845
2023-04-28 15:31:00,208.828,209.117,207.532,208.094,3150
2023-04-28 15:30:00,208.845,209.197,207.637,208.27,2979
2023-04-28 15:29:00,208.731,209.064,207.523,208.19,5111
2023-04-28 15:28:00,208.744,209.082,207.549,208.111,3464
2023-04-28 15:27:00,208.748,209.126,207.584,208.146,5340
2023-04-28 15:26:00,208.837,209.153,207.598,208.199,5073
2023-04-28 15:25:00,208.823,209.175,207.611,208.173,1909
2023-04-28 15:24:00,208.806,209.188,207.593,208.314,2134
2023-04-28 15:23:00,208.951,209.241,207.655,208.217,2268
2023-04-28 15:22:00,208.965,209.268,207.707,208.393,3994
2023-04-28 15:21:00,209.163,209.48,207.857,208.446,2777
2023-04-28 15:20:00,209.057,209.462,207.909,208.587,3287
2023-04-28 15:19:00,209.159,209.449,207.927,208.49,1687
2023-04-28 15:18:00,209.093,209.533,207.944,208.587,2946
2023-04-28 15:17:00,209.216,209.506,207.927,208.499,4925
2023-04-28 15:16:00,209.225,209.524,208.045,208.631,3341
2023-04-28 15:15:00,209.084,209.515,207.892,208.639,3739
2023-04-28 15:14:00,209.19,209.48,207.962,208.525,1378
2023-04-28 15:13:00,209.304,209.594,208.041,208.604,3381
2023-04-28 15:12:00,209.19,209.586,208.032,208.71,1350
2023-04-28 15:11:00,209.101,209.462,207.883,208.587,9095
2023-04-28 15:10:00,209.11,209.427,207.909,208.472,1586
2023-04-28 15:09:00,209.084,209.418,207.857,208.525,4282
2023-04-28 15:08:00,209.084,209.427,207.901,208.499,1827
2023-04-28 15:07:00,209.252,209.562,207.927,208.49,3098
2023-04-28 15:06:00,209.252,209.674,208.102,208.745,2867
2023-04-28 15:05:00,209.225,209.55,208.059,208.666,1680
2023-04-28 15:04:00,209.291,209.581,208.102,208.666,765
2023-04-28 15:03:00,209.207,209.718,208.023,208.71,12529
2023-04-28 15:02:00,209.084,209.436,207.931,208.551,3456
2023-04-28 15:01:00,209.101,209.391,207.874,208.481,1503
2023-04-28 15:00:00,209.066,209.365,207.848,208.477,3172
2023-04-28 14:59:00,209.066,209.391,207.874,208.49,2895
2023-04-28 14:58:00,209.013,209.374,207.861,208.499,2197
2023-04-28 14:57:00,209.004,209.294,207.821,208.393,2964
2023-04-28 14:56:00,208.854,209.312,207.707,208.402,2604
2023-04-28 14:55:00,208.828,209.179,207.672,208.305,839
2023-04-28 14:54:00,208.792,209.17,207.628,208.278,2534
2023-04-28 14:53:00,208.872,209.161,207.611,208.182,1928
2023-04-28 14:52:00,208.934,209.223,207.751,208.314,1548
2023-04-28 14:51:00,208.828,209.223,207.681,208.349,2183
2023-04-28 14:50:00,208.748,209.108,207.602,208.233,2460
2023-04-28 14:49:00,208.675,209.064,207.529,208.182,2835
2023-04-28 14:48:00,208.784,209.082,207.576,208.138,2096
2023-04-28 14:47:00,208.85,209.139,207.523,208.085,2634
2023-04-28 14:46:00,209.057,209.347,207.663,208.261,1965
2023-04-28 14:45:00,208.854,209.338,207.699,208.463,3192
2023-04-28 14:44:00,209.04,209.329,207.751,208.314,1384
2023-04-28 14:43:00,209.031,209.4,207.874,208.437,1705
2023-04-28 14:42:00,208.881,209.479,207.716,208.485,7034
2023-04-28 14:41:00,208.817,209.188,207.67,208.287,2875
2023-04-28 14:40:00,208.968,209.329,207.681,208.261,6340
2023-04-28 14:39:00,209.004,209.338,207.795,208.375,1050
2023-04-28 14:38:00,209.013,209.303,207.786,208.411,3306
2023-04-28 14:37:00,208.969,209.281,207.813,208.406,1412
2023-04-28 14:36:00,209.057,209.365,207.813,208.463,1970
2023-04-28 14:35:00,209.172,209.462,207.936,208.516,573
2023-04-28 14:34:00,209.172,209.524,208.023,208.587,2400
2023-04-28 14:33:00,209.301,209.591,208.05,208.631,401
2023-04-28 14:32:00,209.163,209.621,207.988,208.666,11706
2023-04-28 14:31:00,209.084,209.471,207.909,208.551,7126
2023-04-28 14:30:00,209.278,209.595,207.988,208.565,3272
2023-04-28 14:29:00,209.269,209.595,208.059,208.654,1353
2023-04-28 14:28:00,209.207,209.568,207.98,208.692,3704
2023-04-28 14:27:00,209.243,209.586,208.006,208.622,4012
2023-04-28 14:26:00,209.349,209.639,208.098,208.719,26535
2023-04-28 14:25:00,209.375,209.727,208.182,208.811,6435
2023-04-28 14:24:00,209.481,209.851,208.243,208.807,3399
2023-04-28 14:23:00,209.53,209.842,208.313,208.934,2684
2023-04-28 14:22:00,209.552,209.931,208.375,209.009,4945
2023-04-28 14:21:00,209.702,209.993,208.436,209.027,1228
2023-04-28 14:20:00,209.94,210.231,208.603,209.168,3493
2023-04-28 14:19:00,210.065,210.356,208.744,209.348,1726
2023-04-28 14:18:00,210.09,210.382,208.858,209.432,723
2023-04-28 14:17:00,209.94,210.457,208.787,209.449,4074
2023-04-28 14:16:00,209.878,210.231,208.621,209.291,6323
2023-04-28 14:15:00,209.993,210.284,208.7,209.313,1519
2023-04-28 14:14:00,210.046,210.399,208.849,209.463,3104
2023-04-28 14:13:00,209.94,210.337,208.774,209.423,5746
2023-04-28 14:12:00,209.971,210.262,208.572,209.335,7193
2023-04-28 14:11:00,210.09,210.435,208.858,209.423,3626
2023-04-28 14:10:00,210.285,210.585,208.893,209.52,4580
2023-04-28 14:09:00,210.426,210.744,209.051,209.67,33990
2023-04-28 14:08:00,210.505,210.797,209.226,209.868,4646
2023-04-28 14:07:00,210.558,210.859,209.358,209.943,1113
2023-04-28 14:06:00,210.461,210.841,209.218,209.925,5102
2023-04-28 14:05:00,210.761,211.054,209.323,209.925,6488
2023-04-28 14:04:00,210.735,211.098,209.507,210.145,20756
2023-04-28 14:03:00,210.753,211.142,209.525,210.198,993
2023-04-28 14:02:00,210.638,211.027,209.428,210.145,2394
2023-04-28 14:01:00,210.638,211.001,209.428,210.005,10614
2023-04-28 14:00:00,210.602,210.903,209.411,210.022,1632
2023-04-28 13:59:00,210.514,210.85,209.358,209.969,700
2023-04-28 13:58:00,210.496,210.841,209.341,209.951,700
2023-04-28 13:57:00,210.435,210.771,209.244,209.89,8139
2023-04-28 13:56:00,210.342,210.771,209.139,209.846,10693
2023-04-28 13:55:00,210.355,210.665,209.13,209.766,4170
2023-04-28 13:54:00,210.417,210.709,209.147,209.766,6662
2023-04-28 13:53:00,210.417,210.757,209.218,209.824,17177
2023-04-28 13:52:00,210.413,210.744,209.235,209.832,4527
2023-04-28 13:51:00,210.43,210.722,209.226,209.839,5018
2023-04-28 13:50:00,210.404,210.753,209.209,209.841,10835
2023-04-28 13:49:00,210.452,210.744,209.24,209.806,3229
2023-04-28 13:48:00,210.377,210.802,209.222,209.916,3819
2023-04-28 13:47:00,210.417,210.709,209.222,209.788,3153
2023-04-28 13:46:00,210.452,210.744,209.248,209.837,2305
2023-04-28 13:45:00,210.505,210.797,209.305,209.916,1757
2023-04-28 13:44:00,210.47,210.815,209.28,209.934,1135
2023-04-28 13:43:00,210.585,210.894,209.341,209.916,2661
2023-04-28 13:42:00,210.574,210.886,209.025,209.951,13893
2023-04-28 13:41:00,210.514,210.886,209.349,209.943,6044
2023-04-28 13:40:00,210.439,210.793,209.257,209.872,4419
2023-04-28 13:39:00,210.514,210.806,209.2,209.828,5376
2023-04-28 13:38:00,210.338,210.855,209.183,209.947,4577
2023-04-28 13:37:00,210.421,210.837,209.147,209.749,8484
2023-04-28 13:36:00,210.474,210.766,209.218,209.819,5869
2023-04-28 13:35:00,210.514,210.841,209.253,209.883,8123
2023-04-28 13:34:00,210.523,210.85,209.305,209.969,3066
2023-04-28 13:33:00,210.496,210.939,209.3,209.934,6183
2023-04-28 13:32:00,210.461,210.806,209.297,209.912,3145
2023-04-28 13:31:00,210.391,210.753,209.235,209.863,1768
2023-04-28 13:30:00,210.368,210.713,209.213,209.819,1897
2023-04-28 13:29:00,210.329,210.7,209.165,209.793,2482
2023-04-28 13:28:00,210.267,210.625,209.095,209.744,1469
2023-04-28 13:27:00,210.21,210.55,209.051,209.661,1234
2023-04-28 13:26:00,209.931,210.443,208.744,209.564,6051
2023-04-28 13:25:00,210.165,210.497,208.809,209.375,7302
2023-04-28 13:24:00,210.161,210.479,208.998,209.577,500
2023-04-28 13:23:00,210.059,210.448,208.787,209.568,7106
2023-04-28 13:22:00,210.082,210.432,208.823,209.476,7643
2023-04-28 13:21:00,210.143,210.47,208.928,209.511,3038
2023-04-28 13:20:00,210.227,210.558,208.972,209.555,3991
2023-04-28 13:19:00,210.276,210.594,209.033,209.599,2664
2023-04-28 13:18:00,210.496,210.806,209.147,209.714,9402
2023-04-28 13:17:00,210.594,210.886,209.349,209.934,2902
2023-04-28 13:16:00,210.673,210.965,209.411,210.048,2579
2023-04-28 13:15:00,210.62,210.983,209.464,210.088,1736
2023-04-28 13:14:00,210.541,210.912,209.385,210.013,3210
2023-04-28 13:13:00,210.611,210.903,209.314,209.995,4091
2023-04-28 13:12:00,210.373,210.846,209.213,209.965,7341
2023-04-28 13:11:00,210.377,210.673,209.222,209.788,661
2023-04-28 13:10:00,210.214,210.687,208.998,209.793,7353
2023-04-28 13:09:00,210.293,210.594,209.051,209.626,8348
2023-04-28 13:08:00,210.271,210.647,209.117,209.714,2361
2023-04-28 13:07:00,210.373,210.665,209.09,209.682,2632
2023-04-28 13:06:00,210.36,210.709,209.205,209.828,903
2023-04-28 13:05:00,210.373,210.665,209.13,209.775,2140
2023-04-28 13:04:00,210.285,210.718,209.121,209.837,2071
2023-04-28 13:03:00,210.214,210.581,209.06,209.7,1389
2023-04-28 13:02:00,210.196,210.514,208.989,209.634,4057
2023-04-28 13:01:00,210.187,210.532,209.029,209.652,1136
2023-04-28 13:00:00,210.276,210.581,209.033,209.652,1138
2023-04-28 12:59:00,210.329,210.678,209.156,209.722,1402
2023-04-28 12:58:00,210.203,210.687,209.049,209.806,2754
2023-04-28 12:57:00,210.152,210.541,208.954,209.599,3317
2023-04-28 12:56:00,210.346,210.647,209.191,209.766,200
2023-04-28 12:55:00,210.196,210.682,209.042,209.766,4692
2023-04-28 12:54:00,210.302,210.594,208.989,209.608,1536
2023-04-28 12:53:00,210.399,210.691,209.147,209.714,1377
2023-04-28 12:52:00,210.426,210.824,209.27,209.899,2855
2023-04-28 12:51:00,210.346,210.815,209.183,209.934,3454
2023-04-28 12:50:00,210.523,210.815,209.13,209.696,1577
2023-04-28 12:49:00,210.417,210.886,209.262,209.899,4981
2023-04-28 12:48:00,210.558,210.85,209.262,209.863,1291
2023-04-28 12:47:00,210.753,211.045,209.314,209.934,4775
2023-04-28 12:46:00,210.929,211.239,209.56,210.145,7061
2023-04-28 12:45:00,210.938,211.248,209.701,210.304,3070
2023-04-28 12:44:00,210.903,211.23,209.705,210.304,2770
2023-04-28 12:43:00,210.748,211.151,209.591,210.268,1737
2023-04-28 12:42:00,210.691,211.08,209.516,210.163,2905
2023-04-28 12:41:00,210.779,211.08,209.516,210.127,1502
2023-04-28 12:40:00,210.92,211.213,209.586,210.163,4466
2023-04-28 12:39:00,211.15,211.443,209.762,210.33,5649
2023-04-28 12:38:00,211.026,211.465,209.788,210.506,6223
2023-04-28 12:37:00,210.73,211.292,209.573,210.409,4510
2023-04-28 12:36:00,210.682,211.049,209.42,210.141,3320
2023-04-28 12:35:00,210.655,211.054,209.367,210.136,4024
2023-04-28 12:34:00,210.911,211.204,209.499,210.066,3900
2023-04-28 12:33:00,210.859,211.204,209.6,210.321,3229
2023-04-28 12:32:00,210.779,211.16,209.604,210.207,7092
2023-04-28 12:31:00,210.761,211.08,209.499,210.136,8677
2023-04-28 12:30:00,210.523,211.054,209.367,210.11,2077
2023-04-28 12:29:00,210.377,210.788,209.13,209.837,4599
2023-04-28 12:28:00,210.505,210.85,209.174,209.758,9410
2023-04-28 12:27:00,210.408,210.76,209.183,209.828,9455
2023-04-28 12:26:00,210.24,210.797,209.068,209.828,8594
2023-04-28 12:25:00,210.32,210.611,209.038,209.661,5378
2023-04-28 12:24:00,210.439,210.788,209.147,209.784,10254
2023-04-28 12:23:00,210.435,210.751,209.235,209.819,1866
2023-04-28 12:22:00,210.545,210.886,209.262,209.881,7960
2023-04-28 12:21:00,210.532,210.859,209.305,209.969,10006
2023-04-28 12:20:00,210.611,210.903,209.297,209.863,400
2023-04-28 12:19:00,210.549,211.018,209.393,210.066,7201
2023-04-28 12:18:00,210.859,211.151,209.464,210.031,3494
2023-04-28 12:17:00,210.934,211.355,209.727,210.312,3987
2023-04-28 12:16:00,211.045,211.345,209.771,210.363,5385
2023-04-28 12:15:00,210.951,211.372,209.771,210.458,1300
2023-04-28 12:14:00,211.176,211.504,209.788,210.4,11596
2023-04-28 12:13:00,211.185,211.5,209.982,210.585,1100
2023-04-28 12:12:00,211.494,211.792,210.017,210.638,11421
2023-04-28 12:11:00,211.265,211.832,210.08,210.946,3350
2023-04-28 12:10:00,211.088,211.584,209.903,210.676,9415
2023-04-28 12:09:00,211.026,211.407,209.85,210.524,14035
2023-04-28 12:08:00,211.176,211.496,209.876,210.477,14280
2023-04-28 12:07:00,210.938,211.443,209.78,210.559,2537
