,1. open,2. high,3. low,4. close,5. volume
2015-06-30 15:59:00,106.18,106.249,105.946,106.009,194787
2015-06-30 15:58:00,106.19,106.259,106.086,106.176,35121
2015-06-30 15:57:00,106.217,106.268,106.123,106.176,51027
2015-06-30 15:56:00,106.245,106.296,106.151,106.209,35460
2015-06-30 15:55:00,106.259,106.31,106.151,106.242,30971
2015-06-30 15:54:00,106.282,106.342,106.179,106.251,23507
2015-06-30 15:53:00,106.264,106.342,106.197,106.283,23116
2015-06-30 15:52:00,106.241,106.305,106.141,106.251,29383
2015-06-30 15:51:00,106.213,106.296,106.151,106.242,10819
2015-06-30 15:50:00,106.264,106.319,106.114,106.204,29590
2015-06-30 15:49:00,106.217,106.324,106.151,106.265,13142
2015-06-30 15:48:00,106.176,106.277,106.095,106.214,22656
2015-06-30 15:47:00,106.078,106.231,106.016,106.167,21608
2015-06-30 15:46:00,106.078,106.147,106.007,106.065,24760
2015-06-30 15:45:00,106.004,106.147,105.937,106.084,59236
2015-06-30 15:44:00,105.994,106.063,105.937,106.009,12490
2015-06-30 15:43:00,106.032,106.082,105.937,105.991,21917
2015-06-30 15:42:00,105.985,106.082,105.927,106.028,9638
2015-06-30 15:41:00,106.069,106.119,105.905,105.977,22065
2015-06-30 15:40:00,106.106,106.156,105.984,106.073,15675
2015-06-30 15:39:00,106.144,106.203,106.049,106.111,11348
2015-06-30 15:38:00,106.106,106.217,106.049,106.149,7118
2015-06-30 15:37:00,106.097,106.156,106.021,106.102,11365
2015-06-30 15:36:00,106.152,106.203,106.039,106.093,14967
2015-06-30 15:35:00,106.115,106.211,106.053,106.139,14006
2015-06-30 15:34:00,106.124,106.175,106.03,106.111,17277
2015-06-30 15:33:00,106.18,106.231,106.049,106.121,10269
2015-06-30 15:32:00,106.162,106.249,106.099,106.176,14788
2015-06-30 15:31:00,106.125,106.24,106.049,106.186,14064
2015-06-30 15:30:00,106.069,106.175,106.011,106.111,14565
2015-06-30 15:29:00,106.041,106.147,105.984,106.074,12154
2015-06-30 15:28:00,106.032,106.085,105.928,106.031,11241
2015-06-30 15:27:00,106.055,106.115,105.956,106.028,20114
2015-06-30 15:26:00,106.013,106.11,105.956,106.046,11747
2015-06-30 15:25:00,105.985,106.073,105.923,106.013,17234
2015-06-30 15:24:00,106.032,106.091,105.909,105.977,17416
2015-06-30 15:23:00,106.048,106.101,105.956,106.019,12873
2015-06-30 15:22:00,106.013,106.101,105.956,106.042,10462
2015-06-30 15:21:00,106.013,106.101,105.928,106.014,41441
2015-06-30 15:20:00,106.004,106.082,105.946,106.028,11710
2015-06-30 15:19:00,106.05,106.101,105.9,105.997,13328
2015-06-30 15:18:00,106.05,106.166,105.984,106.056,17947
2015-06-30 15:17:00,106.059,106.119,105.993,106.051,11501
2015-06-30 15:16:00,105.986,106.119,105.919,106.065,11904
2015-06-30 15:15:00,105.925,106.054,105.863,105.972,38845
2015-06-30 15:14:00,105.967,106.017,105.863,105.921,10247
2015-06-30 15:13:00,105.988,106.045,105.891,105.963,10845
2015-06-30 15:12:00,106.041,106.091,105.919,105.991,9723
2015-06-30 15:11:00,106.041,106.128,105.984,106.046,7401
2015-06-30 15:10:00,106.055,106.128,105.984,106.037,11918
2015-06-30 15:09:00,106.069,106.119,105.946,106.051,15621
2015-06-30 15:08:00,106.041,106.128,105.974,106.065,8724
2015-06-30 15:07:00,106.078,106.128,105.979,106.046,10376
2015-06-30 15:06:00,106.073,106.138,105.993,106.065,6454
2015-06-30 15:05:00,106.069,106.128,105.974,106.056,9719
2015-06-30 15:04:00,106.004,106.184,105.942,106.084,15438
2015-06-30 15:03:00,106.069,106.119,105.928,105.991,13289
2015-06-30 15:02:00,106.087,106.138,106.002,106.056,14918
2015-06-30 15:01:00,106.069,106.138,105.997,106.084,15011
2015-06-30 15:00:00,106.041,106.128,105.965,106.065,10594
2015-06-30 14:59:00,106.125,106.175,105.956,106.028,13893
2015-06-30 14:58:00,106.134,106.184,106.039,106.121,6874
2015-06-30 14:57:00,106.087,106.184,106.03,106.121,13327
2015-06-30 14:56:00,106.097,106.166,106.03,106.084,7325
2015-06-30 14:55:00,106.078,106.156,106.021,106.102,7180
2015-06-30 14:54:00,106.129,106.179,106.011,106.07,10371
2015-06-30 14:53:00,106.143,106.194,106.058,106.121,5185
2015-06-30 14:52:00,106.134,106.203,106.062,106.13,6914
2015-06-30 14:51:00,106.162,106.212,106.067,106.13,7041
2015-06-30 14:50:00,106.134,106.221,106.058,106.163,13761
2015-06-30 14:49:00,106.152,106.203,106.067,106.139,8546
2015-06-30 14:48:00,106.134,106.212,106.072,106.139,5046
2015-06-30 14:47:00,106.069,106.166,106.011,106.111,6480
2015-06-30 14:46:00,106.125,106.175,106.009,106.074,13022
2015-06-30 14:45:00,106.199,106.249,106.067,106.13,9668
2015-06-30 14:44:00,106.185,106.277,106.124,106.195,6861
