,1. open,2. high,3. low,4. close,5. volume
2013-08-30 15:59:00,46.702,47.034,46.603,46.836,44252
2013-08-30 15:58:00,46.691,46.979,46.587,46.836,4883
2013-08-30 15:57:00,46.636,46.968,46.537,46.825,3985
2013-08-30 15:56:00,46.625,46.912,46.526,46.77,1980
2013-08-30 15:55:00,46.586,46.896,46.494,46.748,3590
2013-08-30 15:54:00,46.614,46.89,46.483,46.709,1859
2013-08-30 15:53:00,46.641,46.918,46.51,46.737,2505
2013-08-30 15:52:00,46.636,46.923,46.537,46.775,1776
2013-08-30 15:51:00,46.68,46.957,46.537,46.764,3096
2013-08-30 15:50:00,46.68,46.957,46.574,46.801,4448
2013-08-30 15:49:00,46.68,46.967,46.584,46.819,2624
2013-08-30 15:48:00,46.683,46.962,46.57,46.808,619
2013-08-30 15:47:00,46.691,46.973,46.581,46.819,8355
2013-08-30 15:46:00,46.696,46.979,46.6,46.828,1361
2013-08-30 15:45:00,46.702,46.979,46.592,46.83,4060
2013-08-30 15:44:00,46.707,46.995,46.614,46.852,742
2013-08-30 15:43:00,46.713,46.995,46.614,46.852,2346
2013-08-30 15:42:00,46.759,47.037,46.636,46.863,2098
2013-08-30 15:41:00,46.762,47.039,46.669,46.896,123
2013-08-30 15:40:00,46.779,47.056,46.664,46.891,2599
2013-08-30 15:39:00,46.768,47.055,46.674,46.91,2031
2013-08-30 15:38:00,46.751,47.051,46.658,46.907,1354
2013-08-30 15:37:00,46.757,47.034,46.661,46.891,1361
2013-08-30 15:36:00,46.762,47.045,46.669,46.902,247
2013-08-30 15:35:00,46.779,47.059,46.674,46.902,2104
2013-08-30 15:34:00,46.784,47.073,46.691,46.924,742
2013-08-30 15:33:00,46.751,47.062,46.654,46.918,1116
2013-08-30 15:32:00,46.768,47.045,46.636,46.891,2339
2013-08-30 15:31:00,46.773,47.053,46.674,46.91,3572
2013-08-30 15:30:00,46.784,47.067,46.685,46.913,1485
2013-08-30 15:29:00,46.795,47.089,46.702,46.946,371
2013-08-30 15:28:00,46.79,47.073,46.696,46.93,742
2013-08-30 15:27:00,46.773,47.051,46.68,46.907,123
2013-08-30 15:26:00,46.773,47.051,46.68,46.907,371
2013-08-30 15:25:00,46.787,47.067,46.644,46.872,2228
2013-08-30 15:24:00,46.79,47.067,46.691,46.918,247
2013-08-30 15:23:00,46.779,47.073,46.685,46.93,742
2013-08-30 15:22:00,46.79,47.067,46.685,46.918,2822
2013-08-30 15:21:00,46.801,47.078,46.707,46.935,123
2013-08-30 15:20:00,46.801,47.088,46.696,46.945,1361
2013-08-30 15:19:00,46.795,47.073,46.702,46.93,371
2013-08-30 15:18:00,46.795,47.084,46.691,46.93,3488
2013-08-30 15:17:00,46.784,47.062,46.685,46.918,371
2013-08-30 15:16:00,46.795,47.081,46.691,46.918,4209
2013-08-30 15:15:00,46.787,47.073,46.69,46.93,1224
2013-08-30 15:14:00,46.768,47.062,46.674,46.918,568
2013-08-30 15:13:00,46.757,47.039,46.664,46.891,1114
2013-08-30 15:12:00,46.751,47.034,46.636,46.891,1857
2013-08-30 15:11:00,46.738,47.023,46.642,46.88,643
2013-08-30 15:10:00,46.746,47.023,46.642,46.869,371
2013-08-30 15:09:00,46.757,47.034,46.653,46.88,433
2013-08-30 15:08:00,46.773,47.051,46.658,46.891,1683
2013-08-30 15:07:00,46.801,47.078,46.68,46.91,1114
2013-08-30 15:06:00,46.806,47.089,46.713,46.941,619
2013-08-30 15:05:00,46.801,47.095,46.707,46.941,1138
2013-08-30 15:04:00,46.768,47.084,46.674,46.941,1485
2013-08-30 15:03:00,46.757,47.039,46.658,46.896,1000
2013-08-30 15:02:00,46.759,47.037,46.666,46.894,123
2013-08-30 15:01:00,46.751,47.039,46.658,46.891,1114
2013-08-30 15:00:00,46.746,47.023,46.653,46.88,123
2013-08-30 14:59:00,46.773,47.051,46.669,46.896,990
2013-08-30 14:58:00,46.779,47.059,46.674,46.916,1114
2013-08-30 14:57:00,46.773,47.051,46.677,46.904,495
2013-08-30 14:56:00,46.77,47.048,46.674,46.902,495
2013-08-30 14:55:00,46.773,47.053,46.674,46.902,1114
2013-08-30 14:54:00,46.768,47.056,46.674,46.913,1485
