,1. open,2. high,3. low,4. close,5. volume
2013-11-29 13:02:00,40.309,40.431,40.154,40.317,91801
2013-11-29 13:00:00,40.333,40.455,40.178,40.341,117
2013-11-29 12:59:00,40.279,40.449,40.124,40.317,24595
2013-11-29 12:58:00,40.303,40.425,40.13,40.293,2695
2013-11-29 12:57:00,40.285,40.425,40.124,40.305,6161
2013-11-29 12:56:00,40.279,40.419,40.118,40.305,2830
2013-11-29 12:55:00,40.297,40.419,40.106,40.293,8832
2013-11-29 12:54:00,40.303,40.431,40.142,40.305,3096
2013-11-29 12:53:00,40.303,40.443,40.142,40.311,2702
2013-11-29 12:52:00,40.279,40.419,40.124,40.293,1522
2013-11-29 12:51:00,40.339,40.461,40.112,40.275,2822
2013-11-29 12:50:00,40.351,40.479,40.178,40.341,27271
2013-11-29 12:49:00,40.351,40.479,40.196,40.359,7592
2013-11-29 12:48:00,40.351,40.479,40.19,40.359,20797
2013-11-29 12:47:00,40.351,40.479,40.196,40.359,1527
2013-11-29 12:46:00,40.363,40.485,40.19,40.365,4347
2013-11-29 12:45:00,40.381,40.51,40.209,40.377,4025
2013-11-29 12:44:00,40.393,40.522,40.227,40.402,1997
2013-11-29 12:43:00,40.399,40.522,40.245,40.408,235
2013-11-29 12:42:00,40.399,40.528,40.245,40.408,587
2013-11-29 12:41:00,40.387,40.516,40.233,40.402,2820
2013-11-29 12:40:00,40.393,40.516,40.227,40.389,931
2013-11-29 12:39:00,40.363,40.516,40.209,40.401,2232
2013-11-29 12:38:00,40.357,40.479,40.202,40.365,117
2013-11-29 12:36:00,40.351,40.491,40.196,40.377,235
2013-11-29 12:35:00,40.363,40.491,40.202,40.365,470
2013-11-29 12:34:00,40.381,40.51,40.215,40.377,470
2013-11-29 12:33:00,40.387,40.516,40.233,40.402,2350
2013-11-29 12:32:00,40.393,40.522,40.233,40.395,470
2013-11-29 12:31:00,40.399,40.528,40.239,40.402,1410
2013-11-29 12:30:00,40.399,40.534,40.245,40.42,587
2013-11-29 12:29:00,40.393,40.528,40.239,40.414,1527
2013-11-29 12:28:00,40.393,40.522,40.239,40.408,1175
2013-11-29 12:27:00,40.381,40.51,40.227,40.395,352
2013-11-29 12:25:00,40.372,40.516,40.218,40.402,1292
2013-11-29 12:24:00,40.363,40.503,40.209,40.389,1730
2013-11-29 12:23:00,40.357,40.479,40.202,40.365,352
2013-11-29 12:22:00,40.399,40.522,40.202,40.365,3055
2013-11-29 12:21:00,40.406,40.528,40.251,40.414,705
2013-11-29 12:20:00,40.418,40.54,40.251,40.414,705
2013-11-29 12:19:00,40.393,40.546,40.239,40.42,4817
2013-11-29 12:18:00,40.393,40.516,40.236,40.398,1175
2013-11-29 12:17:00,40.406,40.528,40.245,40.408,1410
2013-11-29 12:16:00,40.412,40.534,40.251,40.42,352
2013-11-29 12:15:00,40.387,40.528,40.233,40.414,1655
2013-11-29 12:14:00,40.375,40.497,40.221,40.383,117
2013-11-29 12:13:00,40.397,40.519,40.233,40.395,705
2013-11-29 12:12:00,40.387,40.516,40.233,40.402,4230
2013-11-29 12:11:00,40.393,40.516,40.233,40.395,1244
2013-11-29 12:10:00,40.363,40.516,40.209,40.402,1880
2013-11-29 12:09:00,40.363,40.485,40.202,40.365,705
2013-11-29 12:08:00,40.351,40.491,40.196,40.365,11750
2013-11-29 12:07:00,40.351,40.479,40.196,40.365,1762
2013-11-29 12:06:00,40.36,40.485,40.196,40.371,981
2013-11-29 12:05:00,40.357,40.479,40.202,40.365,1057
2013-11-29 12:04:00,40.357,40.491,40.202,40.377,470
2013-11-29 12:03:00,40.375,40.497,40.215,40.377,352
2013-11-29 12:02:00,40.375,40.516,40.221,40.389,4817
2013-11-29 12:01:00,40.369,40.497,40.215,40.383,705
2013-11-29 12:00:00,40.375,40.497,40.221,40.383,117
2013-11-29 11:59:00,40.351,40.491,40.196,40.377,3877
