,1. open,2. high,3. low,4. close,5. volume
2014-02-28 15:59:00,68.7,68.76,68.7,68.72,38729
2014-02-28 15:58:00,68.74,68.75,68.7,68.7,8126
2014-02-28 15:57:00,68.745,68.76,68.74,68.74,7660
2014-02-28 15:56:00,68.68,68.75,68.68,68.74,9760
2014-02-28 15:55:00,68.66,68.7,68.65,68.68,10561
2014-02-28 15:54:00,68.65,68.66,68.63,68.65,7074
2014-02-28 15:53:00,68.62,68.67,68.61,68.67,7016
2014-02-28 15:52:00,68.64,68.65,68.63,68.64,8910
2014-02-28 15:51:00,68.64,68.67,68.63,68.65,5771
2014-02-28 15:50:00,68.61,68.64,68.61,68.63,6708
2014-02-28 15:49:00,68.63,68.63,68.59,68.6,10584
2014-02-28 15:48:00,68.64,68.64,68.61,68.63,9705
2014-02-28 15:47:00,68.63,68.67,68.63,68.64,7198
2014-02-28 15:46:00,68.67,68.67,68.63,68.64,4299
2014-02-28 15:45:00,68.71,68.71,68.66,68.66,11342
2014-02-28 15:44:00,68.644,68.73,68.63,68.685,14271
2014-02-28 15:43:00,68.67,68.67,68.64,68.64,6097
2014-02-28 15:42:00,68.71,68.71,68.68,68.68,3401
2014-02-28 15:41:00,68.69,68.71,68.69,68.71,4275
2014-02-28 15:40:00,68.67,68.73,68.67,68.71,10136
2014-02-28 15:39:00,68.67,68.67,68.669,68.67,2680
2014-02-28 15:38:00,68.7,68.7,68.66,68.66,6906
2014-02-28 15:37:00,68.7,68.71,68.69,68.7,3210
2014-02-28 15:36:00,68.69,68.7,68.68,68.7,1500
2014-02-28 15:35:00,68.69,68.7,68.66,68.675,9489
2014-02-28 15:34:00,68.73,68.73,68.69,68.69,3700
2014-02-28 15:33:00,68.76,68.77,68.73,68.73,4656
2014-02-28 15:32:00,68.76,68.762,68.755,68.76,5503
2014-02-28 15:31:00,68.77,68.77,68.75,68.75,8323
2014-02-28 15:30:00,68.75,68.77,68.74,68.76,6661
2014-02-28 15:29:00,68.762,68.762,68.75,68.75,2156
2014-02-28 15:28:00,68.74,68.76,68.74,68.76,3300
2014-02-28 15:27:00,68.76,68.76,68.72,68.73,4225
2014-02-28 15:26:00,68.76,68.76,68.76,68.76,600
2014-02-28 15:25:00,68.79,68.79,68.72,68.76,4900
2014-02-28 15:24:00,68.76,68.79,68.76,68.79,2750
2014-02-28 15:23:00,68.75,68.75,68.74,68.75,2300
2014-02-28 15:22:00,68.78,68.78,68.75,68.75,2470
2014-02-28 15:21:00,68.78,68.8,68.75,68.8,6022
2014-02-28 15:20:00,68.71,68.79,68.7,68.77,3100
2014-02-28 15:19:00,68.729,68.76,68.72,68.725,4200
2014-02-28 15:18:00,68.7,68.71,68.691,68.71,4700
2014-02-28 15:17:00,68.72,68.73,68.702,68.72,2194
2014-02-28 15:16:00,68.78,68.79,68.69,68.74,11548
2014-02-28 15:15:00,68.67,68.75,68.64,68.75,4054
2014-02-28 15:14:00,68.63,68.68,68.62,68.67,5764
2014-02-28 15:13:00,68.65,68.69,68.64,68.64,4800
2014-02-28 15:12:00,68.62,68.64,68.6,68.64,4766
2014-02-28 15:11:00,68.55,68.61,68.55,68.61,2000
2014-02-28 15:10:00,68.6,68.6,68.501,68.54,11358
2014-02-28 15:09:00,68.66,68.67,68.61,68.61,4848
2014-02-28 15:08:00,68.64,68.68,68.63,68.66,3100
2014-02-28 15:07:00,68.76,68.77,68.65,68.66,3000
2014-02-28 15:06:00,68.8,68.8,68.75,68.77,7072
2014-02-28 15:05:00,68.8,68.8,68.79,68.795,3502
2014-02-28 15:04:00,68.76,68.81,68.76,68.81,1600
2014-02-28 15:03:00,68.72,68.75,68.715,68.74,6000
2014-02-28 15:02:00,68.805,68.805,68.73,68.73,3476
2014-02-28 15:01:00,68.8,68.81,68.79,68.81,1000
2014-02-28 15:00:00,68.84,68.84,68.79,68.8,6100
2014-02-28 14:59:00,68.73,68.83,68.73,68.83,4300
2014-02-28 14:58:00,68.8,68.81,68.745,68.745,2625
2014-02-28 14:57:00,68.82,68.82,68.78,68.81,4150
2014-02-28 14:56:00,68.87,68.899,68.83,68.844,6400
2014-02-28 14:55:00,68.94,68.94,68.86,68.86,2300
2014-02-28 14:54:00,68.98,68.98,68.93,68.93,2726
2014-02-28 14:53:00,68.95,68.98,68.94,68.98,2570
2014-02-28 14:52:00,68.93,68.94,68.93,68.94,900
2014-02-28 14:51:00,68.88,68.91,68.88,68.91,2778
2014-02-28 14:50:00,68.92,68.92,68.87,68.87,2582
2014-02-28 14:49:00,68.85,68.93,68.85,68.93,2610
2014-02-28 14:48:00,68.98,68.98,68.82,68.82,13291
2014-02-28 14:47:00,69.04,69.05,68.98,68.99,14807
2014-02-28 14:46:00,69.08,69.08,69.04,69.06,7672
2014-02-28 14:45:00,69.13,69.13,69.08,69.08,3400
2014-02-28 14:44:00,69.13,69.13,69.129,69.129,800
2014-02-28 14:43:00,69.12,69.14,69.11,69.11,4763
2014-02-28 14:42:00,69.18,69.18,69.12,69.13,2500
2014-02-28 14:41:00,69.2,69.2,69.19,69.19,1000
2014-02-28 14:40:00,69.135,69.21,69.12,69.2,3958
2014-02-28 14:39:00,69.15,69.15,69.14,69.14,2073
2014-02-28 14:38:00,69.16,69.16,69.159,69.159,700
2014-02-28 14:37:00,69.14,69.17,69.14,69.17,2600
2014-02-28 14:36:00,69.24,69.24,69.16,69.16,5084
2014-02-28 14:35:00,69.26,69.265,69.25,69.25,2300
2014-02-28 14:34:00,69.25,69.258,69.25,69.258,385
2014-02-28 14:33:00,69.25,69.257,69.244,69.257,2300
2014-02-28 14:32:00,69.25,69.26,69.245,69.25,2082
2014-02-28 14:31:00,69.28,69.28,69.25,69.25,2309
2014-02-28 14:30:00,69.309,69.31,69.27,69.27,3300
2014-02-28 14:29:00,69.3,69.31,69.29,69.29,1100
2014-02-28 14:28:00,69.29,69.31,69.29,69.31,400
2014-02-28 14:27:00,69.29,69.32,69.29,69.3,1900
2014-02-28 14:26:00,69.3,69.3,69.28,69.28,3000
2014-02-28 14:25:00,69.31,69.32,69.3,69.3,400
2014-02-28 14:24:00,69.35,69.36,69.32,69.32,3713
2014-02-28 14:23:00,69.36,69.36,69.34,69.34,1400
2014-02-28 14:22:00,69.37,69.37,69.36,69.36,700
2014-02-28 14:21:00,69.39,69.4,69.37,69.37,1581
2014-02-28 14:20:00,69.42,69.43,69.39,69.39,1708
2014-02-28 14:19:00,69.44,69.44,69.43,69.43,900
2014-02-28 14:18:00,69.43,69.43,69.43,69.43,300
2014-02-28 14:17:00,69.43,69.45,69.41,69.45,2000
2014-02-28 14:16:00,69.4,69.41,69.4,69.41,800
2014-02-28 14:15:00,69.36,69.4,69.36,69.4,2403
2014-02-28 14:14:00,69.38,69.38,69.37,69.37,400
2014-02-28 14:13:00,69.38,69.38,69.37,69.38,1000
2014-02-28 14:12:00,69.38,69.39,69.38,69.38,1200
2014-02-28 14:11:00,69.4,69.4,69.36,69.36,1698
2014-02-28 14:10:00,69.41,69.41,69.39,69.4,723
2014-02-28 14:09:00,69.47,69.47,69.4,69.4,2777
2014-02-28 14:08:00,69.45,69.48,69.45,69.47,1200
2014-02-28 14:07:00,69.44,69.45,69.44,69.45,1150
2014-02-28 14:06:00,69.45,69.45,69.43,69.43,1300
2014-02-28 14:05:00,69.43,69.45,69.43,69.45,680
2014-02-28 14:04:00,69.42,69.45,69.42,69.45,1550
2014-02-28 14:03:00,69.4,69.42,69.4,69.42,400
2014-02-28 14:02:00,69.4,69.406,69.39,69.4,2900
2014-02-28 14:01:00,69.41,69.42,69.4,69.4,3300
2014-02-28 14:00:00,69.48,69.48,69.41,69.41,2652
2014-02-28 13:59:00,69.49,69.51,69.49,69.498,2432
2014-02-28 13:58:00,69.48,69.49,69.48,69.49,700
2014-02-28 13:57:00,69.46,69.48,69.46,69.47,1023
2014-02-28 13:56:00,69.43,69.46,69.43,69.46,1700
2014-02-28 13:55:00,69.42,69.43,69.42,69.43,1200
2014-02-28 13:54:00,69.42,69.42,69.42,69.42,200
2014-02-28 13:53:00,69.45,69.45,69.41,69.41,2844
2014-02-28 13:52:00,69.44,69.44,69.44,69.44,500
2014-02-28 13:51:00,69.39,69.43,69.39,69.43,1513
2014-02-28 13:50:00,69.32,69.38,69.32,69.38,1900
2014-02-28 13:49:00,69.3,69.3,69.3,69.3,3026
2014-02-28 13:48:00,69.3,69.318,69.29,69.29,800
2014-02-28 13:47:00,69.28,69.31,69.28,69.31,2000
2014-02-28 13:46:00,69.28,69.29,69.28,69.28,2327
2014-02-28 13:45:00,69.32,69.32,69.27,69.28,2700
2014-02-28 13:44:00,69.34,69.34,69.32,69.32,2425
2014-02-28 13:43:00,69.4,69.4,69.34,69.356,4565
2014-02-28 13:42:00,69.4,69.41,69.39,69.41,3030
2014-02-28 13:41:00,69.38,69.4,69.38,69.4,1000
2014-02-28 13:40:00,69.405,69.41,69.38,69.38,4198
2014-02-28 13:39:00,69.41,69.41,69.4,69.41,976
2014-02-28 13:38:00,69.41,69.41,69.41,69.41,700
2014-02-28 13:37:00,69.4,69.4,69.4,69.4,1000
2014-02-28 13:36:00,69.38,69.39,69.38,69.384,2000
2014-02-28 13:35:00,69.41,69.41,69.4,69.4,2400
2014-02-28 13:34:00,69.42,69.42,69.415,69.419,1500
2014-02-28 13:33:00,69.429,69.429,69.41,69.42,2100
2014-02-28 13:32:00,69.46,69.47,69.43,69.431,3200
2014-02-28 13:31:00,69.5,69.5,69.468,69.468,2980
2014-02-28 13:30:00,69.52,69.53,69.5,69.5,2873
2014-02-28 13:29:00,69.56,69.56,69.51,69.51,2937
2014-02-28 13:28:00,69.551,69.56,69.551,69.56,1375
2014-02-28 13:27:00,69.5,69.558,69.5,69.558,3350
2014-02-28 13:26:00,69.49,69.5,69.49,69.5,1750
2014-02-28 13:25:00,69.48,69.5,69.48,69.49,2708
2014-02-28 13:24:00,69.56,69.56,69.5,69.5,4900
2014-02-28 13:23:00,69.55,69.56,69.55,69.56,1224
2014-02-28 13:22:00,69.55,69.55,69.54,69.55,2700
2014-02-28 13:21:00,69.55,69.55,69.54,69.549,600
2014-02-28 13:20:00,69.56,69.58,69.54,69.56,6157
2014-02-28 13:19:00,69.43,69.54,69.427,69.54,5217
2014-02-28 13:18:00,69.41,69.425,69.404,69.421,3022
2014-02-28 13:17:00,69.38,69.4,69.38,69.4,1306
2014-02-28 13:16:00,69.354,69.38,69.354,69.38,2800
2014-02-28 13:15:00,69.345,69.35,69.345,69.35,700
2014-02-28 13:14:00,69.34,69.35,69.33,69.35,2800
2014-02-28 13:13:00,69.39,69.4,69.35,69.35,3200
2014-02-28 13:12:00,69.39,69.39,69.38,69.38,2000
2014-02-28 13:11:00,69.39,69.39,69.385,69.39,1500
2014-02-28 13:10:00,69.43,69.43,69.38,69.388,4386
2014-02-28 13:09:00,69.459,69.459,69.42,69.42,3200
