,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,48.425,48.425,48.35,48.35,216652
2024-03-22 15:58:00,48.425,48.44,48.42,48.42,100943
2024-03-22 15:57:00,48.44,48.44,48.42,48.42,37812
2024-03-22 15:56:00,48.45,48.46,48.43,48.44,38905
2024-03-22 15:55:00,48.465,48.485,48.45,48.455,33172
2024-03-22 15:54:00,48.455,48.47,48.45,48.465,36409
2024-03-22 15:53:00,48.47,48.47,48.45,48.455,13215
2024-03-22 15:52:00,48.462,48.475,48.455,48.46,27558
2024-03-22 15:51:00,48.47,48.485,48.46,48.47,15793
2024-03-22 15:50:00,48.505,48.51,48.452,48.465,31474
2024-03-22 15:49:00,48.5,48.51,48.49,48.505,11982
2024-03-22 15:48:00,48.5,48.51,48.492,48.5,36195
2024-03-22 15:47:00,48.515,48.52,48.49,48.505,46098
2024-03-22 15:46:00,48.5,48.515,48.495,48.515,15061
2024-03-22 15:45:00,48.49,48.495,48.48,48.495,23117
2024-03-22 15:44:00,48.49,48.5,48.48,48.49,17046
2024-03-22 15:43:00,48.485,48.49,48.48,48.485,3199
2024-03-22 15:42:00,48.465,48.5,48.465,48.49,22397
2024-03-22 15:41:00,48.465,48.47,48.45,48.47,46076
2024-03-22 15:40:00,48.465,48.47,48.455,48.47,12221
2024-03-22 15:39:00,48.475,48.475,48.452,48.465,16394
2024-03-22 15:38:00,48.475,48.48,48.46,48.48,20729
2024-03-22 15:37:00,48.47,48.49,48.47,48.475,17001
2024-03-22 15:36:00,48.496,48.496,48.47,48.48,16251
2024-03-22 15:35:00,48.485,48.51,48.485,48.495,25229
2024-03-22 15:34:00,48.46,48.49,48.46,48.485,15084
2024-03-22 15:33:00,48.46,48.46,48.45,48.46,4135
2024-03-22 15:32:00,48.45,48.46,48.445,48.455,39258
2024-03-22 15:31:00,48.415,48.45,48.41,48.45,16372
2024-03-22 15:30:00,48.405,48.42,48.4,48.41,12595
2024-03-22 15:29:00,48.405,48.41,48.39,48.405,14513
2024-03-22 15:28:00,48.383,48.405,48.38,48.405,9790
2024-03-22 15:27:00,48.38,48.39,48.38,48.385,6931
2024-03-22 15:26:00,48.38,48.385,48.37,48.38,8803
2024-03-22 15:25:00,48.365,48.385,48.365,48.38,14187
2024-03-22 15:24:00,48.366,48.37,48.362,48.365,3244
2024-03-22 15:23:00,48.33,48.367,48.33,48.365,7088
2024-03-22 15:22:00,48.325,48.34,48.325,48.34,9661
2024-03-22 15:21:00,48.317,48.325,48.31,48.325,9446
2024-03-22 15:20:00,48.31,48.315,48.3,48.31,5230
2024-03-22 15:19:00,48.3,48.315,48.3,48.315,8432
