,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,229.705,229.71,229.18,229.18,56473
2024-03-22 15:58:00,229.515,229.8,229.49,229.72,38811
2024-03-22 15:57:00,229.38,229.54,229.36,229.54,19848
2024-03-22 15:56:00,229.44,229.47,229.34,229.375,16267
2024-03-22 15:55:00,229.52,229.62,229.37,229.41,22889
2024-03-22 15:54:00,229.7,229.71,229.48,229.48,10319
2024-03-22 15:53:00,229.74,229.74,229.6,229.7,9121
2024-03-22 15:52:00,229.6,229.76,229.6,229.74,14143
2024-03-22 15:51:00,229.57,229.67,229.57,229.6,7206
2024-03-22 15:50:00,229.505,229.55,229.47,229.53,13130
2024-03-22 15:49:00,229.48,229.52,229.43,229.52,5055
2024-03-22 15:48:00,229.36,229.49,229.36,229.49,3836
2024-03-22 15:47:00,229.352,229.405,229.27,229.37,10213
2024-03-22 15:46:00,229.32,229.34,229.3,229.34,2572
2024-03-22 15:45:00,229.305,229.32,229.26,229.32,3880
2024-03-22 15:44:00,229.16,229.31,229.16,229.303,5056
2024-03-22 15:43:00,229.13,229.13,229.13,229.13,373
2024-03-22 15:42:00,229.13,229.13,229.08,229.125,1862
2024-03-22 15:41:00,229.13,229.13,229.085,229.13,2051
2024-03-22 15:40:00,229.22,229.22,229.15,229.155,4164
2024-03-22 15:39:00,229.18,229.2,229.16,229.19,3854
2024-03-22 15:38:00,229.12,229.18,229.12,229.18,1653
2024-03-22 15:37:00,229.14,229.18,229.13,229.18,1420
2024-03-22 15:36:00,229.05,229.14,229.05,229.1,1416
2024-03-22 15:35:00,228.98,229.07,228.95,229.065,4031
2024-03-22 15:34:00,228.917,228.945,228.917,228.945,465
2024-03-22 15:33:00,228.905,228.97,228.895,228.97,4001
2024-03-22 15:32:00,229.012,229.012,228.9,228.9,2044
2024-03-22 15:31:00,229.03,229.04,229.003,229.015,1055
2024-03-22 15:30:00,229.04,229.06,229.02,229.06,2515
2024-03-22 15:29:00,229.04,229.045,229.025,229.045,1150
2024-03-22 15:28:00,229.04,229.04,229.01,229.025,2521
2024-03-22 15:27:00,229.03,229.03,229.015,229.02,978
2024-03-22 15:26:00,229.01,229.03,229.0,229.02,2909
2024-03-22 15:25:00,228.99,228.995,228.97,228.98,2652
2024-03-22 15:24:00,228.98,228.98,228.921,228.98,363
2024-03-22 15:23:00,228.935,228.97,228.935,228.97,505
2024-03-22 15:22:00,228.84,228.93,228.815,228.93,3497
2024-03-22 15:21:00,228.8,228.8,228.8,228.8,838
2024-03-22 15:20:00,228.78,228.84,228.77,228.77,3628
2024-03-22 15:19:00,228.81,228.813,228.81,228.813,436
2024-03-22 15:18:00,228.815,228.815,228.78,228.815,689
2024-03-22 15:17:00,228.815,228.815,228.815,228.815,220
2024-03-22 15:16:00,228.9,228.9,228.815,228.815,2025
2024-03-22 15:15:00,228.9,228.939,228.9,228.939,3078
2024-03-22 15:14:00,228.86,228.9,228.83,228.86,2125
2024-03-22 15:13:00,228.9,228.9,228.83,228.86,2160
2024-03-22 15:12:00,228.97,228.97,228.79,228.87,3034
2024-03-22 15:11:00,229.02,229.045,229.005,229.005,2451
2024-03-22 15:10:00,229.045,229.06,229.045,229.06,910
2024-03-22 15:09:00,229.02,229.06,229.02,229.05,1837
2024-03-22 15:08:00,229.033,229.033,229.033,229.033,632
2024-03-22 15:07:00,229.02,229.02,229.0,229.02,1215
2024-03-22 15:06:00,229.03,229.03,229.0,229.0,2252
2024-03-22 15:05:00,229.06,229.06,229.06,229.06,866
2024-03-22 15:03:00,229.055,229.08,229.055,229.08,713
2024-03-22 15:02:00,229.15,229.15,229.09,229.09,1678
2024-03-22 15:01:00,229.12,229.165,229.12,229.16,2639
