,1. open,2. high,3. low,4. close,5. volume
2021-12-31 15:59:00,182.99,183.13,182.9,182.93,23911
2021-12-31 15:58:00,182.961,183.079,182.9,183.0,8391
2021-12-31 15:57:00,183.01,183.055,182.86,182.96,4899
2021-12-31 15:56:00,182.89,183.15,182.89,182.98,5765
2021-12-31 15:55:00,182.88,182.94,182.79,182.93,5586
2021-12-31 15:54:00,183.03,183.059,182.94,182.94,2847
2021-12-31 15:53:00,183.01,183.1,182.945,183.05,10689
2021-12-31 15:52:00,182.92,183.135,182.89,183.02,3656
2021-12-31 15:51:00,183.24,183.24,182.91,182.95,7543
2021-12-31 15:50:00,183.65,183.66,183.27,183.27,3353
2021-12-31 15:49:00,183.8,183.83,183.73,183.73,1100
2021-12-31 15:48:00,183.8,183.86,183.7,183.7,2817
2021-12-31 15:47:00,183.78,183.84,183.78,183.79,300
2021-12-31 15:46:00,183.917,183.925,183.77,183.77,2799
2021-12-31 15:45:00,183.94,183.95,183.885,183.885,810
2021-12-31 15:44:00,183.88,183.88,183.83,183.83,530
2021-12-31 15:43:00,183.887,183.9,183.887,183.89,420
2021-12-31 15:42:00,183.98,183.98,183.84,183.84,2060
2021-12-31 15:41:00,183.93,183.93,183.84,183.878,1000
2021-12-31 15:40:00,183.87,184.0,183.87,183.94,880
2021-12-31 15:39:00,183.86,183.87,183.761,183.79,4859
2021-12-31 15:38:00,183.92,183.93,183.78,183.84,900
2021-12-31 15:37:00,183.78,184.0,183.77,183.985,2565
2021-12-31 15:36:00,183.68,183.74,183.68,183.74,950
2021-12-31 15:35:00,183.65,183.65,183.51,183.61,2018
2021-12-31 15:34:00,183.7,183.89,183.68,183.69,4408
2021-12-31 15:33:00,183.97,183.97,183.64,183.65,2534
2021-12-31 15:32:00,183.96,183.99,183.89,183.89,471
2021-12-31 15:31:00,183.818,183.838,183.818,183.838,272
2021-12-31 15:30:00,183.965,184.05,183.96,183.97,1000
2021-12-31 15:29:00,183.79,183.79,183.75,183.75,600
2021-12-31 15:28:00,183.7,183.85,183.64,183.845,1271
2021-12-31 15:27:00,183.49,183.73,183.49,183.7,1756
2021-12-31 15:26:00,183.18,183.446,183.18,183.446,2486
2021-12-31 15:25:00,183.241,183.295,183.18,183.18,4187
2021-12-31 15:24:00,183.525,183.529,183.3,183.3,3607
2021-12-31 15:23:00,183.58,183.59,183.54,183.55,800
2021-12-31 15:22:00,183.66,183.66,183.58,183.6,900
2021-12-31 15:21:00,183.7,183.78,183.65,183.65,828
2021-12-31 15:20:00,183.77,183.77,183.67,183.67,750
2021-12-31 15:19:00,183.61,183.84,183.61,183.84,677
2021-12-31 15:18:00,183.6,183.62,183.56,183.59,2700
2021-12-31 15:17:00,183.68,183.72,183.665,183.673,2064
2021-12-31 15:16:00,184.015,184.015,183.835,183.835,2232
2021-12-31 15:15:00,183.975,183.975,183.96,183.96,200
2021-12-31 15:14:00,184.02,184.14,184.02,184.025,1350
2021-12-31 15:13:00,183.78,184.01,183.78,184.01,1200
2021-12-31 15:12:00,183.95,184.02,183.8,183.81,3582
2021-12-31 15:10:00,183.91,184.02,183.91,184.02,1300
2021-12-31 15:09:00,183.985,183.985,183.864,183.864,1100
2021-12-31 15:08:00,184.0,184.11,184.0,184.03,500
2021-12-31 15:07:00,184.001,184.001,183.93,183.95,710
2021-12-31 15:05:00,184.02,184.04,184.02,184.04,200
2021-12-31 15:04:00,184.1,184.11,184.1,184.11,200
2021-12-31 15:03:00,184.01,184.1,184.0,184.01,700
2021-12-31 15:02:00,184.33,184.351,184.18,184.18,1452
2021-12-31 15:01:00,184.11,184.16,184.11,184.16,200
2021-12-31 15:00:00,183.95,184.13,183.94,184.13,1450
2021-12-31 14:59:00,183.87,183.922,183.86,183.9,1767
2021-12-31 14:58:00,183.88,183.92,183.8,183.8,700
2021-12-31 14:57:00,183.805,183.89,183.805,183.89,200
2021-12-31 14:56:00,183.97,183.97,183.75,183.86,1810
2021-12-31 14:54:00,184.03,184.04,184.03,184.04,200
2021-12-31 14:53:00,183.97,183.97,183.83,183.91,950
2021-12-31 14:52:00,183.95,183.95,183.95,183.95,200
2021-12-31 14:51:00,183.95,184.05,183.95,184.05,400
2021-12-31 14:50:00,183.85,183.91,183.85,183.91,200
2021-12-31 14:49:00,183.72,183.85,183.72,183.85,1406
2021-12-31 14:48:00,183.83,183.83,183.74,183.74,500
2021-12-31 14:47:00,183.94,183.97,183.94,183.95,682
2021-12-31 14:45:00,184.0,184.0,183.96,183.96,200
2021-12-31 14:44:00,184.24,184.25,184.15,184.179,1100
2021-12-31 14:43:00,183.67,184.17,183.67,184.17,3300
2021-12-31 14:42:00,183.59,183.605,183.58,183.58,800
2021-12-31 14:41:00,183.608,183.608,183.608,183.608,100
2021-12-31 14:40:00,183.56,183.6,183.56,183.6,450
2021-12-31 14:39:00,183.57,183.57,183.56,183.56,200
2021-12-31 14:38:00,183.675,183.675,183.59,183.61,600
2021-12-31 14:36:00,183.9,183.9,183.75,183.76,700
2021-12-31 14:35:00,183.91,183.924,183.9,183.924,500
2021-12-31 14:34:00,183.83,183.975,183.83,183.975,1213
2021-12-31 14:32:00,184.02,184.02,183.91,183.91,750
2021-12-31 14:31:00,184.1,184.14,184.02,184.02,800
2021-12-31 14:30:00,184.05,184.05,184.05,184.05,100
2021-12-31 14:29:00,183.97,184.04,183.965,183.965,1046
2021-12-31 14:28:00,183.84,183.96,183.76,183.96,900
2021-12-31 14:26:00,183.93,183.93,183.895,183.895,1100
2021-12-31 14:25:00,184.05,184.05,184.04,184.04,750
2021-12-31 14:24:00,183.97,183.99,183.97,183.99,200
2021-12-31 14:23:00,183.73,183.89,183.73,183.89,800
2021-12-31 14:22:00,183.81,183.84,183.795,183.795,1018
2021-12-31 14:21:00,183.69,183.69,183.69,183.69,100
2021-12-31 14:19:00,183.64,183.64,183.64,183.64,100
2021-12-31 14:18:00,183.59,183.64,183.59,183.6,672
2021-12-31 14:17:00,183.58,183.73,183.58,183.62,900
2021-12-31 14:16:00,183.635,183.73,183.61,183.62,2500
2021-12-31 14:15:00,183.74,183.74,183.7,183.74,2557
2021-12-31 14:14:00,183.6,183.66,183.6,183.66,200
2021-12-31 14:13:00,183.694,183.694,183.63,183.63,300
2021-12-31 14:12:00,183.73,183.802,183.73,183.802,600
2021-12-31 14:11:00,183.68,183.68,183.58,183.58,230
2021-12-31 14:10:00,183.603,183.78,183.603,183.78,500
2021-12-31 14:09:00,183.65,183.65,183.51,183.51,2200
2021-12-31 14:08:00,183.65,183.77,183.62,183.645,1603
2021-12-31 14:07:00,184.0,184.0,183.65,183.65,874
2021-12-31 14:06:00,184.15,184.15,184.15,184.15,100
2021-12-31 14:05:00,184.39,184.445,184.089,184.089,1200
2021-12-31 14:02:00,184.48,184.48,184.48,184.48,100
2021-12-31 14:01:00,184.48,184.561,184.48,184.561,200
2021-12-31 14:00:00,184.43,184.43,184.43,184.43,100
2021-12-31 13:59:00,184.546,184.546,184.546,184.546,100
2021-12-31 13:58:00,184.58,184.59,184.44,184.585,1047
2021-12-31 13:57:00,184.44,184.54,184.44,184.47,800
2021-12-31 13:56:00,184.46,184.46,184.4,184.4,432
2021-12-31 13:55:00,184.43,184.74,184.43,184.58,4250
2021-12-31 13:54:00,184.4,184.48,184.4,184.48,400
2021-12-31 13:53:00,184.36,184.4,184.36,184.4,749
2021-12-31 13:51:00,184.2,184.23,184.17,184.23,403
2021-12-31 13:50:00,184.25,184.25,184.25,184.25,100
2021-12-31 13:49:00,184.27,184.35,184.27,184.35,600
2021-12-31 13:48:00,184.23,184.28,184.082,184.22,1675
2021-12-31 13:47:00,184.18,184.18,184.18,184.18,500
2021-12-31 13:46:00,184.2,184.2,184.165,184.165,300
2021-12-31 13:45:00,184.15,184.31,184.15,184.18,1000
2021-12-31 13:44:00,184.135,184.135,184.07,184.07,200
2021-12-31 13:43:00,184.065,184.15,184.065,184.135,900
2021-12-31 13:42:00,184.0,184.06,183.91,184.06,2381
2021-12-31 13:40:00,184.125,184.125,184.084,184.084,343
2021-12-31 13:39:00,184.09,184.16,184.09,184.16,400
2021-12-31 13:37:00,183.95,184.07,183.93,184.02,1100
2021-12-31 13:36:00,184.08,184.08,183.975,183.975,418
2021-12-31 13:35:00,184.17,184.17,184.1,184.1,200
2021-12-31 13:34:00,184.1,184.16,184.08,184.16,1900
2021-12-31 13:33:00,184.215,184.215,184.215,184.215,100
2021-12-31 13:32:00,184.12,184.17,184.109,184.17,737
2021-12-31 13:31:00,183.92,184.02,183.89,184.02,800
2021-12-31 13:30:00,184.08,184.12,184.0,184.02,700
2021-12-31 13:29:00,184.06,184.06,183.99,184.055,2496
2021-12-31 13:28:00,184.06,184.06,184.06,184.06,100
2021-12-31 13:27:00,184.285,184.285,183.96,183.96,1804
2021-12-31 13:26:00,184.18,184.42,184.18,184.21,2450
2021-12-31 13:25:00,183.89,184.2,183.89,184.19,1800
2021-12-31 13:24:00,183.91,183.91,183.9,183.9,300
2021-12-31 13:23:00,183.988,184.0,183.988,183.995,1100
2021-12-31 13:22:00,184.05,184.05,183.995,184.029,1230
2021-12-31 13:21:00,184.05,184.05,183.997,183.997,300
2021-12-31 13:20:00,184.089,184.088,184.01,184.07,685
2021-12-31 13:19:00,184.11,184.14,184.1,184.14,500
2021-12-31 13:18:00,184.08,184.29,184.08,184.21,400
2021-12-31 13:17:00,184.135,184.23,184.04,184.135,1120
2021-12-31 13:16:00,184.17,184.25,184.11,184.11,1008
2021-12-31 13:15:00,184.14,184.14,183.95,184.14,4679
2021-12-31 13:14:00,184.07,184.12,184.07,184.07,341
2021-12-31 13:13:00,184.19,184.22,184.16,184.22,500
2021-12-31 13:11:00,184.3,184.31,184.27,184.27,471
2021-12-31 13:10:00,184.45,184.45,184.445,184.445,300
2021-12-31 13:09:00,184.26,184.44,184.26,184.41,300
2021-12-31 13:08:00,184.42,184.44,184.37,184.44,500
2021-12-31 13:07:00,184.44,184.56,184.44,184.5,1493
2021-12-31 13:06:00,184.252,184.252,184.252,184.252,100
2021-12-31 13:05:00,184.27,184.338,184.27,184.338,400
2021-12-31 13:04:00,184.23,184.23,184.23,184.23,100
2021-12-31 13:03:00,184.42,184.42,184.42,184.42,136
2021-12-31 13:02:00,184.5,184.59,184.5,184.59,400
2021-12-31 13:01:00,184.566,184.67,184.566,184.67,815
2021-12-31 13:00:00,184.6,184.6,184.51,184.51,300
2021-12-31 12:59:00,184.73,184.75,184.65,184.69,1775
2021-12-31 12:58:00,184.67,184.68,184.665,184.665,300
2021-12-31 12:57:00,184.765,184.765,184.54,184.565,508
2021-12-31 12:56:00,184.62,184.7,184.62,184.655,700
2021-12-31 12:55:00,184.591,184.591,184.53,184.53,661
2021-12-31 12:54:00,184.76,184.78,184.68,184.68,400
2021-12-31 12:52:00,184.67,184.696,184.67,184.696,1100
2021-12-31 12:51:00,184.61,184.62,184.6,184.62,600
2021-12-31 12:50:00,184.79,184.79,184.75,184.75,438
2021-12-31 12:49:00,185.169,185.169,184.96,184.975,5320
2021-12-31 12:48:00,185.15,185.15,185.15,185.15,100
2021-12-31 12:47:00,185.24,185.24,185.2,185.2,400
2021-12-31 12:46:00,185.01,185.28,184.95,185.28,3056
2021-12-31 12:45:00,185.09,185.1,185.0,185.1,400
2021-12-31 12:44:00,184.58,185.08,184.56,185.07,1825
2021-12-31 12:43:00,184.63,184.63,184.63,184.63,500
