,1. open,2. high,3. low,4. close,5. volume
2017-05-31 15:59:00,83.93,83.95,83.88,83.9,13122
2017-05-31 15:58:00,83.93,83.94,83.89,83.94,9184
2017-05-31 15:57:00,83.93,83.95,83.91,83.93,9374
2017-05-31 15:56:00,83.847,83.94,83.847,83.92,6900
2017-05-31 15:55:00,83.88,83.92,83.83,83.845,6600
2017-05-31 15:54:00,83.865,83.88,83.84,83.88,5036
2017-05-31 15:53:00,83.86,83.88,83.85,83.87,3976
2017-05-31 15:52:00,83.86,83.875,83.84,83.86,2879
2017-05-31 15:51:00,83.87,83.88,83.855,83.86,2601
2017-05-31 15:50:00,83.915,83.915,83.86,83.875,2529
2017-05-31 15:49:00,83.87,83.94,83.87,83.915,1900
2017-05-31 15:48:00,83.885,83.89,83.86,83.88,2615
2017-05-31 15:47:00,83.84,83.87,83.835,83.86,2000
2017-05-31 15:46:00,83.875,83.89,83.835,83.84,2200
2017-05-31 15:45:00,83.85,83.88,83.8,83.875,3750
2017-05-31 15:44:00,83.825,83.87,83.82,83.825,2079
2017-05-31 15:43:00,83.78,83.86,83.78,83.86,1000
2017-05-31 15:42:00,83.72,83.78,83.72,83.78,2336
2017-05-31 15:41:00,83.77,83.775,83.71,83.715,1800
2017-05-31 15:40:00,83.76,83.82,83.73,83.74,2250
2017-05-31 15:39:00,83.681,83.75,83.681,83.75,1246
2017-05-31 15:38:00,83.74,83.77,83.69,83.69,2200
2017-05-31 15:37:00,83.67,83.75,83.67,83.68,1800
2017-05-31 15:36:00,83.68,83.71,83.67,83.7,1000
2017-05-31 15:35:00,83.64,83.67,83.64,83.67,1200
2017-05-31 15:34:00,83.63,83.69,83.63,83.64,2000
2017-05-31 15:33:00,83.66,83.69,83.62,83.63,1325
2017-05-31 15:32:00,83.68,83.68,83.625,83.655,1100
2017-05-31 15:31:00,83.625,83.69,83.6,83.648,1754
2017-05-31 15:30:00,83.65,83.66,83.62,83.63,1400
2017-05-31 15:29:00,83.62,83.68,83.61,83.65,700
2017-05-31 15:28:00,83.73,83.73,83.6,83.655,2597
2017-05-31 15:27:00,83.68,83.72,83.675,83.71,1000
2017-05-31 15:26:00,83.67,83.69,83.645,83.69,1069
2017-05-31 15:25:00,83.63,83.67,83.6,83.67,1200
2017-05-31 15:24:00,83.57,83.63,83.57,83.59,800
2017-05-31 15:23:00,83.5,83.6,83.5,83.57,700
2017-05-31 15:22:00,83.53,83.54,83.5,83.515,2224
2017-05-31 15:21:00,83.5,83.53,83.5,83.53,1100
2017-05-31 15:20:00,83.49,83.5,83.43,83.48,920
2017-05-31 15:19:00,83.43,83.49,83.43,83.49,600
2017-05-31 15:18:00,83.39,83.42,83.36,83.42,1000
2017-05-31 15:17:00,83.4,83.4,83.37,83.39,2300
2017-05-31 15:16:00,83.39,83.4,83.38,83.4,600
2017-05-31 15:15:00,83.38,83.39,83.36,83.38,600
2017-05-31 15:14:00,83.4,83.4,83.37,83.4,2443
2017-05-31 15:13:00,83.4,83.4,83.39,83.4,600
2017-05-31 15:12:00,83.4,83.4,83.39,83.4,400
2017-05-31 15:11:00,83.4,83.4,83.37,83.4,5015
2017-05-31 15:10:00,83.4,83.4,83.39,83.4,500
2017-05-31 15:09:00,83.4,83.4,83.35,83.4,762
2017-05-31 15:08:00,83.39,83.4,83.36,83.4,500
2017-05-31 15:07:00,83.29,83.37,83.26,83.37,900
2017-05-31 15:06:00,83.35,83.39,83.29,83.29,1700
2017-05-31 15:05:00,83.4,83.4,83.365,83.4,600
2017-05-31 15:04:00,83.39,83.4,83.39,83.4,400
2017-05-31 15:03:00,83.37,83.39,83.32,83.32,600
2017-05-31 15:02:00,83.36,83.36,83.32,83.35,1000
2017-05-31 15:01:00,83.31,83.36,83.31,83.33,600
2017-05-31 15:00:00,83.35,83.36,83.29,83.29,1100
2017-05-31 14:59:00,83.34,83.37,83.3,83.335,1400
2017-05-31 14:58:00,83.4,83.4,83.37,83.4,600
2017-05-31 14:57:00,83.4,83.4,83.365,83.365,400
2017-05-31 14:56:00,83.4,83.4,83.39,83.39,400
2017-05-31 14:55:00,83.35,83.4,83.32,83.4,500
2017-05-31 14:54:00,83.31,83.35,83.31,83.35,500
2017-05-31 14:53:00,83.33,83.35,83.315,83.35,400
2017-05-31 14:52:00,83.36,83.36,83.3,83.3,600
2017-05-31 14:51:00,83.31,83.35,83.28,83.325,700
2017-05-31 14:50:00,83.36,83.36,83.3,83.325,300
2017-05-31 14:49:00,83.36,83.375,83.32,83.335,1071
2017-05-31 14:48:00,83.4,83.4,83.4,83.4,500
2017-05-31 14:47:00,83.4,83.4,83.375,83.4,500
2017-05-31 14:46:00,83.37,83.4,83.37,83.4,400
2017-05-31 14:45:00,83.38,83.39,83.37,83.37,400
2017-05-31 14:44:00,83.38,83.39,83.33,83.33,823
2017-05-31 14:43:00,83.36,83.4,83.33,83.33,1119
2017-05-31 14:42:00,83.4,83.4,83.385,83.385,300
2017-05-31 14:41:00,83.39,83.39,83.39,83.39,300
2017-05-31 14:40:00,83.4,83.4,83.36,83.36,300
2017-05-31 14:39:00,83.37,83.37,83.37,83.37,100
2017-05-31 14:38:00,83.32,83.34,83.32,83.34,200
2017-05-31 14:37:00,83.31,83.34,83.29,83.29,800
2017-05-31 14:36:00,83.4,83.4,83.33,83.33,2000
2017-05-31 14:35:00,83.36,83.4,83.32,83.4,500
2017-05-31 14:34:00,83.34,83.34,83.28,83.33,500
2017-05-31 14:33:00,83.36,83.36,83.26,83.305,600
2017-05-31 14:32:00,83.37,83.38,83.36,83.36,400
2017-05-31 14:31:00,83.33,83.35,83.28,83.35,400
2017-05-31 14:30:00,83.3,83.305,83.28,83.28,500
2017-05-31 14:29:00,83.3,83.3,83.28,83.3,500
2017-05-31 14:28:00,83.3,83.3,83.29,83.29,300
2017-05-31 14:27:00,83.25,83.3,83.25,83.3,400
2017-05-31 14:26:00,83.3,83.3,83.28,83.29,300
2017-05-31 14:25:00,83.3,83.3,83.3,83.3,100
2017-05-31 14:24:00,83.28,83.29,83.28,83.29,300
2017-05-31 14:23:00,83.27,83.3,83.27,83.3,524
2017-05-31 14:22:00,83.29,83.3,83.28,83.3,300
2017-05-31 14:21:00,83.3,83.3,83.28,83.3,500
2017-05-31 14:20:00,83.3,83.3,83.27,83.3,700
2017-05-31 14:19:00,83.3,83.3,83.3,83.3,100
2017-05-31 14:18:00,83.272,83.3,83.272,83.3,300
2017-05-31 14:17:00,83.27,83.29,83.27,83.29,200
2017-05-31 14:16:00,83.29,83.3,83.25,83.27,700
2017-05-31 14:15:00,83.28,83.29,83.25,83.25,600
2017-05-31 14:14:00,83.28,83.28,83.245,83.245,400
2017-05-31 14:13:00,83.22,83.27,83.22,83.27,200
2017-05-31 14:12:00,83.2,83.2,83.2,83.2,100
2017-05-31 14:11:00,83.29,83.29,83.16,83.16,1100
2017-05-31 14:10:00,83.3,83.3,83.26,83.275,700
2017-05-31 14:09:00,83.3,83.3,83.3,83.3,300
2017-05-31 14:08:00,83.26,83.3,83.235,83.3,300
2017-05-31 14:07:00,83.2,83.26,83.2,83.26,407
2017-05-31 14:06:00,83.21,83.25,83.2,83.2,300
2017-05-31 14:05:00,83.19,83.23,83.18,83.18,800
2017-05-31 14:03:00,83.17,83.17,83.17,83.17,422
2017-05-31 14:02:00,83.2,83.2,83.17,83.19,1420
2017-05-31 14:01:00,83.275,83.29,83.22,83.22,1400
2017-05-31 14:00:00,83.3,83.3,83.3,83.3,1100
2017-05-31 13:59:00,83.28,83.28,83.28,83.28,100
2017-05-31 13:58:00,83.29,83.29,83.23,83.23,400
2017-05-31 13:57:00,83.26,83.28,83.26,83.28,300
2017-05-31 13:56:00,83.27,83.28,83.2,83.2,900
2017-05-31 13:55:00,83.24,83.26,83.22,83.22,800
2017-05-31 13:54:00,83.23,83.24,83.23,83.24,200
2017-05-31 13:53:00,83.2,83.22,83.2,83.2,500
2017-05-31 13:52:00,83.17,83.19,83.17,83.19,300
2017-05-31 13:51:00,83.07,83.16,83.07,83.12,300
2017-05-31 13:50:00,83.11,83.11,83.11,83.11,297
2017-05-31 13:48:00,83.16,83.16,83.16,83.16,431
2017-05-31 13:47:00,83.19,83.19,83.19,83.19,100
2017-05-31 13:46:00,83.24,83.24,83.17,83.17,500
2017-05-31 13:45:00,83.19,83.19,83.19,83.19,200
2017-05-31 13:44:00,83.14,83.16,83.14,83.16,200
2017-05-31 13:43:00,83.15,83.15,83.12,83.12,470
2017-05-31 13:42:00,83.18,83.18,83.092,83.092,500
2017-05-31 13:41:00,83.18,83.18,83.18,83.18,100
2017-05-31 13:40:00,83.17,83.17,83.17,83.17,100
2017-05-31 13:39:00,83.18,83.18,83.18,83.18,100
2017-05-31 13:38:00,83.13,83.13,83.13,83.13,100
2017-05-31 13:36:00,83.225,83.225,83.14,83.19,2399
2017-05-31 13:35:00,83.25,83.25,83.25,83.25,100
2017-05-31 13:34:00,83.21,83.26,83.19,83.26,6610
2017-05-31 13:33:00,83.15,83.19,83.15,83.19,1002
2017-05-31 13:32:00,83.1,83.14,83.1,83.14,200
2017-05-31 13:26:00,83.1,83.1,83.1,83.1,300
2017-05-31 13:25:00,83.05,83.09,83.03,83.06,1300
