,1. open,2. high,3. low,4. close,5. volume
2015-03-31 15:59:00,188.434,188.892,187.63,188.106,5613
2015-03-31 15:58:00,188.418,188.933,187.945,188.364,700
2015-03-31 15:57:00,188.426,188.9,187.896,188.324,1500
2015-03-31 15:56:00,188.305,188.941,187.808,188.397,1900
2015-03-31 15:55:00,188.143,188.819,187.679,188.195,1478
2015-03-31 15:54:00,188.24,188.75,187.735,188.122,2400
2015-03-31 15:53:00,188.385,188.843,187.824,188.203,1300
2015-03-31 15:52:00,188.272,188.835,187.743,188.292,2500
2015-03-31 15:51:00,188.297,188.758,187.8,188.178,2000
2015-03-31 15:50:00,188.596,189.054,187.776,188.243,4700
2015-03-31 15:49:00,188.579,189.119,188.114,188.574,400
2015-03-31 15:48:00,188.474,189.111,187.977,188.421,2718
2015-03-31 15:47:00,188.345,188.965,187.88,188.421,1200
2015-03-31 15:46:00,188.349,188.819,187.816,188.267,1400
2015-03-31 15:45:00,188.248,188.904,187.743,188.154,3000
2015-03-31 15:44:00,188.28,188.738,187.816,188.195,100
2015-03-31 15:43:00,188.426,188.884,187.8,188.178,1200
2015-03-31 15:42:00,188.45,188.908,187.977,188.356,200
2015-03-31 15:41:00,188.361,188.876,187.784,188.292,1351
2015-03-31 15:40:00,188.466,188.997,187.896,188.275,700
2015-03-31 15:39:00,188.385,188.925,187.921,188.38,200
2015-03-31 15:38:00,188.369,188.9,187.905,188.356,600
2015-03-31 15:37:00,188.547,189.006,188.082,188.461,100
2015-03-31 15:36:00,188.385,189.078,187.921,188.534,1000
2015-03-31 15:35:00,188.474,188.969,188.009,188.405,500
2015-03-31 15:34:00,188.45,188.973,187.933,188.429,1000
2015-03-31 15:33:00,188.345,188.835,187.88,188.292,400
2015-03-31 15:32:00,188.361,188.884,187.864,188.312,900
2015-03-31 15:31:00,188.361,188.933,187.896,188.388,800
2015-03-31 15:30:00,188.309,188.779,187.739,188.227,14977
2015-03-31 15:29:00,188.353,188.86,187.751,188.219,4796
2015-03-31 15:28:00,188.369,188.827,187.848,188.227,1000
2015-03-31 15:27:00,188.313,188.884,187.848,188.34,700
2015-03-31 15:26:00,188.305,188.835,187.816,188.227,1200
2015-03-31 15:25:00,188.24,188.787,187.776,188.243,6109
2015-03-31 15:24:00,188.191,188.665,187.695,188.09,1100
2015-03-31 15:23:00,188.224,188.779,187.735,188.114,500
2015-03-31 15:22:00,188.385,188.843,187.759,188.138,300
2015-03-31 15:21:00,188.507,188.997,187.888,188.38,1158
2015-03-31 15:20:00,188.515,189.038,188.05,188.429,1726
2015-03-31 15:19:00,188.454,188.981,187.989,188.428,2783
2015-03-31 15:18:00,188.507,189.006,187.945,188.421,3750
2015-03-31 15:17:00,188.628,189.135,188.025,188.405,2976
2015-03-31 15:16:00,188.491,189.07,187.965,188.518,1900
2015-03-31 15:15:00,188.676,189.151,188.001,188.38,3700
2015-03-31 15:14:00,188.781,189.24,188.195,188.615,2200
2015-03-31 15:13:00,188.79,189.249,188.171,188.631,900
2015-03-31 15:12:00,188.87,189.33,188.404,188.784,100
2015-03-31 15:11:00,188.798,189.273,188.332,188.72,400
2015-03-31 15:10:00,188.765,189.257,188.227,188.712,500
2015-03-31 15:09:00,188.798,189.257,188.324,188.704,200
