,1. open,2. high,3. low,4. close,5. volume
2013-10-31 15:59:00,53.075,53.267,52.862,53.06,46576
2013-10-31 15:58:00,53.038,53.26,52.869,53.113,27324
2013-10-31 15:57:00,53.075,53.26,52.877,53.068,16634
2013-10-31 15:56:00,53.075,53.267,52.892,53.106,16260
2013-10-31 15:55:00,53.113,53.298,52.906,53.121,22333
2013-10-31 15:54:00,53.083,53.328,52.921,53.151,16577
2013-10-31 15:53:00,53.083,53.283,52.906,53.121,25389
2013-10-31 15:52:00,53.113,53.305,52.921,53.128,13624
2013-10-31 15:51:00,53.128,53.32,52.959,53.151,14345
2013-10-31 15:50:00,53.15,53.343,52.974,53.166,12104
2013-10-31 15:49:00,53.138,53.335,52.981,53.188,12846
2013-10-31 15:48:00,53.135,53.328,52.974,53.173,6631
2013-10-31 15:47:00,53.09,53.335,52.936,53.173,23704
2013-10-31 15:46:00,53.12,53.305,52.921,53.121,12990
2013-10-31 15:45:00,53.135,53.32,52.959,53.162,14426
2013-10-31 15:44:00,53.15,53.335,52.959,53.173,8700
2013-10-31 15:43:00,53.18,53.38,52.989,53.181,7339
2013-10-31 15:42:00,53.18,53.365,53.004,53.218,6349
2013-10-31 15:41:00,53.188,53.381,53.026,53.218,3300
2013-10-31 15:40:00,53.188,53.403,53.034,53.226,7239
2013-10-31 15:39:00,53.21,53.399,53.034,53.226,4690
2013-10-31 15:38:00,53.21,53.407,53.056,53.26,3300
2013-10-31 15:37:00,53.203,53.403,53.041,53.241,4868
2013-10-31 15:36:00,53.218,53.403,53.041,53.248,6880
2013-10-31 15:35:00,53.158,53.411,53.004,53.263,14067
2013-10-31 15:34:00,53.188,53.373,53.004,53.203,3352
2013-10-31 15:33:00,53.21,53.422,53.041,53.233,17323
2013-10-31 15:32:00,53.218,53.407,53.056,53.248,4695
2013-10-31 15:31:00,53.24,53.441,53.071,53.263,3854
2013-10-31 15:30:00,53.21,53.437,53.049,53.278,11229
2013-10-31 15:29:00,53.269,53.455,53.064,53.256,6850
2013-10-31 15:28:00,53.276,53.463,53.109,53.301,3350
2013-10-31 15:27:00,53.293,53.494,53.124,53.316,6050
2013-10-31 15:26:00,53.293,53.479,53.116,53.331,3499
2013-10-31 15:25:00,53.293,53.509,53.139,53.331,6308
2013-10-31 15:24:00,53.286,53.479,53.124,53.331,3360
2013-10-31 15:23:00,53.331,53.521,53.146,53.339,5498
2013-10-31 15:22:00,53.346,53.535,53.184,53.38,4938
2013-10-31 15:21:00,53.323,53.535,53.169,53.384,7150
2013-10-31 15:20:00,53.301,53.509,53.146,53.354,32966
2013-10-31 15:19:00,53.316,53.509,53.131,53.331,9636
2013-10-31 15:18:00,53.27,53.501,53.116,53.354,4026
2013-10-31 15:17:00,53.263,53.456,53.101,53.301,3966
2013-10-31 15:16:00,53.255,53.463,53.101,53.305,4194
2013-10-31 15:15:00,53.263,53.463,53.109,53.301,4801
2013-10-31 15:14:00,53.255,53.452,53.086,53.301,5297
2013-10-31 15:13:00,53.188,53.433,53.034,53.278,7992
2013-10-31 15:12:00,53.203,53.392,53.034,53.23,6746
2013-10-31 15:11:00,53.203,53.396,53.041,53.244,4103
2013-10-31 15:10:00,53.233,53.422,53.049,53.243,5950
2013-10-31 15:09:00,53.21,53.426,53.053,53.278,3300
2013-10-31 15:08:00,53.188,53.406,53.034,53.259,6400
2013-10-31 15:07:00,53.18,53.384,52.996,53.233,3961
2013-10-31 15:06:00,53.233,53.429,53.026,53.218,5600
2013-10-31 15:05:00,53.27,53.463,53.079,53.271,3400
2013-10-31 15:04:00,53.24,53.471,53.086,53.316,5599
2013-10-31 15:03:00,53.267,53.46,53.086,53.278,5653
2013-10-31 15:02:00,53.301,53.486,53.101,53.301,9900
2013-10-31 15:01:00,53.308,53.516,53.124,53.339,21158
2013-10-31 15:00:00,53.376,53.561,53.161,53.354,7554
2013-10-31 14:59:00,53.398,53.592,53.229,53.421,4300
2013-10-31 14:58:00,53.413,53.622,53.236,53.429,3381
2013-10-31 14:57:00,53.436,53.622,53.251,53.444,4100
2013-10-31 14:56:00,53.436,53.637,53.266,53.474,10067
2013-10-31 14:55:00,53.398,53.622,53.244,53.474,3500
2013-10-31 14:54:00,53.421,53.611,53.236,53.429,4095
2013-10-31 14:53:00,53.406,53.607,53.251,53.451,3388
2013-10-31 14:52:00,53.428,53.618,53.259,53.459,5901
2013-10-31 14:51:00,53.436,53.629,53.251,53.482,5265
2013-10-31 14:50:00,53.436,53.637,53.274,53.482,1800
2013-10-31 14:49:00,53.398,53.629,53.244,53.474,6339
2013-10-31 14:48:00,53.376,53.592,53.221,53.436,2536
2013-10-31 14:47:00,53.417,53.603,53.229,53.429,3200
2013-10-31 14:46:00,53.406,53.599,53.236,53.451,2433
2013-10-31 14:45:00,53.407,53.599,53.236,53.444,2495
2013-10-31 14:44:00,53.406,53.599,53.244,53.451,700
2013-10-31 14:43:00,53.406,53.614,53.251,53.451,4185
2013-10-31 14:42:00,53.406,53.607,53.251,53.444,2737
2013-10-31 14:41:00,53.383,53.592,53.229,53.436,320
2013-10-31 14:40:00,53.376,53.599,53.221,53.442,52364
2013-10-31 14:39:00,53.368,53.561,53.206,53.412,3568
2013-10-31 14:38:00,53.358,53.561,53.203,53.414,2300
2013-10-31 14:37:00,53.368,53.559,53.184,53.406,6100
2013-10-31 14:36:00,53.362,53.569,53.205,53.414,4638
2013-10-31 14:35:00,53.353,53.546,53.191,53.391,1300
2013-10-31 14:34:00,53.353,53.554,53.199,53.395,2134
2013-10-31 14:33:00,53.361,53.546,53.191,53.399,2908
2013-10-31 14:32:00,53.353,53.554,53.191,53.399,910
2013-10-31 14:31:00,53.346,53.569,53.176,53.406,7937
2013-10-31 14:30:00,53.361,53.554,53.191,53.391,8258
2013-10-31 14:29:00,53.404,53.59,53.214,53.406,4200
2013-10-31 14:28:00,53.368,53.592,53.214,53.44,7454
2013-10-31 14:27:00,53.357,53.569,53.202,53.406,4345
2013-10-31 14:26:00,53.353,53.546,53.191,53.399,2676
2013-10-31 14:25:00,53.331,53.531,53.176,53.384,2311
2013-10-31 14:24:00,53.316,53.524,53.161,53.369,1712
2013-10-31 14:23:00,53.334,53.52,53.154,53.346,4500
2013-10-31 14:22:00,53.331,53.531,53.176,53.374,6100
2013-10-31 14:21:00,53.331,53.524,53.172,53.371,1300
2013-10-31 14:20:00,53.301,53.531,53.146,53.361,5423
2013-10-31 14:19:00,53.301,53.494,53.116,53.339,13141
2013-10-31 14:18:00,53.301,53.501,53.147,53.346,2517
2013-10-31 14:17:00,53.319,53.505,53.146,53.342,2615
2013-10-31 14:16:00,53.27,53.509,53.116,53.354,14941
2013-10-31 14:15:00,53.27,53.463,53.109,53.309,3300
2013-10-31 14:14:00,53.249,53.463,53.095,53.312,4461
2013-10-31 14:13:00,53.278,53.471,53.101,53.294,6642
2013-10-31 14:12:00,53.264,53.456,53.109,53.309,1311
2013-10-31 14:11:00,53.263,53.456,53.101,53.309,3310
2013-10-31 14:10:00,53.225,53.433,53.071,53.286,2169
2013-10-31 14:09:00,53.195,53.396,53.041,53.248,4540
2013-10-31 14:08:00,53.173,53.381,53.019,53.233,7482
2013-10-31 14:07:00,53.222,53.414,53.026,53.218,7320
2013-10-31 14:06:00,53.225,53.414,53.06,53.254,6320
2013-10-31 14:05:00,53.24,53.43,53.056,53.254,5444
2013-10-31 14:04:00,53.233,53.418,53.064,53.271,6099
2013-10-31 14:03:00,53.24,53.433,53.086,53.278,2400
2013-10-31 14:02:00,53.27,53.456,53.09,53.286,6925
2013-10-31 14:01:00,53.27,53.456,53.116,53.309,3100
2013-10-31 14:00:00,53.263,53.463,53.109,53.309,2174
2013-10-31 13:59:00,53.274,53.46,53.113,53.309,1693
2013-10-31 13:58:00,53.27,53.463,53.116,53.312,3415
2013-10-31 13:57:00,53.278,53.467,53.109,53.302,3522
2013-10-31 13:56:00,53.278,53.463,53.109,53.309,1700
2013-10-31 13:55:00,53.263,53.463,53.109,53.316,700
2013-10-31 13:54:00,53.278,53.466,53.101,53.294,1831
2013-10-31 13:53:00,53.286,53.479,53.116,53.316,2700
2013-10-31 13:52:00,53.286,53.479,53.109,53.316,3700
2013-10-31 13:51:00,53.308,53.494,53.131,53.324,4100
2013-10-31 13:50:00,53.293,53.494,53.139,53.346,1941
2013-10-31 13:49:00,53.286,53.479,53.131,53.331,3000
2013-10-31 13:48:00,53.27,53.471,53.116,53.324,2800
2013-10-31 13:47:00,53.27,53.463,53.116,53.309,1820
2013-10-31 13:46:00,53.263,53.456,53.105,53.309,1200
2013-10-31 13:45:00,53.263,53.456,53.101,53.294,2434
2013-10-31 13:44:00,53.263,53.463,53.109,53.301,2659
2013-10-31 13:43:00,53.252,53.441,53.098,53.294,500
2013-10-31 13:42:00,53.248,53.448,53.094,53.294,1700
2013-10-31 13:41:00,53.248,53.436,53.09,53.286,850
2013-10-31 13:40:00,53.248,53.437,53.071,53.278,3500
2013-10-31 13:39:00,53.21,53.436,53.056,53.286,7582
2013-10-31 13:38:00,53.225,53.411,53.053,53.248,1400
2013-10-31 13:37:00,53.24,53.426,53.071,53.263,1400
2013-10-31 13:36:00,53.218,53.418,53.049,53.263,2900
2013-10-31 13:35:00,53.248,53.441,53.071,53.263,2479
2013-10-31 13:34:00,53.248,53.433,53.044,53.26,10035
2013-10-31 13:33:00,53.255,53.441,53.098,53.29,800
2013-10-31 13:32:00,53.27,53.456,53.098,53.294,11424
2013-10-31 13:31:00,53.265,53.451,53.105,53.301,2200
2013-10-31 13:30:00,53.263,53.452,53.094,53.301,42333
2013-10-31 13:29:00,53.255,53.471,53.095,53.294,7869
2013-10-31 13:28:00,53.263,53.456,53.094,53.286,13055
2013-10-31 13:27:00,53.274,53.486,53.101,53.301,18345
2013-10-31 13:26:00,53.278,53.471,53.116,53.309,12621
2013-10-31 13:25:00,53.274,53.471,53.12,53.324,2800
2013-10-31 13:24:00,53.24,53.463,53.086,53.316,6500
2013-10-31 13:23:00,53.255,53.448,53.094,53.286,2600
2013-10-31 13:22:00,53.248,53.441,53.094,53.294,300
2013-10-31 13:21:00,53.233,53.433,53.079,53.278,3850
2013-10-31 13:20:00,53.248,53.433,53.079,53.275,5432
2013-10-31 13:19:00,53.27,53.456,53.094,53.286,2381
2013-10-31 13:18:00,53.282,53.467,53.109,53.309,4237
2013-10-31 13:17:00,53.278,53.463,53.105,53.309,8775
2013-10-31 13:16:00,53.263,53.471,53.105,53.316,5700
2013-10-31 13:15:00,53.255,53.448,53.098,53.297,2625
2013-10-31 13:14:00,53.263,53.448,53.094,53.286,2600
2013-10-31 13:13:00,53.27,53.456,53.109,53.301,2251
2013-10-31 13:12:00,53.27,53.463,53.109,53.316,3500
2013-10-31 13:11:00,53.255,53.456,53.101,53.309,1900
2013-10-31 13:10:00,53.255,53.441,53.094,53.286,1200
2013-10-31 13:09:00,53.239,53.456,53.079,53.308,2441
2013-10-31 13:08:00,53.27,53.456,53.071,53.263,7223
2013-10-31 13:07:00,53.255,53.471,53.101,53.324,6044
2013-10-31 13:06:00,53.276,53.463,53.101,53.301,3400
2013-10-31 13:05:00,53.286,53.471,53.116,53.316,1900
2013-10-31 13:04:00,53.278,53.471,53.12,53.316,10118
2013-10-31 13:03:00,53.297,53.486,53.124,53.316,1350
2013-10-31 13:02:00,53.312,53.497,53.139,53.339,3100
2013-10-31 13:01:00,53.308,53.524,53.154,53.35,19189
2013-10-31 13:00:00,53.293,53.494,53.139,53.346,1776
2013-10-31 12:59:00,53.316,53.501,53.124,53.322,5700
2013-10-31 12:58:00,53.323,53.516,53.169,53.369,1600
2013-10-31 12:57:00,53.293,53.501,53.136,53.354,1700
2013-10-31 12:56:00,53.316,53.501,53.127,53.322,5825
2013-10-31 12:55:00,53.323,53.509,53.146,53.358,4039
2013-10-31 12:54:00,53.331,53.524,53.154,53.361,4300
2013-10-31 12:53:00,53.27,53.509,53.116,53.361,2875
2013-10-31 12:52:00,53.255,53.471,53.101,53.316,3800
2013-10-31 12:51:00,53.218,53.441,53.064,53.294,7253
2013-10-31 12:50:00,53.18,53.403,53.004,53.256,7061
2013-10-31 12:49:00,53.21,53.396,53.034,53.233,2642
2013-10-31 12:48:00,53.242,53.433,53.056,53.252,4600
2013-10-31 12:47:00,53.218,53.433,53.064,53.286,4853
2013-10-31 12:46:00,53.21,53.411,53.041,53.252,7736
2013-10-31 12:45:00,53.187,53.403,53.032,53.248,7110
2013-10-31 12:44:00,53.169,53.365,53.011,53.211,3500
2013-10-31 12:43:00,53.143,53.358,52.985,53.211,6821
2013-10-31 12:42:00,53.124,53.335,52.97,53.181,7700
2013-10-31 12:41:00,53.128,53.32,52.966,53.166,10266
2013-10-31 12:40:00,53.12,53.316,52.966,53.162,15434
2013-10-31 12:39:00,53.113,53.313,52.959,53.158,3000
2013-10-31 12:38:00,53.094,53.298,52.94,53.151,1500
2013-10-31 12:37:00,53.068,53.267,52.914,53.113,2416
2013-10-31 12:36:00,53.068,53.252,52.901,53.106,3100
2013-10-31 12:35:00,53.06,53.26,52.906,53.113,3469
2013-10-31 12:34:00,53.075,53.275,52.899,53.096,3800
2013-10-31 12:33:00,53.105,53.298,52.921,53.113,3951
2013-10-31 12:32:00,53.09,53.29,52.929,53.128,3200
2013-10-31 12:31:00,53.053,53.26,52.895,53.106,3001
2013-10-31 12:30:00,53.03,53.237,52.869,53.087,4200
2013-10-31 12:29:00,53.053,53.241,52.884,53.075,2400
2013-10-31 12:28:00,53.053,53.252,52.892,53.094,3800
2013-10-31 12:27:00,53.098,53.29,52.884,53.091,10348
2013-10-31 12:26:00,53.12,53.305,52.944,53.136,6598
2013-10-31 12:25:00,53.098,53.305,52.944,53.151,2600
2013-10-31 12:24:00,53.105,53.29,52.936,53.128,2800
2013-10-31 12:23:00,53.113,53.313,52.959,53.151,3200
2013-10-31 12:22:00,53.12,53.313,52.959,53.151,5326
2013-10-31 12:21:00,53.09,53.305,52.933,53.158,2300
2013-10-31 12:20:00,53.096,53.28,52.921,53.121,2916
2013-10-31 12:19:00,53.108,53.293,52.944,53.143,2425
2013-10-31 12:18:00,53.123,53.308,52.929,53.143,3902
2013-10-31 12:17:00,53.124,53.311,52.966,53.162,3415
2013-10-31 12:16:00,53.105,53.313,52.936,53.162,5269
2013-10-31 12:15:00,53.12,53.305,52.951,53.158,6962
2013-10-31 12:14:00,53.079,53.305,52.914,53.136,6302
2013-10-31 12:13:00,53.098,53.298,52.929,53.128,9427
2013-10-31 12:12:00,53.053,53.275,52.899,53.121,2452
2013-10-31 12:11:00,53.075,53.266,52.899,53.098,2144
2013-10-31 12:10:00,53.128,53.313,52.921,53.121,2600
2013-10-31 12:09:00,53.15,53.35,52.966,53.162,8083
2013-10-31 12:08:00,53.105,53.335,52.942,53.188,10608
2013-10-31 12:07:00,53.075,53.283,52.914,53.136,1500
2013-10-31 12:06:00,53.008,53.252,52.854,53.106,7560
2013-10-31 12:05:00,52.94,53.2,52.783,53.053,3799
2013-10-31 12:04:00,52.962,53.146,52.764,52.97,3594
2013-10-31 12:03:00,52.97,53.154,52.802,53.0,900
2013-10-31 12:02:00,52.966,53.151,52.798,52.997,5816
2013-10-31 12:01:00,52.955,53.154,52.802,53.003,2400
2013-10-31 12:00:00,52.962,53.151,52.798,52.993,4700
2013-10-31 11:59:00,52.974,53.162,52.764,52.989,19873
2013-10-31 11:58:00,52.977,53.169,52.817,53.008,2040
2013-10-31 11:57:00,53.008,53.207,52.824,53.022,4800
2013-10-31 11:56:00,53.015,53.207,52.854,53.045,4237
2013-10-31 11:55:00,53.038,53.237,52.869,53.06,3200
2013-10-31 11:54:00,53.075,53.275,52.892,53.091,7263
2013-10-31 11:53:00,53.098,53.298,52.888,53.113,9989
2013-10-31 11:52:00,53.068,53.283,52.906,53.136,3447
2013-10-31 11:51:00,53.075,53.267,52.884,53.098,6892
2013-10-31 11:50:00,53.075,53.283,52.906,53.098,5720
2013-10-31 11:49:00,53.053,53.252,52.877,53.106,3699
2013-10-31 11:48:00,53.098,53.283,52.899,53.092,2890
2013-10-31 11:47:00,53.053,53.275,52.899,53.128,5200
