,1. open,2. high,3. low,4. close,5. volume
2013-10-31 15:59:00,32.167,32.253,32.054,32.138,228729
2013-10-31 15:58:00,32.157,32.253,32.05,32.151,179142
2013-10-31 15:57:00,32.163,32.253,32.067,32.138,43120
2013-10-31 15:56:00,32.181,32.271,32.067,32.139,91781
2013-10-31 15:55:00,32.207,32.292,32.076,32.164,124231
2013-10-31 15:54:00,32.176,32.297,32.089,32.191,81074
2013-10-31 15:53:00,32.185,32.271,32.076,32.158,33526
2013-10-31 15:52:00,32.198,32.284,32.093,32.169,55611
2013-10-31 15:51:00,32.181,32.288,32.093,32.186,59526
2013-10-31 15:50:00,32.215,32.301,32.093,32.164,66459
2013-10-31 15:49:00,32.198,32.297,32.102,32.199,63498
2013-10-31 15:48:00,32.216,32.306,32.115,32.191,42299
2013-10-31 15:47:00,32.211,32.314,32.111,32.199,56692
2013-10-31 15:46:00,32.242,32.323,32.102,32.199,51818
2013-10-31 15:45:00,32.277,32.358,32.128,32.225,102112
2013-10-31 15:44:00,32.277,32.367,32.181,32.256,39299
2013-10-31 15:43:00,32.29,32.376,32.181,32.252,32124
2013-10-31 15:42:00,32.272,32.367,32.172,32.269,93806
2013-10-31 15:41:00,32.268,32.367,32.181,32.256,31529
2013-10-31 15:40:00,32.268,32.358,32.172,32.252,28400
2013-10-31 15:39:00,32.285,32.367,32.172,32.243,35917
2013-10-31 15:38:00,32.277,32.367,32.181,32.265,18621
2013-10-31 15:37:00,32.264,32.358,32.172,32.252,12691
2013-10-31 15:36:00,32.264,32.349,32.154,32.252,44360
2013-10-31 15:35:00,32.242,32.349,32.15,32.252,28713
2013-10-31 15:34:00,32.237,32.319,32.137,32.217,17869
2013-10-31 15:33:00,32.233,32.332,32.141,32.217,18067
2013-10-31 15:32:00,32.216,32.323,32.128,32.212,22200
2013-10-31 15:31:00,32.224,32.314,32.128,32.199,27633
2013-10-31 15:30:00,32.189,32.306,32.093,32.208,35636
2013-10-31 15:29:00,32.22,32.306,32.098,32.173,24869
