,1. open,2. high,3. low,4. close,5. volume
2018-10-31 15:59:00,201.11,201.428,200.585,201.067,37596
2018-10-31 15:58:00,201.369,201.648,200.813,201.067,13096
2018-10-31 15:57:00,201.287,201.73,200.913,201.295,6893
2018-10-31 15:56:00,201.451,201.721,200.963,201.24,10137
2018-10-31 15:55:00,201.378,201.794,201.013,201.405,12958
2018-10-31 15:54:00,201.415,201.703,200.959,201.396,5559
2018-10-31 15:53:00,201.552,201.821,201.105,201.423,6804
2018-10-31 15:52:00,201.388,201.867,201.068,201.51,7200
2018-10-31 15:51:00,201.431,201.703,200.977,201.259,7787
2018-10-31 15:50:00,201.385,201.712,200.977,201.345,6193
2018-10-31 15:49:00,201.424,201.712,200.968,201.341,6186
2018-10-31 15:48:00,201.794,202.036,201.077,201.35,4962
2018-10-31 15:47:00,201.624,202.105,201.301,201.706,12843
2018-10-31 15:46:00,201.744,202.018,201.241,201.573,6117
2018-10-31 15:45:00,201.698,202.26,201.332,201.733,6770
2018-10-31 15:44:00,201.716,202.05,201.305,201.587,5020
2018-10-31 15:43:00,201.903,202.205,201.396,201.66,3850
2018-10-31 15:42:00,201.917,202.287,201.542,201.806,4710
2018-10-31 15:41:00,201.881,202.205,201.433,201.897,4234
2018-10-31 15:40:00,201.721,202.178,201.369,201.87,3411
2018-10-31 15:39:00,201.762,202.105,201.319,201.587,2509
2018-10-31 15:38:00,202.036,202.278,201.506,201.761,5306
2018-10-31 15:37:00,202.1,202.415,201.752,202.016,1600
2018-10-31 15:36:00,201.917,202.406,201.597,202.098,4706
2018-10-31 15:35:00,202.027,202.297,201.515,201.879,3657
2018-10-31 15:34:00,202.127,202.402,201.569,201.897,2914
2018-10-31 15:33:00,202.118,202.498,201.733,202.135,3390
2018-10-31 15:32:00,202.291,202.534,201.816,202.194,2400
2018-10-31 15:31:00,202.319,202.598,201.852,202.29,1823
2018-10-31 15:30:00,202.351,202.662,201.872,202.244,4962
2018-10-31 15:29:00,202.041,202.653,201.72,202.345,7150
2018-10-31 15:28:00,202.164,202.425,201.697,201.952,2705
2018-10-31 15:27:00,202.127,202.406,201.633,202.098,1447
2018-10-31 15:26:00,202.328,202.616,201.825,202.08,2547
2018-10-31 15:25:00,202.474,202.717,201.97,202.262,1100
2018-10-31 15:24:00,202.227,202.708,201.879,202.399,2448
2018-10-31 15:23:00,202.214,202.589,201.825,202.189,1437
2018-10-31 15:22:00,202.127,202.516,201.806,202.144,1863
2018-10-31 15:21:00,202.629,202.872,201.642,202.244,5454
2018-10-31 15:20:00,202.739,203.001,202.371,202.627,2000
2018-10-31 15:19:00,203.008,203.252,202.399,202.655,1800
2018-10-31 15:18:00,203.277,203.53,202.681,202.993,5371
2018-10-31 15:17:00,203.295,203.622,202.946,203.212,1200
2018-10-31 15:16:00,203.277,203.585,202.845,203.275,5458
2018-10-31 15:15:00,203.127,203.686,202.795,203.18,18577
2018-10-31 15:14:00,202.976,203.494,202.581,203.111,10351
2018-10-31 15:13:00,202.976,203.256,202.636,202.892,3500
2018-10-31 15:12:00,202.821,203.22,202.444,202.91,3850
