,1. open,2. high,3. low,4. close,5. volume
2017-07-31 15:59:00,142.62,142.77,142.22,142.27,9191
2017-07-31 15:58:00,142.43,143.07,142.42,143.06,3819
2017-07-31 15:57:00,142.19,142.43,142.13,142.355,4890
2017-07-31 15:56:00,142.245,142.43,142.09,142.38,3849
2017-07-31 15:55:00,141.96,142.49,141.96,141.97,3120
2017-07-31 15:54:00,141.98,142.285,141.96,141.96,1400
2017-07-31 15:53:00,142.19,142.365,141.96,141.96,1200
2017-07-31 15:52:00,142.17,142.39,142.12,142.36,1000
2017-07-31 15:51:00,142.48,143.21,142.35,142.35,2183
2017-07-31 15:50:00,142.42,142.86,142.42,142.48,2100
2017-07-31 15:49:00,142.97,142.97,142.5,142.5,900
2017-07-31 15:48:00,142.99,142.99,142.62,142.69,1582
2017-07-31 15:47:00,143.0,143.135,142.99,142.99,700
2017-07-31 15:46:00,143.11,143.11,142.96,142.97,800
2017-07-31 15:45:00,142.77,143.032,142.77,142.94,1850
2017-07-31 15:44:00,142.77,142.85,142.51,142.77,2100
2017-07-31 15:43:00,142.68,142.77,142.58,142.77,1470
2017-07-31 15:42:00,142.85,142.85,142.8,142.8,1100
2017-07-31 15:41:00,143.12,143.12,142.82,142.82,1450
2017-07-31 15:40:00,143.32,143.35,142.81,142.82,1400
2017-07-31 15:39:00,143.26,143.59,143.25,143.59,700
2017-07-31 15:38:00,143.82,144.065,143.26,143.26,2200
2017-07-31 15:37:00,143.85,144.33,143.75,143.92,500
2017-07-31 15:36:00,144.44,144.44,143.305,143.305,200
2017-07-31 15:35:00,144.1,144.44,144.1,144.44,200
2017-07-31 15:34:00,144.12,144.53,144.12,144.46,300
2017-07-31 15:33:00,144.51,144.51,144.46,144.46,200
2017-07-31 15:32:00,144.54,144.54,143.83,144.075,500
2017-07-31 15:31:00,144.54,144.54,144.065,144.065,200
2017-07-31 15:30:00,144.54,144.54,144.04,144.04,200
2017-07-31 15:28:00,144.005,144.54,144.005,144.54,200
2017-07-31 15:26:00,144.36,144.37,143.91,144.08,1200
2017-07-31 15:25:00,144.71,144.71,144.158,144.32,600
2017-07-31 15:24:00,144.5,144.88,144.5,144.88,1000
2017-07-31 15:23:00,144.47,144.5,144.47,144.5,1429
2017-07-31 15:22:00,144.519,144.519,143.51,143.94,315
2017-07-31 15:21:00,144.52,144.53,144.52,144.53,500
2017-07-31 15:20:00,144.48,144.48,143.49,143.49,300
2017-07-31 15:18:00,143.49,143.945,143.49,143.945,200
2017-07-31 15:17:00,144.47,144.495,144.47,144.495,200
2017-07-31 15:16:00,143.47,144.4,143.47,144.4,300
2017-07-31 15:15:00,144.34,144.55,143.46,144.55,300
2017-07-31 15:13:00,143.44,143.44,143.44,143.44,100
2017-07-31 15:10:00,144.05,144.315,144.05,144.315,300
2017-07-31 15:08:00,144.34,144.38,144.0,144.051,1299
2017-07-31 15:07:00,144.595,144.595,144.595,144.595,100
2017-07-31 15:06:00,144.37,144.37,144.37,144.37,100
2017-07-31 15:05:00,144.24,144.24,144.15,144.18,1000
2017-07-31 15:03:00,143.99,144.19,143.99,144.19,300
2017-07-31 15:02:00,143.55,143.88,143.55,143.88,1352
2017-07-31 15:00:00,143.715,143.715,143.27,143.27,200
2017-07-31 14:59:00,143.71,143.76,143.23,143.23,1000
2017-07-31 14:58:00,144.42,144.42,143.78,143.78,500
2017-07-31 14:57:00,143.72,143.72,143.72,143.72,100
2017-07-31 14:56:00,144.34,144.34,144.34,144.34,100
2017-07-31 14:55:00,143.69,144.34,143.69,144.34,200
2017-07-31 14:53:00,144.43,144.43,143.64,144.43,300
2017-07-31 14:52:00,144.27,144.435,144.27,144.435,200
2017-07-31 14:50:00,144.27,144.27,143.68,143.68,300
2017-07-31 14:49:00,143.65,144.035,143.65,144.035,200
2017-07-31 14:48:00,144.44,144.44,143.54,143.55,500
2017-07-31 14:47:00,144.34,144.34,144.34,144.34,100
2017-07-31 14:46:00,143.53,143.53,143.53,143.53,100
2017-07-31 14:45:00,144.585,144.585,144.585,144.585,100
2017-07-31 14:44:00,144.34,144.34,144.34,144.34,200
2017-07-31 14:41:00,144.34,144.34,144.34,144.34,100
2017-07-31 14:39:00,144.34,144.34,144.34,144.34,100
2017-07-31 14:38:00,144.34,144.34,144.34,144.34,100
2017-07-31 14:37:00,143.925,143.925,143.33,143.33,200
2017-07-31 14:36:00,143.9,144.175,143.9,144.175,200
2017-07-31 14:35:00,143.46,143.57,143.01,143.57,1947
2017-07-31 14:33:00,142.96,143.45,142.96,143.45,200
2017-07-31 14:31:00,143.46,143.46,143.46,143.46,100
2017-07-31 14:30:00,142.94,142.94,142.94,142.94,100
2017-07-31 14:29:00,143.46,143.46,143.46,143.46,200
2017-07-31 14:28:00,142.82,142.82,142.82,142.82,100
2017-07-31 14:25:00,142.89,142.89,142.89,142.89,100
2017-07-31 14:22:00,144.105,144.105,142.8,143.215,1800
2017-07-31 14:21:00,144.11,144.21,143.88,143.88,1300
2017-07-31 14:20:00,144.39,144.39,144.39,144.39,100
2017-07-31 14:19:00,143.965,143.965,143.965,143.965,100
2017-07-31 14:17:00,144.165,144.165,143.89,143.89,200
2017-07-31 14:16:00,144.14,144.37,144.14,144.37,200
2017-07-31 14:15:00,143.88,143.88,143.81,143.84,425
2017-07-31 14:14:00,144.21,144.21,144.21,144.21,100
2017-07-31 14:13:00,143.76,143.76,143.76,143.76,100
2017-07-31 14:12:00,144.35,144.35,144.35,144.35,300
2017-07-31 14:10:00,143.7,144.15,143.7,144.15,200
2017-07-31 14:07:00,143.64,144.44,143.64,144.44,200
2017-07-31 14:04:00,143.68,143.68,143.68,143.68,100
2017-07-31 14:03:00,144.08,144.08,144.08,144.08,100
2017-07-31 14:01:00,144.52,144.52,144.52,144.52,100
2017-07-31 13:59:00,143.65,143.65,143.65,143.65,100
2017-07-31 13:57:00,144.53,144.53,144.53,144.53,100
2017-07-31 13:56:00,144.42,144.42,144.42,144.42,100
