,1. open,2. high,3. low,4. close,5. volume
2015-10-30 15:59:00,14.394,14.441,14.307,14.353,154378
2015-10-30 15:58:00,14.394,14.441,14.33,14.376,49843
2015-10-30 15:57:00,14.394,14.441,14.33,14.383,19624
2015-10-30 15:56:00,14.398,14.441,14.33,14.383,32170
2015-10-30 15:55:00,14.394,14.441,14.33,14.376,35244
2015-10-30 15:54:00,14.401,14.449,14.33,14.38,68738
2015-10-30 15:53:00,14.401,14.449,14.337,14.383,10926
2015-10-30 15:52:00,14.409,14.449,14.337,14.383,21648
2015-10-30 15:51:00,14.405,14.456,14.337,14.387,49600
2015-10-30 15:50:00,14.394,14.449,14.33,14.391,41702
2015-10-30 15:49:00,14.398,14.441,14.33,14.383,12589
2015-10-30 15:48:00,14.398,14.441,14.322,14.383,45689
2015-10-30 15:47:00,14.39,14.441,14.326,14.38,15914
2015-10-30 15:46:00,14.379,14.434,14.311,14.376,30722
2015-10-30 15:45:00,14.356,14.418,14.288,14.361,24217
2015-10-30 15:44:00,14.341,14.396,14.277,14.334,38928
2015-10-30 15:43:00,14.341,14.381,14.27,14.319,15754
2015-10-30 15:42:00,14.337,14.381,14.273,14.323,7080
2015-10-30 15:41:00,14.33,14.381,14.266,14.319,22345
2015-10-30 15:40:00,14.333,14.373,14.264,14.315,3985
2015-10-30 15:39:00,14.33,14.373,14.266,14.315,8843
2015-10-30 15:38:00,14.33,14.373,14.266,14.312,4417
2015-10-30 15:37:00,14.326,14.377,14.262,14.312,28804
2015-10-30 15:36:00,14.303,14.369,14.24,14.308,27269
2015-10-30 15:35:00,14.318,14.358,14.247,14.293,12420
2015-10-30 15:34:00,14.322,14.365,14.247,14.297,35376
2015-10-30 15:33:00,14.326,14.365,14.255,14.3,29176
2015-10-30 15:32:00,14.326,14.365,14.256,14.304,20075
2015-10-30 15:31:00,14.322,14.373,14.255,14.308,24077
2015-10-30 15:30:00,14.311,14.365,14.24,14.304,39385
2015-10-30 15:29:00,14.318,14.362,14.247,14.297,9990
2015-10-30 15:28:00,14.318,14.362,14.255,14.304,3700
2015-10-30 15:27:00,14.326,14.369,14.255,14.3,8472
2015-10-30 15:26:00,14.333,14.373,14.262,14.308,9248
2015-10-30 15:25:00,14.337,14.377,14.27,14.315,1900
2015-10-30 15:24:00,14.337,14.377,14.27,14.316,3500
2015-10-30 15:23:00,14.345,14.388,14.27,14.315,20183
2015-10-30 15:22:00,14.364,14.403,14.281,14.327,31286
2015-10-30 15:21:00,14.356,14.409,14.288,14.346,31216
2015-10-30 15:20:00,14.352,14.392,14.285,14.331,1900
2015-10-30 15:19:00,14.36,14.403,14.281,14.331,21459
2015-10-30 15:18:00,14.356,14.403,14.292,14.346,9272
2015-10-30 15:17:00,14.356,14.403,14.285,14.346,30977
2015-10-30 15:16:00,14.33,14.403,14.266,14.338,92151
2015-10-30 15:15:00,14.322,14.373,14.258,14.315,20308
2015-10-30 15:14:00,14.333,14.378,14.258,14.304,17450
2015-10-30 15:13:00,14.341,14.381,14.27,14.315,4328
2015-10-30 15:12:00,14.337,14.381,14.27,14.315,7457
2015-10-30 15:11:00,14.341,14.392,14.273,14.323,13911
2015-10-30 15:10:00,14.341,14.381,14.255,14.323,22514
2015-10-30 15:09:00,14.337,14.381,14.273,14.323,800
2015-10-30 15:08:00,14.333,14.381,14.27,14.323,800
2015-10-30 15:07:00,14.322,14.381,14.258,14.323,25517
2015-10-30 15:06:00,14.318,14.365,14.251,14.304,7485
2015-10-30 15:05:00,14.337,14.377,14.251,14.297,15604
2015-10-30 15:04:00,14.318,14.381,14.255,14.321,19622
2015-10-30 15:03:00,14.288,14.358,14.225,14.297,24760
2015-10-30 15:02:00,14.296,14.335,14.225,14.27,6148
2015-10-30 15:01:00,14.296,14.343,14.232,14.282,33655
2015-10-30 15:00:00,14.311,14.35,14.232,14.282,10257
2015-10-30 14:59:00,14.337,14.377,14.24,14.286,36895
2015-10-30 14:58:00,14.333,14.373,14.27,14.315,1500
2015-10-30 14:57:00,14.333,14.38,14.27,14.319,3900
2015-10-30 14:56:00,14.349,14.388,14.27,14.315,2300
2015-10-30 14:55:00,14.356,14.396,14.277,14.323,7861
2015-10-30 14:54:00,14.349,14.396,14.285,14.338,2730
2015-10-30 14:53:00,14.349,14.396,14.277,14.334,7462
2015-10-30 14:52:00,14.331,14.384,14.264,14.327,17419
2015-10-30 14:51:00,14.319,14.365,14.255,14.308,6948
2015-10-30 14:50:00,14.333,14.373,14.256,14.308,17034
2015-10-30 14:49:00,14.337,14.381,14.27,14.317,46231
2015-10-30 14:48:00,14.333,14.378,14.27,14.315,3480
2015-10-30 14:47:00,14.333,14.377,14.27,14.316,4926
2015-10-30 14:46:00,14.341,14.384,14.266,14.315,17900
2015-10-30 14:45:00,14.352,14.396,14.277,14.323,9174
2015-10-30 14:44:00,14.349,14.396,14.285,14.331,2280
2015-10-30 14:43:00,14.352,14.396,14.285,14.331,1900
2015-10-30 14:42:00,14.352,14.396,14.285,14.331,1150
2015-10-30 14:41:00,14.349,14.392,14.285,14.331,1500
2015-10-30 14:40:00,14.352,14.396,14.285,14.332,1300
2015-10-30 14:39:00,14.36,14.403,14.285,14.331,9000
2015-10-30 14:38:00,14.36,14.403,14.292,14.338,1728
2015-10-30 14:37:00,14.352,14.403,14.288,14.342,8166
2015-10-30 14:36:00,14.341,14.396,14.277,14.331,19298
2015-10-30 14:35:00,14.341,14.388,14.277,14.323,1800
2015-10-30 14:34:00,14.341,14.388,14.277,14.327,3465
2015-10-30 14:33:00,14.345,14.388,14.277,14.323,4100
